<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	2.1808	2.1954	2.1777	2.1950	9668	8133976	1
2021.10.04	10:00:00	2.1950	2.1966	2.1768	2.1866	12220	10863893	1
2021.10.04	11:00:00	2.1866	2.1887	2.1563	2.1745	17652	18062733	1
2021.10.04	12:00:00	2.1745	2.1911	2.1620	2.1848	17274	13888115	1
2021.10.04	13:00:00	2.1848	2.2160	2.1840	2.2149	23447	23969540	1
2021.10.04	14:00:00	2.2150	2.2294	2.1590	2.1739	36234	34680226	1
2021.10.04	15:00:00	2.1741	2.1892	2.1503	2.1874	31579	27137728	1
2021.10.04	16:00:00	2.1873	2.2153	2.1834	2.1952	30582	28746640	1
2021.10.04	17:00:00	2.1951	2.2203	2.1800	2.2115	23843	20467975	1
2021.10.04	18:00:00	2.2114	2.2198	2.2031	2.2118	18362	14013815	1
2021.10.04	19:00:00	2.2119	2.2156	2.1971	2.2048	12454	10269875	1
2021.10.04	20:00:00	2.2048	2.2084	2.1821	2.1834	14868	11656910	1
2021.10.04	21:00:00	2.1834	2.1915	2.1739	2.1888	11068	8267467	1
2021.10.04	22:00:00	2.1888	2.1951	2.1753	2.1801	12355	13143196	1
2021.10.04	23:00:00	2.1802	2.2069	2.1800	2.1925	14402	13524050	1
2021.10.05	00:00:00	2.1925	2.2178	2.1817	2.2135	18349	14022460	1
2021.10.05	01:00:00	2.2135	2.2257	2.1976	2.1990	12979	11288143	1
2021.10.05	02:00:00	2.1989	2.2074	2.1935	2.2044	10628	6446301	1
2021.10.05	03:00:00	2.2043	2.2336	2.2030	2.2196	15325	13419714	1
2021.10.05	04:00:00	2.2195	2.2233	2.1993	2.2019	10980	8050520	1
2021.10.05	05:00:00	2.2018	2.2198	2.2009	2.2163	11667	7871276	1
2021.10.05	06:00:00	2.2163	2.2250	2.2117	2.2124	12516	9322063	1
2021.10.05	07:00:00	2.2125	2.2273	2.2107	2.2147	10856	9133746	1
2021.10.05	08:00:00	2.2146	2.2255	2.2075	2.2214	12502	10356069	1
2021.10.05	09:00:00	2.2215	2.2422	2.2078	2.2422	21862	22383947	1
2021.10.05	10:00:00	2.2421	2.2508	2.2200	2.2300	22652	21456969	1
2021.10.05	11:00:00	2.2300	2.2393	2.2220	2.2254	13052	10285274	1
