<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	2.1808	2.1837	2.1777	2.1809	1295	1064855	1
2021.10.04	09:15:00	2.1809	2.1890	2.1808	2.1865	2391	1774350	1
2021.10.04	09:30:00	2.1865	2.1927	2.1815	2.1892	2875	2314671	1
2021.10.04	09:45:00	2.1892	2.1954	2.1849	2.1950	3107	2980100	1
2021.10.04	10:00:00	2.1950	2.1966	2.1864	2.1886	3066	2469110	1
2021.10.04	10:15:00	2.1886	2.1890	2.1770	2.1886	3290	3796826	1
2021.10.04	10:30:00	2.1887	2.1894	2.1773	2.1783	2718	2439765	1
2021.10.04	10:45:00	2.1784	2.1891	2.1768	2.1866	3146	2158192	1
2021.10.04	11:00:00	2.1866	2.1887	2.1689	2.1700	3716	3514377	1
2021.10.04	11:15:00	2.1700	2.1797	2.1607	2.1621	3977	3722568	1
2021.10.04	11:30:00	2.1620	2.1746	2.1563	2.1624	5511	6730710	1
2021.10.04	11:45:00	2.1624	2.1795	2.1623	2.1745	4448	4095078	1
2021.10.04	12:00:00	2.1745	2.1820	2.1620	2.1796	5253	4984077	1
2021.10.04	12:15:00	2.1798	2.1831	2.1718	2.1816	4056	3186222	1
2021.10.04	12:30:00	2.1817	2.1841	2.1760	2.1816	3553	2459436	1
2021.10.04	12:45:00	2.1816	2.1911	2.1797	2.1848	4412	3258380	1
2021.10.04	13:00:00	2.1848	2.1955	2.1840	2.1941	3892	3167895	1
2021.10.04	13:15:00	2.1942	2.2009	2.1859	2.1969	5947	6967596	1
2021.10.04	13:30:00	2.1969	2.2160	2.1938	2.2067	8894	8974879	1
2021.10.04	13:45:00	2.2067	2.2153	2.1970	2.2149	4714	4859170	1
2021.10.04	14:00:00	2.2150	2.2294	2.2029	2.2138	10801	10555821	1
2021.10.04	14:15:00	2.2140	2.2241	2.2137	2.2156	4857	4355817	1
2021.10.04	14:30:00	2.2156	2.2185	2.1770	2.1850	9366	9122215	1
2021.10.04	14:45:00	2.1854	2.1861	2.1590	2.1739	11210	10646373	1
2021.10.04	15:00:00	2.1741	2.1789	2.1503	2.1723	15099	14956266	1
2021.10.04	15:15:00	2.1724	2.1768	2.1604	2.1739	6140	4605634	1
2021.10.04	15:30:00	2.1740	2.1859	2.1725	2.1847	5605	3943610	1
2021.10.04	15:45:00	2.1846	2.1892	2.1761	2.1874	4735	3632218	1
2021.10.04	16:00:00	2.1873	2.2043	2.1834	2.2041	8879	8696792	1
2021.10.04	16:15:00	2.2042	2.2153	2.1957	2.2089	9783	10178024	1
2021.10.04	16:30:00	2.2088	2.2147	2.1944	2.1951	6849	6036077	1
2021.10.04	16:45:00	2.1951	2.2032	2.1911	2.1952	5071	3835747	1
2021.10.04	17:00:00	2.1951	2.2023	2.1800	2.1884	6172	5342070	1
2021.10.04	17:15:00	2.1884	2.1911	2.1814	2.1895	2511	2058265	1
2021.10.04	17:30:00	2.1895	2.2125	2.1894	2.2008	7278	6745371	1
2021.10.04	17:45:00	2.2008	2.2203	2.2008	2.2115	7882	6322269	1
2021.10.04	18:00:00	2.2114	2.2180	2.2031	2.2117	6169	4874487	1
2021.10.04	18:15:00	2.2115	2.2163	2.2080	2.2086	4530	3668541	1
2021.10.04	18:30:00	2.2086	2.2190	2.2074	2.2163	3610	2634873	1
2021.10.04	18:45:00	2.2163	2.2198	2.2085	2.2118	4053	2835914	1
2021.10.04	19:00:00	2.2119	2.2156	2.2006	2.2066	3846	3675733	1
2021.10.04	19:15:00	2.2068	2.2106	2.1971	2.1974	2493	2050059	1
2021.10.04	19:30:00	2.1975	2.2088	2.1975	2.2074	3144	2351995	1
2021.10.04	19:45:00	2.2074	2.2093	2.2018	2.2048	2971	2192088	1
2021.10.04	20:00:00	2.2048	2.2084	2.1904	2.1938	4761	3277901	1
2021.10.04	20:15:00	2.1938	2.1948	2.1859	2.1895	3859	3567309	1
2021.10.04	20:30:00	2.1895	2.1940	2.1834	2.1883	3271	2769255	1
2021.10.04	20:45:00	2.1883	2.1925	2.1821	2.1834	2977	2042445	1
2021.10.04	21:00:00	2.1834	2.1895	2.1810	2.1824	2949	1925187	1
2021.10.04	21:15:00	2.1823	2.1903	2.1819	2.1853	2483	1648886	1
2021.10.04	21:30:00	2.1853	2.1868	2.1800	2.1827	2113	1348566	1
2021.10.04	21:45:00	2.1827	2.1915	2.1739	2.1888	3523	3344828	1
2021.10.04	22:00:00	2.1888	2.1951	2.1836	2.1855	3983	3933498	1
2021.10.04	22:15:00	2.1854	2.1899	2.1842	2.1877	2170	1565242	1
2021.10.04	22:30:00	2.1877	2.1922	2.1760	2.1779	2892	3734547	1
2021.10.04	22:45:00	2.1779	2.1848	2.1753	2.1801	3310	3909909	1
2021.10.04	23:00:00	2.1802	2.1925	2.1800	2.1919	2772	2613543	1
2021.10.04	23:15:00	2.1917	2.2043	2.1914	2.2011	4292	4704169	1
2021.10.04	23:30:00	2.2009	2.2069	2.1972	2.2015	3416	3091323	1
2021.10.04	23:45:00	2.2016	2.2030	2.1878	2.1925	3922	3115015	1
2021.10.05	00:00:00	2.1925	2.2036	2.1817	2.1995	4780	3833174	1
2021.10.05	00:15:00	2.1996	2.2051	2.1971	2.1977	3010	2228831	1
2021.10.05	00:30:00	2.1978	2.2178	2.1912	2.2119	5655	4731673	1
2021.10.05	00:45:00	2.2118	2.2178	2.2095	2.2135	4904	3228782	1
2021.10.05	01:00:00	2.2135	2.2257	2.2108	2.2176	4311	4151600	1
2021.10.05	01:15:00	2.2175	2.2178	2.2082	2.2126	2802	2564812	1
2021.10.05	01:30:00	2.2127	2.2142	2.1983	2.1991	3240	2607544	1
2021.10.05	01:45:00	2.1991	2.2029	2.1976	2.1990	2626	1964187	1
2021.10.05	02:00:00	2.1989	2.2025	2.1935	2.1957	3016	2173316	1
2021.10.05	02:15:00	2.1959	2.2047	2.1935	2.2038	2213	1423409	1
2021.10.05	02:30:00	2.2038	2.2074	2.1973	2.2013	2513	1478015	1
2021.10.05	02:45:00	2.2012	2.2063	2.2002	2.2044	2886	1371561	1
2021.10.05	03:00:00	2.2043	2.2172	2.2030	2.2130	3530	2968166	1
2021.10.05	03:15:00	2.2131	2.2336	2.2131	2.2232	5926	5634165	1
2021.10.05	03:30:00	2.2233	2.2251	2.2066	2.2133	3633	3158935	1
2021.10.05	03:45:00	2.2133	2.2212	2.2108	2.2196	2236	1658448	1
2021.10.05	04:00:00	2.2195	2.2233	2.2125	2.2161	3302	2792836	1
2021.10.05	04:15:00	2.2161	2.2165	2.2067	2.2098	2360	1559571	1
2021.10.05	04:30:00	2.2097	2.2098	2.2012	2.2015	2495	1708610	1
2021.10.05	04:45:00	2.2016	2.2030	2.1993	2.2019	2823	1989503	1
2021.10.05	05:00:00	2.2018	2.2096	2.2009	2.2085	2484	1788314	1
2021.10.05	05:15:00	2.2086	2.2162	2.2077	2.2154	2906	2154804	1
2021.10.05	05:30:00	2.2150	2.2198	2.2100	2.2138	3631	2522059	1
2021.10.05	05:45:00	2.2137	2.2190	2.2122	2.2163	2646	1406099	1
2021.10.05	06:00:00	2.2163	2.2225	2.2131	2.2208	3289	2247694	1
2021.10.05	06:15:00	2.2208	2.2250	2.2188	2.2221	3241	2375404	1
2021.10.05	06:30:00	2.2221	2.2234	2.2165	2.2193	2914	2638313	1
2021.10.05	06:45:00	2.2192	2.2193	2.2117	2.2124	3072	2060652	1
2021.10.05	07:00:00	2.2125	2.2224	2.2107	2.2201	2493	1978148	1
2021.10.05	07:15:00	2.2202	2.2268	2.2200	2.2263	3203	2754728	1
2021.10.05	07:30:00	2.2263	2.2273	2.2171	2.2186	2651	1954232	1
2021.10.05	07:45:00	2.2186	2.2187	2.2119	2.2147	2509	2446638	1
2021.10.05	08:00:00	2.2146	2.2198	2.2132	2.2192	2682	1928417	1
2021.10.05	08:15:00	2.2192	2.2192	2.2075	2.2088	2794	2532551	1
2021.10.05	08:30:00	2.2088	2.2208	2.2085	2.2168	3315	2851053	1
2021.10.05	08:45:00	2.2167	2.2255	2.2158	2.2214	3711	3044048	1
2021.10.05	09:00:00	2.2215	2.2239	2.2173	2.2195	3274	2641039	1
2021.10.05	09:15:00	2.2195	2.2309	2.2078	2.2207	6079	7118115	1
2021.10.05	09:30:00	2.2207	2.2294	2.2173	2.2285	4539	4257372	1
2021.10.05	09:45:00	2.2286	2.2422	2.2271	2.2422	7970	8367421	1
2021.10.05	10:00:00	2.2421	2.2496	2.2398	2.2476	6971	6404343	1
2021.10.05	10:15:00	2.2476	2.2508	2.2385	2.2440	5504	4930631	1
2021.10.05	10:30:00	2.2439	2.2456	2.2364	2.2373	4104	3781877	1
2021.10.05	10:45:00	2.2375	2.2387	2.2200	2.2300	6073	6340118	1
2021.10.05	11:00:00	2.2300	2.2371	2.2298	2.2354	3466	2512662	1
2021.10.05	11:15:00	2.2353	2.2393	2.2323	2.2369	2894	2124718	1
2021.10.05	11:30:00	2.2369	2.2370	2.2241	2.2250	3370	3025325	1
2021.10.05	11:45:00	2.2250	2.2292	2.2220	2.2254	3322	2622569	1
2021.10.05	12:00:00	2.2254	2.2268	2.2157	2.2221	4259	3638931	1
