<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	0.07469	0.07547	0.07466	0.07505	1762	11949152	1
2022.03.09	09:00:00	0.07505	0.07517	0.07453	0.07456	2812	23086593	1
2022.03.09	10:00:00	0.07459	0.07547	0.07446	0.07545	1523	12072996	1
2022.03.09	11:00:00	0.07686	0.07858	0.07662	0.07842	4246	29354880	1
2022.03.09	12:00:00	0.07840	0.07945	0.07674	0.07725	11547	88140145	1
2022.03.09	13:00:00	0.07726	0.07761	0.07628	0.07697	5549	38175313	1
2022.03.09	14:00:00	0.07699	0.07779	0.07663	0.07687	3823	28669875	1
2022.03.09	15:00:00	0.07686	0.07754	0.07634	0.07748	3057	20098384	1
2022.03.09	16:00:00	0.07748	0.07753	0.07684	0.07725	2914	16694714	1
2022.03.09	17:00:00	0.07726	0.07790	0.07682	0.07759	2656	22499931	1
2022.03.09	18:00:00	0.07759	0.07759	0.07539	0.07592	3463	25248143	1
2022.03.09	19:00:00	0.07594	0.07677	0.07549	0.07643	3177	22592567	1
2022.03.09	20:00:00	0.07644	0.07674	0.07514	0.07527	3914	28462119	1
2022.03.09	21:00:00	0.07527	0.07589	0.07511	0.07556	3129	19449264	1
2022.03.09	22:00:00	0.07562	0.07585	0.07519	0.07550	2745	18785461	1
2022.03.09	23:00:00	0.07547	0.07686	0.07533	0.07640	3256	21604867	1
2022.03.10	00:00:00	0.07640	0.07687	0.07480	0.07494	4845	32958228	1
2022.03.10	01:00:00	0.07494	0.07551	0.07296	0.07332	5382	39202465	1
2022.03.10	02:00:00	0.07333	0.07410	0.07320	0.07369	2954	19952875	1
2022.03.10	03:00:00	0.07366	0.07478	0.07343	0.07461	2432	16323991	1
2022.03.10	04:00:00	0.07459	0.07523	0.07251	0.07257	5398	39090776	1
2022.03.10	05:00:00	0.07257	0.07265	0.07100	0.07204	5869	43435287	1
2022.03.10	06:00:00	0.07204	0.07232	0.07102	0.07163	2975	20686806	1
2022.03.10	07:00:00	0.07162	0.07196	0.07124	0.07157	1775	10841014	1
2022.03.10	08:00:00	0.07157	0.07165	0.07075	0.07141	2864	18765627	1
2022.03.10	09:00:00	0.07142	0.07178	0.07103	0.07140	2164	11548358	1
2022.03.10	10:00:00	0.07140	0.07153	0.07090	0.07100	1902	12442961	1
2022.03.10	11:00:00	0.07097	0.07128	0.07048	0.07082	2465	13463104	1
2022.03.10	12:00:00	0.07080	0.07088	0.07003	0.07064	3872	23000217	1
2022.03.10	13:00:00	0.07067	0.07289	0.07026	0.07145	12327	88459026	1
2022.03.10	14:00:00	0.07141	0.07291	0.07121	0.07286	4714	27043933	1
2022.03.10	15:00:00	0.07285	0.07334	0.07224	0.07323	4895	28514274	1
2022.03.10	16:00:00	0.07323	0.07396	0.07236	0.07281	5339	26362068	1
2022.03.10	17:00:00	0.07280	0.07314	0.07088	0.07115	5602	40043087	1
2022.03.10	18:00:00	0.07116	0.07465	0.07101	0.07451	7111	51950487	1
2022.03.10	19:00:00	0.07450	0.07740	0.07140	0.07222	18825	140445252	1
2022.03.10	20:00:00	0.07221	0.07339	0.07210	0.07334	3623	19503522	1
2022.03.10	21:00:00	0.07333	0.07685	0.07291	0.07598	13709	95921011	1
2022.03.10	22:00:00	0.07593	0.07633	0.07445	0.07525	6704	36637100	1
2022.03.10	23:00:00	0.07525	0.07718	0.07466	0.07675	6379	31811044	1
2022.03.11	00:00:00	0.07680	0.07682	0.07419	0.07453	8689	48117295	1
2022.03.11	01:00:00	0.07450	0.07459	0.07251	0.07279	6521	31066433	1
2022.03.11	02:00:00	0.07282	0.07311	0.07207	0.07256	4659	19347661	1
2022.03.11	03:00:00	0.07258	0.07491	0.07248	0.07379	6209	49195384	1
2022.03.11	04:00:00	0.07377	0.07384	0.07235	0.07258	3689	20116283	1
2022.03.11	05:00:00	0.07258	0.07443	0.07232	0.07426	3197	16450240	1
2022.03.11	06:00:00	0.07425	0.07448	0.07364	0.07420	3135	13895562	1
2022.03.11	07:00:00	0.07421	0.07447	0.07379	0.07399	3491	16807596	1
2022.03.11	08:00:00	0.07398	0.07457	0.07360	0.07398	2771	15661142	1
2022.03.11	09:00:00	0.07395	0.07455	0.07370	0.07382	2089	13087509	1
2022.03.11	10:00:00	0.07387	0.07409	0.07334	0.07362	2159	13895257	1
2022.03.11	11:00:00	0.07358	0.07457	0.07269	0.07403	4492	33210905	1
2022.03.11	12:00:00	0.07402	0.07468	0.07372	0.07406	3765	24722699	1
2022.03.11	13:00:00	0.07404	0.07412	0.07312	0.07346	3415	20186555	1
2022.03.11	14:00:00	0.07344	0.07373	0.07270	0.07286	2684	16938247	1
2022.03.11	15:00:00	0.07288	0.07296	0.07198	0.07271	3200	17422654	1
2022.03.11	16:00:00	0.07272	0.07279	0.07169	0.07218	3013	18587115	1
2022.03.11	17:00:00	0.07217	0.07278	0.07166	0.07245	3304	20454522	1
2022.03.11	18:00:00	0.07246	0.07255	0.07169	0.07175	1888	12071982	1
2022.03.11	19:00:00	0.07175	0.07267	0.07151	0.07220	2125	12610641	1
2022.03.11	20:00:00	0.07216	0.07242	0.07134	0.07137	2097	11743639	1
2022.03.11	21:00:00	0.07149	0.07252	0.07144	0.07215	1763	9770858	1
2022.03.11	22:00:00	0.07212	0.07234	0.07142	0.07159	1639	10450915	1
2022.03.11	23:00:00	0.07158	0.07159	0.07084	0.07091	1995	13470167	1
2022.03.12	00:00:00	0.07092	0.07265	0.07072	0.07187	3077	21005856	1
2022.03.12	01:00:00	0.07186	0.07218	0.07124	0.07125	2468	15235324	1
2022.03.12	02:00:00	0.07125	0.07195	0.07105	0.07126	2404	17135394	1
2022.03.12	03:00:00	0.07128	0.07185	0.07119	0.07127	1297	6993755	1
2022.03.12	04:00:00	0.07124	0.07206	0.07121	0.07191	1555	10769771	1
2022.03.12	05:00:00	0.07191	0.07256	0.07157	0.07255	1507	9683741	1
2022.03.12	06:00:00	0.07255	0.07261	0.07174	0.07202	1701	12041443	1
2022.03.12	07:00:00	0.07202	0.07222	0.07166	0.07196	1645	10093599	1
2022.03.12	08:00:00	0.07196	0.07211	0.07141	0.07187	1960	8858040	1
