<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	30.248	30.638	30.196	30.462	9274	363961	1
2022.03.09	09:00:00	30.459	30.493	29.903	29.985	16492	641643	1
2022.03.09	10:00:00	29.983	30.213	29.909	30.065	5930	201907	1
2022.03.09	11:00:00	30.108	30.280	30.081	30.205	4160	128824	1
2022.03.09	12:00:00	30.206	30.467	29.821	29.980	18802	674575	1
2022.03.09	13:00:00	29.979	30.197	29.751	29.958	17153	595626	1
2022.03.09	14:00:00	29.957	30.577	29.919	30.434	25072	835205	1
2022.03.09	15:00:00	30.434	31.143	30.398	30.737	38488	1235747	1
2022.03.09	16:00:00	30.737	31.306	30.544	30.895	27538	936905	1
2022.03.09	17:00:00	30.893	31.279	30.700	31.073	20014	625684	1
2022.03.09	18:00:00	31.074	31.168	30.251	30.568	26074	904597	1
2022.03.09	19:00:00	30.567	30.728	30.017	30.459	21597	685448	1
2022.03.09	20:00:00	30.459	30.576	29.959	30.078	15732	481616	1
2022.03.09	21:00:00	30.078	30.227	29.837	30.122	14990	487726	1
2022.03.09	22:00:00	30.123	30.247	29.722	29.850	12532	458821	1
2022.03.09	23:00:00	29.850	30.271	29.788	30.031	14787	496781	1
2022.03.10	00:00:00	30.034	30.172	29.751	30.058	17565	621891	1
2022.03.10	01:00:00	30.057	30.330	29.455	29.475	24292	902379	1
2022.03.10	02:00:00	29.477	29.753	29.316	29.439	18899	675232	1
2022.03.10	03:00:00	29.438	29.520	29.054	29.068	16464	536670	1
2022.03.10	04:00:00	29.067	29.213	28.450	28.462	32744	1205570	1
2022.03.10	05:00:00	28.463	28.526	27.551	27.817	33715	1194545	1
2022.03.10	06:00:00	27.819	27.995	27.567	27.850	16906	593595	1
2022.03.10	07:00:00	27.845	27.950	27.712	27.845	10951	465518	1
2022.03.10	08:00:00	27.842	28.200	27.663	28.137	18516	722722	1
2022.03.10	09:00:00	28.134	28.255	27.836	28.016	13227	484588	1
2022.03.10	10:00:00	28.017	28.078	27.842	27.878	10193	368629	1
2022.03.10	11:00:00	27.883	28.093	27.752	28.032	10128	323528	1
2022.03.10	12:00:00	28.026	28.223	27.911	28.083	12455	430854	1
2022.03.10	13:00:00	28.076	28.524	27.351	27.725	38888	1514680	1
2022.03.10	14:00:00	27.727	28.145	27.550	28.140	23264	771006	1
2022.03.10	15:00:00	28.141	28.526	27.913	28.183	27357	1055161	1
2022.03.10	16:00:00	28.183	28.471	27.707	27.933	25245	950502	1
2022.03.10	17:00:00	27.933	28.067	27.756	27.861	13954	393629	1
2022.03.10	18:00:00	27.861	27.960	27.603	27.884	13871	471334	1
2022.03.10	19:00:00	27.883	28.182	27.814	28.144	11745	352694	1
2022.03.10	20:00:00	28.142	28.382	28.091	28.337	11692	361500	1
2022.03.10	21:00:00	28.342	28.381	27.972	28.029	10107	347941	1
2022.03.10	22:00:00	28.024	28.247	27.809	28.188	8227	226441	1
2022.03.10	23:00:00	28.187	28.245	27.851	27.990	10736	282428	1
2022.03.11	00:00:00	27.990	28.254	27.777	27.997	18418	603011	1
2022.03.11	01:00:00	27.997	28.014	27.685	27.779	18150	608878	1
2022.03.11	02:00:00	27.784	27.844	27.127	27.193	21846	755799	1
2022.03.11	03:00:00	27.191	27.579	27.126	27.514	12870	422338	1
2022.03.11	04:00:00	27.512	27.529	27.132	27.222	9559	329965	1
2022.03.11	05:00:00	27.222	27.348	26.834	27.318	17841	640764	1
2022.03.11	06:00:00	27.315	27.635	27.256	27.618	14595	534461	1
2022.03.11	07:00:00	27.621	27.889	27.576	27.736	16104	538072	1
2022.03.11	08:00:00	27.735	27.837	27.462	27.462	14384	462146	1
2022.03.11	09:00:00	27.463	27.676	27.426	27.500	11146	332111	1
2022.03.11	10:00:00	27.496	27.675	27.486	27.605	9116	267583	1
2022.03.11	11:00:00	27.601	28.350	27.346	28.140	31390	1210227	1
2022.03.11	12:00:00	28.138	28.465	28.055	28.225	22166	774159	1
2022.03.11	13:00:00	28.232	28.262	27.805	27.924	18247	586009	1
2022.03.11	14:00:00	27.924	28.205	27.680	27.813	16328	565273	1
2022.03.11	15:00:00	27.813	27.813	27.411	27.546	21286	718366	1
2022.03.11	16:00:00	27.550	27.603	27.132	27.336	19095	625101	1
2022.03.11	17:00:00	27.335	27.753	27.275	27.647	14379	484870	1
2022.03.11	18:00:00	27.648	27.670	27.272	27.307	10101	320735	1
2022.03.11	19:00:00	27.310	27.517	27.183	27.333	10724	336710	1
2022.03.11	20:00:00	27.328	27.525	27.146	27.239	10606	365296	1
2022.03.11	21:00:00	27.238	27.716	27.235	27.551	11012	352819	1
2022.03.11	22:00:00	27.550	27.982	27.550	27.666	9107	252223	1
2022.03.11	23:00:00	27.665	27.838	27.438	27.456	9215	288811	1
2022.03.12	00:00:00	27.456	27.965	27.414	27.920	10420	355108	1
2022.03.12	01:00:00	27.923	28.191	27.869	28.119	11111	383218	1
2022.03.12	02:00:00	28.119	28.254	27.779	27.830	10168	372378	1
2022.03.12	03:00:00	27.829	27.971	27.751	27.758	6340	179577	1
2022.03.12	04:00:00	27.765	27.997	27.700	27.856	6735	201755	1
2022.03.12	05:00:00	27.855	27.858	27.648	27.776	6637	278933	1
2022.03.12	06:00:00	27.780	27.891	27.650	27.702	6241	171425	1
2022.03.12	07:00:00	27.701	27.743	27.522	27.616	7677	223849	1
2022.03.12	08:00:00	27.617	27.617	27.237	27.417	11150	335709	1
2022.03.12	09:00:00	27.418	27.607	27.385	27.518	6291	198094	1
2022.03.12	10:00:00	27.518	27.718	27.496	27.661	6259	213536	1
2022.03.12	11:00:00	27.661	27.799	27.521	27.582	6774	238177	1
2022.03.12	12:00:00	27.583	27.750	27.555	27.617	5519	190889	1
2022.03.12	13:00:00	27.615	27.690	27.433	27.456	8059	246246	1
2022.03.12	14:00:00	27.456	27.518	27.213	27.375	11586	364596	1
2022.03.12	15:00:00	27.374	27.588	27.302	27.443	7063	234224	1
2022.03.12	16:00:00	27.444	27.570	27.383	27.562	6422	191823	1
2022.03.12	17:00:00	27.563	27.720	27.370	27.421	7746	316625	1
2022.03.12	18:00:00	27.421	27.546	27.353	27.412	6111	204216	1
2022.03.12	19:00:00	27.411	27.418	27.312	27.382	4796	129291	1
2022.03.12	20:00:00	27.381	27.489	27.303	27.436	4707	136225	1
2022.03.12	21:00:00	27.436	27.558	27.409	27.469	5197	130847	1
2022.03.12	22:00:00	27.472	27.504	27.350	27.430	5393	110359	1
2022.03.12	23:00:00	27.427	27.488	27.122	27.202	6855	210569	1
2022.03.13	00:00:00	27.203	27.220	27.010	27.107	11307	356861	1
2022.03.13	01:00:00	27.101	27.306	27.070	27.210	6536	206618	1
2022.03.13	02:00:00	27.209	27.459	27.146	27.427	5799	219207	1
2022.03.13	03:00:00	27.429	27.507	27.311	27.415	5233	174730	1
2022.03.13	04:00:00	27.416	27.469	27.188	27.200	4535	134265	1
2022.03.13	05:00:00	27.260	27.321	27.215	27.249	3372	96232	1
2022.03.13	06:00:00	27.258	27.447	27.224	27.414	6658	261062	1
2022.03.13	07:00:00	27.418	27.537	27.356	27.398	6123	227439	1
2022.03.13	08:00:00	27.400	27.430	27.282	27.394	7477	178956	1
2022.03.13	09:00:00	27.394	27.408	27.061	27.140	11739	308570	1
2022.03.13	10:00:00	27.140	27.243	27.125	27.233	6283	156410	1
2022.03.13	11:00:00	27.233	27.264	27.050	27.176	6658	195499	1
2022.03.13	12:00:00	27.176	27.247	26.571	26.658	20112	823990	1
2022.03.13	13:00:00	26.658	26.957	26.601	26.771	13285	437321	1
2022.03.13	14:00:00	26.771	27.205	26.747	27.139	10225	442091	1
2022.03.13	15:00:00	27.139	27.508	27.132	27.268	13436	636074	1
2022.03.13	16:00:00	27.269	27.445	27.170	27.300	7812	289143	1
2022.03.13	17:00:00	27.302	27.467	27.242	27.355	6703	250681	1
2022.03.13	18:00:00	27.360	27.406	27.224	27.277	5001	124299	1
2022.03.13	19:00:00	27.278	27.309	26.807	26.838	8320	349928	1
2022.03.13	20:00:00	26.833	26.907	26.646	26.857	11372	386476	1
2022.03.13	21:00:00	26.859	26.945	26.681	26.717	6381	183970	1
2022.03.13	22:00:00	26.717	26.859	25.946	26.113	29729	1136074	1
2022.03.13	23:00:00	26.111	26.378	25.909	26.227	19224	652238	1
2022.03.14	00:00:00	26.226	26.318	25.972	26.149	12699	457464	1
2022.03.14	01:00:00	26.152	26.464	26.100	26.180	10136	354821	1
2022.03.14	02:00:00	26.180	26.272	26.035	26.131	6933	230767	1
2022.03.14	03:00:00	26.128	26.281	26.044	26.223	6437	184524	1
2022.03.14	04:00:00	26.226	26.752	26.226	26.518	15078	561087	1
2022.03.14	05:00:00	26.519	26.738	26.487	26.567	8995	251614	1
2022.03.14	06:00:00	26.567	26.830	26.532	26.736	10104	262928	1
2022.03.14	07:00:00	26.733	26.969	26.730	26.851	11233	403118	1
2022.03.14	08:00:00	26.851	27.042	26.733	26.899	9693	373814	1
2022.03.14	09:00:00	26.895	27.042	26.779	26.958	7325	247923	1
2022.03.14	10:00:00	26.959	27.150	26.822	26.918	9285	352566	1
2022.03.14	11:00:00	26.917	26.954	26.653	26.741	7234	268367	1
2022.03.14	12:00:00	26.738	26.834	26.538	26.764	9175	402115	1
2022.03.14	13:00:00	26.764	26.984	26.643	26.958	12311	408968	1
2022.03.14	14:00:00	26.957	27.048	26.689	26.842	10493	384551	1
2022.03.14	15:00:00	26.841	26.904	26.561	26.657	8762	246880	1
2022.03.14	16:00:00	26.659	26.799	26.263	26.288	12054	377107	1
2022.03.14	17:00:00	26.289	26.430	26.065	26.111	12736	696156	1
2022.03.14	18:00:00	26.110	26.139	25.736	25.974	16898	912707	1
2022.03.14	19:00:00	25.975	26.199	25.944	26.102	9353	438532	1
2022.03.14	20:00:00	26.102	26.238	25.991	26.015	6956	297424	1
2022.03.14	21:00:00	26.014	26.159	25.944	26.056	4137	139858	1
2022.03.14	22:00:00	26.055	26.649	26.055	26.464	13832	531040	1
2022.03.14	23:00:00	26.464	26.877	26.464	26.819	12211	480005	1
2022.03.15	00:00:00	26.818	26.988	26.680	26.878	13000	456857	1
