<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	30.248	30.378	30.229	30.287	2486	96713	1
2022.03.09	08:45:00	30.288	30.638	30.196	30.462	6788	267248	1
2022.03.09	09:00:00	30.459	30.493	30.058	30.133	5748	232044	1
2022.03.09	09:15:00	30.131	30.272	30.071	30.239	3422	115543	1
2022.03.09	09:30:00	30.239	30.250	30.030	30.151	3527	115744	1
2022.03.09	09:45:00	30.154	30.218	29.903	29.985	3795	178312	1
2022.03.09	10:00:00	29.983	30.192	29.909	30.180	3393	115725	1
2022.03.09	10:15:00	30.181	30.213	30.034	30.065	2537	86182	1
2022.03.09	11:30:00	30.108	30.262	30.085	30.177	1317	30973	1
2022.03.09	11:45:00	30.177	30.280	30.081	30.205	2843	97851	1
2022.03.09	12:00:00	30.206	30.347	30.156	30.203	3522	127585	1
2022.03.09	12:15:00	30.208	30.342	30.187	30.300	2690	79450	1
2022.03.09	12:30:00	30.299	30.467	29.821	29.931	7528	292631	1
2022.03.09	12:45:00	29.929	30.146	29.834	29.980	5062	174909	1
2022.03.09	13:00:00	29.979	30.040	29.751	30.010	5241	205167	1
2022.03.09	13:15:00	30.011	30.197	29.957	30.032	4373	154153	1
2022.03.09	13:30:00	30.032	30.089	29.848	29.863	3309	95946	1
2022.03.09	13:45:00	29.859	29.988	29.764	29.958	4230	140360	1
2022.03.09	14:00:00	29.957	30.300	29.919	30.134	6712	255824	1
2022.03.09	14:15:00	30.141	30.415	30.106	30.285	5322	176311	1
2022.03.09	14:30:00	30.283	30.430	30.145	30.334	6339	195759	1
2022.03.09	14:45:00	30.335	30.577	30.259	30.434	6699	207311	1
2022.03.09	15:00:00	30.434	31.109	30.398	31.023	15298	518132	1
2022.03.09	15:15:00	31.017	31.143	30.716	30.881	10845	371308	1
2022.03.09	15:30:00	30.880	30.949	30.674	30.824	6350	177024	1
2022.03.09	15:45:00	30.826	30.886	30.641	30.737	5995	169283	1
2022.03.09	16:00:00	30.737	30.861	30.622	30.655	4583	138124	1
2022.03.09	16:15:00	30.654	30.990	30.544	30.966	6290	199583	1
2022.03.09	16:30:00	30.965	31.306	30.940	31.063	10886	396962	1
2022.03.09	16:45:00	31.066	31.072	30.739	30.895	5779	202236	1
2022.03.09	17:00:00	30.893	30.993	30.785	30.798	4119	135330	1
2022.03.09	17:15:00	30.798	30.957	30.700	30.773	4520	150890	1
2022.03.09	17:30:00	30.775	31.279	30.758	31.147	7117	223612	1
2022.03.09	17:45:00	31.142	31.235	31.021	31.073	4258	115852	1
2022.03.09	18:00:00	31.074	31.168	30.745	30.809	5674	189187	1
2022.03.09	18:15:00	30.806	30.914	30.251	30.330	9595	397593	1
2022.03.09	18:30:00	30.330	30.562	30.308	30.351	5525	164546	1
2022.03.09	18:45:00	30.354	30.570	30.258	30.568	5280	153271	1
2022.03.09	19:00:00	30.567	30.584	30.269	30.308	4257	121773	1
2022.03.09	19:15:00	30.309	30.384	30.017	30.338	7827	270142	1
2022.03.09	19:30:00	30.337	30.625	30.276	30.599	5613	177255	1
2022.03.09	19:45:00	30.599	30.728	30.459	30.459	3900	116278	1
2022.03.09	20:00:00	30.459	30.576	30.190	30.288	4425	143031	1
2022.03.09	20:15:00	30.289	30.329	30.163	30.278	2746	78609	1
2022.03.09	20:30:00	30.279	30.279	29.959	30.036	4167	143822	1
2022.03.09	20:45:00	30.036	30.155	29.965	30.078	4394	116154	1
2022.03.09	21:00:00	30.078	30.174	29.911	29.945	4192	125166	1
2022.03.09	21:15:00	29.938	30.045	29.837	29.927	3798	136640	1
2022.03.09	21:30:00	29.924	30.120	29.856	30.052	3802	121510	1
2022.03.09	21:45:00	30.059	30.227	30.037	30.122	3198	104410	1
2022.03.09	22:00:00	30.123	30.247	30.090	30.091	2952	103708	1
2022.03.09	22:15:00	30.090	30.150	29.986	29.999	2544	89758	1
2022.03.09	22:30:00	29.998	30.181	29.891	29.893	2719	95879	1
2022.03.09	22:45:00	29.894	29.957	29.722	29.850	4317	169476	1
2022.03.09	23:00:00	29.850	30.175	29.788	30.043	4700	123380	1
2022.03.09	23:15:00	30.043	30.146	29.913	30.103	2942	92175	1
2022.03.09	23:30:00	30.104	30.200	30.027	30.152	3277	126354	1
2022.03.09	23:45:00	30.151	30.271	29.994	30.031	3868	154872	1
2022.03.10	00:00:00	30.034	30.114	29.751	29.848	5675	209540	1
2022.03.10	00:15:00	29.847	30.129	29.814	30.074	3934	121032	1
2022.03.10	00:30:00	30.069	30.126	29.804	30.118	4029	142604	1
2022.03.10	00:45:00	30.121	30.172	29.891	30.058	3927	148715	1
2022.03.10	01:00:00	30.057	30.141	29.851	30.112	3855	127904	1
2022.03.10	01:15:00	30.113	30.330	30.093	30.242	3317	111601	1
2022.03.10	01:30:00	30.239	30.320	29.599	29.807	7614	290916	1
2022.03.10	01:45:00	29.811	29.833	29.455	29.475	9506	371958	1
2022.03.10	02:00:00	29.477	29.648	29.316	29.521	6921	272153	1
2022.03.10	02:15:00	29.521	29.684	29.436	29.625	4939	184415	1
2022.03.10	02:30:00	29.624	29.753	29.522	29.634	3518	112320	1
2022.03.10	02:45:00	29.633	29.730	29.388	29.439	3521	106344	1
2022.03.10	03:00:00	29.438	29.484	29.266	29.391	4802	157570	1
2022.03.10	03:15:00	29.404	29.520	29.344	29.350	3141	100770	1
2022.03.10	03:30:00	29.349	29.409	29.200	29.297	3985	125959	1
2022.03.10	03:45:00	29.295	29.343	29.054	29.068	4536	152371	1
2022.03.10	04:00:00	29.067	29.213	28.929	29.022	5709	204433	1
2022.03.10	04:15:00	29.026	29.124	28.699	28.700	8773	310927	1
2022.03.10	04:30:00	28.699	28.792	28.516	28.595	11911	445376	1
2022.03.10	04:45:00	28.595	28.719	28.450	28.462	6351	244834	1
2022.03.10	05:00:00	28.463	28.526	28.132	28.292	9841	348666	1
2022.03.10	05:15:00	28.289	28.434	27.952	28.106	8082	320437	1
2022.03.10	05:30:00	28.105	28.114	27.725	27.741	7511	247492	1
2022.03.10	05:45:00	27.742	27.897	27.551	27.817	8281	277950	1
2022.03.10	06:00:00	27.819	27.995	27.734	27.844	5547	199891	1
2022.03.10	06:15:00	27.841	27.848	27.567	27.706	4911	166381	1
2022.03.10	06:30:00	27.706	27.853	27.698	27.792	3524	128546	1
2022.03.10	06:45:00	27.797	27.864	27.689	27.850	2924	98777	1
2022.03.10	07:00:00	27.845	27.917	27.718	27.762	3488	139839	1
2022.03.10	07:15:00	27.760	27.825	27.712	27.820	2560	102732	1
2022.03.10	07:30:00	27.820	27.935	27.804	27.933	2213	97730	1
2022.03.10	07:45:00	27.931	27.950	27.812	27.845	2690	125217	1
2022.03.10	08:00:00	27.842	27.847	27.664	27.667	4454	186971	1
2022.03.10	08:15:00	27.669	28.075	27.663	27.853	6670	244452	1
2022.03.10	08:30:00	27.853	28.040	27.810	28.023	3833	124810	1
2022.03.10	08:45:00	28.022	28.200	27.987	28.137	3559	166489	1
2022.03.10	09:00:00	28.134	28.192	28.082	28.095	3021	87200	1
2022.03.10	09:15:00	28.095	28.133	27.836	27.959	3189	116400	1
2022.03.10	09:30:00	27.962	28.178	27.857	28.130	3017	103870	1
2022.03.10	09:45:00	28.129	28.255	28.016	28.016	4000	177118	1
2022.03.10	10:00:00	28.017	28.067	27.933	28.043	2699	96856	1
2022.03.10	10:15:00	28.038	28.066	27.925	28.011	1796	72138	1
2022.03.10	10:30:00	28.009	28.078	27.867	27.965	2715	92215	1
2022.03.10	10:45:00	27.966	28.011	27.842	27.878	2983	107420	1
2022.03.10	11:00:00	27.883	27.973	27.752	27.944	3062	106936	1
