<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	66.637	67.149	66.550	66.886	11852	222257	1
2021.10.04	10:00:00	66.877	67.324	66.206	66.609	16574	319214	1
2021.10.04	11:00:00	66.609	66.716	65.567	66.037	21831	405321	1
2021.10.04	12:00:00	66.045	66.750	65.700	66.450	18722	326453	1
2021.10.04	13:00:00	66.465	67.406	66.344	67.283	23326	434692	1
2021.10.04	14:00:00	67.293	68.068	65.223	65.741	49050	1010748	1
2021.10.04	15:00:00	65.745	66.089	63.123	65.870	57523	1271812	1
2021.10.04	16:00:00	65.868	67.419	65.701	66.348	37829	760297	1
2021.10.04	17:00:00	66.346	67.190	65.826	66.991	24986	450720	1
2021.10.04	18:00:00	66.989	67.158	66.602	66.701	21328	374021	1
2021.10.04	19:00:00	66.701	66.990	66.158	66.481	14071	241360	1
2021.10.04	20:00:00	66.481	66.642	64.500	65.677	34266	767417	1
2021.10.04	21:00:00	65.678	65.932	64.930	65.563	13635	274820	1
2021.10.04	22:00:00	65.544	65.745	64.341	64.468	16090	283078	1
2021.10.04	23:00:00	64.465	65.429	64.400	65.273	17514	306379	1
2021.10.05	00:00:00	65.275	65.710	64.547	65.414	20624	322045	1
2021.10.05	01:00:00	65.412	65.701	64.850	64.964	14501	220289	1
2021.10.05	02:00:00	64.958	65.100	64.344	64.573	13805	216424	1
2021.10.05	03:00:00	64.574	65.068	64.250	65.047	14021	240008	1
2021.10.05	04:00:00	65.048	65.665	64.665	64.837	15780	291784	1
2021.10.05	05:00:00	64.837	65.542	64.740	65.419	11551	178315	1
2021.10.05	06:00:00	65.420	65.849	65.344	65.504	12297	211104	1
2021.10.05	07:00:00	65.505	66.549	65.405	65.979	18920	354002	1
2021.10.05	08:00:00	65.984	66.095	65.531	65.927	13487	234474	1
2021.10.05	09:00:00	65.927	66.379	65.289	66.292	19767	347465	1
2021.10.05	10:00:00	66.301	66.857	65.716	65.975	22982	411550	1
2021.10.05	11:00:00	65.978	66.627	65.690	65.710	15016	282131	1
2021.10.05	12:00:00	65.704	65.861	65.300	65.336	11817	214916	1
2021.10.05	13:00:00	65.335	65.702	64.801	65.490	13738	264118	1
2021.10.05	14:00:00	65.489	65.536	63.504	64.025	26769	580262	1
2021.10.05	15:00:00	64.024	64.187	63.000	63.608	21521	456701	1
2021.10.05	16:00:00	63.608	64.181	62.637	63.743	21017	449679	1
2021.10.05	17:00:00	63.743	64.025	63.386	63.865	11612	266393	1
2021.10.05	18:00:00	63.862	63.924	63.090	63.227	13318	236180	1
2021.10.05	19:00:00	63.228	63.918	62.912	63.901	15398	273727	1
2021.10.05	20:00:00	63.900	64.977	63.849	64.765	24675	438226	1
2021.10.05	21:00:00	64.767	66.209	64.752	65.385	26221	507001	1
2021.10.05	22:00:00	65.375	65.484	64.550	64.875	17551	309327	1
2021.10.05	23:00:00	64.893	65.287	64.531	64.658	13275	223932	1
2021.10.06	00:00:00	64.649	65.808	64.614	65.252	16390	273003	1
2021.10.06	01:00:00	65.249	65.273	63.801	64.216	18082	340272	1
2021.10.06	02:00:00	64.215	64.470	63.355	63.403	16662	310313	1
2021.10.06	03:00:00	63.403	63.619	63.020	63.164	14704	234993	1
2021.10.06	04:00:00	63.165	63.194	61.800	62.625	22721	467033	1
2021.10.06	05:00:00	62.624	62.873	62.050	62.666	16571	286149	1
2021.10.06	06:00:00	62.665	62.812	62.211	62.262	13883	217559	1
2021.10.06	07:00:00	62.263	62.275	61.178	61.815	23919	456784	1
2021.10.06	08:00:00	61.815	61.838	58.100	59.326	57247	1251381	1
2021.10.06	09:00:00	59.330	59.750	58.928	59.590	23203	407069	1
2021.10.06	10:00:00	59.603	60.818	59.431	60.117	23864	430347	1
2021.10.06	11:00:00	60.127	60.680	59.902	60.141	14121	224561	1
2021.10.06	12:00:00	60.136	60.955	59.783	60.206	29308	523975	1
2021.10.06	13:00:00	60.201	62.748	60.196	61.540	59085	1232131	1
2021.10.06	14:00:00	61.541	62.341	61.034	62.104	27517	540197	1
2021.10.06	15:00:00	62.100	62.700	61.836	62.152	21969	403668	1
2021.10.06	16:00:00	62.152	62.792	61.510	62.352	25033	491544	1
2021.10.06	17:00:00	62.352	62.768	61.819	62.488	18285	363706	1
2021.10.06	18:00:00	62.488	63.075	62.000	62.114	20925	409318	1
2021.10.06	19:00:00	62.115	62.384	61.279	61.577	14704	306797	1
2021.10.06	20:00:00	61.585	61.737	59.697	60.039	26849	620915	1
2021.10.06	21:00:00	60.040	60.590	59.932	60.362	16001	299993	1
2021.10.06	22:00:00	60.366	60.940	59.950	60.574	18163	316148	1
2021.10.06	23:00:00	60.571	60.874	60.006	60.083	18765	302779	1
2021.10.07	00:00:00	60.076	60.218	58.522	59.131	30712	614535	1
2021.10.07	01:00:00	59.131	59.545	57.415	58.342	31698	681734	1
2021.10.07	02:00:00	58.338	59.165	58.253	58.778	16766	342608	1
2021.10.07	03:00:00	58.778	59.068	58.000	58.665	16193	329124	1
2021.10.07	04:00:00	58.658	59.988	58.500	59.754	18663	345393	1
2021.10.07	05:00:00	59.753	59.764	58.381	59.346	24791	430998	1
2021.10.07	06:00:00	59.346	59.715	58.966	59.409	17928	305105	1
2021.10.07	07:00:00	59.417	61.549	58.780	61.373	31647	615997	1
2021.10.07	08:00:00	61.369	62.099	61.204	61.650	33878	688065	1
2021.10.07	09:00:00	61.646	61.889	59.641	60.826	36654	768022	1
2021.10.07	10:00:00	60.831	61.249	59.751	60.119	23410	441458	1
2021.10.07	11:00:00	60.119	60.949	59.823	60.667	23429	398746	1
2021.10.07	12:00:00	60.666	61.029	59.763	60.386	29778	572899	1
2021.10.07	13:00:00	60.383	61.036	60.049	60.735	20343	359134	1
2021.10.07	14:00:00	60.731	60.950	58.331	59.166	39737	812367	1
2021.10.07	15:00:00	59.167	60.249	58.945	59.581	20111	378078	1
2021.10.07	16:00:00	59.578	59.620	58.575	59.201	26291	553862	1
2021.10.07	17:00:00	59.189	59.688	58.856	59.248	15646	283470	1
2021.10.07	18:00:00	59.247	59.799	58.925	59.705	14915	272368	1
2021.10.07	19:00:00	59.698	60.841	59.679	60.434	22812	464093	1
2021.10.07	20:00:00	60.449	61.280	59.940	60.731	22415	504608	1
2021.10.07	21:00:00	60.728	62.320	60.699	61.767	26950	538777	1
2021.10.07	22:00:00	61.767	61.767	60.606	61.044	20979	395494	1
2021.10.07	23:00:00	61.050	61.661	60.139	61.596	17709	292928	1
2021.10.08	00:00:00	61.595	62.883	61.200	62.509	26945	505484	1
2021.10.08	01:00:00	62.521	63.587	62.183	63.389	24581	471275	1
2021.10.08	02:00:00	63.389	63.665	62.045	62.640	24745	486978	1
2021.10.08	03:00:00	62.639	62.752	61.599	62.526	16644	306544	1
2021.10.08	04:00:00	62.522	63.214	62.255	63.001	15662	240582	1
2021.10.08	05:00:00	62.997	63.289	62.100	62.831	18677	329576	1
2021.10.08	06:00:00	62.832	64.049	62.732	63.081	24848	480623	1
2021.10.08	07:00:00	63.075	63.771	62.700	63.444	29273	540678	1
2021.10.08	08:00:00	63.446	64.450	62.800	64.177	36982	655861	1
2021.10.08	09:00:00	64.176	64.338	63.663	63.810	19875	335475	1
2021.10.08	10:00:00	63.813	64.738	63.403	64.612	24994	411462	1
2021.10.08	11:00:00	64.615	65.000	64.078	64.135	27421	479654	1
2021.10.08	12:00:00	64.130	64.301	62.158	63.331	37118	727842	1
2021.10.08	13:00:00	63.332	63.378	62.130	62.643	24156	401680	1
2021.10.08	14:00:00	62.640	63.705	62.541	62.919	20919	359889	1
2021.10.08	15:00:00	62.917	63.285	62.439	62.853	16879	267223	1
2021.10.08	16:00:00	62.851	62.888	62.322	62.821	15801	252319	1
2021.10.08	17:00:00	62.825	62.841	61.700	62.108	15218	290140	1
2021.10.08	18:00:00	62.090	63.178	61.945	62.557	16415	277622	1
2021.10.08	19:00:00	62.556	62.672	61.600	62.048	14086	270334	1
2021.10.08	20:00:00	62.044	62.072	60.156	60.601	25343	502303	1
2021.10.08	21:00:00	60.607	60.837	59.738	60.247	13737	302635	1
2021.10.08	22:00:00	60.248	60.952	60.100	60.698	12666	228476	1
2021.10.08	23:00:00	60.697	60.834	60.024	60.546	12167	206784	1
2021.10.09	00:00:00	60.556	60.755	59.702	60.740	16287	317990	1
2021.10.09	01:00:00	60.748	60.933	60.107	60.229	11923	255403	1
2021.10.09	02:00:00	60.228	60.779	59.761	60.638	11644	230454	1
2021.10.09	03:00:00	60.643	61.474	60.464	61.172	12947	218176	1
2021.10.09	04:00:00	61.171	61.328	61.039	61.161	9302	143823	1
2021.10.09	05:00:00	61.161	61.469	60.817	61.108	10679	171838	1
2021.10.09	06:00:00	61.110	61.490	61.026	61.178	12855	192200	1
2021.10.09	07:00:00	61.177	61.500	60.926	61.364	10308	185426	1
2021.10.09	08:00:00	61.361	61.470	60.306	60.555	13898	261817	1
2021.10.09	09:00:00	60.554	61.015	60.135	60.820	12325	220891	1
2021.10.09	10:00:00	60.824	61.575	60.776	61.569	14031	248066	1
2021.10.09	11:00:00	61.551	61.557	60.964	61.066	14120	230812	1
2021.10.09	12:00:00	61.066	61.445	61.066	61.320	8304	127101	1
2021.10.09	13:00:00	61.329	62.000	61.183	61.698	14101	267333	1
2021.10.09	14:00:00	61.683	61.982	61.322	61.864	10924	206458	1
2021.10.09	15:00:00	61.866	62.109	61.154	61.328	12046	204712	1
2021.10.09	16:00:00	61.328	61.406	60.252	60.577	13966	262189	1
2021.10.09	17:00:00	60.576	60.941	60.500	60.743	9759	147599	1
2021.10.09	18:00:00	60.741	61.012	60.500	60.780	8175	145581	1
2021.10.09	19:00:00	60.781	60.838	60.297	60.501	6570	116123	1
2021.10.09	20:00:00	60.499	60.784	60.014	60.740	9402	160247	1
2021.10.09	21:00:00	60.747	61.089	60.550	61.065	6049	101620	1
2021.10.09	22:00:00	61.073	61.251	60.762	60.941	6859	101664	1
2021.10.09	23:00:00	60.938	61.153	60.520	60.712	7726	112997	1
2021.10.10	01:00:00	59.720	59.883	59.181	59.691	8418	146723	1
2021.10.10	02:00:00	59.681	59.825	59.160	59.675	11125	186404	1
2021.10.10	03:00:00	59.667	60.311	59.610	60.234	9567	137655	1
2021.10.10	04:00:00	60.229	60.763	60.060	60.694	11554	177781	1
2021.10.10	05:00:00	60.687	61.098	60.261	60.455	11333	183260	1
2021.10.10	06:00:00	60.455	61.000	60.350	60.848	8905	123906	1
2021.10.10	07:00:00	60.847	60.910	60.330	60.415	8576	130917	1
2021.10.10	08:00:00	60.415	60.495	60.169	60.266	10098	138590	1
2021.10.10	09:00:00	60.266	60.340	59.656	59.902	14969	266912	1
2021.10.10	10:00:00	59.900	60.136	59.561	59.926	9502	152025	1
2021.10.10	11:00:00	59.926	60.046	59.550	59.850	9844	155743	1
2021.10.10	12:00:00	59.841	59.950	59.306	59.743	10546	197942	1
2021.10.10	13:00:00	59.742	60.182	59.401	59.966	11594	206001	1
2021.10.10	14:00:00	59.961	60.300	59.850	59.850	9036	151700	1
2021.10.10	15:00:00	59.859	59.902	59.483	59.760	8045	134456	1
2021.10.10	16:00:00	59.760	59.997	59.301	59.397	8277	146315	1
2021.10.10	17:00:00	59.393	59.409	58.500	58.994	14159	316260	1
2021.10.10	18:00:00	59.001	59.325	58.779	59.313	7456	126135	1
2021.10.10	19:00:00	59.324	59.541	59.033	59.201	6733	118012	1
2021.10.10	20:00:00	59.196	59.333	58.008	58.350	19985	410416	1
2021.10.10	21:00:00	58.350	58.350	55.087	56.863	43130	1031224	1
2021.10.10	22:00:00	56.860	57.359	56.433	57.270	17539	299877	1
2021.10.10	23:00:00	57.269	57.500	56.200	56.526	14333	347785	1
2021.10.11	00:00:00	56.512	57.425	55.655	57.371	20105	392682	1
2021.10.11	01:00:00	57.369	57.662	57.100	57.151	11410	221748	1
2021.10.11	02:00:00	57.150	57.486	56.893	57.481	8422	169448	1
2021.10.11	03:00:00	57.463	57.485	55.767	57.320	23262	503106	1
2021.10.11	04:00:00	57.331	59.000	57.200	58.516	17104	363967	1
2021.10.11	05:00:00	58.521	59.130	57.722	58.189	17844	374447	1
2021.10.11	06:00:00	58.190	58.345	57.804	58.012	8782	136560	1
2021.10.11	07:00:00	58.017	58.661	57.659	58.474	12812	236777	1
2021.10.11	08:00:00	58.486	59.273	58.458	59.152	16640	261859	1
2021.10.11	09:00:00	59.144	59.239	58.133	58.311	10656	215559	1
2021.10.11	10:00:00	58.298	58.666	57.381	57.471	13041	294417	1
2021.10.11	11:00:00	57.473	58.067	57.064	57.553	15889	340086	1
2021.10.11	12:00:00	57.557	57.914	57.319	57.715	10329	173386	1
2021.10.11	13:00:00	57.718	57.924	56.941	57.109	14373	267485	1
2021.10.11	14:00:00	57.115	57.456	56.560	56.999	16858	362027	1
2021.10.11	15:00:00	57.011	57.062	56.235	56.607	12109	239721	1
2021.10.11	16:00:00	56.608	56.815	56.000	56.329	15217	402713	1
2021.10.11	17:00:00	56.329	56.353	55.336	55.560	13898	373228	1
