<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	66.637	66.899	66.550	66.826	1756	29965	1
2021.10.04	09:15:00	66.824	67.095	66.600	66.729	3714	74702	1
2021.10.04	09:30:00	66.730	67.149	66.628	66.944	3347	71183	1
2021.10.04	09:45:00	66.947	67.025	66.728	66.886	3035	46407	1
2021.10.04	10:00:00	66.877	67.324	66.796	67.014	4879	93370	1
2021.10.04	10:15:00	66.998	67.008	66.206	66.726	5546	121502	1
2021.10.04	10:30:00	66.730	66.828	66.359	66.440	3095	50740	1
2021.10.04	10:45:00	66.453	66.719	66.286	66.609	3054	53602	1
2021.10.04	11:00:00	66.609	66.716	65.738	65.783	6046	120161	1
2021.10.04	11:15:00	65.787	66.436	65.705	65.771	5198	93894	1
2021.10.04	11:30:00	65.763	66.117	65.567	65.603	6440	114553	1
2021.10.04	11:45:00	65.611	66.320	65.603	66.037	4147	76713	1
2021.10.04	12:00:00	66.045	66.392	65.700	66.310	5566	95051	1
2021.10.04	12:15:00	66.311	66.492	66.104	66.394	3972	57835	1
2021.10.04	12:30:00	66.399	66.606	66.250	66.513	3740	68379	1
2021.10.04	12:45:00	66.520	66.750	66.375	66.450	5444	105188	1
2021.10.04	13:00:00	66.465	66.990	66.400	66.880	5859	115390	1
2021.10.04	13:15:00	66.879	67.000	66.344	66.639	5444	102850	1
2021.10.04	13:30:00	66.640	67.406	66.518	67.049	7576	134782	1
2021.10.04	13:45:00	67.050	67.312	66.765	67.283	4447	81670	1
2021.10.04	14:00:00	67.293	67.740	67.077	67.451	12435	240905	1
2021.10.04	14:15:00	67.452	68.068	67.388	67.852	6774	116049	1
2021.10.04	14:30:00	67.851	67.941	66.134	66.320	13769	286464	1
2021.10.04	14:45:00	66.318	66.318	65.223	65.741	16072	367330	1
2021.10.04	15:00:00	65.745	65.767	63.123	65.389	32609	775550	1
2021.10.04	15:15:00	65.385	65.664	64.641	65.141	10652	215049	1
2021.10.04	15:30:00	65.146	65.618	65.093	65.599	5848	99586	1
2021.10.04	15:45:00	65.599	66.089	65.421	65.870	8414	181627	1
2021.10.04	16:00:00	65.868	66.792	65.701	66.755	8952	162857	1
2021.10.04	16:15:00	66.762	67.419	66.707	66.950	15063	315415	1
2021.10.04	16:30:00	66.951	67.137	66.250	66.333	7898	162076	1
2021.10.04	16:45:00	66.333	66.750	66.222	66.348	5916	119949	1
2021.10.04	17:00:00	66.346	66.649	65.826	66.130	8284	157110	1
2021.10.04	17:15:00	66.136	66.339	65.901	66.290	2641	44655	1
2021.10.04	17:30:00	66.275	67.059	66.275	66.724	7212	131979	1
2021.10.04	17:45:00	66.728	67.190	66.700	66.991	6849	116976	1
2021.10.04	18:00:00	66.989	67.157	66.602	66.897	7464	122387	1
2021.10.04	18:15:00	66.896	67.000	66.700	66.815	4908	84540	1
2021.10.04	18:30:00	66.817	67.158	66.703	66.914	4312	76172	1
2021.10.04	18:45:00	66.916	67.120	66.633	66.701	4644	90922	1
2021.10.04	19:00:00	66.701	66.990	66.330	66.583	4688	81499	1
2021.10.04	19:15:00	66.588	66.740	66.158	66.187	3249	56114	1
2021.10.04	19:30:00	66.188	66.584	66.188	66.498	2959	47826	1
2021.10.04	19:45:00	66.499	66.709	66.379	66.481	3175	55921	1
2021.10.04	20:00:00	66.481	66.642	66.131	66.244	4225	76953	1
