<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	48.71	49.18	48.69	48.82	2247	87894	1
2022.03.09	09:00:00	48.85	48.93	48.54	48.61	2746	103862	1
2022.03.09	10:00:00	48.61	48.72	48.22	48.57	1678	63566	1
2022.03.09	11:00:00	48.39	48.85	48.38	48.79	1284	76294	1
2022.03.09	12:00:00	48.79	49.23	48.13	48.54	5625	217123	1
2022.03.09	13:00:00	48.57	48.60	48.06	48.37	3623	121301	1
2022.03.09	14:00:00	48.37	48.74	48.36	48.60	3541	103886	1
2022.03.09	15:00:00	48.60	49.08	48.41	49.02	3249	131949	1
2022.03.09	16:00:00	49.01	49.07	48.57	48.76	3499	146301	1
2022.03.09	17:00:00	48.76	48.85	48.28	48.60	2196	66267	1
2022.03.09	18:00:00	48.59	48.61	47.72	47.89	3810	137680	1
2022.03.09	19:00:00	47.90	48.28	47.36	48.06	3221	115293	1
2022.03.09	20:00:00	48.06	48.29	47.51	47.70	2338	54260	1
2022.03.09	21:00:00	47.70	48.19	47.58	48.11	1896	45481	1
2022.03.09	22:00:00	48.11	48.73	48.02	48.46	2428	89076	1
2022.03.09	23:00:00	48.47	48.87	48.38	48.53	2707	79953	1
2022.03.10	00:00:00	48.53	48.94	48.00	48.18	4160	199770	1
2022.03.10	01:00:00	48.20	48.40	47.25	47.33	4585	241005	1
2022.03.10	02:00:00	47.33	47.52	46.91	47.00	3198	117353	1
2022.03.10	03:00:00	46.99	47.37	46.77	47.07	2298	61397	1
2022.03.10	04:00:00	47.07	47.09	45.89	46.05	7038	307504	1
2022.03.10	05:00:00	46.04	46.07	45.20	45.59	5972	201551	1
2022.03.10	06:00:00	45.58	45.78	45.30	45.76	3587	123715	1
2022.03.10	07:00:00	45.77	45.99	45.65	45.89	2384	74564	1
2022.03.10	08:00:00	45.90	45.95	45.34	45.86	3366	133136	1
2022.03.10	09:00:00	45.87	46.00	45.41	45.57	2411	126452	1
2022.03.10	10:00:00	45.57	45.70	45.25	45.49	2608	104623	1
2022.03.10	11:00:00	45.48	45.97	45.36	45.76	2720	105809	1
2022.03.10	12:00:00	45.77	46.25	45.67	45.95	3357	115631	1
2022.03.10	13:00:00	45.95	46.68	44.80	45.61	9175	354086	1
2022.03.10	14:00:00	45.61	46.05	45.28	45.99	3419	105396	1
2022.03.10	15:00:00	46.00	46.57	45.65	46.02	3929	120462	1
2022.03.10	16:00:00	46.01	46.19	45.65	46.01	2740	79753	1
2022.03.10	17:00:00	45.99	47.27	45.73	46.16	5304	241596	1
2022.03.10	18:00:00	46.16	46.49	45.97	46.40	2269	65047	1
2022.03.10	19:00:00	46.40	47.93	46.30	46.92	6194	241896	1
2022.03.10	20:00:00	46.93	47.22	46.70	47.14	2715	60460	1
2022.03.10	21:00:00	47.14	47.47	46.76	46.90	2375	82940	1
2022.03.10	22:00:00	46.88	47.22	46.66	47.05	2420	78575	1
2022.03.10	23:00:00	47.04	47.11	46.50	46.73	2421	54485	1
2022.03.11	00:00:00	46.73	46.74	45.87	46.59	3744	158904	1
2022.03.11	01:00:00	46.60	46.62	45.73	45.90	3151	105700	1
2022.03.11	02:00:00	45.90	46.02	45.22	45.30	2814	126901	1
2022.03.11	03:00:00	45.29	46.13	45.06	45.97	2666	141640	1
2022.03.11	04:00:00	45.98	46.20	45.48	45.67	2282	80536	1
2022.03.11	05:00:00	45.67	46.51	45.59	46.41	2514	109247	1
2022.03.11	06:00:00	46.41	46.85	46.20	46.85	2980	129292	1
2022.03.11	07:00:00	46.85	47.07	46.55	46.79	2683	106707	1
2022.03.11	08:00:00	46.81	47.04	46.64	46.65	2319	96690	1
2022.03.11	09:00:00	46.65	46.89	46.39	46.71	2237	80548	1
2022.03.11	10:00:00	46.69	47.35	46.67	47.18	3970	142847	1
2022.03.11	11:00:00	47.17	48.16	46.38	47.55	8452	320142	1
2022.03.11	12:00:00	47.54	48.19	47.40	47.54	5115	189934	1
2022.03.11	13:00:00	47.54	47.64	46.71	46.94	4338	172439	1
2022.03.11	14:00:00	46.93	47.29	46.63	46.84	3829	129916	1
2022.03.11	15:00:00	46.85	46.85	45.86	46.30	5427	216635	1
2022.03.11	16:00:00	46.30	46.32	45.50	46.03	4716	169200	1
2022.03.11	17:00:00	46.03	46.19	45.75	46.16	1887	68973	1
2022.03.11	18:00:00	46.16	46.53	46.07	46.21	1923	63275	1
2022.03.11	19:00:00	46.21	46.40	46.01	46.11	1644	65523	1
2022.03.11	20:00:00	46.11	46.11	45.44	45.56	2848	143708	1
2022.03.11	21:00:00	45.55	46.39	45.48	46.04	2635	98577	1
2022.03.11	22:00:00	46.04	46.30	45.91	46.10	1845	60173	1
2022.03.11	23:00:00	46.10	46.20	45.75	45.84	1769	82290	1
