<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	48.71	49.13	48.69	48.94	831	40512	1
2022.03.09	08:45:00	48.95	49.18	48.78	48.82	1416	47382	1
2022.03.09	09:00:00	48.85	48.87	48.54	48.73	1205	55040	1
2022.03.09	09:15:00	48.73	48.93	48.62	48.90	567	21839	1
2022.03.09	09:30:00	48.90	48.91	48.62	48.77	479	12036	1
2022.03.09	09:45:00	48.79	48.87	48.59	48.61	495	14947	1
2022.03.09	10:00:00	48.61	48.68	48.22	48.65	1284	50318	1
2022.03.09	10:15:00	48.64	48.72	48.51	48.57	394	13248	1
2022.03.09	11:30:00	48.39	48.83	48.38	48.65	684	52289	1
2022.03.09	11:45:00	48.66	48.85	48.60	48.79	600	24005	1
2022.03.09	12:00:00	48.79	49.09	48.76	48.92	1165	43260	1
2022.03.09	12:15:00	48.92	49.14	48.85	49.05	737	20681	1
2022.03.09	12:30:00	49.05	49.23	48.13	48.46	2604	118281	1
2022.03.09	12:45:00	48.46	48.73	48.33	48.54	1119	34901	1
2022.03.09	13:00:00	48.57	48.60	48.27	48.44	993	26529	1
2022.03.09	13:15:00	48.44	48.53	48.19	48.38	1080	54788	1
2022.03.09	13:30:00	48.37	48.49	48.23	48.24	509	13248	1
2022.03.09	13:45:00	48.23	48.42	48.06	48.37	1041	26736	1
2022.03.09	14:00:00	48.37	48.74	48.36	48.52	1548	41842	1
2022.03.09	14:15:00	48.53	48.71	48.48	48.59	752	20830	1
2022.03.09	14:30:00	48.58	48.66	48.39	48.57	613	22934	1
2022.03.09	14:45:00	48.58	48.72	48.40	48.60	628	18280	1
2022.03.09	15:00:00	48.60	48.70	48.54	48.62	636	16576	1
2022.03.09	15:15:00	48.62	48.85	48.41	48.82	916	39207	1
2022.03.09	15:30:00	48.84	49.08	48.71	49.04	713	26115	1
2022.03.09	15:45:00	49.03	49.07	48.74	49.02	984	50051	1
2022.03.09	16:00:00	49.01	49.07	48.57	48.71	1397	69493	1
2022.03.09	16:15:00	48.72	48.85	48.64	48.84	609	14093	1
2022.03.09	16:30:00	48.83	49.02	48.65	48.77	857	44923	1
2022.03.09	16:45:00	48.78	48.87	48.69	48.76	636	17792	1
2022.03.09	17:00:00	48.76	48.85	48.64	48.69	513	14134	1
2022.03.09	17:15:00	48.70	48.72	48.28	48.48	895	30883	1
2022.03.09	17:30:00	48.48	48.55	48.42	48.48	419	10075	1
2022.03.09	17:45:00	48.49	48.64	48.44	48.60	369	11175	1
2022.03.09	18:00:00	48.59	48.61	48.30	48.34	473	12024	1
2022.03.09	18:15:00	48.33	48.40	47.74	47.93	1386	59324	1
2022.03.09	18:30:00	47.91	48.15	47.76	47.85	1097	40582	1
2022.03.09	18:45:00	47.84	48.05	47.72	47.89	854	25750	1
2022.03.09	19:00:00	47.90	47.99	47.70	47.72	707	17539	1
2022.03.09	19:15:00	47.72	47.78	47.36	47.73	1134	44542	1
2022.03.09	19:30:00	47.74	48.28	47.69	48.08	870	36509	1
2022.03.09	19:45:00	48.07	48.23	48.05	48.06	510	16703	1
2022.03.09	20:00:00	48.06	48.29	47.98	47.99	777	15560	1
2022.03.09	20:15:00	48.03	48.08	47.96	48.02	365	9191	1
2022.03.09	20:30:00	48.03	48.06	47.66	47.73	587	13895	1
2022.03.09	20:45:00	47.72	47.86	47.51	47.70	609	15614	1
2022.03.09	21:00:00	47.70	47.90	47.58	47.75	565	13782	1
2022.03.09	21:15:00	47.77	47.91	47.68	47.91	346	7611	1
2022.03.09	21:30:00	47.90	48.07	47.68	48.01	542	15020	1
2022.03.09	21:45:00	48.01	48.19	47.99	48.11	443	9068	1
2022.03.09	22:00:00	48.11	48.29	48.02	48.20	460	11325	1
2022.03.09	22:15:00	48.22	48.30	48.11	48.28	439	9513	1
2022.03.09	22:30:00	48.28	48.73	48.25	48.31	978	52489	1
2022.03.09	22:45:00	48.31	48.48	48.23	48.46	551	15749	1
2022.03.09	23:00:00	48.47	48.56	48.38	48.49	594	12922	1
2022.03.09	23:15:00	48.51	48.67	48.43	48.65	532	15250	1
2022.03.09	23:30:00	48.66	48.87	48.63	48.64	834	26384	1
2022.03.09	23:45:00	48.65	48.74	48.49	48.53	747	25397	1
2022.03.10	00:00:00	48.53	48.65	48.17	48.40	1323	56851	1
2022.03.10	00:15:00	48.40	48.94	48.38	48.75	1114	60170	1
2022.03.10	00:30:00	48.76	48.87	48.44	48.58	787	27404	1
2022.03.10	00:45:00	48.60	48.65	48.00	48.18	936	55345	1
2022.03.10	01:00:00	48.20	48.21	47.85	48.09	793	39882	1
2022.03.10	01:15:00	48.08	48.39	48.07	48.32	481	17958	1
2022.03.10	01:30:00	48.31	48.40	47.61	47.87	1130	52821	1
2022.03.10	01:45:00	47.87	47.88	47.25	47.33	2181	130344	1
2022.03.10	02:00:00	47.33	47.52	46.97	47.20	1363	54334	1
2022.03.10	02:15:00	47.19	47.35	47.05	47.16	690	21691	1
2022.03.10	02:30:00	47.16	47.30	46.99	47.30	528	18830	1
2022.03.10	02:45:00	47.29	47.37	46.91	47.00	617	22498	1
2022.03.10	03:00:00	46.99	47.23	46.77	47.22	1003	29730	1
2022.03.10	03:15:00	47.23	47.37	47.19	47.27	443	11081	1
2022.03.10	03:30:00	47.27	47.30	47.07	47.19	455	13157	1
2022.03.10	03:45:00	47.19	47.25	47.07	47.07	397	7429	1
2022.03.10	04:00:00	47.07	47.09	46.80	46.82	855	41403	1
2022.03.10	04:15:00	46.80	46.87	46.14	46.15	2441	125595	1
2022.03.10	04:30:00	46.15	46.22	45.89	46.09	2674	107664	1
2022.03.10	04:45:00	46.09	46.25	45.97	46.05	1068	32842	1
2022.03.10	05:00:00	46.04	46.07	45.55	45.75	2003	76130	1
2022.03.10	05:15:00	45.77	45.97	45.72	45.83	1032	19139	1
