<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	393.06	397.67	392.90	394.53	8873	58717	1
2022.03.09	09:00:00	394.54	395.98	393.00	393.33	12050	67778	1
2022.03.09	10:00:00	393.32	394.83	393.10	394.22	6936	34634	1
2022.03.09	11:00:00	394.36	395.74	394.05	395.41	4138	25688	1
2022.03.09	12:00:00	395.40	398.19	392.55	395.12	20395	101685	1
2022.03.09	13:00:00	395.12	396.24	393.70	395.05	12815	63186	1
2022.03.09	14:00:00	395.07	396.77	394.50	395.77	13455	53672	1
2022.03.09	15:00:00	395.77	397.64	394.77	397.33	14323	51839	1
2022.03.09	16:00:00	397.32	397.90	394.25	394.76	15454	60146	1
2022.03.09	17:00:00	394.75	395.40	393.60	394.86	9816	22730	1
2022.03.09	18:00:00	394.87	394.92	393.07	393.92	10281	37437	1
2022.03.09	19:00:00	393.92	394.36	390.62	393.91	13781	47709	1
2022.03.09	20:00:00	393.90	394.68	390.62	391.57	9245	24416	1
2022.03.09	21:00:00	391.64	392.27	390.17	391.27	9531	31486	1
2022.03.09	22:00:00	391.27	392.57	390.71	391.56	8598	17147	1
2022.03.09	23:00:00	391.56	394.00	390.88	393.03	10353	30585	1
2022.03.10	00:00:00	392.96	394.10	391.82	393.40	13274	34200	1
2022.03.10	01:00:00	393.41	394.36	386.03	387.02	20540	73509	1
2022.03.10	02:00:00	387.02	388.40	385.84	386.70	14157	39662	1
2022.03.10	03:00:00	386.70	387.85	385.82	386.23	8481	27069	1
2022.03.10	04:00:00	386.26	387.10	375.69	376.57	24755	134057	1
2022.03.10	05:00:00	376.57	378.00	373.03	374.73	16957	86904	1
2022.03.10	06:00:00	374.77	376.45	373.92	376.26	8728	31862	1
2022.03.10	07:00:00	376.26	378.82	375.89	377.46	8120	35660	1
2022.03.10	08:00:00	377.46	377.54	374.77	376.98	9715	39540	1
2022.03.10	09:00:00	376.99	378.16	375.62	376.80	7252	26972	1
2022.03.10	10:00:00	376.82	377.60	375.84	376.30	6971	21520	1
2022.03.10	11:00:00	376.31	376.80	375.26	375.77	7704	24005	1
2022.03.10	12:00:00	375.75	375.83	373.50	373.80	10356	44335	1
2022.03.10	13:00:00	373.80	377.63	366.01	369.12	37482	168713	1
2022.03.10	14:00:00	369.12	370.38	366.06	368.70	19218	72343	1
2022.03.10	15:00:00	368.69	371.10	365.00	365.50	20386	90389	1
2022.03.10	16:00:00	365.46	367.71	362.76	366.19	17803	82712	1
2022.03.10	17:00:00	366.20	368.22	365.50	367.02	9923	41339	1
2022.03.10	18:00:00	367.11	368.62	366.23	368.15	7715	28457	1
2022.03.10	19:00:00	368.18	370.42	367.54	370.09	8257	30882	1
2022.03.10	20:00:00	370.07	372.08	368.80	371.31	10120	27712	1
2022.03.10	21:00:00	371.29	371.83	369.83	370.14	7810	22217	1
2022.03.10	22:00:00	370.12	372.40	368.03	371.96	8603	25639	1
2022.03.10	23:00:00	372.01	372.78	370.36	371.77	9092	20496	1
2022.03.11	00:00:00	371.75	372.60	368.60	370.73	9496	30697	1
2022.03.11	01:00:00	370.73	370.94	366.31	367.93	11514	39066	1
2022.03.11	02:00:00	367.94	368.47	364.44	365.15	10699	41099	1
2022.03.11	03:00:00	365.14	369.35	364.82	368.69	8500	32800	1
2022.03.11	04:00:00	368.70	368.91	365.67	365.95	6264	19260	1
2022.03.11	05:00:00	366.01	370.11	365.57	369.85	7880	29815	1
2022.03.11	06:00:00	369.85	372.37	369.41	371.81	9230	38571	1
2022.03.11	07:00:00	371.80	374.35	371.56	372.86	11760	47389	1
