<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	393.06	395.45	392.90	394.86	2482	16482	1
2022.03.09	08:45:00	394.87	397.67	394.21	394.53	6391	42235	1
2022.03.09	09:00:00	394.54	394.70	393.00	394.39	4557	32842	1
2022.03.09	09:15:00	394.35	395.00	393.95	394.92	2183	9539	1
2022.03.09	09:30:00	394.93	395.98	393.67	394.74	2673	12274	1
2022.03.09	09:45:00	394.75	395.51	393.08	393.33	2637	13123	1
2022.03.09	10:00:00	393.32	394.61	393.10	394.28	2795	16952	1
2022.03.09	10:15:00	394.27	394.83	393.37	394.22	4141	17682	1
2022.03.09	11:30:00	394.36	395.59	394.05	395.07	1754	13679	1
2022.03.09	11:45:00	395.04	395.74	394.70	395.41	2384	12009	1
2022.03.09	12:00:00	395.40	396.17	394.10	395.15	3842	21105	1
2022.03.09	12:15:00	395.15	397.07	394.90	396.70	3336	15746	1
2022.03.09	12:30:00	396.71	398.19	392.55	393.58	8994	50350	1
2022.03.09	12:45:00	393.61	395.34	393.30	395.12	4223	14484	1
2022.03.09	13:00:00	395.12	396.04	394.29	395.90	4111	17954	1
2022.03.09	13:15:00	395.89	396.24	394.60	394.74	2655	15190	1
2022.03.09	13:30:00	394.72	395.55	394.00	394.13	2802	15057	1
2022.03.09	13:45:00	394.12	395.20	393.70	395.05	3247	14985	1
2022.03.09	14:00:00	395.07	396.77	394.77	395.80	3687	16869	1
2022.03.09	14:15:00	395.79	396.07	394.50	395.48	2345	10709	1
2022.03.09	14:30:00	395.48	396.60	394.50	395.74	4394	16947	1
2022.03.09	14:45:00	395.74	396.10	394.71	395.77	3029	9147	1
2022.03.09	15:00:00	395.77	396.37	395.05	395.47	2991	8841	1
2022.03.09	15:15:00	395.47	395.95	394.77	395.58	2852	11442	1
2022.03.09	15:30:00	395.54	397.49	395.17	397.37	3399	12382	1
2022.03.09	15:45:00	397.38	397.64	396.30	397.33	5081	19174	1
2022.03.09	16:00:00	397.32	397.90	394.25	394.77	5678	33935	1
2022.03.09	16:15:00	394.77	395.70	394.53	395.26	3364	9104	1
2022.03.09	16:30:00	395.26	396.05	395.06	395.18	3082	9587	1
2022.03.09	16:45:00	395.20	395.25	394.36	394.76	3330	7520	1
2022.03.09	17:00:00	394.75	395.40	394.56	394.78	2793	5327	1
2022.03.09	17:15:00	394.78	395.04	393.60	394.24	2864	8619	1
2022.03.09	17:30:00	394.28	395.13	394.22	394.74	1994	4118	1
2022.03.09	17:45:00	394.75	395.39	394.63	394.86	2165	4666	1
2022.03.09	18:00:00	394.87	394.92	393.76	393.85	2846	12011	1
2022.03.09	18:15:00	393.86	394.13	393.07	394.04	2676	13011	1
2022.03.09	18:30:00	394.00	394.50	393.55	393.79	2221	5694	1
2022.03.09	18:45:00	393.79	394.35	393.60	393.92	2538	6721	1
2022.03.09	19:00:00	393.92	394.08	393.15	393.77	2913	10100	1
2022.03.09	19:15:00	393.78	393.94	390.62	392.29	5520	24260	1
2022.03.09	19:30:00	392.32	393.64	391.97	393.41	3075	7277	1
2022.03.09	19:45:00	393.41	394.36	393.41	393.91	2273	6072	1
2022.03.09	20:00:00	393.90	394.68	393.01	393.09	2722	6364	1
2022.03.09	20:15:00	393.11	393.55	392.74	392.94	1517	3096	1
2022.03.09	20:30:00	392.95	392.95	390.79	391.05	2507	8041	1
2022.03.09	20:45:00	391.04	391.92	390.62	391.57	2499	6915	1
2022.03.09	21:00:00	391.64	391.65	390.17	390.80	3124	15972	1
2022.03.09	21:15:00	390.80	391.47	390.50	391.35	2001	4894	1
2022.03.09	21:30:00	391.35	392.06	390.43	391.42	2220	6423	1
2022.03.09	21:45:00	391.42	392.27	391.14	391.27	2186	4197	1
2022.03.09	22:00:00	391.27	392.24	391.03	391.42	2459	4392	1
2022.03.09	22:15:00	391.42	391.84	391.30	391.65	1991	4677	1
2022.03.09	22:30:00	391.65	392.57	391.01	391.33	2258	4154	1
2022.03.09	22:45:00	391.34	391.74	390.71	391.56	1890	3924	1
2022.03.09	23:00:00	391.56	393.30	390.88	393.11	3015	11619	1
2022.03.09	23:15:00	393.12	393.39	392.60	393.21	2444	7097	1
2022.03.09	23:30:00	393.21	394.00	392.82	393.41	2841	7333	1
2022.03.09	23:45:00	393.44	393.95	392.74	393.03	2053	4536	1
2022.03.10	00:00:00	392.96	393.99	391.82	393.20	4985	15114	1
2022.03.10	00:15:00	393.20	394.10	392.66	393.54	2931	6097	1
2022.03.10	00:30:00	393.54	393.74	392.31	393.06	2458	4618	1
2022.03.10	00:45:00	393.07	393.90	392.00	393.40	2900	8371	1
2022.03.10	01:00:00	393.41	393.70	391.63	392.89	3425	5890	1
2022.03.10	01:15:00	392.89	394.36	392.84	393.93	3071	5210	1
2022.03.10	01:30:00	393.91	394.33	388.94	389.66	5588	25006	1
2022.03.10	01:45:00	389.66	389.89	386.03	387.02	8456	37403	1
2022.03.10	02:00:00	387.02	387.83	385.84	386.80	4833	15179	1
2022.03.10	02:15:00	386.79	387.34	386.00	386.75	3318	7861	1
2022.03.10	02:30:00	386.71	387.47	386.07	387.36	2944	7057	1
2022.03.10	02:45:00	387.37	388.40	386.20	386.70	3062	9565	1
2022.03.10	03:00:00	386.70	387.75	385.82	387.05	3313	9812	1
2022.03.10	03:15:00	387.05	387.85	386.95	387.16	1703	4310	1
2022.03.10	03:30:00	387.15	387.38	386.13	386.79	1893	7639	1
2022.03.10	03:45:00	386.77	387.16	386.09	386.23	1572	5308	1
2022.03.10	04:00:00	386.26	387.10	383.60	384.05	3789	22121	1
2022.03.10	04:15:00	384.03	384.16	380.55	380.55	5175	29139	1
2022.03.10	04:30:00	380.56	381.10	375.71	376.81	10428	56657	1
2022.03.10	04:45:00	376.82	378.50	375.69	376.57	5363	26140	1
2022.03.10	05:00:00	376.57	378.00	374.03	375.50	7208	44438	1
2022.03.10	05:15:00	375.52	376.86	374.63	375.77	3091	12932	1
2022.03.10	05:30:00	375.78	376.18	374.56	374.60	2692	13180	1
2022.03.10	05:45:00	374.60	375.70	373.03	374.73	3966	16354	1
2022.03.10	06:00:00	374.77	376.04	374.08	375.78	2712	9843	1
2022.03.10	06:15:00	375.73	375.76	373.92	374.77	1972	7460	1
2022.03.10	06:30:00	374.73	376.45	374.73	376.26	2264	8315	1
2022.03.10	06:45:00	376.28	376.40	375.63	376.26	1780	6244	1
2022.03.10	07:00:00	376.26	376.94	376.11	376.28	2268	9599	1
2022.03.10	07:15:00	376.29	377.50	375.89	377.31	1577	6578	1
2022.03.10	07:30:00	377.30	378.82	377.19	378.14	2669	13157	1
2022.03.10	07:45:00	378.13	378.17	376.87	377.46	1606	6326	1
2022.03.10	08:00:00	377.46	377.54	374.86	375.06	3394	14439	1
2022.03.10	08:15:00	375.05	376.44	374.77	375.87	2758	11038	1
2022.03.10	08:30:00	375.87	377.49	375.56	376.71	2047	8154	1
2022.03.10	08:45:00	376.72	377.43	375.97	376.98	1516	5909	1
2022.03.10	09:00:00	376.99	377.63	376.63	377.23	2035	7222	1
2022.03.10	09:15:00	377.23	377.64	375.82	376.27	1638	5759	1
2022.03.10	09:30:00	376.29	377.73	375.62	377.55	1637	5596	1
2022.03.10	09:45:00	377.55	378.16	376.73	376.80	1942	8395	1
2022.03.10	10:00:00	376.82	377.44	376.54	377.23	1786	5542	1
2022.03.10	10:15:00	377.23	377.59	376.76	377.47	1444	3917	1
2022.03.10	10:30:00	377.48	377.60	376.28	377.02	1856	5849	1
2022.03.10	10:45:00	377.02	377.40	375.84	376.30	1885	6212	1
2022.03.10	11:00:00	376.31	376.50	375.28	376.37	2442	8655	1
2022.03.10	11:15:00	376.38	376.70	375.26	375.65	1671	4527	1
2022.03.10	11:30:00	375.63	376.39	375.44	376.34	1659	3550	1
