<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.27	07:00:00	31656.38	31668.52	31656.38	31667.55	22	3	1
2021.01.27	13:00:00	30562.71	30562.71	30246.70	30280.61	23110	4416	1
2021.01.27	14:00:00	30280.69	30527.48	29240.00	29583.02	254608	48317	1
2021.01.27	15:00:00	29585.22	30475.07	29390.83	30318.39	169763	33533	1
2021.01.27	16:00:00	30318.63	30945.93	30223.20	30540.43	130238	26136	1
2021.01.27	17:00:00	30540.41	30862.08	30104.90	30523.48	111272	23510	1
2021.01.27	18:00:00	30522.01	30546.32	29507.61	29727.98	121443	21236	1
2021.01.27	19:00:00	29728.10	30888.00	29721.00	30738.49	99658	18927	1
2021.01.27	20:00:00	30736.50	31592.68	30517.70	31529.80	130421	23744	1
2021.01.27	21:00:00	31531.73	31674.65	30740.58	30979.47	84970	15993	1
2021.01.27	22:00:00	30978.80	31060.91	30312.00	30528.49	73949	11462	1
2021.01.27	23:00:00	30528.46	30740.00	30082.59	30374.53	88428	15397	1
2021.01.28	00:00:00	30376.12	30734.72	29843.33	30680.57	92518	16276	1
2021.01.28	01:00:00	30680.44	30934.90	30375.80	30880.03	59611	10722	1
2021.01.28	02:00:00	30879.55	31224.56	30800.00	31030.01	84968	14749	1
2021.01.28	03:00:00	31030.00	31542.22	30925.88	31424.24	102776	17368	1
2021.01.28	04:00:00	31424.24	31600.00	31076.24	31313.81	93302	15593	1
2021.01.28	05:00:00	31313.81	31856.00	31080.00	31743.86	111019	19523	1
2021.01.28	06:00:00	31743.85	31908.04	31545.17	31595.25	102268	16482	1
2021.01.28	07:00:00	31595.35	31624.53	31150.16	31271.93	87236	15110	1
2021.02.01	12:00:00	34318.95	34351.48	33608.00	33815.43	53523	11112	1
2021.02.01	13:00:00	33816.00	34054.33	33673.57	33753.07	55279	8988	1
2021.02.01	14:00:00	33753.07	33920.00	33437.00	33568.84	71473	13320	1
2021.02.01	15:00:00	33572.98	33668.00	33173.14	33175.98	54369	9763	1
2021.02.01	16:00:00	33175.12	33633.00	33161.00	33493.03	46686	7593	1
2021.02.01	17:00:00	33493.03	34099.00	33410.85	33999.28	48078	9383	1
2021.02.01	18:00:00	33999.29	34050.00	33673.00	33759.99	36812	5920	1
2021.02.01	19:00:00	33760.00	34121.89	33722.00	33867.66	36673	5982	1
2021.02.01	20:00:00	33867.65	34083.21	33756.54	33874.92	32975	5036	1
2021.02.01	21:00:00	33874.92	33889.88	33592.14	33696.01	30827	5259	1
2021.02.01	22:00:00	33696.01	33823.71	33527.57	33579.06	32454	4528	1
