<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	0.20274	0.20600	0.20260	0.20454	4052	9880950	1
2022.03.09	09:00:00	0.20457	0.20500	0.20284	0.20301	6284	13678984	1
2022.03.09	10:00:00	0.20296	0.20406	0.20238	0.20332	2614	5732726	1
2022.03.09	11:00:00	0.20209	0.20312	0.20190	0.20290	1658	4242774	1
2022.03.09	12:00:00	0.20289	0.20486	0.19902	0.20163	9620	25047410	1
2022.03.09	13:00:00	0.20164	0.20206	0.19903	0.20038	8224	19782565	1
2022.03.09	14:00:00	0.20040	0.20391	0.20035	0.20227	8857	24830711	1
2022.03.09	15:00:00	0.20230	0.20353	0.20151	0.20291	7713	18517885	1
2022.03.09	16:00:00	0.20289	0.20336	0.20108	0.20198	7177	17726564	1
2022.03.09	17:00:00	0.20199	0.20280	0.20093	0.20276	5030	10598403	1
2022.03.09	18:00:00	0.20277	0.20289	0.20016	0.20148	7073	16984665	1
2022.03.09	19:00:00	0.20149	0.20273	0.19962	0.20212	6709	13964417	1
2022.03.09	20:00:00	0.20213	0.20249	0.19990	0.20043	4935	9671938	1
2022.03.09	21:00:00	0.20048	0.20122	0.19990	0.20092	4130	6326685	1
2022.03.09	22:00:00	0.20092	0.20189	0.19836	0.20008	6119	14740078	1
2022.03.09	23:00:00	0.20009	0.20156	0.19929	0.20045	4920	11400410	1
2022.03.10	00:00:00	0.20041	0.20114	0.19906	0.19920	7222	15457908	1
2022.03.10	01:00:00	0.19919	0.20079	0.19372	0.19412	11067	27286521	1
2022.03.10	02:00:00	0.19414	0.19548	0.19292	0.19413	6156	12371457	1
2022.03.10	03:00:00	0.19412	0.19542	0.19343	0.19391	4215	8178693	1
2022.03.10	04:00:00	0.19391	0.19442	0.18817	0.18928	12579	30542723	1
2022.03.10	05:00:00	0.18926	0.18926	0.18500	0.18580	11942	25694793	1
2022.03.10	06:00:00	0.18583	0.18756	0.18503	0.18736	7226	15133767	1
2022.03.10	07:00:00	0.18736	0.18836	0.18658	0.18790	4897	10379608	1
2022.03.10	08:00:00	0.18788	0.18911	0.18601	0.18888	6275	11944065	1
2022.03.10	09:00:00	0.18888	0.18961	0.18761	0.18860	4969	9839158	1
2022.03.10	10:00:00	0.18856	0.18916	0.18750	0.18768	4207	7686451	1
2022.03.10	11:00:00	0.18768	0.18824	0.18675	0.18776	4419	8881839	1
2022.03.10	12:00:00	0.18773	0.18902	0.18705	0.18772	4523	8114073	1
2022.03.10	13:00:00	0.18772	0.19169	0.18190	0.18726	15682	39192911	1
2022.03.10	14:00:00	0.18726	0.18984	0.18685	0.18984	7272	15681935	1
2022.03.10	15:00:00	0.18982	0.19118	0.18886	0.18984	6875	16063079	1
2022.03.10	16:00:00	0.18983	0.19751	0.18925	0.19652	13990	39252113	1
2022.03.10	17:00:00	0.19658	0.19710	0.19299	0.19361	9469	23750533	1
2022.03.10	18:00:00	0.19361	0.19548	0.19311	0.19404	5160	13096239	1
2022.03.10	19:00:00	0.19399	0.19520	0.19340	0.19494	3736	8767164	1
2022.03.10	20:00:00	0.19489	0.19765	0.19438	0.19712	4315	9190967	1
2022.03.10	21:00:00	0.19714	0.19853	0.19606	0.19664	5934	12728308	1
2022.03.10	22:00:00	0.19664	0.19838	0.19480	0.19802	4396	8152054	1
2022.03.10	23:00:00	0.19798	0.19823	0.19551	0.19615	4027	8352318	1
2022.03.11	00:00:00	0.19615	0.19636	0.19315	0.19448	6067	12936545	1
2022.03.11	01:00:00	0.19443	0.19458	0.19200	0.19250	5797	11988935	1
2022.03.11	02:00:00	0.19250	0.19281	0.19034	0.19075	4606	9920376	1
2022.03.11	03:00:00	0.19076	0.19347	0.19043	0.19308	4918	8433828	1
2022.03.11	04:00:00	0.19309	0.19322	0.19102	0.19193	4771	8202699	1
2022.03.11	05:00:00	0.19193	0.19496	0.19176	0.19431	6577	12325468	1
2022.03.11	06:00:00	0.19427	0.19561	0.19357	0.19473	5227	12604869	1
2022.03.11	07:00:00	0.19470	0.19634	0.19431	0.19599	5114	11482625	1
2022.03.11	08:00:00	0.19600	0.20193	0.19517	0.19654	13782	37084891	1
2022.03.11	09:00:00	0.19656	0.20037	0.19630	0.19771	9538	28446939	1
2022.03.11	10:00:00	0.19772	0.19797	0.19551	0.19663	5996	15084971	1
2022.03.11	11:00:00	0.19660	0.19957	0.19476	0.19813	12004	28272037	1
2022.03.11	12:00:00	0.19807	0.19979	0.19711	0.19781	6715	15524047	1
2022.03.11	13:00:00	0.19774	0.19794	0.19500	0.19583	7437	16245517	1
2022.03.11	14:00:00	0.19586	0.19742	0.19533	0.19650	5106	12270947	1
2022.03.11	15:00:00	0.19654	0.19654	0.19239	0.19432	8691	21164633	1
2022.03.11	16:00:00	0.19435	0.19450	0.19131	0.19261	7322	21009263	1
2022.03.11	17:00:00	0.19267	0.19292	0.19126	0.19251	3660	9359516	1
2022.03.11	18:00:00	0.19250	0.19275	0.19106	0.19129	3013	6085729	1
2022.03.11	19:00:00	0.19124	0.19298	0.19109	0.19194	2718	4921313	1
2022.03.11	20:00:00	0.19186	0.19307	0.19053	0.19144	4132	7159950	1
2022.03.11	21:00:00	0.19144	0.19526	0.19122	0.19464	5332	10642294	1
2022.03.11	22:00:00	0.19457	0.19518	0.19392	0.19434	3586	6172081	1
2022.03.11	23:00:00	0.19433	0.19441	0.19262	0.19292	3116	5162001	1
2022.03.12	00:00:00	0.19293	0.19571	0.19259	0.19513	4230	7285528	1
2022.03.12	01:00:00	0.19514	0.19671	0.19512	0.19562	3225	6493638	1
2022.03.12	02:00:00	0.19562	0.19661	0.19415	0.19433	3328	5943025	1
2022.03.12	03:00:00	0.19435	0.19562	0.19363	0.19375	2643	3966197	1
2022.03.12	04:00:00	0.19377	0.19470	0.19264	0.19400	2683	5734269	1
2022.03.12	05:00:00	0.19401	0.19569	0.19292	0.19542	2738	5873231	1
2022.03.12	06:00:00	0.19540	0.19656	0.19468	0.19507	3321	6950298	1
2022.03.12	07:00:00	0.19505	0.19526	0.19337	0.19415	2928	5342118	1
2022.03.12	08:00:00	0.19415	0.19437	0.19167	0.19284	3903	10882298	1
2022.03.12	09:00:00	0.19273	0.19431	0.19247	0.19355	2307	5490916	1
2022.03.12	10:00:00	0.19356	0.19439	0.19293	0.19418	2667	6184187	1
2022.03.12	11:00:00	0.19417	0.19458	0.19292	0.19341	3081	6556032	1
2022.03.12	12:00:00	0.19343	0.20569	0.19292	0.20369	14996	48587165	1
2022.03.12	13:00:00	0.20364	0.21180	0.20286	0.20984	61564	218755208	1
2022.03.12	14:00:00	0.20992	0.21182	0.20548	0.20601	49856	186334738	1
2022.03.12	15:00:00	0.20601	0.20787	0.20500	0.20565	21394	65018067	1
2022.03.12	16:00:00	0.20571	0.20797	0.20268	0.20339	19149	65148994	1
2022.03.12	17:00:00	0.20339	0.20489	0.20299	0.20398	12385	33427651	1
2022.03.12	18:00:00	0.20397	0.20420	0.20193	0.20241	8686	27155277	1
2022.03.12	19:00:00	0.20242	0.20340	0.20147	0.20193	6464	17578017	1
2022.03.12	20:00:00	0.20193	0.20239	0.20081	0.20204	6708	17055532	1
2022.03.12	21:00:00	0.20203	0.20613	0.20198	0.20354	11601	35802458	1
2022.03.12	22:00:00	0.20355	0.20513	0.20325	0.20405	6180	12650129	1
2022.03.12	23:00:00	0.20405	0.20471	0.19991	0.20062	8306	23344356	1
2022.03.13	00:00:00	0.20064	0.20079	0.19816	0.20077	11333	33346097	1
2022.03.13	01:00:00	0.20075	0.20293	0.20059	0.20172	7311	21118028	1
2022.03.13	02:00:00	0.20169	0.20497	0.20153	0.20444	7236	22096084	1
2022.03.13	03:00:00	0.20449	0.20493	0.20257	0.20355	4227	12467265	1
2022.03.13	04:00:00	0.20358	0.20434	0.20094	0.20115	4613	11140526	1
2022.03.13	05:00:00	0.20075	0.20126	0.20021	0.20049	2696	6548122	1
2022.03.13	06:00:00	0.20048	0.20111	0.20012	0.20101	3818	7652070	1
2022.03.13	07:00:00	0.20097	0.20149	0.19870	0.19978	5075	15298272	1
2022.03.13	08:00:00	0.19978	0.20280	0.19920	0.20204	9658	30027012	1
2022.03.13	09:00:00	0.20204	0.20938	0.20193	0.20509	21486	66682763	1
2022.03.13	10:00:00	0.20510	0.21472	0.20391	0.21298	54158	181239122	1
2022.03.13	11:00:00	0.21295	0.21400	0.20900	0.21083	34655	124572683	1
2022.03.13	12:00:00	0.21082	0.21139	0.20583	0.20811	26879	95589878	1
2022.03.13	13:00:00	0.20805	0.21560	0.20714	0.21170	33267	109600204	1
2022.03.13	14:00:00	0.21165	0.21241	0.20800	0.20880	14448	44076829	1
2022.03.13	15:00:00	0.20877	0.21138	0.20770	0.21113	12207	37337565	1
2022.03.13	16:00:00	0.21114	0.21114	0.20809	0.20959	10537	33965921	1
2022.03.13	17:00:00	0.20958	0.20980	0.20676	0.20685	9480	28357279	1
2022.03.13	18:00:00	0.20685	0.20819	0.20646	0.20746	7799	17300306	1
2022.03.13	19:00:00	0.20740	0.20847	0.20500	0.20566	8191	22394966	1
2022.03.13	20:00:00	0.20566	0.20595	0.20353	0.20430	8417	21239850	1
2022.03.13	21:00:00	0.20434	0.20536	0.20220	0.20244	6752	17472474	1
2022.03.13	22:00:00	0.20243	0.20315	0.19314	0.19565	16639	51117067	1
2022.03.13	23:00:00	0.19564	0.19666	0.19319	0.19390	13638	36651001	1
2022.03.14	00:00:00	0.19388	0.19393	0.19012	0.19127	12551	31206812	1
2022.03.14	01:00:00	0.19128	0.19363	0.19054	0.19154	7653	20411766	1
2022.03.14	02:00:00	0.19154	0.19223	0.19064	0.19151	4735	9414805	1
2022.03.14	03:00:00	0.19148	0.19219	0.18963	0.19183	10944	34747666	1
2022.03.14	04:00:00	0.19183	0.19698	0.19183	0.19371	11575	33804371	1
2022.03.14	05:00:00	0.19371	0.19589	0.19336	0.19361	5427	15863758	1
2022.03.14	06:00:00	0.19361	0.19544	0.19358	0.19512	4658	13003598	1
2022.03.14	07:00:00	0.19513	0.19683	0.19474	0.19561	6154	17373261	1
2022.03.14	08:00:00	0.19568	0.19771	0.19527	0.19662	6924	19564850	1
2022.03.14	09:00:00	0.19668	0.19749	0.19502	0.19593	6644	18632025	1
2022.03.14	10:00:00	0.19594	0.19623	0.19444	0.19515	5629	14814478	1
2022.03.14	11:00:00	0.19510	0.19538	0.19297	0.19390	6104	16848809	1
2022.03.14	12:00:00	0.19390	0.19393	0.19100	0.19258	7053	18903289	1
2022.03.14	13:00:00	0.19258	0.19391	0.19077	0.19120	8581	25737362	1
2022.03.14	14:00:00	0.19119	0.19321	0.19082	0.19244	9255	27033072	1
2022.03.14	15:00:00	0.19244	0.19298	0.19161	0.19224	5598	14942655	1
2022.03.14	16:00:00	0.19225	0.19562	0.19161	0.19303	7826	23007304	1
2022.03.14	17:00:00	0.19302	0.19309	0.19045	0.19173	6683	17462047	1
2022.03.14	18:00:00	0.19173	0.19215	0.18822	0.19070	8554	23946305	1
2022.03.14	19:00:00	0.19066	0.19237	0.19023	0.19223	5164	13988925	1
2022.03.14	20:00:00	0.19226	0.19259	0.19124	0.19167	4191	11396646	1
2022.03.14	21:00:00	0.19161	0.19240	0.19119	0.19188	3310	9181302	1
2022.03.14	22:00:00	0.19188	0.19568	0.19187	0.19402	7121	19213408	1
2022.03.14	23:00:00	0.19405	0.19587	0.19385	0.19512	6574	18950170	1
2022.03.15	00:00:00	0.19511	0.19595	0.19316	0.19554	5157	13381882	1
2022.03.15	01:00:00	0.19552	0.19576	0.19202	0.19229	5468	13483033	1
2022.03.15	02:00:00	0.19226	0.19344	0.19220	0.19269	3096	8532153	1
2022.03.15	03:00:00	0.19274	0.19292	0.19100	0.19165	3063	8092889	1
2022.03.15	04:00:00	0.19161	0.19234	0.19118	0.19151	2372	5391829	1
2022.03.15	05:00:00	0.19151	0.19185	0.19041	0.19175	2786	6473855	1
2022.03.15	06:00:00	0.19172	0.19335	0.19150	0.19158	3319	7684711	1
2022.03.15	07:00:00	0.19158	0.19164	0.18816	0.19019	5883	14105802	1
2022.03.15	08:00:00	0.19020	0.19055	0.18922	0.18946	3184	7372559	1
2022.03.15	09:00:00	0.18948	0.19032	0.18802	0.18972	4215	10224253	1
2022.03.15	10:00:00	0.18973	0.19126	0.18961	0.19091	4023	8963283	1
2022.03.15	11:00:00	0.19097	0.19158	0.19031	0.19071	4066	7571939	1
2022.03.15	12:00:00	0.19070	0.19198	0.19008	0.19124	3997	8715318	1
2022.03.15	13:00:00	0.19119	0.19127	0.18831	0.18955	5188	13787104	1
2022.03.15	14:00:00	0.18947	0.19355	0.18940	0.19207	7762	21928724	1
2022.03.15	15:00:00	0.19211	0.19335	0.19148	0.19195	5636	13145276	1
2022.03.15	16:00:00	0.19193	0.19284	0.19125	0.19192	4942	11176293	1
2022.03.15	17:00:00	0.19192	0.19243	0.19135	0.19194	2672	5855466	1
2022.03.15	18:00:00	0.19197	0.19430	0.19152	0.19405	4087	10708755	1
2022.03.15	19:00:00	0.19401	0.19520	0.19284	0.19357	4942	11592006	1
2022.03.15	20:00:00	0.19359	0.19501	0.19175	0.19239	7660	29596881	1
2022.03.15	21:00:00	0.19238	0.19293	0.19107	0.19281	3384	7263214	1
2022.03.15	22:00:00	0.19283	0.19353	0.19131	0.19191	3058	8658240	1
2022.03.15	23:00:00	0.19189	0.19249	0.19060	0.19128	3059	6180288	1
2022.03.16	00:00:00	0.19127	0.19239	0.19025	0.19091	4334	8883497	1
2022.03.16	01:00:00	0.19090	0.19360	0.19054	0.19249	3184	6313448	1
2022.03.16	02:00:00	0.19247	0.19841	0.19219	0.19528	13139	35964976	1
2022.03.16	03:00:00	0.19523	0.19545	0.18943	0.19027	9294	20021164	1
2022.03.16	04:00:00	0.19023	0.19043	0.18892	0.19000	3842	9932413	1
2022.03.16	05:00:00	0.18996	0.19137	0.18912	0.19111	3103	7161587	1
2022.03.16	06:00:00	0.19105	0.19400	0.19089	0.19280	3509	9481865	1
2022.03.16	07:00:00	0.19281	0.19296	0.19144	0.19295	3000	7518886	1
2022.03.16	08:00:00	0.19295	0.19488	0.19239	0.19363	5738	12669627	1
2022.03.16	09:00:00	0.19364	0.19543	0.19349	0.19444	4677	12050520	1
2022.03.16	10:00:00	0.19450	0.19488	0.19280	0.19328	3226	8312124	1
2022.03.16	11:00:00	0.19329	0.19490	0.19277	0.19423	3658	9497207	1
2022.03.16	12:00:00	0.19427	0.19445	0.19193	0.19196	3542	7821589	1
2022.03.16	13:00:00	0.19196	0.19343	0.19136	0.19291	4001	9410049	1
2022.03.16	14:00:00	0.19297	0.19595	0.19243	0.19382	6154	14042994	1
2022.03.16	15:00:00	0.19383	0.19439	0.19236	0.19304	2926	5847449	1
2022.03.16	16:00:00	0.19303	0.19391	0.19173	0.19233	3911	9030992	1
2022.03.16	17:00:00	0.19230	0.19341	0.19130	0.19292	3805	8739285	1
2022.03.16	18:00:00	0.19303	0.19367	0.18962	0.19287	12462	26496165	1
2022.03.16	19:00:00	0.19288	0.19844	0.19241	0.19829	9248	23262080	1
2022.03.16	20:00:00	0.19829	0.19979	0.19742	0.19857	7450	16415205	1
2022.03.16	21:00:00	0.19858	0.19942	0.19660	0.19726	3789	10255481	1
2022.03.16	22:00:00	0.19728	0.20310	0.19696	0.20208	9992	32470592	1
2022.03.16	23:00:00	0.20205	0.20362	0.20080	0.20352	5407	13406893	1
2022.03.17	00:00:00	0.20351	0.20580	0.20300	0.20385	6521	16121851	1
2022.03.17	01:00:00	0.20386	0.20518	0.20134	0.20452	5159	11073042	1
2022.03.17	02:00:00	0.20452	0.20477	0.20233	0.20399	4287	8786864	1
2022.03.17	03:00:00	0.20397	0.20430	0.20185	0.20253	3797	7286228	1
2022.03.17	04:00:00	0.20254	0.20460	0.20199	0.20447	4122	8780889	1
2022.03.17	05:00:00	0.20444	0.20451	0.20233	0.20242	4361	6683975	1
2022.03.17	06:00:00	0.20242	0.20286	0.19763	0.19957	6771	17284761	1
2022.03.17	07:00:00	0.19957	0.20048	0.19888	0.19988	4348	8408572	1
2022.03.17	08:00:00	0.19989	0.20157	0.19978	0.20114	2705	7068676	1
2022.03.17	09:00:00	0.20113	0.20115	0.19900	0.19981	3008	8777359	1
2022.03.17	10:00:00	0.19981	0.20002	0.19840	0.19974	3009	5577795	1
2022.03.17	11:00:00	0.19975	0.20019	0.19908	0.20007	2707	5759486	1
2022.03.17	12:00:00	0.20010	0.20191	0.19972	0.20118	5471	12360184	1
2022.03.17	13:00:00	0.20120	0.20265	0.20000	0.20127	6230	11393795	1
2022.03.17	14:00:00	0.20131	0.20247	0.19877	0.19958	3560	8508039	1
2022.03.17	15:00:00	0.19961	0.20090	0.19920	0.19962	2856	5912785	1
2022.03.17	16:00:00	0.19962	0.20089	0.19898	0.20045	3204	6004080	1
2022.03.17	17:00:00	0.20050	0.20065	0.19818	0.19854	4161	11784971	1
2022.03.17	18:00:00	0.19861	0.19946	0.19817	0.19940	2463	5987708	1
2022.03.17	19:00:00	0.19936	0.20381	0.19926	0.20368	10946	36744065	1
2022.03.17	20:00:00	0.20361	0.21192	0.20261	0.20915	24208	74687734	1
2022.03.17	21:00:00	0.20914	0.21169	0.20627	0.21065	14882	40178200	1
2022.03.17	22:00:00	0.21065	0.21417	0.20816	0.21228	13988	29897503	1
2022.03.17	23:00:00	0.21229	0.21246	0.20912	0.21041	10324	21268838	1
2022.03.18	00:00:00	0.21041	0.21262	0.20508	0.20554	13218	26750352	1
2022.03.18	01:00:00	0.20555	0.20782	0.20378	0.20678	9516	15431046	1
2022.03.18	02:00:00	0.20674	0.20684	0.20493	0.20555	6355	8880247	1
2022.03.18	03:00:00	0.20555	0.20626	0.20349	0.20372	6401	9687133	1
2022.03.18	04:00:00	0.20369	0.20479	0.20300	0.20408	5960	10363148	1
2022.03.18	05:00:00	0.20408	0.20559	0.20397	0.20497	6326	11930233	1
2022.03.18	06:00:00	0.20493	0.20541	0.20263	0.20329	5166	10679515	1
2022.03.18	07:00:00	0.20331	0.20378	0.20076	0.20102	5016	13614057	1
2022.03.18	08:00:00	0.20103	0.20240	0.20017	0.20090	5644	14244730	1
2022.03.18	09:00:00	0.20089	0.20123	0.19926	0.19964	4907	12144377	1
2022.03.18	10:00:00	0.19959	0.20160	0.19890	0.19915	4721	11223334	1
2022.03.18	11:00:00	0.19915	0.20013	0.19828	0.19977	4511	9150829	1
2022.03.18	12:00:00	0.19979	0.20070	0.19903	0.19972	4555	9863400	1
2022.03.18	13:00:00	0.19969	0.20140	0.19875	0.20131	5276	10925841	1
2022.03.18	14:00:00	0.20132	0.20281	0.20047	0.20114	6939	19234438	1
2022.03.18	15:00:00	0.20116	0.20411	0.20092	0.20313	5787	15284119	1
2022.03.18	16:00:00	0.20313	0.20750	0.20308	0.20723	7501	17217637	1
2022.03.18	17:00:00	0.20722	0.21000	0.20615	0.20842	8464	19916090	1
2022.03.18	18:00:00	0.20849	0.20902	0.20689	0.20803	4393	11400309	1
2022.03.18	19:00:00	0.20804	0.20939	0.20643	0.20926	3933	9298053	1
2022.03.18	20:00:00	0.20928	0.21002	0.20738	0.20781	4765	10399968	1
