<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	0.20274	0.20530	0.20260	0.20447	1619	4623545	1
2022.03.09	08:45:00	0.20447	0.20600	0.20401	0.20454	2433	5257405	1
2022.03.09	09:00:00	0.20457	0.20494	0.20363	0.20431	1919	3880264	1
2022.03.09	09:15:00	0.20435	0.20500	0.20381	0.20500	1382	2714208	1
2022.03.09	09:30:00	0.20498	0.20498	0.20389	0.20424	1620	3110661	1
2022.03.09	09:45:00	0.20422	0.20438	0.20284	0.20301	1363	3973851	1
2022.03.09	10:00:00	0.20296	0.20406	0.20238	0.20394	1673	3569535	1
2022.03.09	10:15:00	0.20394	0.20403	0.20309	0.20332	941	2163191	1
2022.03.09	11:30:00	0.20209	0.20290	0.20190	0.20261	703	1732163	1
2022.03.09	11:45:00	0.20260	0.20312	0.20246	0.20290	955	2510611	1
2022.03.09	12:00:00	0.20289	0.20369	0.20237	0.20352	1454	3845148	1
2022.03.09	12:15:00	0.20351	0.20478	0.20329	0.20445	1569	4362297	1
2022.03.09	12:30:00	0.20446	0.20486	0.19997	0.20057	3768	9561341	1
2022.03.09	12:45:00	0.20056	0.20213	0.19902	0.20163	2829	7278624	1
2022.03.09	13:00:00	0.20164	0.20206	0.19934	0.20099	2735	7728898	1
2022.03.09	13:15:00	0.20100	0.20179	0.20028	0.20063	1615	3814533	1
2022.03.09	13:30:00	0.20062	0.20101	0.19959	0.19972	1759	3966323	1
2022.03.09	13:45:00	0.19970	0.20051	0.19903	0.20038	2115	4272811	1
2022.03.09	14:00:00	0.20040	0.20181	0.20035	0.20103	2374	4641837	1
2022.03.09	14:15:00	0.20104	0.20184	0.20093	0.20133	1419	3184393	1
2022.03.09	14:30:00	0.20139	0.20190	0.20041	0.20158	1757	3812476	1
2022.03.09	14:45:00	0.20147	0.20391	0.20070	0.20227	3307	13192005	1
2022.03.09	15:00:00	0.20230	0.20324	0.20179	0.20263	2207	5379586	1
2022.03.09	15:15:00	0.20264	0.20292	0.20161	0.20256	1751	3872839	1
2022.03.09	15:30:00	0.20252	0.20353	0.20218	0.20337	1539	3429151	1
2022.03.09	15:45:00	0.20333	0.20347	0.20151	0.20291	2216	5836309	1
2022.03.09	16:00:00	0.20289	0.20336	0.20125	0.20158	2152	4855813	1
2022.03.09	16:15:00	0.20155	0.20172	0.20108	0.20164	1935	4793985	1
2022.03.09	16:30:00	0.20163	0.20312	0.20132	0.20245	1941	5352357	1
2022.03.09	16:45:00	0.20252	0.20252	0.20146	0.20198	1149	2724409	1
2022.03.09	17:00:00	0.20199	0.20280	0.20184	0.20225	1006	2131954	1
2022.03.09	17:15:00	0.20227	0.20269	0.20093	0.20144	1386	2483367	1
