<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.23	08:00:00	0.21955	0.21977	0.21210	0.21264	50644	404365247	1
2021.06.23	09:00:00	0.21259	0.21586	0.21096	0.21427	44541	353486183	1
2021.06.23	10:00:00	0.21429	0.22069	0.21285	0.21891	48287	383045981	1
2021.06.23	11:00:00	0.21891	0.22340	0.21576	0.21930	66180	507612530	1
2021.06.23	12:00:00	0.21927	0.23860	0.21813	0.23591	146095	1052361042	1
2021.06.23	13:00:00	0.23593	0.24846	0.23407	0.23500	231406	1729784110	1
2021.06.23	14:00:00	0.23507	0.24457	0.23257	0.23868	108675	881588031	0
2021.06.23	15:00:00	0.23864	0.23931	0.22625	0.22751	114939	935646583	1
2021.06.23	16:00:00	0.22752	0.23498	0.22450	0.23179	111028	868977137	1
2021.06.23	17:00:00	0.23183	0.23447	0.22858	0.23204	45983	343810925	1
2021.06.23	18:00:00	0.23209	0.23210	0.21966	0.22124	82493	665482511	0
2021.06.23	19:00:00	0.22123	0.22554	0.21555	0.21582	58806	458872458	1
2021.06.23	20:00:00	0.21579	0.22490	0.21515	0.22024	67053	529983615	1
2021.06.23	21:00:00	0.22030	0.23217	0.21760	0.23160	61086	438814320	1
2021.06.23	22:00:00	0.23160	0.23800	0.22978	0.23369	79663	549365369	1
2021.06.23	23:00:00	0.23367	0.23800	0.22900	0.23472	47708	356979515	1
2021.06.24	00:00:00	0.23472	0.24320	0.23120	0.23215	80890	616380299	1
2021.06.24	01:00:00	0.23215	0.23498	0.22216	0.22481	74726	575803957	1
2021.06.24	02:00:00	0.22483	0.22777	0.22162	0.22392	51302	386863927	1
2021.06.24	03:00:00	0.22399	0.23204	0.22318	0.22891	53276	405406920	1
2021.06.24	04:00:00	0.22889	0.23356	0.22591	0.22677	50086	367525337	1
2021.06.24	05:00:00	0.22677	0.23379	0.22540	0.23332	35183	258905556	1
2021.06.24	06:00:00	0.23331	0.23548	0.22895	0.23382	38414	304793659	1
2021.06.24	07:00:00	0.23383	0.23843	0.23163	0.23256	46399	364415215	1
2021.06.24	08:00:00	0.23250	0.23898	0.23044	0.23839	51000	415713333	0
2021.06.24	09:00:00	0.23837	0.24032	0.23494	0.23709	50787	399523140	1
2021.06.24	10:00:00	0.23710	0.23852	0.23303	0.23383	41939	323006914	1
2021.06.24	11:00:00	0.23382	0.24309	0.23368	0.24236	67316	558846501	1
2021.06.24	12:00:00	0.24237	0.24499	0.23813	0.24201	65051	546062031	1
2021.06.24	13:00:00	0.24201	0.24249	0.23601	0.23937	44131	374424619	1
2021.06.24	14:00:00	0.23936	0.24047	0.23600	0.23972	37390	298403397	1
2021.06.24	15:00:00	0.23972	0.24627	0.23788	0.23919	77894	641478545	1
2021.06.24	16:00:00	0.23918	0.24438	0.23641	0.24395	54381	457786447	1
2021.06.24	17:00:00	0.24396	0.24750	0.24200	0.24545	56273	442700712	1
2021.06.24	18:00:00	0.24548	0.25063	0.24380	0.24917	51644	417059689	1
2021.06.24	19:00:00	0.24919	0.25792	0.24768	0.25387	80126	605207133	1
2021.06.24	20:00:00	0.25380	0.25668	0.25110	0.25538	45558	332375773	1
2021.06.24	21:00:00	0.25541	0.26697	0.25255	0.26491	66904	444195131	1
2021.06.24	22:00:00	0.26490	0.26900	0.26021	0.26427	85870	604452270	1
2021.06.24	23:00:00	0.26425	0.26762	0.26080	0.26346	46885	322742421	1
2021.06.25	00:00:00	0.26347	0.27769	0.26280	0.26878	113079	786598549	1
2021.06.25	01:00:00	0.26879	0.27422	0.26323	0.27361	74582	526095071	1
2021.06.25	02:00:00	0.27362	0.28883	0.27326	0.28705	152469	1040215056	1
2021.06.25	03:00:00	0.28708	0.28941	0.27945	0.28490	108235	750438900	1
2021.06.25	04:00:00	0.28489	0.28689	0.27450	0.27684	100017	715619415	0
2021.06.25	05:00:00	0.27680	0.27862	0.26850	0.27032	91267	659367538	1
2021.06.25	06:00:00	0.27039	0.27647	0.27015	0.27190	67549	501390101	1
2021.06.25	07:00:00	0.27190	0.27282	0.25930	0.26472	115896	905934319	0
2021.06.25	08:00:00	0.26477	0.26568	0.25623	0.26355	93303	712015028	1
2021.06.25	09:00:00	0.26361	0.26860	0.25420	0.25513	97414	784556407	1
2021.06.25	10:00:00	0.25514	0.25799	0.24621	0.25292	123217	1052949305	1
2021.06.25	11:00:00	0.25291	0.25950	0.24652	0.25166	129209	1058007162	1
2021.06.25	12:00:00	0.25167	0.25641	0.24750	0.25199	100816	761790804	1
2021.06.25	13:00:00	0.25200	0.25840	0.24832	0.25599	95799	790727057	0
2021.06.25	14:00:00	0.25599	0.26591	0.25452	0.25726	125419	995440016	0
2021.06.25	15:00:00	0.25725	0.25867	0.25055	0.25211	90162	693946810	1
2021.06.25	16:00:00	0.25209	0.25567	0.23491	0.23729	140904	1149448619	1
2021.06.25	17:00:00	0.23727	0.24230	0.22924	0.23196	115189	898788682	1
2021.06.25	18:00:00	0.23201	0.24190	0.22867	0.23916	89854	736491355	1
2021.06.25	19:00:00	0.23922	0.24600	0.23515	0.24535	69623	519169082	1
2021.06.25	20:00:00	0.24537	0.25550	0.24253	0.25095	80156	634602652	0
2021.06.25	21:00:00	0.25096	0.25097	0.24100	0.24422	81398	598029177	0
2021.06.25	22:00:00	0.24420	0.24654	0.23321	0.23483	78241	490789568	1
2021.06.25	23:00:00	0.23484	0.24397	0.23369	0.23723	59321	392394236	0
2021.06.26	00:00:00	0.23724	0.24930	0.23419	0.24759	83932	586251052	0
2021.06.26	01:00:00	0.24761	0.24877	0.23740	0.24380	62273	455183199	1
2021.06.26	02:00:00	0.24379	0.24559	0.23850	0.24279	46894	326315056	1
2021.06.26	03:00:00	0.24284	0.24719	0.24143	0.24454	40304	280648350	0
2021.06.26	04:00:00	0.24455	0.25400	0.24454	0.25369	52018	402927059	0
2021.06.26	05:00:00	0.25370	0.25532	0.24903	0.25130	50081	393196039	1
2021.06.26	06:00:00	0.25129	0.25444	0.24261	0.24381	58270	471956712	0
2021.06.26	07:00:00	0.24380	0.24544	0.23312	0.23491	93527	786655740	1
2021.06.26	08:00:00	0.23490	0.23880	0.23057	0.23484	92817	826539227	1
2021.06.26	09:00:00	0.23483	0.24301	0.23344	0.24095	75575	643765322	1
2021.06.26	10:00:00	0.24096	0.24387	0.23328	0.23815	61669	461639608	1
2021.06.26	11:00:00	0.23815	0.24475	0.23807	0.24421	58801	454089737	1
2021.06.26	12:00:00	0.24419	0.24487	0.23862	0.23889	46496	366214686	1
2021.06.26	13:00:00	0.23891	0.24264	0.23463	0.23631	53044	413368494	1
2021.06.26	14:00:00	0.23632	0.24225	0.23313	0.23960	58486	443040279	1
2021.06.26	15:00:00	0.23964	0.24150	0.23540	0.24042	48571	374664149	1
2021.06.26	16:00:00	0.24038	0.24139	0.23494	0.23809	48813	384149168	1
2021.06.26	17:00:00	0.23805	0.24200	0.23550	0.24072	38511	288580315	1
