<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.23	08:00:00	0.21955	0.21977	0.21500	0.21700	13856	105767821	1
2021.06.23	08:15:00	0.21701	0.21974	0.21588	0.21782	12062	96999454	1
2021.06.23	08:30:00	0.21781	0.21896	0.21465	0.21566	11473	92135147	1
2021.06.23	08:45:00	0.21571	0.21636	0.21210	0.21264	13253	109462825	1
2021.06.23	09:00:00	0.21259	0.21531	0.21096	0.21442	15293	125346428	1
2021.06.23	09:15:00	0.21443	0.21567	0.21322	0.21459	10155	82398417	1
2021.06.23	09:30:00	0.21464	0.21586	0.21201	0.21367	9699	73098580	1
2021.06.23	09:45:00	0.21366	0.21500	0.21158	0.21427	9394	72642758	1
2021.06.23	10:00:00	0.21429	0.21630	0.21335	0.21388	9646	72589339	1
2021.06.23	10:15:00	0.21391	0.21635	0.21285	0.21619	8972	68495569	1
2021.06.23	10:30:00	0.21618	0.21972	0.21616	0.21794	15650	124079237	1
2021.06.23	10:45:00	0.21797	0.22069	0.21776	0.21891	14019	117881836	1
2021.06.23	11:00:00	0.21891	0.22340	0.21886	0.22109	27349	219204503	1
2021.06.23	11:15:00	0.22110	0.22110	0.21746	0.21786	14365	105794981	1
2021.06.23	11:30:00	0.21792	0.21988	0.21576	0.21975	12351	101743837	1
2021.06.23	11:45:00	0.21980	0.22084	0.21805	0.21930	12115	80869209	1
2021.06.23	12:00:00	0.21927	0.22340	0.21813	0.22065	21063	138832503	1
2021.06.23	12:15:00	0.22066	0.22840	0.22027	0.22770	31525	226221640	1
2021.06.23	12:30:00	0.22769	0.23120	0.22647	0.22794	36968	275315701	1
2021.06.23	12:45:00	0.22793	0.23860	0.22770	0.23591	56539	411991198	1
2021.06.23	13:00:00	0.23593	0.24660	0.23407	0.24592	72753	527325371	1
2021.06.23	13:15:00	0.24591	0.24846	0.24078	0.24295	70986	498984257	1
2021.06.23	13:30:00	0.24287	0.24395	0.23677	0.23923	49146	395194620	1
2021.06.23	13:45:00	0.23928	0.23961	0.23420	0.23500	38521	308279862	1
2021.06.23	14:00:00	0.23507	0.23572	0.23257	0.23502	27990	221452824	1
2021.06.23	14:15:00	0.23502	0.23970	0.23453	0.23888	27896	232531512	1
2021.06.23	14:30:00	0.23887	0.24377	0.23712	0.24263	24731	205939078	1
2021.06.23	14:45:00	0.24262	0.24457	0.23806	0.23868	28058	221664617	0
2021.06.23	15:00:00	0.23864	0.23931	0.23103	0.23180	34531	287758169	1
2021.06.23	15:15:00	0.23177	0.23440	0.23000	0.23201	29133	236223210	1
2021.06.23	15:30:00	0.23202	0.23569	0.23100	0.23134	20959	159404062	1
2021.06.23	15:45:00	0.23129	0.23132	0.22625	0.22751	30316	252261142	1
2021.06.23	16:00:00	0.22752	0.23358	0.22450	0.23116	51958	399088685	1
2021.06.23	16:15:00	0.23117	0.23498	0.23037	0.23073	22952	186519946	1
2021.06.23	16:30:00	0.23075	0.23155	0.22724	0.22988	19519	164573613	1
2021.06.23	16:45:00	0.22992	0.23300	0.22836	0.23179	16599	118794893	1
2021.06.23	17:00:00	0.23183	0.23427	0.23100	0.23392	12770	93275463	1
2021.06.23	17:15:00	0.23393	0.23447	0.22923	0.22952	11708	91232126	1
2021.06.23	17:30:00	0.22954	0.23276	0.22858	0.23193	12105	90339505	1
2021.06.23	17:45:00	0.23192	0.23307	0.23101	0.23204	9400	68963831	1
2021.06.23	18:00:00	0.23209	0.23210	0.22380	0.22474	21592	179323362	1
2021.06.23	18:15:00	0.22473	0.22550	0.22144	0.22466	25773	204205041	1
2021.06.23	18:30:00	0.22469	0.22683	0.22331	0.22380	13728	105291542	1
2021.06.23	18:45:00	0.22380	0.22400	0.21966	0.22124	21400	176662566	0
2021.06.23	19:00:00	0.22123	0.22433	0.22108	0.22350	11830	91250976	1
2021.06.23	19:15:00	0.22347	0.22554	0.21943	0.21984	13444	102079061	1
2021.06.23	19:30:00	0.21985	0.22149	0.21822	0.21871	15323	125188150	1
2021.06.23	19:45:00	0.21872	0.21961	0.21555	0.21582	18209	140354271	1
2021.06.23	20:00:00	0.21579	0.22086	0.21515	0.22048	23283	185519232	1
2021.06.23	20:15:00	0.22046	0.22279	0.21894	0.22124	17174	136807355	1
2021.06.23	20:30:00	0.22121	0.22490	0.22018	0.22381	14797	111792085	1
2021.06.23	20:45:00	0.22381	0.22383	0.21841	0.22024	11799	95864943	1
2021.06.23	21:00:00	0.22030	0.22224	0.21760	0.22202	11336	96571768	1
2021.06.23	21:15:00	0.22203	0.22701	0.22203	0.22363	15970	108155353	1
2021.06.23	21:30:00	0.22364	0.22607	0.22118	0.22600	10512	73353212	1
2021.06.23	21:45:00	0.22602	0.23217	0.22515	0.23160	23268	160733987	1
2021.06.23	22:00:00	0.23160	0.23800	0.22978	0.23567	34010	215752210	1
2021.06.23	22:15:00	0.23566	0.23697	0.23200	0.23682	20180	135796964	1
2021.06.23	22:30:00	0.23681	0.23791	0.23310	0.23497	14453	115234444	1
2021.06.23	22:45:00	0.23502	0.23528	0.23161	0.23369	11020	82581751	1
2021.06.23	23:00:00	0.23367	0.23446	0.22900	0.22937	12295	94115815	1
2021.06.23	23:15:00	0.22940	0.23677	0.22936	0.23614	14193	112650616	1
2021.06.23	23:30:00	0.23610	0.23800	0.23349	0.23728	12380	87465399	1
2021.06.23	23:45:00	0.23729	0.23729	0.23407	0.23472	8840	62747685	1
2021.06.24	00:00:00	0.23472	0.24320	0.23290	0.24243	30624	216540699	1
2021.06.24	00:15:00	0.24248	0.24264	0.23803	0.23968	15978	119322268	1
2021.06.24	00:30:00	0.23970	0.24131	0.23534	0.23595	18836	151891023	1
2021.06.24	00:45:00	0.23596	0.23774	0.23120	0.23215	15452	128626309	1
2021.06.24	01:00:00	0.23215	0.23400	0.22966	0.23302	16278	139657487	1
2021.06.24	01:15:00	0.23301	0.23498	0.22810	0.22846	17206	126204104	1
2021.06.24	01:30:00	0.22848	0.23045	0.22484	0.22642	20319	145332430	1
2021.06.24	01:45:00	0.22640	0.22755	0.22216	0.22481	20923	164609936	1
2021.06.24	02:00:00	0.22483	0.22674	0.22352	0.22598	15230	110438291	1
2021.06.24	02:15:00	0.22599	0.22777	0.22300	0.22334	13620	102963411	1
2021.06.24	02:30:00	0.22331	0.22487	0.22162	0.22338	13620	105464165	1
2021.06.24	02:45:00	0.22341	0.22617	0.22341	0.22392	8832	67998060	1
2021.06.24	03:00:00	0.22399	0.22868	0.22318	0.22781	13466	98467404	1
2021.06.24	03:15:00	0.22777	0.22879	0.22560	0.22842	8610	59769212	1
2021.06.24	03:30:00	0.22845	0.23204	0.22781	0.22836	18092	146466447	1
2021.06.24	03:45:00	0.22835	0.22991	0.22584	0.22891	13108	100703857	1
2021.06.24	04:00:00	0.22889	0.23356	0.22833	0.23025	17271	125227652	1
2021.06.24	04:15:00	0.23024	0.23110	0.22732	0.23035	11826	95610374	1
2021.06.24	04:30:00	0.23036	0.23037	0.22591	0.22678	13038	91923002	1
2021.06.24	04:45:00	0.22677	0.22923	0.22626	0.22677	7951	54764309	1
2021.06.24	05:00:00	0.22677	0.22953	0.22540	0.22815	9904	72615479	1
2021.06.24	05:15:00	0.22816	0.23049	0.22801	0.22921	7234	55325341	1
2021.06.24	05:30:00	0.22926	0.23270	0.22912	0.23058	8901	65415941	1
2021.06.24	05:45:00	0.23058	0.23379	0.23042	0.23332	9144	65548795	1
2021.06.24	06:00:00	0.23331	0.23360	0.23085	0.23152	10091	84332486	1
2021.06.24	06:15:00	0.23149	0.23170	0.22957	0.22987	7834	68073135	1
2021.06.24	06:30:00	0.22986	0.23298	0.22895	0.23171	8991	68887858	1
2021.06.24	06:45:00	0.23171	0.23548	0.23164	0.23382	11498	83500180	1
2021.06.24	07:00:00	0.23383	0.23513	0.23230	0.23443	8820	71572405	1
2021.06.24	07:15:00	0.23446	0.23843	0.23296	0.23700	14848	120569960	1
2021.06.24	07:30:00	0.23700	0.23762	0.23536	0.23612	9234	67586034	1
2021.06.24	07:45:00	0.23605	0.23609	0.23163	0.23256	13497	104686816	1
2021.06.24	08:00:00	0.23250	0.23370	0.23044	0.23284	12004	94047614	1
2021.06.24	08:15:00	0.23283	0.23487	0.23247	0.23290	9702	81575567	1
2021.06.24	08:30:00	0.23296	0.23392	0.23101	0.23345	10497	77831910	0
2021.06.24	08:45:00	0.23344	0.23898	0.23277	0.23839	18797	162258242	1
2021.06.24	09:00:00	0.23837	0.23930	0.23559	0.23682	12601	99638655	1
2021.06.24	09:15:00	0.23681	0.24032	0.23611	0.23740	13888	109778314	1
2021.06.24	09:30:00	0.23741	0.23929	0.23494	0.23823	12985	101826685	1
2021.06.24	09:45:00	0.23819	0.23996	0.23697	0.23709	11313	88279486	1
2021.06.24	10:00:00	0.23710	0.23822	0.23510	0.23788	11879	81342323	1
2021.06.24	10:15:00	0.23787	0.23852	0.23659	0.23678	7614	55471769	1
2021.06.24	10:30:00	0.23674	0.23749	0.23353	0.23401	11935	96482928	1
2021.06.24	10:45:00	0.23407	0.23581	0.23303	0.23383	10511	89709894	1
2021.06.24	11:00:00	0.23382	0.23820	0.23368	0.23723	11688	91024258	1
2021.06.24	11:15:00	0.23723	0.24045	0.23641	0.23911	16676	145265680	1
2021.06.24	11:30:00	0.23909	0.24248	0.23903	0.24193	21698	181360422	1
2021.06.24	11:45:00	0.24194	0.24309	0.23967	0.24236	17254	141196141	1
2021.06.24	12:00:00	0.24237	0.24499	0.24108	0.24298	25624	203761903	1
2021.06.24	12:15:00	0.24299	0.24334	0.23944	0.24059	14638	120330719	1
2021.06.24	12:30:00	0.24059	0.24059	0.23813	0.23908	12463	116829150	1
2021.06.24	12:45:00	0.23905	0.24210	0.23901	0.24201	12326	105140259	1
2021.06.24	13:00:00	0.24201	0.24249	0.23830	0.23913	10783	86231527	1
2021.06.24	13:15:00	0.23914	0.23953	0.23601	0.23784	13186	115968594	1
2021.06.24	13:30:00	0.23787	0.23971	0.23698	0.23900	10538	95821501	1
2021.06.24	13:45:00	0.23899	0.23988	0.23739	0.23937	9624	76402997	1
2021.06.24	14:00:00	0.23936	0.24047	0.23600	0.23736	13043	108325417	1
2021.06.24	14:15:00	0.23736	0.23854	0.23662	0.23788	7602	56184845	1
2021.06.24	14:30:00	0.23794	0.23929	0.23757	0.23802	8662	67364893	1
2021.06.24	14:45:00	0.23801	0.23978	0.23720	0.23972	8083	66528242	1
2021.06.24	15:00:00	0.23972	0.24342	0.23911	0.24306	20412	163978375	1
2021.06.24	15:15:00	0.24307	0.24500	0.24083	0.24385	18447	148365638	1
