<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.17	14:00:00	23.148	23.337	23.120	23.269	8144	425763	1
2021.06.17	15:00:00	23.264	23.430	23.155	23.363	9410	650663	1
2021.06.17	16:00:00	23.363	23.440	22.700	22.835	18230	1196795	1
2021.06.17	17:00:00	22.832	22.839	22.236	22.316	25468	1610733	1
2021.06.17	18:00:00	22.315	22.459	22.135	22.295	13787	930783	1
2021.06.17	19:00:00	22.291	22.326	22.054	22.226	12691	697431	1
2021.06.17	20:00:00	22.225	22.358	21.967	22.115	13979	763710	1
2021.06.17	21:00:00	22.115	22.305	21.987	22.223	5803	352190	1
2021.06.17	22:00:00	22.220	22.307	22.023	22.299	10298	483693	1
2021.06.17	23:00:00	22.300	22.553	22.244	22.527	11508	671548	1
2021.06.18	00:00:00	22.529	22.562	22.126	22.182	10250	525180	1
2021.06.18	01:00:00	22.183	22.319	21.880	21.998	11829	678594	1
2021.06.18	02:00:00	21.998	22.276	21.790	22.192	12964	793422	1
2021.06.18	03:00:00	22.192	22.315	22.175	22.294	7221	367624	1
2021.06.18	04:00:00	22.294	22.466	22.165	22.430	7488	378373	1
2021.06.18	05:00:00	22.433	22.485	22.091	22.193	9393	577367	1
2021.06.18	06:00:00	22.193	22.335	22.033	22.078	9007	505064	1
2021.06.18	07:00:00	22.080	22.374	22.075	22.329	8804	473220	1
2021.06.18	08:00:00	22.329	22.419	22.071	22.102	10782	578201	1
2021.06.18	09:00:00	22.103	22.124	21.633	21.651	18484	1273774	1
2021.06.18	10:00:00	21.652	22.026	21.436	21.990	21035	1515782	1
2021.06.18	11:00:00	21.992	22.140	21.765	21.805	12049	781597	1
2021.06.18	12:00:00	21.806	21.887	21.500	21.560	14759	1031261	1
2021.06.18	13:00:00	21.561	21.711	21.321	21.490	15874	1053087	1
2021.06.18	14:00:00	21.489	21.603	20.985	21.131	20752	1372543	1
2021.06.18	15:00:00	21.129	21.320	20.730	20.800	18838	1206260	1
2021.06.18	16:00:00	20.805	21.280	20.723	21.182	19433	1611075	1
2021.06.18	17:00:00	21.181	21.188	20.680	20.685	13911	844938	1
2021.06.18	18:00:00	20.685	20.899	20.191	20.328	26406	1715012	1
2021.06.18	19:00:00	20.329	20.580	20.240	20.354	14818	922190	1
2021.06.18	20:00:00	20.355	20.775	20.312	20.689	13171	784220	1
2021.06.18	21:00:00	20.687	21.185	20.640	21.148	10346	560370	1
2021.06.18	22:00:00	21.149	21.256	20.974	21.250	10068	552870	1
2021.06.18	23:00:00	21.249	21.566	21.174	21.417	12087	741629	1
2021.06.19	00:00:00	21.418	21.606	21.252	21.281	10337	687878	1
2021.06.19	01:00:00	21.282	21.617	21.267	21.472	10553	743327	1
2021.06.19	02:00:00	21.472	21.536	20.858	20.892	12530	864865	1
2021.06.19	03:00:00	20.893	21.006	20.622	20.832	15937	1082161	1
2021.06.19	04:00:00	20.833	21.011	20.680	20.895	13155	1121764	1
2021.06.19	05:00:00	20.896	21.218	20.896	21.199	10961	883777	1
2021.06.19	06:00:00	21.204	21.380	21.060	21.170	12751	1022666	1
2021.06.19	07:00:00	21.171	21.306	20.946	21.300	11474	941215	1
2021.06.19	08:00:00	21.298	21.344	21.077	21.298	8235	545015	1
2021.06.19	09:00:00	21.298	21.326	20.910	20.979	9808	583900	1
2021.06.19	10:00:00	20.979	21.150	20.882	21.010	9688	549585	1
2021.06.19	11:00:00	21.009	21.148	21.003	21.083	8458	567426	1
2021.06.19	12:00:00	21.080	21.372	20.917	20.983	13787	1155216	1
2021.06.19	13:00:00	20.983	21.053	20.849	20.996	9260	535890	1
2021.06.19	14:00:00	20.993	21.291	20.970	21.229	11450	716468	1
2021.06.19	15:00:00	21.230	21.289	21.018	21.219	8601	615784	1
2021.06.19	16:00:00	21.218	21.294	20.800	20.882	11959	726976	1
2021.06.19	17:00:00	20.882	20.938	20.695	20.748	7849	499040	1
2021.06.19	18:00:00	20.749	20.756	20.431	20.708	13493	969433	1
2021.06.19	19:00:00	20.706	20.883	20.597	20.827	9259	585564	1
2021.06.19	20:00:00	20.828	20.875	20.644	20.822	7242	400296	1
2021.06.19	21:00:00	20.822	20.977	20.782	20.799	5957	347172	1
2021.06.19	22:00:00	20.794	20.812	20.505	20.545	8824	382938	1
2021.06.19	23:00:00	20.541	20.686	20.205	20.205	12920	725487	1
2021.06.20	00:00:00	20.213	20.319	19.961	20.229	17684	1247741	1
2021.06.20	01:00:00	20.229	20.524	20.196	20.341	7981	473943	1
2021.06.20	02:00:00	20.340	20.342	20.000	20.268	10724	559864	1
2021.06.20	03:00:00	20.268	20.400	20.073	20.250	9730	481606	1
2021.06.20	04:00:00	20.245	20.504	20.209	20.409	9145	440777	1
2021.06.20	05:00:00	20.409	20.496	20.308	20.345	7358	372023	1
2021.06.20	06:00:00	20.345	20.507	20.228	20.388	8088	489951	1
2021.06.20	07:00:00	20.391	20.448	20.190	20.334	9616	506239	1
2021.06.20	08:00:00	20.337	20.446	20.100	20.142	9399	751255	1
2021.06.20	09:00:00	20.138	20.239	19.986	20.012	11516	767924	1
2021.06.20	10:00:00	20.013	20.037	19.165	19.435	38240	2671128	1
2021.06.20	11:00:00	19.430	19.479	18.974	19.132	20825	1413545	1
2021.06.20	12:00:00	19.128	19.396	18.854	19.306	25181	1989771	1
2021.06.20	13:00:00	19.306	19.548	19.187	19.294	15663	1211092	1
2021.06.20	14:00:00	19.293	19.613	19.180	19.603	10798	860630	1
2021.06.20	15:00:00	19.600	19.895	19.517	19.869	13990	1153210	1
2021.06.20	16:00:00	19.867	19.980	19.690	19.794	13600	1097270	1
2021.06.20	17:00:00	19.794	20.148	19.664	19.960	14246	1076314	1
2021.06.20	18:00:00	19.957	20.243	19.850	20.198	9925	513437	1
2021.06.20	19:00:00	20.198	20.668	20.169	20.664	16161	1154936	1
2021.06.20	20:00:00	20.664	20.977	20.565	20.930	16221	1143219	1
2021.06.20	21:00:00	20.929	20.980	20.617	20.620	11657	688660	1
2021.06.20	22:00:00	20.622	20.899	20.622	20.844	10047	531419	1
2021.06.20	23:00:00	20.843	20.872	20.542	20.605	8837	500798	1
2021.06.21	00:00:00	20.605	20.787	20.317	20.512	11642	732416	1
2021.06.21	01:00:00	20.514	20.579	20.135	20.162	9326	485329	1
2021.06.21	02:00:00	20.161	20.348	19.761	20.008	14354	968412	1
2021.06.21	03:00:00	20.001	20.001	19.406	19.423	14116	965545	1
2021.06.21	04:00:00	19.424	19.493	18.870	19.368	28628	1901023	1
2021.06.21	05:00:00	19.369	19.554	19.050	19.526	20111	1625504	1
2021.06.21	06:00:00	19.526	19.640	17.913	18.216	58919	4277267	1
2021.06.21	07:00:00	18.217	18.484	17.945	18.187	30066	2467986	1
2021.06.21	08:00:00	18.185	18.413	18.032	18.116	18715	1240023	1
2021.06.21	09:00:00	18.112	18.352	17.482	17.927	50318	4083886	1
2021.06.21	10:00:00	17.926	17.974	16.875	17.112	50629	3992931	1
2021.06.21	11:00:00	17.108	17.551	16.530	17.479	57165	5100470	1
2021.06.21	12:00:00	17.478	17.566	17.023	17.133	30016	2493225	1
2021.06.21	13:00:00	17.135	18.224	16.908	18.209	32567	2836796	1
2021.06.21	14:00:00	18.210	18.223	17.503	17.853	26769	2231858	1
2021.06.21	15:00:00	17.854	17.998	17.344	17.624	21689	1555872	1
