<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	141.30	142.83	141.15	141.90	2806	12627	1
2022.03.09	09:00:00	141.90	142.98	141.57	141.96	4479	14810	1
2022.03.09	10:00:00	141.95	142.19	141.27	141.84	1723	6606	1
2022.03.09	11:00:00	143.29	144.58	142.76	143.43	2591	11817	1
2022.03.09	12:00:00	143.42	145.52	142.82	144.44	7807	38474	1
2022.03.09	13:00:00	144.46	146.42	143.71	144.84	8250	29779	1
2022.03.09	14:00:00	144.81	146.19	144.70	145.42	6176	23561	1
2022.03.09	15:00:00	145.42	146.19	143.75	144.72	8168	32148	1
2022.03.09	16:00:00	144.76	144.96	141.85	142.61	7303	28314	1
2022.03.09	17:00:00	142.62	143.24	141.74	142.60	5382	16237	1
2022.03.09	18:00:00	142.60	142.61	139.62	140.63	5742	28513	1
2022.03.09	19:00:00	140.62	141.62	139.23	141.13	4614	22539	1
2022.03.09	20:00:00	141.15	141.30	140.12	140.59	3569	13745	1
2022.03.09	21:00:00	140.62	141.18	139.92	140.78	2532	10086	1
2022.03.09	22:00:00	140.79	141.83	140.57	141.45	2289	10002	1
2022.03.09	23:00:00	141.42	142.48	140.89	141.53	2782	11325	1
2022.03.10	00:00:00	141.52	142.31	140.95	141.51	2978	10608	1
2022.03.10	01:00:00	141.50	142.95	139.02	139.56	5088	23085	1
2022.03.10	02:00:00	139.58	140.46	138.51	139.52	3692	14454	1
2022.03.10	03:00:00	139.45	140.39	139.12	139.28	2920	9433	1
2022.03.10	04:00:00	139.28	139.66	135.81	135.92	7852	37387	1
2022.03.10	05:00:00	135.91	135.98	131.64	133.23	8680	41670	1
2022.03.10	06:00:00	133.24	134.16	132.13	134.12	4817	20198	1
2022.03.10	07:00:00	134.12	135.97	134.01	134.97	5246	25798	1
2022.03.10	08:00:00	134.96	135.74	133.64	135.66	4110	18827	1
2022.03.10	09:00:00	135.67	138.34	135.24	137.00	7227	38009	1
2022.03.10	10:00:00	137.00	144.00	136.67	141.95	21591	111344	1
2022.03.10	11:00:00	141.95	143.42	139.50	143.35	16554	76857	1
2022.03.10	12:00:00	143.33	144.26	141.00	142.00	17918	84655	1
2022.03.10	13:00:00	142.06	144.81	138.41	141.68	22313	110197	1
2022.03.10	14:00:00	141.69	142.39	139.50	140.61	11063	44550	1
2022.03.10	15:00:00	140.63	143.49	140.44	143.28	10164	40733	1
2022.03.10	16:00:00	143.27	145.71	141.68	144.86	15445	76489	1
2022.03.10	17:00:00	144.85	146.22	143.53	144.88	17575	80326	1
2022.03.10	18:00:00	144.88	144.93	141.36	142.25	11615	64892	1
2022.03.10	19:00:00	142.25	144.74	140.66	143.77	9827	46467	1
2022.03.10	20:00:00	143.76	144.90	142.98	143.41	6827	34423	1
2022.03.10	21:00:00	143.40	143.46	142.05	143.15	4100	21047	1
2022.03.10	22:00:00	143.17	144.45	142.46	144.33	5699	24444	1
2022.03.10	23:00:00	144.31	144.77	142.61	144.37	3907	21190	1
2022.03.11	00:00:00	144.36	145.96	142.44	144.85	9523	51356	1
2022.03.11	01:00:00	144.89	148.00	142.93	144.85	15416	83719	1
2022.03.11	02:00:00	144.81	144.82	141.64	142.41	8829	46320	1
2022.03.11	03:00:00	142.42	145.28	142.13	145.09	5499	28351	1
2022.03.11	04:00:00	145.09	145.25	141.44	142.38	5740	32338	1
2022.03.11	05:00:00	142.38	144.79	142.28	144.39	5443	29787	1
2022.03.11	06:00:00	144.37	147.50	143.67	145.95	11948	61025	1
2022.03.11	07:00:00	145.96	150.83	145.85	149.15	17501	97627	1
2022.03.11	08:00:00	149.13	152.99	149.08	150.88	21588	122819	1
2022.03.11	09:00:00	150.85	150.94	148.19	149.15	10373	61190	1
2022.03.11	10:00:00	149.17	150.26	148.25	149.40	7231	39222	1
2022.03.11	11:00:00	149.38	151.54	146.14	150.28	18531	110058	1
2022.03.11	12:00:00	150.25	151.87	149.49	150.13	8339	41345	1
2022.03.11	13:00:00	150.11	150.34	146.85	147.40	8933	48482	1
2022.03.11	14:00:00	147.37	148.65	146.31	146.71	7167	39319	1
2022.03.11	15:00:00	146.70	146.90	144.20	146.06	8830	44382	1
2022.03.11	16:00:00	146.05	146.31	144.00	144.52	7678	36410	1
2022.03.11	17:00:00	144.52	145.18	143.34	143.96	5847	28096	1
2022.03.11	18:00:00	143.95	144.05	142.45	142.72	5546	28116	1
2022.03.11	19:00:00	142.74	143.81	141.50	142.24	5449	25570	1
2022.03.11	20:00:00	142.20	142.42	139.41	140.27	6723	34313	1
2022.03.11	21:00:00	140.26	141.88	140.13	140.79	5354	25108	1
2022.03.11	22:00:00	140.79	141.31	139.70	140.17	3525	15565	1
2022.03.11	23:00:00	140.17	140.17	138.32	138.54	4408	20725	1
2022.03.12	00:00:00	138.55	141.02	138.28	140.69	5008	23901	1
2022.03.12	01:00:00	140.69	141.64	140.50	141.21	3393	17599	1
2022.03.12	02:00:00	141.26	142.37	140.68	140.83	3452	14419	1
2022.03.12	03:00:00	140.88	142.16	140.70	140.94	2873	11755	1
2022.03.12	04:00:00	140.93	141.98	139.90	141.36	3071	13404	1
2022.03.12	05:00:00	141.44	142.28	140.47	142.02	2994	17204	1
2022.03.12	06:00:00	142.02	142.48	141.12	142.11	3883	16305	1
2022.03.12	07:00:00	142.12	143.21	141.60	142.97	5607	27092	1
2022.03.12	08:00:00	142.97	143.50	142.12	143.11	5826	29554	1
2022.03.12	09:00:00	143.12	143.47	142.23	142.88	3617	14263	1
2022.03.12	10:00:00	142.89	143.76	142.41	143.61	3383	18679	1
2022.03.12	11:00:00	143.63	143.91	143.25	143.62	4218	19597	1
2022.03.12	12:00:00	143.62	143.80	142.56	143.29	3625	18856	1
