<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	1.4009	1.4205	1.3998	1.4091	2746	1457982	1
2022.03.09	09:00:00	1.4090	1.4122	1.4017	1.4020	3330	1511006	1
2022.03.09	10:00:00	1.4019	1.4077	1.3972	1.4050	1271	572885	1
2022.03.09	11:00:00	1.3978	1.4036	1.3968	1.3992	800	332772	1
2022.03.09	12:00:00	1.3992	1.4170	1.3834	1.3953	4460	1972872	1
2022.03.09	13:00:00	1.3950	1.3998	1.3761	1.3841	4142	1545516	1
2022.03.09	14:00:00	1.3845	1.3984	1.3829	1.3893	5512	1932461	1
2022.03.09	15:00:00	1.3896	1.4025	1.3808	1.3987	4695	1939835	1
2022.03.09	16:00:00	1.3989	1.4036	1.3891	1.3996	4090	1158551	1
2022.03.09	17:00:00	1.3996	1.4066	1.3893	1.4060	3567	1377018	1
2022.03.09	18:00:00	1.4064	1.4461	1.3752	1.4217	17321	7980836	1
2022.03.09	19:00:00	1.4218	1.4289	1.3944	1.4059	11400	4404447	1
2022.03.09	20:00:00	1.4063	1.4099	1.3662	1.3757	8546	2491519	1
2022.03.09	21:00:00	1.3758	1.3838	1.3690	1.3806	6168	1237740	1
2022.03.09	22:00:00	1.3805	1.3913	1.3778	1.3846	4959	1079199	1
2022.03.09	23:00:00	1.3846	1.3978	1.3823	1.3921	5023	1178715	1
2022.03.10	00:00:00	1.3920	1.4016	1.3756	1.3787	5730	1712205	1
2022.03.10	01:00:00	1.3786	1.3896	1.3393	1.3483	8662	3482758	1
2022.03.10	02:00:00	1.3480	1.3609	1.3427	1.3482	4961	1564044	1
2022.03.10	03:00:00	1.3479	1.3632	1.3438	1.3493	3563	877375	1
2022.03.10	04:00:00	1.3496	1.3534	1.3128	1.3165	9615	3395273	1
2022.03.10	05:00:00	1.3165	1.3193	1.3007	1.3119	8710	2071242	1
2022.03.10	06:00:00	1.3122	1.3233	1.3054	1.3209	5499	1250489	1
2022.03.10	07:00:00	1.3209	1.3265	1.3145	1.3183	4328	1136592	1
2022.03.10	08:00:00	1.3183	1.3232	1.3015	1.3209	5334	1313882	1
2022.03.10	09:00:00	1.3209	1.3253	1.3133	1.3163	4062	881452	1
2022.03.10	10:00:00	1.3161	1.3286	1.3112	1.3143	5228	2128893	1
2022.03.10	11:00:00	1.3142	1.3251	1.3135	1.3203	4193	1938401	1
2022.03.10	12:00:00	1.3200	1.3327	1.3158	1.3270	3896	1524150	1
2022.03.10	13:00:00	1.3268	1.3523	1.2958	1.3157	11332	4280689	1
2022.03.10	14:00:00	1.3152	1.3245	1.3032	1.3236	4901	1407715	1
2022.03.10	15:00:00	1.3240	1.3371	1.3084	1.3199	4954	1617325	1
2022.03.10	16:00:00	1.3199	1.3265	1.3063	1.3225	4013	1202785	1
2022.03.10	17:00:00	1.3224	1.3263	1.3091	1.3156	3704	898124	1
2022.03.10	18:00:00	1.3154	1.3268	1.3083	1.3237	3755	920936	1
2022.03.10	19:00:00	1.3235	1.3381	1.3188	1.3365	2992	892537	1
2022.03.10	20:00:00	1.3364	1.3435	1.3280	1.3424	2448	642535	1
2022.03.10	21:00:00	1.3423	1.3449	1.3325	1.3356	2099	630633	1
2022.03.10	22:00:00	1.3352	1.3437	1.3226	1.3409	2454	881967	1
2022.03.10	23:00:00	1.3409	1.3445	1.3255	1.3306	2714	888797	1
2022.03.11	00:00:00	1.3306	1.3359	1.3167	1.3221	4528	1522885	1
2022.03.11	01:00:00	1.3221	1.3233	1.3035	1.3074	6314	1709727	1
2022.03.11	02:00:00	1.3074	1.3110	1.2883	1.2935	4969	1371293	1
2022.03.11	03:00:00	1.2935	1.3100	1.2911	1.3086	3216	704374	1
2022.03.11	04:00:00	1.3083	1.3092	1.2896	1.2943	2816	774294	1
2022.03.11	05:00:00	1.2941	1.3170	1.2926	1.3155	3839	1132544	1
2022.03.11	06:00:00	1.3147	1.3259	1.3107	1.3259	5352	1589561	1
2022.03.11	07:00:00	1.3257	1.3374	1.3249	1.3316	5652	1719858	1
2022.03.11	08:00:00	1.3316	1.3352	1.3203	1.3211	3651	1007902	1
2022.03.11	09:00:00	1.3211	1.3283	1.3160	1.3211	2455	549919	1
2022.03.11	10:00:00	1.3212	1.3255	1.3177	1.3197	2544	492904	1
2022.03.11	11:00:00	1.3194	1.3457	1.3045	1.3376	7409	2406474	1
2022.03.11	12:00:00	1.3375	1.3595	1.3318	1.3432	6600	1965885	1
2022.03.11	13:00:00	1.3434	1.3457	1.3212	1.3280	5017	1466270	1
2022.03.11	14:00:00	1.3276	1.3407	1.3217	1.3279	3541	923507	1
2022.03.11	15:00:00	1.3278	1.3281	1.3097	1.3149	4482	1169693	1
2022.03.11	16:00:00	1.3150	1.3169	1.2984	1.3047	5225	1621564	1
2022.03.11	17:00:00	1.3046	1.3080	1.2964	1.3047	3358	785515	1
2022.03.11	18:00:00	1.3048	1.3117	1.2955	1.2971	3762	859271	1
2022.03.11	19:00:00	1.2969	1.3058	1.2938	1.3009	3187	873063	1
2022.03.11	20:00:00	1.3002	1.3084	1.2852	1.2889	3940	1549405	1
2022.03.11	21:00:00	1.2888	1.3130	1.2872	1.3059	4291	1288100	1
2022.03.11	22:00:00	1.3058	1.3400	1.3022	1.3237	4984	1890707	1
2022.03.11	23:00:00	1.3238	1.3271	1.3051	1.3071	3371	1237920	1
2022.03.12	00:00:00	1.3070	1.3271	1.3031	1.3256	3196	1164301	1
