<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.04	08:00:00	1679.49	1681.89	1635.70	1642.29	32011	100990	1
2021.02.04	09:00:00	1642.21	1649.89	1571.11	1647.65	202464	591528	1
2021.02.04	10:00:00	1647.84	1655.53	1637.27	1644.92	65615	165748	1
2021.02.04	11:00:00	1645.05	1650.99	1615.14	1615.51	87453	220654	1
2021.02.04	12:00:00	1615.61	1647.83	1609.10	1639.05	74496	172690	1
2021.02.04	13:00:00	1639.00	1642.77	1621.32	1634.89	51054	115802	1
2021.02.04	14:00:00	1634.84	1644.00	1586.00	1594.75	92132	264913	1
2021.02.04	15:00:00	1594.82	1606.67	1557.00	1582.07	169960	449342	1
2021.02.04	16:00:00	1582.02	1635.86	1567.57	1631.54	109059	257329	1
2021.02.04	17:00:00	1631.54	1654.00	1628.00	1637.35	87370	238832	1
2021.02.04	18:00:00	1637.32	1659.84	1633.00	1659.00	57694	144943	1
2021.02.04	19:00:00	1659.01	1670.00	1641.38	1658.06	60007	140229	1
2021.02.04	20:00:00	1658.09	1677.03	1641.42	1659.66	58406	138155	1
2021.02.04	21:00:00	1659.56	1664.00	1630.00	1643.21	50899	121768	1
2021.02.04	22:00:00	1643.23	1643.97	1601.00	1626.82	73300	172620	1
2021.02.04	23:00:00	1626.82	1629.81	1588.01	1596.13	59254	152005	1
2021.02.05	00:00:00	1596.00	1624.90	1592.46	1617.33	52498	129257	1
2021.02.05	01:00:00	1617.44	1627.55	1597.25	1600.18	36109	88669	1
2021.02.05	02:00:00	1600.47	1622.94	1596.78	1620.90	44714	102662	1
2021.02.05	03:00:00	1620.90	1659.00	1616.45	1644.73	76109	224596	1
2021.02.05	04:00:00	1644.60	1648.70	1631.79	1637.19	29610	74324	1
2021.02.05	05:00:00	1637.20	1649.28	1625.30	1635.19	31916	78382	1
2021.02.05	06:00:00	1635.18	1667.99	1635.00	1649.55	49791	124715	1
2021.02.05	07:00:00	1649.55	1674.87	1649.17	1666.59	51108	134642	1
