<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	1.42122	1.43342	1.41202	1.43286	19560	9131020	1
2021.10.04	10:00:00	1.43287	1.43323	1.39100	1.40416	34077	24130047	1
2021.10.04	11:00:00	1.40416	1.40656	1.38100	1.39237	31404	17626236	1
2021.10.04	12:00:00	1.39251	1.41471	1.38500	1.40789	26750	13882679	1
2021.10.04	13:00:00	1.40776	1.43939	1.40560	1.43536	39605	23671257	1
2021.10.04	14:00:00	1.43537	1.45489	1.37100	1.38813	72726	48629314	1
2021.10.04	15:00:00	1.38813	1.41052	1.34500	1.40586	72847	46852104	1
2021.10.04	16:00:00	1.40585	1.43984	1.40068	1.41751	53119	28750904	1
2021.10.04	17:00:00	1.41753	1.43338	1.39985	1.43163	38340	19786722	1
2021.10.04	18:00:00	1.43184	1.43736	1.42037	1.43054	28825	14076687	1
2021.10.04	19:00:00	1.43100	1.43225	1.40783	1.41796	23734	12492746	1
2021.10.04	20:00:00	1.41791	1.42088	1.39150	1.40600	23847	12649685	1
2021.10.04	21:00:00	1.40618	1.41539	1.39479	1.40094	14355	7829022	1
2021.10.04	22:00:00	1.40095	1.41132	1.38800	1.38807	18478	9635312	1
2021.10.04	23:00:00	1.38800	1.41128	1.38675	1.39901	21615	9912218	1
2021.10.05	00:00:00	1.39901	1.40086	1.37000	1.39508	34795	15166440	1
2021.10.05	01:00:00	1.39507	1.40546	1.38813	1.38971	19874	8118165	1
2021.10.05	02:00:00	1.38971	1.40100	1.37849	1.39741	18393	7447273	1
2021.10.05	03:00:00	1.39742	1.41117	1.39422	1.41082	18265	7777449	1
2021.10.05	04:00:00	1.41083	1.41119	1.38671	1.39549	15768	7694275	1
2021.10.05	05:00:00	1.39518	1.41087	1.39326	1.40769	13499	6780146	1
2021.10.05	06:00:00	1.40786	1.43800	1.40429	1.42240	27462	16185220	1
2021.10.05	07:00:00	1.42240	1.44444	1.41806	1.42935	23051	12845172	1
2021.10.05	08:00:00	1.42938	1.43773	1.42039	1.43556	19077	9688174	1
2021.10.05	09:00:00	1.43557	1.44645	1.42333	1.44104	27013	12902432	1
2021.10.05	10:00:00	1.44089	1.45452	1.42500	1.43199	26990	13834749	1
2021.10.05	11:00:00	1.43184	1.44242	1.42850	1.43001	15407	8197825	1
2021.10.05	12:00:00	1.43001	1.43708	1.42054	1.42743	17602	8427354	1
2021.10.05	13:00:00	1.42726	1.43103	1.41801	1.42572	16957	7103204	1
2021.10.05	14:00:00	1.42579	1.43149	1.37690	1.38896	39002	23734642	1
2021.10.05	15:00:00	1.38890	1.39235	1.37000	1.37781	23750	13730667	1
2021.10.05	16:00:00	1.37781	1.38735	1.36631	1.38438	19364	10277184	1
2021.10.05	17:00:00	1.38435	1.38500	1.37092	1.37673	9886	4799434	1
2021.10.05	18:00:00	1.37681	1.39063	1.37150	1.37199	15719	6667439	1
2021.10.05	19:00:00	1.37195	1.39739	1.37001	1.39504	17773	8308384	1
2021.10.05	20:00:00	1.39502	1.41875	1.39260	1.41388	26223	14761592	1
2021.10.05	21:00:00	1.41385	1.42106	1.40463	1.41119	13038	7115816	1
2021.10.05	22:00:00	1.41105	1.41699	1.39462	1.40324	16024	8877732	1
2021.10.05	23:00:00	1.40332	1.41669	1.40200	1.41546	12578	6178448	1
2021.10.06	00:00:00	1.41553	1.41750	1.39837	1.40256	14091	7185764	1
2021.10.06	01:00:00	1.40249	1.40299	1.38116	1.39610	16564	8355261	1
2021.10.06	02:00:00	1.39606	1.40076	1.38601	1.39695	13196	5652611	1
2021.10.06	03:00:00	1.39681	1.39747	1.36323	1.36617	19105	10835582	1
2021.10.06	04:00:00	1.36592	1.36991	1.34518	1.35302	21614	12969580	1
2021.10.06	05:00:00	1.35308	1.38327	1.34694	1.37986	29241	18299240	1
2021.10.06	06:00:00	1.37985	1.39575	1.37890	1.37975	23663	10700764	1
2021.10.06	07:00:00	1.37973	1.37990	1.35200	1.37208	25450	11523845	1
2021.10.06	08:00:00	1.37188	1.37640	1.28587	1.30806	56589	37115442	1
2021.10.06	09:00:00	1.30805	1.31653	1.29243	1.31300	33639	18199616	1
2021.10.06	10:00:00	1.31336	1.33845	1.30901	1.32133	28407	13987951	1
2021.10.06	11:00:00	1.32167	1.33903	1.31388	1.32311	19088	8331861	1
2021.10.06	12:00:00	1.32342	1.36528	1.32008	1.36274	35463	17698220	1
2021.10.06	13:00:00	1.36263	1.41343	1.35802	1.38574	62902	34298358	1
2021.10.06	14:00:00	1.38611	1.45185	1.37817	1.44347	58414	34592566	1
2021.10.06	15:00:00	1.44365	1.44900	1.42289	1.44308	36659	21555753	1
2021.10.06	16:00:00	1.44290	1.45687	1.42909	1.45437	29981	15327647	1
2021.10.06	17:00:00	1.45448	1.45686	1.43061	1.43176	23129	12256759	1
2021.10.06	18:00:00	1.43176	1.48607	1.42479	1.47435	37966	21252142	1
2021.10.06	19:00:00	1.47448	1.57226	1.47448	1.54928	100427	57746974	1
2021.10.06	20:00:00	1.54928	1.58990	1.53302	1.55052	80986	47670161	1
2021.10.06	21:00:00	1.55051	1.56712	1.54164	1.55909	35249	20546827	1
2021.10.06	22:00:00	1.55909	1.62186	1.55448	1.58860	67444	40685886	1
2021.10.06	23:00:00	1.58866	1.61215	1.57412	1.61017	53902	31485582	1
2021.10.07	00:00:00	1.61016	1.68972	1.60500	1.66850	114496	64109905	1
2021.10.07	01:00:00	1.66868	1.72640	1.64221	1.66199	112454	73302433	1
2021.10.07	02:00:00	1.66212	1.69164	1.63364	1.65212	60189	36400462	1
2021.10.07	03:00:00	1.65184	1.66497	1.56145	1.60307	89077	64487003	1
2021.10.07	04:00:00	1.60337	1.76337	1.59629	1.73634	116642	69484453	1
2021.10.07	05:00:00	1.73631	1.88000	1.72312	1.77616	217530	125508518	1
2021.10.07	06:00:00	1.77603	1.79847	1.73552	1.75334	94109	50715414	1
2021.10.07	07:00:00	1.75341	1.84548	1.74362	1.81952	123408	64991842	1
2021.10.07	08:00:00	1.81983	1.83570	1.77432	1.81230	86559	42353299	1
2021.10.07	09:00:00	1.81245	1.88436	1.74350	1.87834	147925	77367717	1
2021.10.07	10:00:00	1.87797	1.89438	1.80200	1.81229	124822	65293965	1
2021.10.07	11:00:00	1.81229	1.84817	1.78500	1.81628	78682	41038796	1
2021.10.07	12:00:00	1.81630	1.82320	1.75662	1.79324	94089	47562131	1
2021.10.07	13:00:00	1.79307	1.84998	1.77500	1.84337	97834	46138802	1
2021.10.07	14:00:00	1.84343	1.84528	1.70549	1.78408	126086	69719616	1
2021.10.07	15:00:00	1.78408	1.95659	1.77660	1.92669	259432	140201768	1
2021.10.07	16:00:00	1.92691	2.03747	1.86147	2.02106	257287	135155339	1
2021.10.07	17:00:00	2.02100	2.05000	1.88000	1.90515	205117	111920069	1
2021.10.07	18:00:00	1.90490	1.92862	1.82500	1.83727	131828	68693231	1
2021.10.07	19:00:00	1.83728	1.91589	1.83675	1.87850	84142	40113245	1
2021.10.07	20:00:00	1.87857	1.94978	1.86112	1.90002	95004	43610687	1
2021.10.07	21:00:00	1.90011	1.95310	1.88657	1.93968	81074	35391425	1
2021.10.07	22:00:00	1.93961	2.09650	1.89669	2.06636	173796	88547386	1
2021.10.07	23:00:00	2.06641	2.07797	1.98533	2.02513	127171	63504427	1
2021.10.08	00:00:00	2.02512	2.09000	1.98659	1.99589	113430	59444195	1
2021.10.08	01:00:00	1.99579	2.00609	1.95303	1.97813	63350	32523685	1
2021.10.08	02:00:00	1.97808	2.08600	1.97569	2.07894	101148	48884043	1
2021.10.08	03:00:00	2.07873	2.15328	2.04234	2.13204	155303	77917129	1
2021.10.08	04:00:00	2.13169	2.17269	2.06800	2.16465	117461	58422651	1
2021.10.08	05:00:00	2.16467	2.20684	2.13727	2.15644	123671	60267170	1
2021.10.08	06:00:00	2.15644	2.26880	2.15000	2.25712	168226	82200796	1
2021.10.08	07:00:00	2.25705	2.29850	2.23757	2.28342	156293	77394807	1
2021.10.08	08:00:00	2.28339	2.44000	2.25489	2.32229	277211	157954902	1
2021.10.08	09:00:00	2.32223	2.34890	2.19414	2.21873	182822	107772664	1
2021.10.08	10:00:00	2.21833	2.29699	2.18500	2.28976	195971	92949176	1
2021.10.08	11:00:00	2.28960	2.35138	2.24100	2.26102	173352	82167745	1
2021.10.08	12:00:00	2.26107	2.29990	2.19988	2.23214	148106	71236196	1
2021.10.08	13:00:00	2.23215	2.34000	2.20337	2.30864	159834	68893226	1
2021.10.08	14:00:00	2.30851	2.36000	2.26007	2.30359	148973	65602042	1
2021.10.08	15:00:00	2.30358	2.40863	2.29448	2.32562	159945	75443165	1
2021.10.08	16:00:00	2.32557	2.35668	2.24621	2.27308	122561	55643879	1
2021.10.08	17:00:00	2.27313	2.28485	2.22200	2.26746	73415	33144195	1
2021.10.08	18:00:00	2.26746	2.33574	2.25775	2.32698	86025	34699689	1
2021.10.08	19:00:00	2.32699	2.38000	2.31000	2.36238	91585	37118700	1
2021.10.08	20:00:00	2.36241	2.36241	2.24538	2.26587	79785	34673055	1
2021.10.08	21:00:00	2.26586	2.45567	2.26340	2.40886	183344	81073703	1
2021.10.08	22:00:00	2.40894	2.44565	2.35254	2.38178	126657	58781681	1
2021.10.08	23:00:00	2.38110	2.41067	2.27591	2.30328	97610	51445576	1
2021.10.09	00:00:00	2.30327	2.33513	2.23000	2.25695	92648	46389711	1
2021.10.09	01:00:00	2.25691	2.25826	2.16279	2.19155	113450	55421424	1
2021.10.09	02:00:00	2.19153	2.19323	2.12610	2.16201	91503	46408618	1
2021.10.09	03:00:00	2.16203	2.19968	2.13394	2.17263	72355	34188917	1
2021.10.09	04:00:00	2.17217	2.21489	2.16800	2.20890	53789	24174464	1
2021.10.09	05:00:00	2.20889	2.21400	2.14292	2.17441	49406	23876688	1
2021.10.09	06:00:00	2.17440	2.19185	2.14636	2.17393	52461	23521156	1
2021.10.09	07:00:00	2.17393	2.19850	2.13274	2.15701	55294	27622733	1
2021.10.09	08:00:00	2.15731	2.17913	2.11175	2.13546	69075	33206213	1
2021.10.09	09:00:00	2.13545	2.17936	2.12221	2.17195	60013	25451566	1
2021.10.09	10:00:00	2.17183	2.26477	2.16444	2.19966	115277	54336293	1
2021.10.09	11:00:00	2.19993	2.21961	2.17175	2.18362	65747	28335242	1
2021.10.09	12:00:00	2.18352	2.19726	2.16965	2.17840	37875	18099545	1
2021.10.09	13:00:00	2.17840	2.24797	2.17815	2.22065	58352	27033012	1
2021.10.09	14:00:00	2.22095	2.29500	2.20450	2.28740	78705	35418352	1
2021.10.09	15:00:00	2.28740	2.29488	2.22470	2.25410	67831	33134555	1
2021.10.09	16:00:00	2.25424	2.25993	2.18000	2.18960	54936	25599308	1
2021.10.09	17:00:00	2.18941	2.20555	2.15500	2.16517	45184	20142636	1
2021.10.09	18:00:00	2.16510	2.18260	2.15722	2.17114	30869	12320788	1
2021.10.09	19:00:00	2.17114	2.18260	2.15130	2.16136	24501	9696971	1
2021.10.09	20:00:00	2.16137	2.18775	2.13900	2.18400	35341	14141754	1
2021.10.09	21:00:00	2.18377	2.21760	2.17474	2.20469	26991	11595741	1
2021.10.09	22:00:00	2.20442	2.22118	2.17530	2.18839	34820	15566727	1
2021.10.09	23:00:00	2.18852	2.20500	2.15894	2.16376	27207	11780336	1
2021.10.10	01:00:00	2.06899	2.10281	2.05838	2.09347	33861	17669310	1
2021.10.10	02:00:00	2.09328	2.11557	2.07190	2.09118	45039	20488836	1
