<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	0.23516	0.24039	0.23512	0.23732	20025	121961442	1
2022.03.09	09:00:00	0.23729	0.23777	0.23413	0.23471	23094	141366920	1
2022.03.09	10:00:00	0.23465	0.23593	0.23428	0.23489	8087	39068211	1
2022.03.09	11:00:00	0.23364	0.23477	0.23318	0.23408	6097	30787169	1
2022.03.09	12:00:00	0.23408	0.23676	0.22867	0.23169	30024	189450635	1
2022.03.09	13:00:00	0.23170	0.23273	0.23014	0.23170	22179	107265218	1
2022.03.09	14:00:00	0.23170	0.23422	0.23154	0.23210	23453	117307883	1
2022.03.09	15:00:00	0.23216	0.23468	0.23043	0.23387	24770	119145444	1
2022.03.09	16:00:00	0.23381	0.23553	0.23205	0.23262	20954	108081607	1
2022.03.09	17:00:00	0.23264	0.23345	0.23062	0.23204	15431	63926262	1
2022.03.09	18:00:00	0.23203	0.23204	0.22734	0.22896	21488	115906734	1
2022.03.09	19:00:00	0.22898	0.23030	0.22620	0.22908	17777	88525713	1
2022.03.09	20:00:00	0.22906	0.23036	0.22651	0.22784	13404	67016861	1
2022.03.09	21:00:00	0.22785	0.22926	0.22676	0.22847	11897	60736521	1
2022.03.09	22:00:00	0.22846	0.23049	0.22742	0.22978	11182	50521086	1
2022.03.09	23:00:00	0.22976	0.23411	0.22850	0.23256	17692	89065055	1
2022.03.10	00:00:00	0.23257	0.23349	0.23000	0.23099	18542	83211656	1
2022.03.10	01:00:00	0.23098	0.23236	0.22377	0.22472	29813	165467303	1
2022.03.10	02:00:00	0.22473	0.22640	0.22277	0.22450	20885	105282470	1
2022.03.10	03:00:00	0.22451	0.22610	0.22377	0.22446	14075	60831257	1
2022.03.10	04:00:00	0.22445	0.22522	0.21741	0.21889	35953	202076211	1
2022.03.10	05:00:00	0.21888	0.21896	0.21424	0.21650	25975	138261496	1
2022.03.10	06:00:00	0.21653	0.21832	0.21489	0.21827	16900	88514158	1
2022.03.10	07:00:00	0.21827	0.21917	0.21702	0.21798	13796	67433481	1
2022.03.10	08:00:00	0.21797	0.21847	0.21544	0.21808	17436	87427126	1
2022.03.10	09:00:00	0.21809	0.21945	0.21722	0.21722	14132	68897308	1
2022.03.10	10:00:00	0.21722	0.21762	0.21584	0.21637	13389	76024760	1
2022.03.10	11:00:00	0.21644	0.21720	0.21504	0.21687	12966	57289812	1
2022.03.10	12:00:00	0.21687	0.21867	0.21580	0.21752	16011	73917525	1
2022.03.10	13:00:00	0.21754	0.22184	0.21044	0.21463	46853	260918571	1
2022.03.10	14:00:00	0.21461	0.21704	0.21311	0.21659	23816	118625517	1
2022.03.10	15:00:00	0.21662	0.21956	0.21428	0.21619	27017	130264828	1
2022.03.10	16:00:00	0.21619	0.21700	0.21316	0.21565	20071	83571093	1
2022.03.10	17:00:00	0.21566	0.21632	0.21429	0.21507	15048	60122075	1
2022.03.10	18:00:00	0.21506	0.21617	0.21382	0.21570	12644	52376991	1
2022.03.10	19:00:00	0.21569	0.21795	0.21487	0.21754	13116	56014332	1
2022.03.10	20:00:00	0.21753	0.21910	0.21629	0.21877	11670	52779365	1
2022.03.10	21:00:00	0.21877	0.21900	0.21672	0.21703	9566	38453676	1
2022.03.10	22:00:00	0.21704	0.21843	0.21539	0.21812	9316	36642968	1
2022.03.10	23:00:00	0.21812	0.21881	0.21613	0.21712	11003	49774713	1
2022.03.11	00:00:00	0.21713	0.21787	0.21448	0.21546	13202	64960834	1
2022.03.11	01:00:00	0.21545	0.21556	0.21208	0.21320	17139	79616200	1
2022.03.11	02:00:00	0.21320	0.21367	0.21007	0.21132	17071	89061520	1
2022.03.11	03:00:00	0.21134	0.21447	0.21106	0.21397	12330	63058225	1
2022.03.11	04:00:00	0.21400	0.21419	0.21125	0.21158	11150	55869927	1
2022.03.11	05:00:00	0.21158	0.21492	0.21151	0.21485	11997	60571195	1
2022.03.11	06:00:00	0.21484	0.21705	0.21428	0.21668	14882	76030212	1
2022.03.11	07:00:00	0.21665	0.21798	0.21574	0.21619	13849	73329754	1
2022.03.11	08:00:00	0.21619	0.21696	0.21500	0.21598	11665	65452210	1
2022.03.11	09:00:00	0.21596	0.21762	0.21576	0.21649	10600	52502876	1
2022.03.11	10:00:00	0.21647	0.21714	0.21567	0.21581	8932	45437485	1
2022.03.11	11:00:00	0.21580	0.22200	0.21341	0.21961	38167	224660944	1
2022.03.11	12:00:00	0.21960	0.22264	0.21933	0.22009	26650	135580536	1
2022.03.11	13:00:00	0.22013	0.22075	0.21758	0.21874	22184	113779658	1
2022.03.11	14:00:00	0.21872	0.22193	0.21766	0.21861	21415	113270475	1
2022.03.11	15:00:00	0.21860	0.21860	0.21483	0.21592	25120	136597378	1
2022.03.11	16:00:00	0.21591	0.21596	0.21234	0.21524	22519	124268993	1
2022.03.11	17:00:00	0.21527	0.21584	0.21406	0.21564	13982	60143314	1
2022.03.11	18:00:00	0.21564	0.21626	0.21381	0.21404	12819	57507004	1
2022.03.11	19:00:00	0.21403	0.21558	0.21363	0.21417	10395	39818296	1
2022.03.11	20:00:00	0.21416	0.21493	0.21069	0.21130	13772	69917046	1
2022.03.11	21:00:00	0.21132	0.21411	0.21090	0.21353	13340	68429227	1
2022.03.11	22:00:00	0.21352	0.21490	0.21328	0.21408	7823	33703785	1
2022.03.11	23:00:00	0.21408	0.21424	0.21124	0.21136	11111	57004666	1
2022.03.12	00:00:00	0.21135	0.21569	0.21071	0.21464	14066	65579735	1
2022.03.12	01:00:00	0.21465	0.21639	0.21403	0.21453	11940	59332217	1
2022.03.12	02:00:00	0.21451	0.21569	0.21233	0.21306	11950	65159473	1
2022.03.12	03:00:00	0.21307	0.21550	0.21275	0.21434	9343	52508629	1
