<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	0.23516	0.23758	0.23512	0.23655	5910	35350764	1
2022.03.09	08:45:00	0.23654	0.24039	0.23566	0.23732	14115	86610678	1
2022.03.09	09:00:00	0.23729	0.23777	0.23540	0.23646	7775	48137509	1
2022.03.09	09:15:00	0.23646	0.23772	0.23501	0.23744	5756	36076578	1
2022.03.09	09:30:00	0.23750	0.23755	0.23554	0.23670	4049	20467887	1
2022.03.09	09:45:00	0.23672	0.23705	0.23413	0.23471	5514	36684946	1
2022.03.09	10:00:00	0.23465	0.23561	0.23428	0.23551	4226	20602717	1
2022.03.09	10:15:00	0.23554	0.23593	0.23433	0.23489	3861	18465494	1
2022.03.09	11:30:00	0.23364	0.23423	0.23318	0.23400	2244	11190949	1
2022.03.09	11:45:00	0.23399	0.23477	0.23354	0.23408	3853	19596220	1
2022.03.09	12:00:00	0.23408	0.23564	0.23397	0.23510	4341	25621337	1
2022.03.09	12:15:00	0.23510	0.23641	0.23469	0.23563	4246	23691131	1
2022.03.09	12:30:00	0.23565	0.23676	0.22867	0.23061	13025	92611345	1
2022.03.09	12:45:00	0.23060	0.23262	0.23008	0.23169	8412	47526822	1
2022.03.09	13:00:00	0.23170	0.23229	0.23021	0.23121	6529	31232429	1
2022.03.09	13:15:00	0.23121	0.23273	0.23072	0.23168	5008	23516752	1
2022.03.09	13:30:00	0.23169	0.23221	0.23100	0.23122	4355	19176107	1
2022.03.09	13:45:00	0.23122	0.23250	0.23014	0.23170	6287	33339930	1
2022.03.09	14:00:00	0.23170	0.23422	0.23154	0.23361	7644	40253107	1
2022.03.09	14:15:00	0.23362	0.23414	0.23263	0.23312	4305	21069653	1
2022.03.09	14:30:00	0.23312	0.23394	0.23172	0.23271	6530	32513526	1
2022.03.09	14:45:00	0.23271	0.23344	0.23160	0.23210	4974	23471597	1
2022.03.09	15:00:00	0.23216	0.23283	0.23153	0.23187	4306	20922502	1
2022.03.09	15:15:00	0.23187	0.23243	0.23043	0.23167	5738	29296940	1
2022.03.09	15:30:00	0.23165	0.23423	0.23135	0.23385	6219	25520505	1
2022.03.09	15:45:00	0.23386	0.23468	0.23223	0.23387	8507	43405497	1
2022.03.09	16:00:00	0.23381	0.23442	0.23259	0.23316	6059	30174069	1
2022.03.09	16:15:00	0.23316	0.23380	0.23250	0.23340	3636	22539524	1
2022.03.09	16:30:00	0.23342	0.23553	0.23309	0.23355	6176	29511074	1
2022.03.09	16:45:00	0.23354	0.23383	0.23205	0.23262	5083	25856940	1
2022.03.09	17:00:00	0.23264	0.23345	0.23176	0.23181	3613	15398113	1
2022.03.09	17:15:00	0.23182	0.23278	0.23062	0.23150	5092	23285700	1
2022.03.09	17:30:00	0.23151	0.23270	0.23100	0.23181	3911	15180793	1
2022.03.09	17:45:00	0.23184	0.23274	0.23157	0.23204	2815	10061656	1
2022.03.09	18:00:00	0.23203	0.23204	0.23050	0.23102	3848	18152233	1
2022.03.09	18:15:00	0.23103	0.23154	0.22734	0.22896	7981	53203988	1
2022.03.09	18:30:00	0.22948	0.23013	0.22761	0.22819	5225	23525550	1
2022.03.09	18:45:00	0.22818	0.22955	0.22757	0.22896	4434	21024963	1
2022.03.09	19:00:00	0.22898	0.22912	0.22730	0.22756	3169	15565233	1
2022.03.09	19:15:00	0.22756	0.22909	0.22620	0.22905	6241	35196633	1
2022.03.09	19:30:00	0.22903	0.23005	0.22870	0.22964	4503	21528018	1
2022.03.09	19:45:00	0.22970	0.23030	0.22900	0.22908	3864	16235829	1
2022.03.09	20:00:00	0.22906	0.23036	0.22822	0.22837	3887	18426314	1
2022.03.09	20:15:00	0.22839	0.22880	0.22771	0.22866	2439	13361825	1
2022.03.09	20:30:00	0.22867	0.22869	0.22674	0.22714	3225	14627829	1
