<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	0.21189	0.21400	0.21181	0.21296	2156	3743007	1
2022.03.09	09:00:00	0.21289	0.21380	0.21176	0.21185	2968	5443629	1
2022.03.09	10:00:00	0.21178	0.21228	0.21121	0.21165	1303	2161880	1
2022.03.09	11:00:00	0.21186	0.21314	0.21180	0.21272	1094	1265871	1
2022.03.09	12:00:00	0.21271	0.21420	0.21024	0.21145	4515	7429192	1
2022.03.09	13:00:00	0.21145	0.21179	0.20951	0.21064	4194	6154013	1
2022.03.09	14:00:00	0.21070	0.21255	0.21054	0.21224	3869	5757073	1
2022.03.09	15:00:00	0.21229	0.21361	0.21125	0.21350	3784	6228213	1
2022.03.09	16:00:00	0.21341	0.21541	0.21250	0.21413	5534	10163961	1
2022.03.09	17:00:00	0.21412	0.21539	0.21285	0.21356	3551	5809659	1
2022.03.09	18:00:00	0.21356	0.21356	0.20942	0.21014	5210	8832050	1
2022.03.09	19:00:00	0.21020	0.21128	0.20835	0.21050	3843	6693569	1
2022.03.09	20:00:00	0.21052	0.21104	0.20882	0.20964	2502	3661309	1
2022.03.09	21:00:00	0.20966	0.21198	0.20914	0.21183	2684	4575900	1
2022.03.09	22:00:00	0.21180	0.21276	0.21116	0.21247	1952	3369837	1
2022.03.09	23:00:00	0.21248	0.21355	0.21185	0.21271	2378	3173759	1
2022.03.10	00:00:00	0.21271	0.21417	0.21151	0.21208	3333	4513692	1
2022.03.10	01:00:00	0.21206	0.21388	0.20826	0.20914	4575	6599357	1
2022.03.10	02:00:00	0.20914	0.21113	0.20851	0.20952	3909	4841107	1
2022.03.10	03:00:00	0.20949	0.21224	0.20911	0.20958	2429	3679516	1
2022.03.10	04:00:00	0.20962	0.21034	0.20363	0.20442	5827	9193290	1
2022.03.10	05:00:00	0.20434	0.20467	0.20183	0.20353	5296	6179692	1
2022.03.10	06:00:00	0.20361	0.20545	0.20301	0.20534	4176	3869362	1
2022.03.10	07:00:00	0.20529	0.20744	0.20492	0.20635	3938	4330810	1
2022.03.10	08:00:00	0.20636	0.20700	0.20427	0.20667	4065	5239346	1
2022.03.10	09:00:00	0.20672	0.20711	0.20540	0.20557	2280	3015519	1
2022.03.10	10:00:00	0.20554	0.20605	0.20433	0.20442	2156	2920416	1
2022.03.10	11:00:00	0.20443	0.20550	0.20397	0.20489	2231	2640638	1
2022.03.10	12:00:00	0.20487	0.20614	0.20398	0.20525	2407	3439280	1
2022.03.10	13:00:00	0.20534	0.20867	0.20114	0.20310	6061	10453144	1
2022.03.10	14:00:00	0.20313	0.21164	0.20264	0.20561	19829	59329657	1
2022.03.10	15:00:00	0.20562	0.20924	0.20411	0.20497	7850	9998615	1
2022.03.10	16:00:00	0.20493	0.20756	0.20425	0.20750	5420	7172037	1
2022.03.10	17:00:00	0.20750	0.21416	0.20594	0.21092	15808	35608666	1
2022.03.10	18:00:00	0.21096	0.21530	0.20878	0.21217	10953	17509737	1
2022.03.10	19:00:00	0.21217	0.21733	0.21216	0.21578	12999	21384589	1
2022.03.10	20:00:00	0.21577	0.21780	0.21388	0.21645	7736	11698445	1
2022.03.10	21:00:00	0.21657	0.22118	0.21637	0.21814	12460	22767700	1
