<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	22.183	22.489	22.170	22.334	1835	21889	1
2022.03.09	09:00:00	22.333	22.428	22.171	22.184	3557	39534	1
2022.03.09	10:00:00	22.188	22.226	22.080	22.176	1686	20238	1
2022.03.09	11:00:00	22.153	22.183	22.054	22.141	1193	17700	1
2022.03.09	12:00:00	22.138	22.417	21.892	22.119	5253	76055	1
2022.03.09	13:00:00	22.121	22.160	21.817	21.969	4846	58319	1
2022.03.09	14:00:00	21.981	22.157	21.934	22.045	3894	47826	1
2022.03.09	15:00:00	22.047	22.254	21.980	22.159	4347	63847	1
2022.03.09	16:00:00	22.162	22.430	22.032	22.128	6285	123113	1
2022.03.09	17:00:00	22.127	22.200	21.934	22.117	4078	58920	1
2022.03.09	18:00:00	22.112	22.120	21.561	21.634	5329	87413	1
2022.03.09	19:00:00	21.636	21.980	21.488	21.971	5872	94423	1
2022.03.09	20:00:00	21.971	22.031	21.536	21.606	4596	69195	1
2022.03.09	21:00:00	21.609	21.649	21.391	21.489	5602	83720	1
2022.03.09	22:00:00	21.507	21.617	21.390	21.496	3933	54167	1
2022.03.09	23:00:00	21.499	21.773	21.457	21.651	3808	54756	1
2022.03.10	00:00:00	21.651	21.798	21.480	21.589	4268	48812	1
2022.03.10	01:00:00	21.583	21.739	20.958	21.215	6560	89878	1
2022.03.10	02:00:00	21.218	21.343	21.026	21.053	5240	55441	1
2022.03.10	03:00:00	21.047	21.209	20.985	20.993	4120	41192	1
2022.03.10	04:00:00	21.004	21.147	20.500	20.533	8344	95911	1
2022.03.10	05:00:00	20.532	20.623	20.300	20.448	7108	76521	1
2022.03.10	06:00:00	20.451	20.635	20.401	20.583	5374	58529	1
2022.03.10	07:00:00	20.579	20.686	20.469	20.571	4000	40403	1
2022.03.10	08:00:00	20.569	20.869	20.401	20.869	4185	46494	1
2022.03.10	09:00:00	20.861	21.012	20.749	20.877	3970	49860	1
2022.03.10	10:00:00	20.873	21.010	20.735	20.872	4006	52674	1
2022.03.10	11:00:00	20.866	21.076	20.829	21.044	4024	50480	1
2022.03.10	12:00:00	21.040	21.242	20.925	21.139	4376	51263	1
2022.03.10	13:00:00	21.136	21.544	20.767	21.074	9385	115835	1
2022.03.10	14:00:00	21.064	21.199	20.940	21.190	5044	54655	1
2022.03.10	15:00:00	21.183	21.296	20.978	21.162	4388	49369	1
2022.03.10	16:00:00	21.161	21.333	21.061	21.304	4476	50658	1
2022.03.10	17:00:00	21.296	21.434	21.077	21.330	5193	65366	1
2022.03.10	18:00:00	21.335	21.418	21.129	21.357	3745	49880	1
2022.03.10	19:00:00	21.351	21.594	21.263	21.496	4496	66016	1
2022.03.10	20:00:00	21.492	21.689	21.439	21.589	4187	49263	1
2022.03.10	21:00:00	21.589	21.607	21.016	21.047	3700	63630	1
2022.03.10	22:00:00	21.046	21.273	20.905	21.255	3478	45756	1
2022.03.10	23:00:00	21.254	21.329	21.132	21.252	2403	25385	1
2022.03.11	00:00:00	21.253	21.283	21.048	21.220	3045	33201	1
2022.03.11	01:00:00	21.218	21.250	20.677	20.746	4883	55828	1
2022.03.11	02:00:00	20.747	20.909	20.313	20.797	10505	145828	1
2022.03.11	03:00:00	20.803	21.194	20.707	21.146	6825	74813	1
2022.03.11	04:00:00	21.146	21.318	20.896	21.088	6281	85184	1
2022.03.11	05:00:00	21.091	21.456	21.017	21.367	8499	136174	1
2022.03.11	06:00:00	21.364	21.719	21.239	21.600	7430	115384	1
2022.03.11	07:00:00	21.600	21.715	21.452	21.637	7452	96231	1
2022.03.11	08:00:00	21.634	21.870	21.512	21.702	6655	106226	1
2022.03.11	09:00:00	21.708	21.809	21.309	21.443	5597	94637	1
2022.03.11	10:00:00	21.445	21.657	21.407	21.464	3942	56616	1
2022.03.11	11:00:00	21.451	21.867	21.250	21.743	6368	75483	1
2022.03.11	12:00:00	21.736	21.992	21.615	21.683	5412	64813	1
2022.03.11	13:00:00	21.682	21.743	21.368	21.460	4286	56391	1
2022.03.11	14:00:00	21.461	21.719	21.412	21.483	3412	40898	1
2022.03.11	15:00:00	21.482	21.576	21.203	21.305	4286	59265	1
2022.03.11	16:00:00	21.299	21.382	21.075	21.295	4405	56354	1
2022.03.11	17:00:00	21.298	21.445	21.159	21.418	3537	40598	1
2022.03.11	18:00:00	21.419	21.435	21.059	21.105	3119	36716	1
2022.03.11	19:00:00	21.097	21.173	20.962	20.999	3076	34760	1
2022.03.11	20:00:00	21.001	21.120	20.676	20.741	3731	50046	1
2022.03.11	21:00:00	20.740	21.105	20.728	21.015	3492	39427	1
2022.03.11	22:00:00	21.016	21.125	20.904	21.052	2870	26530	1
2022.03.11	23:00:00	21.052	21.097	20.890	20.895	2433	17498	1
2022.03.12	00:00:00	20.905	21.194	20.849	21.147	2303	30815	1
2022.03.12	01:00:00	21.148	21.416	21.148	21.375	2483	24965	1
2022.03.12	02:00:00	21.377	21.576	21.274	21.307	3152	35566	1
2022.03.12	03:00:00	21.306	21.510	21.304	21.340	2644	22347	1
2022.03.12	04:00:00	21.339	21.425	21.211	21.248	1900	15567	1
2022.03.12	05:00:00	21.245	21.372	21.151	21.323	2055	19092	1
2022.03.12	06:00:00	21.322	21.397	21.152	21.189	1912	17353	1
2022.03.12	07:00:00	21.185	21.255	21.089	21.192	2009	18478	1
2022.03.12	08:00:00	21.198	21.227	20.914	21.064	2487	24759	1
2022.03.12	09:00:00	21.058	21.154	21.022	21.086	1489	12481	1
2022.03.12	10:00:00	21.086	21.359	21.035	21.248	2588	44955	1
2022.03.12	11:00:00	21.246	21.391	21.152	21.201	2447	30789	1
2022.03.12	12:00:00	21.196	21.529	21.114	21.485	2841	34983	1
2022.03.12	13:00:00	21.484	21.599	21.356	21.485	3400	48907	1
2022.03.12	14:00:00	21.476	21.668	21.220	21.423	3928	55762	1
2022.03.12	15:00:00	21.423	21.625	21.408	21.482	3202	39443	1
2022.03.12	16:00:00	21.483	21.590	21.420	21.514	2340	20219	1
2022.03.12	17:00:00	21.518	21.604	21.383	21.451	3100	44080	1
2022.03.12	18:00:00	21.448	21.505	21.385	21.426	1553	15558	1
2022.03.12	19:00:00	21.423	21.460	21.339	21.397	1522	19716	1
2022.03.12	20:00:00	21.401	21.482	21.309	21.376	2153	19769	1
2022.03.12	21:00:00	21.361	21.492	21.301	21.323	1639	17795	1
2022.03.12	22:00:00	21.321	21.352	21.231	21.304	2155	25843	1
2022.03.12	23:00:00	21.305	21.350	21.089	21.115	1987	25188	1
2022.03.13	00:00:00	21.113	21.232	20.971	21.209	2887	35128	1
2022.03.13	01:00:00	21.213	21.515	21.185	21.491	2338	31557	1
2022.03.13	02:00:00	21.503	21.770	21.494	21.713	2526	41827	1
2022.03.13	03:00:00	21.723	21.891	21.628	21.773	2985	53731	1
2022.03.13	04:00:00	21.766	21.829	21.533	21.539	2001	24134	1
2022.03.13	05:00:00	21.476	21.527	21.444	21.461	1626	21747	1
2022.03.13	06:00:00	21.455	21.466	21.367	21.446	1591	22949	1
2022.03.13	07:00:00	21.448	21.498	21.262	21.296	1877	26493	1
2022.03.13	08:00:00	21.296	21.349	21.193	21.318	1830	34010	1
2022.03.13	09:00:00	21.322	21.345	21.104	21.143	2156	26964	1
2022.03.13	10:00:00	21.144	21.239	21.128	21.206	1744	27244	1
2022.03.13	11:00:00	21.215	21.271	20.875	20.970	3042	52496	1
2022.03.13	12:00:00	20.972	21.048	20.607	20.738	3562	48357	1
2022.03.13	13:00:00	20.725	20.996	20.634	20.955	2747	49117	1
2022.03.13	14:00:00	20.955	21.082	20.919	21.022	2069	28805	1
2022.03.13	15:00:00	21.022	21.214	21.000	21.072	2345	31560	1
2022.03.13	16:00:00	21.079	21.193	20.980	20.991	1883	28371	1
2022.03.13	17:00:00	20.990	21.071	20.951	21.002	1644	16641	1
2022.03.13	18:00:00	21.004	21.099	20.978	21.050	1184	18825	1
2022.03.13	19:00:00	21.047	21.105	20.890	20.894	1277	15522	1
2022.03.13	20:00:00	20.893	20.893	20.662	20.790	2344	34358	1
2022.03.13	21:00:00	20.788	20.891	20.719	20.814	1435	22887	1
2022.03.13	22:00:00	20.817	20.821	20.200	20.248	4336	60861	1
2022.03.13	23:00:00	20.245	20.249	19.895	19.961	6432	117750	1
2022.03.14	00:00:00	19.962	20.004	19.688	19.920	3873	75386	1
2022.03.14	01:00:00	19.932	20.187	19.812	19.839	3037	44915	1
2022.03.14	02:00:00	19.836	19.972	19.756	19.874	2365	31767	1
2022.03.14	03:00:00	19.874	20.034	19.797	20.005	1961	23662	1
2022.03.14	04:00:00	20.004	20.380	19.963	20.049	3947	63424	1
2022.03.14	05:00:00	20.046	20.166	20.016	20.083	2303	33943	1
2022.03.14	06:00:00	20.073	20.268	20.067	20.176	1886	29045	1
2022.03.14	07:00:00	20.171	20.446	20.146	20.390	2286	30372	1
2022.03.14	08:00:00	20.395	20.531	20.315	20.388	2250	31469	1
2022.03.14	09:00:00	20.390	20.528	20.296	20.447	1929	22200	1
2022.03.14	10:00:00	20.449	20.475	20.318	20.441	2122	35012	1
2022.03.14	11:00:00	20.444	20.445	20.172	20.259	2855	41115	1
2022.03.14	12:00:00	20.256	20.288	20.060	20.226	2871	41288	1
2022.03.14	13:00:00	20.220	20.328	20.064	20.184	2613	23661	1
2022.03.14	14:00:00	20.179	20.432	20.132	20.357	3381	38773	1
2022.03.14	15:00:00	20.364	20.978	20.312	20.732	10381	191516	1
2022.03.14	16:00:00	20.734	21.353	20.724	20.897	10530	197178	1
2022.03.14	17:00:00	20.898	21.017	20.700	20.855	5265	144672	1
2022.03.14	18:00:00	20.855	20.878	20.560	20.763	5105	120539	1
2022.03.14	19:00:00	20.763	20.859	20.614	20.738	3336	56449	1
2022.03.14	20:00:00	20.737	20.819	20.591	20.718	2831	48489	1
2022.03.14	21:00:00	20.722	20.894	20.620	20.696	2381	29715	1
2022.03.14	22:00:00	20.697	20.961	20.615	20.764	5003	73183	1
2022.03.14	23:00:00	20.770	21.019	20.770	20.923	2586	41860	1
2022.03.15	00:00:00	20.914	20.941	20.682	20.823	2831	55044	1
2022.03.15	01:00:00	20.821	20.840	20.030	20.491	8642	176747	1
2022.03.15	02:00:00	20.487	20.698	20.456	20.679	2263	37119	1
2022.03.15	03:00:00	20.664	20.755	20.475	20.542	2251	30642	1
2022.03.15	04:00:00	20.537	20.943	20.501	20.739	4603	64206	1
2022.03.15	05:00:00	20.741	20.767	20.565	20.669	2794	40393	1
2022.03.15	06:00:00	20.670	20.866	20.623	20.624	1867	24559	1
2022.03.15	07:00:00	20.631	20.638	20.207	20.399	3943	58240	1
2022.03.15	08:00:00	20.400	20.566	20.279	20.424	3754	49888	1
2022.03.15	09:00:00	20.426	20.661	20.340	20.549	2635	40760	1
2022.03.15	10:00:00	20.545	20.611	20.410	20.444	2339	30325	1
2022.03.15	11:00:00	20.443	20.657	20.438	20.479	3186	38710	1
2022.03.15	12:00:00	20.479	20.642	20.436	20.624	2433	30302	1
2022.03.15	13:00:00	20.619	20.800	20.496	20.618	4377	77132	1
2022.03.15	14:00:00	20.611	20.667	20.319	20.366	4329	59776	1
2022.03.15	15:00:00	20.371	20.622	20.362	20.431	2641	32346	1
2022.03.15	16:00:00	20.430	20.660	20.391	20.571	3032	39407	1
2022.03.15	17:00:00	20.570	20.615	20.401	20.601	2219	25646	1
2022.03.15	18:00:00	20.601	20.800	20.522	20.764	2477	35820	1
2022.03.15	19:00:00	20.759	20.961	20.700	20.745	4275	65858	1
2022.03.15	20:00:00	20.742	20.871	20.565	20.689	2824	41783	1
2022.03.15	21:00:00	20.688	21.180	20.568	21.122	3548	57961	1
2022.03.15	22:00:00	21.122	21.299	20.898	21.237	4267	67612	1
2022.03.15	23:00:00	21.237	21.322	20.991	21.097	3459	61076	1
2022.03.16	00:00:00	21.095	21.214	21.020	21.078	2221	28722	1
2022.03.16	01:00:00	21.079	21.400	21.050	21.277	2776	36623	1
2022.03.16	02:00:00	21.268	21.758	21.203	21.321	7546	101296	1
2022.03.16	03:00:00	21.332	21.418	20.924	21.135	5171	67051	1
2022.03.16	04:00:00	21.135	22.204	21.104	21.643	15205	260086	1
2022.03.16	05:00:00	21.641	21.950	21.430	21.775	5801	92768	1
2022.03.16	06:00:00	21.773	21.908	21.538	21.703	3976	69978	1
2022.03.16	07:00:00	21.702	21.853	21.558	21.823	4103	67445	1
2022.03.16	08:00:00	21.823	21.967	21.719	21.854	3846	54249	1
2022.03.16	09:00:00	21.861	22.015	21.753	21.934	3096	44713	1
2022.03.16	10:00:00	21.939	22.154	21.806	21.836	3146	54050	1
2022.03.16	11:00:00	21.832	21.883	21.680	21.780	2353	29283	1
2022.03.16	12:00:00	21.783	21.865	21.609	21.643	2358	31974	1
2022.03.16	13:00:00	21.640	21.697	21.500	21.640	2518	33028	1
2022.03.16	14:00:00	21.641	21.880	21.555	21.738	4581	62513	1
2022.03.16	15:00:00	21.743	21.869	21.649	21.677	2544	30014	1
2022.03.16	16:00:00	21.682	21.744	21.369	21.541	3425	41539	1
2022.03.16	17:00:00	21.545	21.778	21.402	21.638	3737	49913	1
2022.03.16	18:00:00	21.639	21.808	21.257	21.748	7746	86776	1
2022.03.16	19:00:00	21.748	21.975	21.584	21.686	7611	103718	1
2022.03.16	20:00:00	21.692	21.953	21.646	21.882	5622	91104	1
2022.03.16	21:00:00	21.885	22.125	21.804	22.048	3702	56909	1
2022.03.16	22:00:00	22.053	22.186	21.964	22.026	3931	67320	1
2022.03.16	23:00:00	22.024	22.534	21.972	22.486	5278	68190	1
2022.03.17	00:00:00	22.487	22.573	22.245	22.479	4609	79122	1
2022.03.17	01:00:00	22.477	22.693	22.146	22.613	4549	60102	1
2022.03.17	02:00:00	22.614	22.742	22.492	22.742	3103	41620	1
2022.03.17	03:00:00	22.737	22.749	22.495	22.607	2669	37013	1
2022.03.17	04:00:00	22.607	22.816	22.441	22.810	2603	29789	1
2022.03.17	05:00:00	22.791	22.818	22.456	22.502	2509	29995	1
2022.03.17	06:00:00	22.508	22.700	22.478	22.557	3435	42143	1
2022.03.17	07:00:00	22.562	22.577	22.361	22.438	2628	30346	1
2022.03.17	08:00:00	22.438	22.659	22.371	22.643	1838	20623	1
2022.03.17	09:00:00	22.640	22.754	22.569	22.662	2326	27614	1
2022.03.17	10:00:00	22.662	22.662	22.478	22.638	3149	39296	1
2022.03.17	11:00:00	22.629	22.667	22.486	22.606	3910	40036	1
2022.03.17	12:00:00	22.603	22.923	22.552	22.776	5089	76128	1
2022.03.17	13:00:00	22.780	22.952	22.666	22.858	4572	59673	1
2022.03.17	14:00:00	22.855	22.999	22.600	22.642	3455	45468	1
2022.03.17	15:00:00	22.641	22.642	22.375	22.485	4441	68639	1
2022.03.17	16:00:00	22.487	22.734	22.401	22.691	4307	58757	1
2022.03.17	17:00:00	22.691	22.824	22.225	22.251	9496	143494	1
2022.03.17	18:00:00	22.252	22.993	22.246	22.844	9811	158850	1
2022.03.17	19:00:00	22.844	23.080	22.734	22.902	5329	90152	1
2022.03.17	20:00:00	22.906	22.964	22.581	22.597	4870	74323	1
2022.03.17	21:00:00	22.595	22.848	22.532	22.825	3232	48708	1
2022.03.17	22:00:00	22.826	22.848	22.221	22.698	9586	171929	1
2022.03.17	23:00:00	22.699	22.765	22.512	22.687	2693	43971	1
2022.03.18	00:00:00	22.688	23.388	22.378	22.772	14130	225527	1
2022.03.18	01:00:00	22.773	23.278	22.662	23.136	7076	109957	1
2022.03.18	02:00:00	23.138	23.561	22.756	23.497	8029	128474	1
2022.03.18	03:00:00	23.499	23.634	23.303	23.439	7023	111096	1
2022.03.18	04:00:00	23.433	23.694	23.217	23.653	5524	87170	1
2022.03.18	05:00:00	23.648	23.820	23.367	23.671	6095	115752	1
2022.03.18	06:00:00	23.665	23.900	23.534	23.821	5548	91964	1
2022.03.18	07:00:00	23.821	23.913	23.663	23.872	4392	64182	1
2022.03.18	08:00:00	23.872	23.980	23.592	23.739	6227	94692	1
2022.03.18	09:00:00	23.732	24.320	23.674	24.012	10534	193705	1
2022.03.18	10:00:00	24.017	24.113	23.720	23.902	6620	105247	1
2022.03.18	11:00:00	23.904	23.999	23.552	23.595	6670	98191	1
2022.03.18	12:00:00	23.602	23.725	23.427	23.546	5810	79148	1
2022.03.18	13:00:00	23.546	23.709	23.441	23.492	4711	56748	1
2022.03.18	14:00:00	23.492	23.539	23.129	23.207	7386	100348	1
2022.03.18	15:00:00	23.208	23.737	23.190	23.669	7484	120776	1
2022.03.18	16:00:00	23.670	24.068	23.635	23.993	7746	125112	1
2022.03.18	17:00:00	23.993	24.137	23.895	24.071	4798	74278	1
2022.03.18	18:00:00	24.072	24.452	23.995	24.295	7506	110056	1
