<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	48.31	49.13	48.30	49.12	2657	76014	1
2021.10.04	10:00:00	49.13	49.13	48.26	48.67	3701	104956	1
2021.10.04	11:00:00	48.68	48.72	47.86	48.30	4145	121779	1
2021.10.04	12:00:00	48.31	48.89	48.01	48.65	4401	111794	1
2021.10.04	13:00:00	48.64	49.29	48.55	49.26	5342	142617	1
2021.10.04	14:00:00	49.24	49.58	47.51	47.97	9602	292043	1
2021.10.04	15:00:00	47.95	48.37	46.76	48.26	9694	240861	1
2021.10.04	16:00:00	48.27	49.03	48.10	48.73	7030	179032	1
2021.10.04	17:00:00	48.74	49.40	48.29	49.23	5700	169619	1
2021.10.04	18:00:00	49.22	49.50	48.71	49.01	5573	160605	1
2021.10.04	19:00:00	49.03	49.15	48.52	48.96	3680	94470	1
2021.10.04	20:00:00	48.96	49.08	48.10	48.16	5576	147380	1
2021.10.04	21:00:00	48.15	48.26	47.77	48.13	3464	89869	1
2021.10.04	22:00:00	48.13	48.54	48.04	48.30	3509	101638	1
2021.10.04	23:00:00	48.31	49.18	48.27	48.99	4515	131689	1
2021.10.05	00:00:00	48.98	49.93	48.32	49.89	7775	194724	1
2021.10.05	01:00:00	49.90	53.65	49.63	53.58	22734	651357	1
2021.10.05	02:00:00	53.58	54.39	52.65	54.18	19008	534783	1
2021.10.05	03:00:00	54.18	54.87	53.24	54.40	16667	450943	1
2021.10.05	04:00:00	54.41	54.43	52.97	53.61	14569	354282	1
2021.10.05	05:00:00	53.62	54.45	53.43	54.07	11185	215632	1
2021.10.05	06:00:00	54.07	55.65	54.07	54.53	21002	587805	1
2021.10.05	07:00:00	54.54	55.39	54.14	54.50	13078	346807	1
2021.10.05	08:00:00	54.50	56.00	54.40	55.67	16329	442880	1
2021.10.05	09:00:00	55.68	55.90	54.28	54.88	15517	429606	1
2021.10.05	10:00:00	54.87	55.65	54.05	54.38	12952	342046	1
2021.10.05	11:00:00	54.36	55.46	54.30	55.11	10352	246442	1
2021.10.05	12:00:00	55.12	56.15	54.75	55.03	14371	383447	1
2021.10.05	13:00:00	55.03	55.53	54.42	55.02	10862	262880	1
2021.10.05	14:00:00	55.05	55.20	52.38	53.22	20494	573642	1
2021.10.05	15:00:00	53.21	54.14	52.78	53.32	12126	316309	1
2021.10.05	16:00:00	53.32	55.18	53.00	54.81	16737	415791	1
2021.10.05	17:00:00	54.80	56.30	54.46	55.73	18383	500889	1
2021.10.05	18:00:00	55.72	56.45	55.10	56.15	14149	353979	1
2021.10.05	19:00:00	56.15	56.60	55.20	55.38	11071	280312	1
2021.10.05	20:00:00	55.38	57.25	55.17	56.85	16886	380677	1
2021.10.05	21:00:00	56.85	56.97	55.24	55.44	11303	284281	1
2021.10.05	22:00:00	55.44	55.56	54.56	54.76	10447	238625	1
2021.10.05	23:00:00	54.76	54.99	54.34	54.48	5764	149086	1
2021.10.06	00:00:00	54.49	54.65	53.57	53.91	7690	223276	1
2021.10.06	01:00:00	53.91	54.30	53.02	54.04	7726	205812	1
2021.10.06	02:00:00	54.05	54.66	53.52	54.43	5523	153630	1
2021.10.06	03:00:00	54.43	54.51	53.23	53.26	6134	159477	1
2021.10.06	04:00:00	53.26	53.60	52.50	53.51	10115	317904	1
2021.10.06	05:00:00	53.50	54.05	53.27	53.71	7321	198188	1
2021.10.06	06:00:00	53.72	54.25	53.14	53.20	4827	130486	1
2021.10.06	07:00:00	53.19	53.84	52.16	53.26	9754	250023	1
2021.10.06	08:00:00	53.27	53.49	50.28	51.08	18449	556730	1
2021.10.06	09:00:00	51.08	51.59	50.59	51.36	9011	232624	1
2021.10.06	10:00:00	51.35	52.14	51.14	51.72	8685	220764	1
2021.10.06	11:00:00	51.72	52.07	51.21	51.57	7043	181615	1
2021.10.06	12:00:00	51.57	52.86	51.35	52.62	9448	251052	1
2021.10.06	13:00:00	52.63	55.71	52.33	54.58	25446	678564	1
2021.10.06	14:00:00	54.58	56.66	54.05	56.25	16989	432042	1
2021.10.06	15:00:00	56.26	56.33	55.59	55.69	10126	269931	1
2021.10.06	16:00:00	55.67	57.08	55.63	56.07	11913	313959	1
2021.10.06	17:00:00	56.06	56.07	55.20	55.45	8245	209532	1
