<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	13.867	14.107	13.861	13.985	8663	659912	1
2022.03.09	09:00:00	13.985	14.012	13.874	13.892	9144	740575	1
2022.03.09	10:00:00	13.892	13.958	13.875	13.936	3145	234170	1
2022.03.09	11:00:00	13.989	14.072	13.985	14.034	2549	164408	1
2022.03.09	12:00:00	14.034	14.258	13.900	14.032	15446	1481208	1
2022.03.09	13:00:00	14.030	14.089	13.888	14.011	9431	792367	1
2022.03.09	14:00:00	14.011	14.173	13.991	14.058	11353	881375	1
2022.03.09	15:00:00	14.062	14.350	14.044	14.306	13057	1087256	1
2022.03.09	16:00:00	14.308	14.447	14.178	14.241	15072	1270801	1
2022.03.09	17:00:00	14.239	14.296	14.132	14.254	7605	497866	1
2022.03.09	18:00:00	14.253	14.253	13.906	13.957	10989	807112	1
2022.03.09	19:00:00	13.957	14.024	13.827	13.935	8792	624732	1
2022.03.09	20:00:00	13.936	13.998	13.812	13.853	5931	337826	1
2022.03.09	21:00:00	13.854	13.926	13.806	13.862	4748	344212	1
2022.03.09	22:00:00	13.863	13.921	13.793	13.835	3780	282593	1
2022.03.09	23:00:00	13.836	14.036	13.802	14.000	6592	464513	1
2022.03.10	00:00:00	14.000	14.109	13.905	13.957	8167	584092	1
2022.03.10	01:00:00	13.956	14.045	13.640	13.712	13325	1216553	1
2022.03.10	02:00:00	13.711	13.798	13.653	13.692	9446	608871	1
2022.03.10	03:00:00	13.691	13.813	13.651	13.699	5712	406873	1
2022.03.10	04:00:00	13.701	13.736	13.322	13.331	19656	1528647	1
2022.03.10	05:00:00	13.331	13.355	12.989	13.090	20723	1646322	1
2022.03.10	06:00:00	13.092	13.142	13.008	13.091	9032	549070	1
2022.03.10	07:00:00	13.091	13.162	13.059	13.114	5786	543568	1
2022.03.10	08:00:00	13.113	13.147	12.987	13.136	9451	720940	1
2022.03.10	09:00:00	13.137	13.211	13.071	13.127	5866	463318	1
2022.03.10	10:00:00	13.125	13.168	13.076	13.104	5145	355565	1
2022.03.10	11:00:00	13.103	13.195	13.052	13.185	5861	418122	1
2022.03.10	12:00:00	13.185	13.315	13.124	13.214	8557	760225	1
2022.03.10	13:00:00	13.213	13.440	12.939	13.113	24067	2137449	1
2022.03.10	14:00:00	13.114	13.298	13.033	13.282	11713	829457	1
2022.03.10	15:00:00	13.283	13.397	13.157	13.263	12755	849350	1
2022.03.10	16:00:00	13.262	13.311	13.107	13.236	9096	638516	1
2022.03.10	17:00:00	13.238	13.268	13.141	13.181	8688	505825	1
2022.03.10	18:00:00	13.182	13.238	13.105	13.214	7942	468601	1
2022.03.10	19:00:00	13.214	13.338	13.186	13.319	6137	407167	1
2022.03.10	20:00:00	13.319	13.330	13.205	13.300	4769	310211	1
2022.03.10	21:00:00	13.299	13.314	13.172	13.185	3312	252211	1
2022.03.10	22:00:00	13.189	13.241	13.078	13.225	4148	362764	1
2022.03.10	23:00:00	13.225	13.274	13.136	13.173	4647	357018	1
2022.03.11	00:00:00	13.174	13.202	13.040	13.131	7009	524222	1
2022.03.11	01:00:00	13.130	13.134	12.912	12.964	10097	662470	1
2022.03.11	02:00:00	12.962	12.999	12.793	12.844	10744	827485	1
2022.03.11	03:00:00	12.845	12.980	12.824	12.957	6484	443764	1
2022.03.11	04:00:00	12.958	12.967	12.805	12.859	5166	313295	1
2022.03.11	05:00:00	12.858	13.085	12.850	13.058	7374	535242	1
2022.03.11	06:00:00	13.058	13.224	13.034	13.214	8188	668080	1
2022.03.11	07:00:00	13.213	13.373	13.204	13.318	9955	799582	1
2022.03.11	08:00:00	13.316	13.321	13.180	13.206	8371	710212	1
2022.03.11	09:00:00	13.205	13.282	13.168	13.212	4981	350219	1
2022.03.11	10:00:00	13.212	13.267	13.201	13.257	4383	308507	1
2022.03.11	11:00:00	13.256	13.615	13.128	13.512	21203	1513469	1
2022.03.11	12:00:00	13.512	13.646	13.453	13.493	11936	841906	1
2022.03.11	13:00:00	13.492	13.515	13.317	13.350	10687	755386	1
2022.03.11	14:00:00	13.350	13.453	13.241	13.317	9252	660188	1
2022.03.11	15:00:00	13.318	13.321	13.125	13.196	12673	980668	1
2022.03.11	16:00:00	13.195	13.213	13.066	13.147	10144	792825	1
2022.03.11	17:00:00	13.147	13.156	13.022	13.100	6556	452794	1
2022.03.11	18:00:00	13.099	13.140	13.020	13.026	4133	276537	1
2022.03.11	19:00:00	13.026	13.067	12.971	13.005	4634	360737	1
2022.03.11	20:00:00	13.002	13.073	12.900	12.938	6052	421963	1
2022.03.11	21:00:00	12.937	13.200	12.933	13.129	7719	511698	1
2022.03.11	22:00:00	13.129	13.223	13.089	13.118	5982	459996	1
2022.03.11	23:00:00	13.119	13.142	13.031	13.038	4828	454759	1
2022.03.12	00:00:00	13.038	13.284	13.008	13.250	7371	558670	1
2022.03.12	01:00:00	13.250	13.421	13.250	13.381	7173	553220	1
2022.03.12	02:00:00	13.381	13.445	13.275	13.299	5656	497039	1
2022.03.12	03:00:00	13.300	13.395	13.279	13.301	4229	350622	1
2022.03.12	04:00:00	13.301	13.399	13.251	13.353	5334	437377	1
2022.03.12	05:00:00	13.354	13.386	13.295	13.350	3234	216027	1
2022.03.12	06:00:00	13.350	13.405	13.265	13.287	4171	290922	1
2022.03.12	07:00:00	13.289	13.316	13.222	13.252	4808	334631	1
2022.03.12	08:00:00	13.252	13.260	13.102	13.182	7045	525110	1
2022.03.12	09:00:00	13.184	13.253	13.157	13.234	4245	268170	1
2022.03.12	10:00:00	13.235	13.297	13.198	13.261	4077	276648	1
2022.03.12	11:00:00	13.261	13.315	13.159	13.180	4602	407756	1
2022.03.12	12:00:00	13.180	13.289	13.153	13.235	4575	431709	1
2022.03.12	13:00:00	13.237	13.274	13.164	13.192	3416	265744	1
2022.03.12	14:00:00	13.192	13.226	13.070	13.176	5456	438821	1
2022.03.12	15:00:00	13.176	13.272	13.134	13.188	4183	430424	1
2022.03.12	16:00:00	13.188	13.334	13.157	13.326	5238	474867	1
2022.03.12	17:00:00	13.327	13.450	13.326	13.363	8647	770832	1
2022.03.12	18:00:00	13.363	13.398	13.305	13.374	3635	314921	1
2022.03.12	19:00:00	13.373	13.374	13.299	13.326	3000	282740	1
2022.03.12	20:00:00	13.325	13.373	13.289	13.324	3126	251936	1
2022.03.12	21:00:00	13.324	13.344	13.251	13.278	2433	188674	1
2022.03.12	22:00:00	13.279	13.279	13.190	13.232	4112	511349	1
2022.03.12	23:00:00	13.233	13.262	13.104	13.138	4012	390894	1
2022.03.13	00:00:00	13.136	13.171	13.067	13.149	5018	419205	1
2022.03.13	01:00:00	13.149	13.242	13.134	13.215	4093	386312	1
2022.03.13	02:00:00	13.218	13.313	13.211	13.295	4423	410170	1
2022.03.13	03:00:00	13.299	13.376	13.299	13.365	4185	447020	1
2022.03.13	04:00:00	13.366	13.431	13.355	13.367	4266	446016	1
2022.03.13	05:00:00	13.375	13.413	13.346	13.362	1807	211669	1
2022.03.13	06:00:00	13.364	13.365	13.305	13.351	2892	254426	1
2022.03.13	07:00:00	13.353	13.386	13.316	13.326	2717	250820	1
2022.03.13	08:00:00	13.326	13.348	13.270	13.297	3784	377799	1
2022.03.13	09:00:00	13.297	13.345	13.223	13.263	5408	432154	1
2022.03.13	10:00:00	13.262	13.263	13.191	13.222	3871	444066	1
2022.03.13	11:00:00	13.222	13.237	13.097	13.143	5993	626982	1
2022.03.13	12:00:00	13.142	13.165	12.974	13.047	8942	972497	1
2022.03.13	13:00:00	13.047	13.155	12.983	13.084	7404	734180	1
2022.03.13	14:00:00	13.086	13.161	13.058	13.120	4167	358146	1
2022.03.13	15:00:00	13.119	13.201	13.115	13.172	4915	492823	1
2022.03.13	16:00:00	13.171	13.218	13.108	13.215	3460	332379	1
2022.03.13	17:00:00	13.215	13.280	13.171	13.216	5523	669293	1
2022.03.13	18:00:00	13.216	13.297	13.207	13.258	2945	301750	1
2022.03.13	19:00:00	13.259	13.297	13.167	13.178	3542	354907	1
2022.03.13	20:00:00	13.177	13.177	12.996	13.047	6592	719777	1
2022.03.13	21:00:00	13.047	13.078	13.015	13.078	2863	304826	1
2022.03.13	22:00:00	13.077	13.093	12.565	12.681	15624	1441091	1
2022.03.13	23:00:00	12.679	12.757	12.582	12.696	9620	804038	1
2022.03.14	00:00:00	12.695	12.755	12.587	12.692	8124	660741	1
2022.03.14	01:00:00	12.696	12.818	12.623	12.672	7415	704108	1
2022.03.14	02:00:00	12.673	12.727	12.619	12.661	4013	452281	1
2022.03.14	03:00:00	12.659	12.711	12.608	12.692	3676	295396	1
2022.03.14	04:00:00	12.694	13.167	12.693	13.085	16062	1640071	1
2022.03.14	05:00:00	13.084	13.236	13.082	13.129	9156	956810	1
2022.03.14	06:00:00	13.129	13.264	13.129	13.183	7402	654555	1
2022.03.14	07:00:00	13.183	13.310	13.170	13.233	9161	749123	1
2022.03.14	08:00:00	13.234	13.350	13.230	13.281	7901	709421	1
2022.03.14	09:00:00	13.281	13.322	13.192	13.251	6848	661222	1
2022.03.14	10:00:00	13.251	13.278	13.208	13.273	4359	422461	1
2022.03.14	11:00:00	13.274	13.292	13.138	13.167	5117	544660	1
2022.03.14	12:00:00	13.166	13.196	13.073	13.130	6033	507519	1
2022.03.14	13:00:00	13.128	13.211	13.050	13.167	8573	664247	1
2022.03.14	14:00:00	13.168	13.276	13.106	13.222	8508	702151	1
2022.03.14	15:00:00	13.223	13.231	13.075	13.121	6483	453210	1
2022.03.14	16:00:00	13.118	13.209	13.071	13.093	6570	450813	1
2022.03.14	17:00:00	13.093	13.099	12.888	12.915	9295	1053368	1
2022.03.14	18:00:00	12.915	12.921	12.732	12.808	9097	977352	1
2022.03.14	19:00:00	12.807	12.906	12.795	12.899	5580	677900	1
2022.03.14	20:00:00	12.900	13.009	12.881	12.912	5362	661235	1
2022.03.14	21:00:00	12.912	13.003	12.869	12.961	3397	333815	1
2022.03.14	22:00:00	12.961	13.327	12.952	13.213	12444	1005475	1
2022.03.14	23:00:00	13.215	13.439	13.215	13.398	11825	1142366	1
2022.03.15	00:00:00	13.398	13.594	13.341	13.528	12898	1204382	1
2022.03.15	01:00:00	13.528	13.557	13.312	13.322	11156	1255035	1
2022.03.15	02:00:00	13.323	13.484	13.307	13.407	7461	575458	1
2022.03.15	03:00:00	13.405	13.427	13.195	13.224	7485	663765	1
2022.03.15	04:00:00	13.221	13.276	13.183	13.189	5548	488944	1
2022.03.15	05:00:00	13.189	13.193	13.125	13.130	5365	452345	1
2022.03.15	06:00:00	13.129	13.242	13.081	13.104	5996	649238	1
2022.03.15	07:00:00	13.103	13.107	12.865	12.978	12348	1149933	1
2022.03.15	08:00:00	12.977	12.990	12.915	12.935	5555	458445	1
2022.03.15	09:00:00	12.935	13.026	12.880	12.970	5098	470979	1
2022.03.15	10:00:00	12.974	13.025	12.959	13.005	5747	290671	1
2022.03.15	11:00:00	13.004	13.080	13.000	13.046	8458	488029	1
2022.03.15	12:00:00	13.046	13.155	13.026	13.134	10198	534593	1
2022.03.15	13:00:00	13.133	13.187	12.941	13.056	10992	721356	1
2022.03.15	14:00:00	13.057	13.230	13.028	13.133	11063	768914	1
2022.03.15	15:00:00	13.133	13.336	13.116	13.256	10560	718902	1
2022.03.15	16:00:00	13.257	13.422	13.209	13.389	11055	979664	1
2022.03.15	17:00:00	13.389	13.409	13.298	13.378	6499	510947	1
2022.03.15	18:00:00	13.379	13.464	13.284	13.425	6528	512636	1
2022.03.15	19:00:00	13.427	13.689	13.412	13.563	14428	1405269	1
2022.03.15	20:00:00	13.561	13.644	13.459	13.481	7027	655736	1
2022.03.15	21:00:00	13.481	13.630	13.412	13.625	6652	624528	1
2022.03.15	22:00:00	13.625	13.691	13.589	13.679	6845	561449	1
2022.03.15	23:00:00	13.678	13.798	13.618	13.694	8286	734352	1
2022.03.16	00:00:00	13.693	13.830	13.654	13.689	8654	911531	1
2022.03.16	01:00:00	13.689	13.904	13.679	13.825	8210	656837	1
2022.03.16	02:00:00	13.827	14.260	13.815	14.066	25463	2259515	1
2022.03.16	03:00:00	14.067	14.093	13.682	13.799	18969	2045956	1
2022.03.16	04:00:00	13.799	13.840	13.723	13.782	6216	566564	1
2022.03.16	05:00:00	13.783	13.827	13.686	13.784	5510	579932	1
2022.03.16	06:00:00	13.782	13.953	13.749	13.910	6625	640893	1
2022.03.16	07:00:00	13.909	13.981	13.813	13.980	5591	483364	1
2022.03.16	08:00:00	13.981	14.182	13.944	14.087	11799	1059807	1
2022.03.16	09:00:00	14.088	14.224	14.025	14.117	8966	849392	1
2022.03.16	10:00:00	14.116	14.176	14.031	14.059	6294	575617	1
2022.03.16	11:00:00	14.059	14.162	14.026	14.059	6422	507579	1
2022.03.16	12:00:00	14.060	14.103	14.001	14.009	5441	467325	1
2022.03.16	13:00:00	14.007	14.044	13.898	14.004	7413	599297	1
2022.03.16	14:00:00	14.006	14.188	13.928	14.160	12181	1058517	1
2022.03.16	15:00:00	14.159	14.226	14.093	14.140	7494	622734	1
2022.03.16	16:00:00	14.139	14.275	14.003	14.161	10791	965235	1
2022.03.16	17:00:00	14.162	14.214	14.031	14.108	7693	619605	1
2022.03.16	18:00:00	14.109	14.161	13.719	14.055	28700	2840074	1
2022.03.16	19:00:00	14.049	14.463	14.018	14.451	19306	1719026	1
2022.03.16	20:00:00	14.452	14.698	14.381	14.628	14784	1187223	1
2022.03.16	21:00:00	14.627	14.675	14.417	14.569	7788	649757	1
2022.03.16	22:00:00	14.569	14.576	14.456	14.493	4529	407391	1
2022.03.16	23:00:00	14.493	14.780	14.464	14.661	7068	605174	1
2022.03.17	00:00:00	14.662	14.784	14.577	14.732	8043	718757	1
2022.03.17	01:00:00	14.732	14.768	14.554	14.712	6551	520502	1
2022.03.17	02:00:00	14.711	14.781	14.670	14.759	6418	558271	1
2022.03.17	03:00:00	14.758	14.759	14.637	14.648	5221	317010	1
2022.03.17	04:00:00	14.646	14.665	14.454	14.642	11747	1189793	1
2022.03.17	05:00:00	14.638	14.643	14.483	14.497	5524	478375	1
2022.03.17	06:00:00	14.497	14.516	14.253	14.310	10220	1089465	1
2022.03.17	07:00:00	14.309	14.374	14.215	14.351	7594	725508	1
2022.03.17	08:00:00	14.351	14.604	14.340	14.553	7959	728342	1
2022.03.17	09:00:00	14.553	14.743	14.456	14.710	9872	990916	1
2022.03.17	10:00:00	14.710	14.717	14.543	14.690	9719	867429	1
2022.03.17	11:00:00	14.690	14.872	14.684	14.819	11968	984981	1
2022.03.17	12:00:00	14.818	14.926	14.659	14.706	13847	1210550	1
2022.03.17	13:00:00	14.706	14.759	14.594	14.697	8528	673847	1
2022.03.17	14:00:00	14.699	14.803	14.501	14.545	9014	844798	1
2022.03.17	15:00:00	14.544	14.625	14.500	14.540	5659	429810	1
2022.03.17	16:00:00	14.541	14.616	14.507	14.523	5168	435638	1
2022.03.17	17:00:00	14.523	14.550	14.423	14.512	6930	548573	1
2022.03.17	18:00:00	14.508	14.539	14.430	14.457	4679	319264	1
2022.03.17	19:00:00	14.456	14.546	14.445	14.546	5798	335271	1
2022.03.17	20:00:00	14.547	14.555	14.412	14.464	5717	493132	1
2022.03.17	21:00:00	14.464	14.570	14.436	14.569	4162	306406	1
2022.03.17	22:00:00	14.569	14.588	14.471	14.532	4626	262606	1
2022.03.17	23:00:00	14.530	14.547	14.360	14.404	5232	504476	1
2022.03.18	00:00:00	14.404	14.492	14.133	14.181	10886	1213058	1
2022.03.18	01:00:00	14.182	14.297	14.137	14.263	7045	698080	1
2022.03.18	02:00:00	14.262	14.271	14.152	14.195	4457	323072	1
2022.03.18	03:00:00	14.195	14.218	14.115	14.178	4299	349423	1
2022.03.18	04:00:00	14.177	14.248	14.143	14.226	3715	253409	1
2022.03.18	05:00:00	14.226	14.408	14.226	14.388	5721	460114	1
2022.03.18	06:00:00	14.389	14.544	14.389	14.463	6360	636081	1
2022.03.18	07:00:00	14.462	14.497	14.389	14.414	5234	337160	1
2022.03.18	08:00:00	14.414	14.699	14.357	14.573	11621	930313	1
2022.03.18	09:00:00	14.574	14.634	14.528	14.555	7331	506135	1
2022.03.18	10:00:00	14.555	14.698	14.478	14.510	7958	728747	1
2022.03.18	11:00:00	14.509	14.699	14.491	14.666	9113	836569	1
2022.03.18	12:00:00	14.664	14.826	14.608	14.653	11677	1123275	1
2022.03.18	13:00:00	14.653	14.779	14.560	14.768	8763	703253	1
2022.03.18	14:00:00	14.769	15.030	14.769	14.927	17765	1660846	1
2022.03.18	15:00:00	14.924	15.088	14.885	15.068	16166	1183291	1
2022.03.18	16:00:00	15.068	15.192	14.975	15.166	16467	1177638	1
2022.03.18	17:00:00	15.166	15.273	15.064	15.099	11071	953212	1
2022.03.18	18:00:00	15.098	15.138	14.995	15.013	6922	586621	1
2022.03.18	19:00:00	15.013	15.070	14.920	15.058	7850	736171	1
2022.03.18	20:00:00	15.059	15.147	14.962	14.968	7588	604129	1
2022.03.18	21:00:00	14.968	15.018	14.902	14.959	5107	375941	1
2022.03.18	22:00:00	14.960	15.009	14.881	14.886	5751	352383	1
2022.03.18	23:00:00	14.887	15.056	14.887	15.006	5590	315974	1
2022.03.19	00:00:00	15.005	15.203	15.003	15.127	9465	566979	1
2022.03.19	01:00:00	15.126	15.126	14.959	14.977	8115	439015	1
2022.03.19	02:00:00	14.974	15.046	14.903	15.035	7741	375338	1
2022.03.19	03:00:00	15.035	15.036	14.820	14.923	6769	537528	1
2022.03.19	04:00:00	14.922	14.949	14.857	14.911	4713	445718	1
2022.03.19	05:00:00	14.911	14.914	14.857	14.890	4041	271293	1
2022.03.19	06:00:00	14.890	14.985	14.860	14.934	3833	275141	1
2022.03.19	07:00:00	14.934	15.028	14.908	14.984	5491	382919	1
2022.03.19	08:00:00	14.985	15.010	14.936	14.960	4841	301627	1
2022.03.19	09:00:00	14.958	15.046	14.917	15.035	6166	328919	1
2022.03.19	10:00:00	15.035	15.068	14.920	14.961	6777	314233	1
2022.03.19	11:00:00	14.961	15.093	14.903	15.036	9001	475060	1
2022.03.19	12:00:00	15.036	15.235	14.990	15.224	11292	604714	1
2022.03.19	13:00:00	15.224	15.253	15.007	15.071	12361	701380	1
2022.03.19	14:00:00	15.072	15.289	15.009	15.237	11465	691548	1
2022.03.19	15:00:00	15.236	15.366	15.130	15.335	14003	1009518	1
2022.03.19	16:00:00	15.335	15.401	15.250	15.312	9496	648699	1
2022.03.19	17:00:00	15.315	15.323	15.150	15.216	8304	767476	1
2022.03.19	18:00:00	15.219	15.242	15.118	15.226	5305	388819	1
2022.03.19	19:00:00	15.226	15.234	15.082	15.106	5069	363934	1
2022.03.19	20:00:00	15.106	15.184	15.019	15.107	6847	573047	1
2022.03.19	21:00:00	15.107	15.235	15.106	15.154	4494	359159	1
2022.03.19	22:00:00	15.155	15.182	14.834	14.931	12062	1395437	1
2022.03.19	23:00:00	14.931	15.009	14.870	14.996	5204	518396	1
2022.03.20	00:00:00	14.994	15.135	14.856	14.969	7565	646893	1
2022.03.20	01:00:00	14.968	15.038	14.852	15.014	6364	548332	1
2022.03.20	02:00:00	15.012	15.019	14.861	14.930	4430	390454	1
2022.03.20	03:00:00	14.930	14.983	14.901	14.929	4310	266812	1
2022.03.20	04:00:00	14.931	14.946	14.880	14.897	3893	185430	1
2022.03.20	05:00:00	14.957	15.030	14.917	15.026	2209	173443	1
2022.03.20	06:00:00	15.027	15.089	14.989	14.989	4250	361296	1
2022.03.20	07:00:00	14.989	15.065	14.947	14.994	3681	349705	1
2022.03.20	08:00:00	14.995	14.997	14.911	14.926	3326	248181	1
2022.03.20	09:00:00	14.926	14.966	14.708	14.837	9087	747708	1
2022.03.20	10:00:00	14.839	14.862	14.725	14.815	5803	380641	1
2022.03.20	11:00:00	14.816	14.844	14.723	14.729	5372	343227	1
2022.03.20	12:00:00	14.729	14.755	14.557	14.677	10598	1048375	1
2022.03.20	13:00:00	14.677	14.715	14.612	14.653	5663	395629	1
2022.03.20	14:00:00	14.653	14.720	14.598	14.662	5880	432270	1
2022.03.20	15:00:00	14.663	14.729	14.586	14.663	6454	457583	1
2022.03.20	16:00:00	14.664	14.776	14.604	14.652	6977	587508	1
2022.03.20	17:00:00	14.650	14.696	14.423	14.502	9316	776517	1
2022.03.20	18:00:00	14.497	14.585	14.452	14.536	5310	402331	1
2022.03.20	19:00:00	14.538	14.644	14.505	14.634	3769	279708	1
2022.03.20	20:00:00	14.635	14.749	14.535	14.558	6596	394334	1
2022.03.20	21:00:00	14.562	14.679	14.516	14.621	6274	271010	1
2022.03.20	22:00:00	14.621	14.641	14.511	14.641	6814	362934	1
2022.03.20	23:00:00	14.642	14.659	14.512	14.547	4656	413765	1
2022.03.21	00:00:00	14.546	14.640	14.454	14.587	5908	447338	1
2022.03.21	01:00:00	14.589	14.630	14.471	14.495	4251	293038	1
2022.03.21	02:00:00	14.496	14.546	14.280	14.404	9752	824679	1
2022.03.21	03:00:00	14.404	14.518	14.386	14.469	4268	311461	1
