<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	13.867	14.032	13.861	13.964	2446	208612	1
2022.03.09	08:45:00	13.962	14.107	13.919	13.985	6217	451300	1
2022.03.09	09:00:00	13.985	14.004	13.874	13.915	3390	277983	1
2022.03.09	09:15:00	13.917	14.003	13.887	13.960	1932	151633	1
2022.03.09	09:30:00	13.960	14.001	13.932	13.978	1957	114766	1
2022.03.09	09:45:00	13.977	14.012	13.877	13.892	1865	196193	1
2022.03.09	10:00:00	13.892	13.941	13.875	13.932	1820	120173	1
2022.03.09	10:15:00	13.932	13.958	13.923	13.936	1325	113997	1
2022.03.09	11:30:00	13.989	14.058	13.985	14.031	924	51953	1
2022.03.09	11:45:00	14.031	14.072	14.022	14.034	1625	112455	1
2022.03.09	12:00:00	14.034	14.081	14.034	14.066	1669	96861	1
2022.03.09	12:15:00	14.066	14.171	14.038	14.137	3529	384917	1
2022.03.09	12:30:00	14.139	14.258	13.900	13.967	6877	703388	1
2022.03.09	12:45:00	13.966	14.068	13.930	14.032	3371	296042	1
2022.03.09	13:00:00	14.030	14.083	13.963	14.035	2453	279009	1
2022.03.09	13:15:00	14.034	14.089	14.000	14.016	2161	179212	1
2022.03.09	13:30:00	14.017	14.041	13.924	13.928	2060	136052	1
2022.03.09	13:45:00	13.929	14.011	13.888	14.011	2757	198094	1
2022.03.09	14:00:00	14.011	14.173	13.991	14.060	4520	410799	1
2022.03.09	14:15:00	14.063	14.102	14.037	14.060	1957	132991	1
2022.03.09	14:30:00	14.060	14.146	13.992	14.091	2887	207746	1
2022.03.09	14:45:00	14.091	14.127	14.021	14.058	1989	129839	1
2022.03.09	15:00:00	14.062	14.146	14.044	14.136	2319	146817	1
2022.03.09	15:15:00	14.139	14.172	14.066	14.124	2330	202902	1
2022.03.09	15:30:00	14.125	14.206	14.082	14.171	2202	150790	1
2022.03.09	15:45:00	14.172	14.350	14.140	14.306	6206	586747	1
2022.03.09	16:00:00	14.308	14.447	14.189	14.248	7554	773796	1
2022.03.09	16:15:00	14.247	14.311	14.203	14.290	2640	180575	1
2022.03.09	16:30:00	14.290	14.347	14.228	14.279	2849	194649	1
2022.03.09	16:45:00	14.279	14.283	14.178	14.241	2029	121781	1
2022.03.09	17:00:00	14.239	14.282	14.208	14.237	1510	88981	1
2022.03.09	17:15:00	14.234	14.255	14.132	14.200	2533	183630	1
2022.03.09	17:30:00	14.201	14.232	14.193	14.220	1507	68363	1
2022.03.09	17:45:00	14.220	14.296	14.213	14.254	2055	156892	1
2022.03.09	18:00:00	14.253	14.253	14.154	14.168	2017	108984	1
2022.03.09	18:15:00	14.169	14.183	13.989	14.015	3177	274755	1
2022.03.09	18:30:00	14.014	14.043	13.914	13.957	3011	231386	1
2022.03.09	18:45:00	13.957	13.996	13.906	13.957	2784	191987	1
2022.03.09	19:00:00	13.957	13.963	13.849	13.865	2240	164180	1
2022.03.09	19:15:00	13.866	13.951	13.827	13.923	2922	210723	1
2022.03.09	19:30:00	13.923	14.024	13.914	13.991	2203	133147	1
2022.03.09	19:45:00	13.991	14.021	13.926	13.935	1427	116682	1
2022.03.09	20:00:00	13.936	13.998	13.916	13.930	1849	110503	1
2022.03.09	20:15:00	13.931	13.951	13.916	13.931	930	34834	1
2022.03.09	20:30:00	13.930	13.930	13.837	13.861	1379	85526	1
2022.03.09	20:45:00	13.859	13.913	13.812	13.853	1773	106963	1
2022.03.09	21:00:00	13.854	13.915	13.806	13.820	1448	103148	1
2022.03.09	21:15:00	13.818	13.866	13.809	13.859	1028	91592	1
2022.03.09	21:30:00	13.859	13.919	13.815	13.885	1126	65770	1
2022.03.09	21:45:00	13.885	13.926	13.846	13.862	1146	83702	1
2022.03.09	22:00:00	13.863	13.921	13.850	13.860	866	62270	1
2022.03.09	22:15:00	13.861	13.876	13.829	13.853	979	68149	1
2022.03.09	22:30:00	13.854	13.882	13.810	13.822	865	60529	1
2022.03.09	22:45:00	13.823	13.846	13.793	13.835	1070	91645	1
2022.03.09	23:00:00	13.836	13.907	13.802	13.897	1404	88116	1
2022.03.09	23:15:00	13.898	13.946	13.873	13.942	1386	93074	1
2022.03.09	23:30:00	13.942	14.024	13.938	14.005	2213	158746	1
2022.03.09	23:45:00	14.004	14.036	13.968	14.000	1589	124577	1
2022.03.10	00:00:00	14.000	14.077	13.905	14.042	3678	320482	1
2022.03.10	00:15:00	14.041	14.109	14.013	14.031	1862	104349	1
2022.03.10	00:30:00	14.031	14.054	13.956	14.020	1409	74201	1
2022.03.10	00:45:00	14.025	14.041	13.936	13.957	1218	85060	1
2022.03.10	01:00:00	13.956	13.973	13.855	13.943	1720	158949	1
2022.03.10	01:15:00	13.942	14.045	13.929	14.004	1437	127278	1
