<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	0.7549	0.7648	0.7545	0.7598	1836	1817275	1
2022.03.09	09:00:00	0.7597	0.7612	0.7540	0.7545	2661	2096147	1
2022.03.09	10:00:00	0.7545	0.7572	0.7509	0.7528	1442	1633659	1
2022.03.09	11:00:00	0.7533	0.7604	0.7529	0.7564	1934	1351375	1
2022.03.09	12:00:00	0.7563	0.7644	0.7452	0.7529	6128	5090694	1
2022.03.09	13:00:00	0.7528	0.7560	0.7462	0.7515	4133	3231657	1
2022.03.09	14:00:00	0.7516	0.7596	0.7512	0.7530	4102	2934759	1
2022.03.09	15:00:00	0.7532	0.7606	0.7500	0.7594	3364	2461835	1
2022.03.09	16:00:00	0.7594	0.7605	0.7506	0.7536	3882	2870136	1
2022.03.09	17:00:00	0.7535	0.7574	0.7502	0.7537	2378	1843797	1
2022.03.09	18:00:00	0.7537	0.7538	0.7384	0.7420	3983	3564197	1
2022.03.09	19:00:00	0.7421	0.7442	0.7347	0.7415	3810	2943597	1
2022.03.09	20:00:00	0.7417	0.7417	0.7308	0.7340	3420	2807492	1
2022.03.09	21:00:00	0.7343	0.7383	0.7326	0.7362	3437	3778202	1
2022.03.09	22:00:00	0.7362	0.7417	0.7333	0.7356	4508	1737527	1
2022.03.09	23:00:00	0.7358	0.7421	0.7345	0.7394	4228	2056790	1
2022.03.10	00:00:00	0.7393	0.7432	0.7335	0.7344	6010	2961893	1
2022.03.10	01:00:00	0.7340	0.7365	0.7153	0.7183	8738	5229144	1
2022.03.10	02:00:00	0.7181	0.7220	0.7131	0.7149	8446	3679689	1
2022.03.10	03:00:00	0.7148	0.7211	0.7121	0.7154	7167	3175099	1
2022.03.10	04:00:00	0.7153	0.7170	0.6968	0.6995	10995	7869277	1
2022.03.10	05:00:00	0.6994	0.6995	0.6876	0.6953	10305	5240042	1
2022.03.10	06:00:00	0.6954	0.6995	0.6893	0.6960	7470	3600696	1
2022.03.10	07:00:00	0.6959	0.7063	0.6929	0.6971	5381	3761341	1
2022.03.10	08:00:00	0.6974	0.7023	0.6921	0.7011	4369	3293715	1
2022.03.10	09:00:00	0.7011	0.7054	0.6979	0.7010	3424	3252828	1
2022.03.10	10:00:00	0.7010	0.7024	0.6960	0.6996	2577	2156995	1
2022.03.10	11:00:00	0.6994	0.7031	0.6955	0.7014	3064	1394449	1
2022.03.10	12:00:00	0.7013	0.7058	0.6992	0.7030	2444	1526749	1
2022.03.10	13:00:00	0.7030	0.7165	0.6872	0.6970	10076	7746774	1
2022.03.10	14:00:00	0.6968	0.7032	0.6897	0.7007	4342	2952989	1
2022.03.10	15:00:00	0.7013	0.7096	0.6955	0.7008	3770	3063626	1
2022.03.10	16:00:00	0.7008	0.7053	0.6973	0.7011	2861	1828328	1
2022.03.10	17:00:00	0.7011	0.7048	0.6971	0.6984	2358	1646366	1
2022.03.10	18:00:00	0.6986	0.7014	0.6939	0.7001	2581	2211119	1
2022.03.10	19:00:00	0.7000	0.7048	0.6976	0.7043	2474	2008209	1
2022.03.10	20:00:00	0.7040	0.7255	0.7024	0.7237	5083	5352959	1
2022.03.10	21:00:00	0.7236	0.7250	0.7169	0.7196	3630	2888982	1
2022.03.10	22:00:00	0.7197	0.7197	0.7123	0.7194	2782	2013185	1
2022.03.10	23:00:00	0.7194	0.7220	0.7126	0.7175	3340	1962461	1
2022.03.11	00:00:00	0.7171	0.7179	0.7037	0.7110	4060	2331853	1
2022.03.11	01:00:00	0.7109	0.7136	0.7013	0.7127	5836	2772742	1
2022.03.11	02:00:00	0.7125	0.7157	0.7025	0.7046	6632	4125208	1
2022.03.11	03:00:00	0.7046	0.7094	0.6984	0.7059	4325	2887285	1
2022.03.11	04:00:00	0.7058	0.7073	0.6959	0.6986	4350	3226802	1
2022.03.11	05:00:00	0.6986	0.7117	0.6975	0.7103	4565	3629924	1
2022.03.11	06:00:00	0.7102	0.7152	0.7082	0.7123	4996	3578904	1
2022.03.11	07:00:00	0.7122	0.7151	0.7099	0.7117	3891	2768673	1
2022.03.11	08:00:00	0.7119	0.7200	0.7099	0.7099	5495	4387210	1
2022.03.11	09:00:00	0.7099	0.7161	0.7082	0.7092	4077	2002640	1
2022.03.11	10:00:00	0.7091	0.7108	0.7058	0.7081	2493	1242135	1
2022.03.11	11:00:00	0.7079	0.7235	0.7020	0.7185	6624	6230698	1
2022.03.11	12:00:00	0.7184	0.7231	0.7135	0.7179	4134	2463631	1
2022.03.11	13:00:00	0.7177	0.7186	0.7091	0.7126	3507	2407765	1
2022.03.11	14:00:00	0.7128	0.7177	0.7074	0.7106	4354	2243842	1
2022.03.11	15:00:00	0.7107	0.7107	0.6972	0.7009	4955	4170524	1
2022.03.11	16:00:00	0.7011	0.7015	0.6928	0.6976	4076	3365960	1
2022.03.11	17:00:00	0.6974	0.6996	0.6935	0.6993	2349	2118280	1
2022.03.11	18:00:00	0.6995	0.7018	0.6957	0.6964	2313	1938718	1
2022.03.11	19:00:00	0.6965	0.7005	0.6926	0.6984	2025	1846807	1
2022.03.11	20:00:00	0.6985	0.7026	0.6925	0.6942	2579	1595541	1
2022.03.11	21:00:00	0.6941	0.7032	0.6937	0.7002	2682	1953303	1
2022.03.11	22:00:00	0.7006	0.7040	0.6977	0.7019	1690	837601	1
2022.03.11	23:00:00	0.7020	0.7031	0.6958	0.6968	1637	789308	1
2022.03.12	00:00:00	0.6968	0.7079	0.6958	0.7054	2648	1990075	1
2022.03.12	01:00:00	0.7054	0.7086	0.7032	0.7055	2408	1721780	1
2022.03.12	02:00:00	0.7056	0.7088	0.7021	0.7040	2980	1742480	1
2022.03.12	03:00:00	0.7040	0.7084	0.7028	0.7049	2121	1256386	1
2022.03.12	04:00:00	0.7050	0.7105	0.7013	0.7069	1907	1640605	1
2022.03.12	05:00:00	0.7072	0.7094	0.7038	0.7088	1547	1184768	1
2022.03.12	06:00:00	0.7090	0.7105	0.7053	0.7058	1664	790246	1
2022.03.12	07:00:00	0.7059	0.7076	0.7037	0.7072	1473	742970	1
2022.03.12	08:00:00	0.7072	0.7072	0.6944	0.7004	3480	3237339	1
2022.03.12	09:00:00	0.7004	0.7046	0.6989	0.7022	1688	1370046	1
2022.03.12	10:00:00	0.7022	0.7040	0.7002	0.7032	1461	743516	1
2022.03.12	11:00:00	0.7032	0.7110	0.7024	0.7045	3214	2897772	1
2022.03.12	12:00:00	0.7046	0.7056	0.7005	0.7046	1979	1362296	1
2022.03.12	13:00:00	0.7046	0.7057	0.7014	0.7026	1700	1342852	1
2022.03.12	14:00:00	0.7026	0.7044	0.6957	0.7009	2647	2500684	1
2022.03.12	15:00:00	0.7010	0.7079	0.6996	0.7042	2129	2148215	1
2022.03.12	16:00:00	0.7041	0.7078	0.7021	0.7047	1933	1336598	1
2022.03.12	17:00:00	0.7047	0.7094	0.7012	0.7036	2578	2108383	1
2022.03.12	18:00:00	0.7035	0.7063	0.7008	0.7034	1370	1218878	1
2022.03.12	19:00:00	0.7030	0.7034	0.6999	0.7012	1295	814773	1
2022.03.12	20:00:00	0.7013	0.7031	0.6983	0.7003	1400	1018123	1
2022.03.12	21:00:00	0.7003	0.7016	0.6976	0.6982	1154	683229	1
2022.03.12	22:00:00	0.6980	0.6997	0.6960	0.6965	1963	1551900	1
2022.03.12	23:00:00	0.6963	0.6987	0.6876	0.6897	2113	1891898	1
2022.03.13	00:00:00	0.6898	0.6923	0.6855	0.6908	2036	1406705	1
2022.03.13	01:00:00	0.6907	0.6990	0.6903	0.6988	2701	1591366	1
2022.03.13	02:00:00	0.6985	0.7096	0.6979	0.7073	2458	2354166	1
2022.03.13	03:00:00	0.7074	0.7097	0.7060	0.7076	1584	1303045	1
2022.03.13	04:00:00	0.7075	0.7102	0.7042	0.7046	1368	1101255	1
2022.03.13	05:00:00	0.7060	0.7085	0.7054	0.7067	728	562013	1
2022.03.13	06:00:00	0.7069	0.7076	0.7045	0.7068	1253	789815	1
2022.03.13	07:00:00	0.7067	0.7080	0.7014	0.7023	1395	1185282	1
2022.03.13	08:00:00	0.7023	0.7037	0.6990	0.7024	1551	1530932	1
2022.03.13	09:00:00	0.7025	0.7052	0.6977	0.7010	2014	1434869	1
2022.03.13	10:00:00	0.7008	0.7036	0.6980	0.7028	1559	1424525	1
2022.03.13	11:00:00	0.7031	0.7052	0.6985	0.7018	2049	1833588	1
2022.03.13	12:00:00	0.7013	0.7022	0.6897	0.6935	3225	2797056	1
2022.03.13	13:00:00	0.6934	0.7017	0.6911	0.6984	2701	2062543	1
2022.03.13	14:00:00	0.6985	0.7059	0.6980	0.7043	1980	1893131	1
2022.03.13	15:00:00	0.7043	0.7200	0.7041	0.7075	5805	6696818	1
2022.03.13	16:00:00	0.7075	0.7096	0.6985	0.6999	4276	3257182	1
2022.03.13	17:00:00	0.6998	0.7014	0.6967	0.7002	1796	1637289	1
2022.03.13	18:00:00	0.7006	0.7016	0.6988	0.7009	1009	839033	1
2022.03.13	19:00:00	0.7009	0.7029	0.6951	0.6959	1539	1841029	1
2022.03.13	20:00:00	0.6956	0.6975	0.6926	0.6944	1988	1678467	1
2022.03.13	21:00:00	0.6945	0.7026	0.6933	0.6983	2872	1657811	1
2022.03.13	22:00:00	0.6984	0.7027	0.6700	0.6763	8022	6763838	1
2022.03.13	23:00:00	0.6760	0.6833	0.6724	0.6794	4063	2535907	1
2022.03.14	00:00:00	0.6794	0.6804	0.6696	0.6786	3603	2688880	1
2022.03.14	01:00:00	0.6792	0.6889	0.6792	0.6824	2963	2464768	1
2022.03.14	02:00:00	0.6824	0.6827	0.6781	0.6791	2036	1431836	1
2022.03.14	03:00:00	0.6790	0.6815	0.6769	0.6799	1543	1020743	1
2022.03.14	04:00:00	0.6800	0.6967	0.6799	0.6894	3452	3415523	1
2022.03.14	05:00:00	0.6896	0.6933	0.6878	0.6888	1416	1064963	1
2022.03.14	06:00:00	0.6887	0.6932	0.6881	0.6899	2060	1176415	1
2022.03.14	07:00:00	0.6900	0.6953	0.6896	0.6917	3286	1794398	1
2022.03.14	08:00:00	0.6920	0.6995	0.6917	0.6967	2809	1608047	1
2022.03.14	09:00:00	0.6967	0.7012	0.6940	0.6991	1953	1326095	1
2022.03.14	10:00:00	0.6991	0.6999	0.6950	0.6971	1633	1374671	1
2022.03.14	11:00:00	0.6970	0.6974	0.6900	0.6910	1661	1541146	1
2022.03.14	12:00:00	0.6909	0.6913	0.6843	0.6887	2168	2009047	1
2022.03.14	13:00:00	0.6886	0.6919	0.6832	0.6870	2425	2090523	1
2022.03.14	14:00:00	0.6871	0.6919	0.6853	0.6916	2260	1850567	1
2022.03.14	15:00:00	0.6920	0.6923	0.6863	0.6910	2096	2732694	1
2022.03.14	16:00:00	0.6908	0.6928	0.6876	0.6880	1743	1257945	1
2022.03.14	17:00:00	0.6882	0.6883	0.6774	0.6821	2988	3592055	1
2022.03.14	18:00:00	0.6821	0.6830	0.6751	0.6798	2383	3081277	1
2022.03.14	19:00:00	0.6800	0.6825	0.6787	0.6809	1745	2242557	1
2022.03.14	20:00:00	0.6810	0.6842	0.6796	0.6805	1526	1636570	1
2022.03.14	21:00:00	0.6807	0.6836	0.6795	0.6810	1531	1078470	1
2022.03.14	22:00:00	0.6809	0.6978	0.6803	0.6916	3960	3703257	1
2022.03.14	23:00:00	0.6919	0.6990	0.6919	0.6971	2159	2216966	1
2022.03.15	00:00:00	0.6973	0.7020	0.6936	0.6993	2643	2472697	1
