<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	0.7549	0.7611	0.7545	0.7593	612	686365	1
2022.03.09	08:45:00	0.7596	0.7648	0.7580	0.7598	1224	1130910	1
2022.03.09	09:00:00	0.7597	0.7612	0.7570	0.7602	1088	561988	1
2022.03.09	09:15:00	0.7602	0.7606	0.7575	0.7599	498	376577	1
2022.03.09	09:30:00	0.7599	0.7602	0.7560	0.7577	520	408049	1
2022.03.09	09:45:00	0.7577	0.7594	0.7540	0.7545	555	749533	1
2022.03.09	10:00:00	0.7545	0.7570	0.7509	0.7566	938	1004956	1
2022.03.09	10:15:00	0.7566	0.7572	0.7526	0.7528	504	628703	1
2022.03.09	11:30:00	0.7533	0.7555	0.7529	0.7549	353	367411	1
2022.03.09	11:45:00	0.7545	0.7604	0.7538	0.7564	1581	983964	1
2022.03.09	12:00:00	0.7563	0.7601	0.7562	0.7597	1454	741256	1
2022.03.09	12:15:00	0.7599	0.7631	0.7581	0.7625	1195	800255	1
2022.03.09	12:30:00	0.7627	0.7644	0.7452	0.7505	2080	2233334	1
2022.03.09	12:45:00	0.7504	0.7557	0.7482	0.7529	1399	1315849	1
2022.03.09	13:00:00	0.7528	0.7540	0.7482	0.7521	1253	977604	1
2022.03.09	13:15:00	0.7524	0.7560	0.7503	0.7523	743	466710	1
2022.03.09	13:30:00	0.7525	0.7548	0.7483	0.7486	833	649191	1
2022.03.09	13:45:00	0.7484	0.7524	0.7462	0.7515	1304	1138152	1
2022.03.09	14:00:00	0.7516	0.7596	0.7512	0.7567	1521	1226485	1
2022.03.09	14:15:00	0.7567	0.7584	0.7533	0.7554	735	649292	1
2022.03.09	14:30:00	0.7552	0.7568	0.7513	0.7549	1024	616392	1
2022.03.09	14:45:00	0.7545	0.7572	0.7515	0.7530	822	442590	1
2022.03.09	15:00:00	0.7532	0.7547	0.7519	0.7539	795	381329	1
2022.03.09	15:15:00	0.7541	0.7554	0.7500	0.7521	692	538917	1
2022.03.09	15:30:00	0.7523	0.7587	0.7519	0.7580	686	526875	1
2022.03.09	15:45:00	0.7579	0.7606	0.7533	0.7594	1191	1014714	1
2022.03.09	16:00:00	0.7594	0.7605	0.7506	0.7522	1479	1193282	1
2022.03.09	16:15:00	0.7524	0.7571	0.7512	0.7565	1031	714145	1
