<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.23	08:00:00	130.55	131.00	127.66	127.71	16258	142457	1
2021.06.23	09:00:00	127.69	129.96	127.49	128.45	17509	102626	1
2021.06.23	10:00:00	128.43	130.48	128.08	130.05	17363	97924	1
2021.06.23	11:00:00	130.05	131.06	128.25	128.53	16670	100147	1
2021.06.23	12:00:00	128.52	130.48	128.06	130.46	14185	82825	1
2021.06.23	13:00:00	130.47	133.62	129.00	129.25	28423	258398	1
2021.06.23	14:00:00	129.25	130.94	127.91	130.03	19970	153006	1
2021.06.23	15:00:00	130.04	130.22	126.65	127.04	20836	158274	1
2021.06.23	16:00:00	127.03	129.71	126.23	128.29	23699	168223	1
2021.06.23	17:00:00	128.32	128.47	126.90	127.72	14622	75577	1
2021.06.23	18:00:00	127.74	127.74	124.65	125.35	20341	148636	1
2021.06.23	19:00:00	125.34	126.68	123.55	123.60	17182	117218	1
2021.06.23	20:00:00	123.61	126.58	123.53	125.20	20930	161433	1
2021.06.23	21:00:00	125.23	128.24	124.75	126.83	19225	116697	1
2021.06.23	22:00:00	126.83	127.46	125.15	127.17	19415	112069	1
2021.06.23	23:00:00	127.17	129.02	126.15	129.00	14030	75182	1
2021.06.24	00:00:00	129.02	130.11	127.44	127.55	18318	113361	1
2021.06.24	01:00:00	127.55	128.40	124.38	124.75	20744	114508	1
2021.06.24	02:00:00	124.74	125.32	123.63	124.31	19150	106667	1
2021.06.24	03:00:00	124.31	127.14	123.98	126.62	18526	110915	1
2021.06.24	04:00:00	126.61	128.75	125.89	127.35	20115	140668	1
2021.06.24	05:00:00	127.34	129.84	126.99	129.59	16664	105990	1
2021.06.24	06:00:00	129.60	130.83	128.61	130.36	16313	115687	1
2021.06.24	07:00:00	130.35	131.72	129.78	130.29	17260	105904	1
2021.06.24	08:00:00	130.30	133.10	130.21	132.73	23475	190533	1
2021.06.24	09:00:00	132.71	133.32	132.00	132.07	15066	78591	1
2021.06.24	10:00:00	132.07	132.47	130.99	131.32	15536	91367	1
2021.06.24	11:00:00	131.33	134.72	131.33	134.24	19006	131442	1
2021.06.24	12:00:00	134.22	135.61	133.52	134.80	19683	125810	1
2021.06.24	13:00:00	134.80	135.10	132.77	133.62	14573	88344	1
2021.06.24	14:00:00	133.62	134.06	132.43	133.11	14639	77289	1
2021.06.24	15:00:00	133.13	135.94	132.73	133.53	22325	141357	1
2021.06.24	16:00:00	133.53	135.84	132.78	135.45	18607	119324	1
2021.06.24	17:00:00	135.45	137.35	135.38	136.19	19776	147265	1
2021.06.24	18:00:00	136.14	137.21	134.65	135.10	15480	79076	1
2021.06.24	19:00:00	135.06	135.14	134.16	134.84	11659	41963	1
2021.06.24	20:00:00	134.84	136.28	133.75	135.65	13457	76777	1
2021.06.24	21:00:00	135.64	135.69	133.51	134.46	12727	64697	1
2021.06.24	22:00:00	134.46	134.89	132.89	134.02	12969	63639	1
2021.06.24	23:00:00	134.02	134.73	133.12	134.49	12347	53846	1
2021.06.25	00:00:00	134.49	137.70	134.39	134.43	18516	129368	1
2021.06.25	01:00:00	134.40	135.32	132.09	135.23	17405	122661	1
2021.06.25	02:00:00	135.27	138.47	134.27	137.22	23483	173207	1
2021.06.25	03:00:00	137.22	137.86	135.59	137.12	15653	94427	1
2021.06.25	04:00:00	137.12	137.23	133.81	134.31	16412	116613	1
2021.06.25	05:00:00	134.32	134.97	132.98	133.54	15276	102732	1
2021.06.25	06:00:00	133.53	134.78	132.67	133.94	14809	94418	1
2021.06.25	07:00:00	133.93	133.93	131.01	132.01	20878	136827	1
2021.06.25	08:00:00	132.00	132.68	130.55	132.17	19468	129998	1
2021.06.25	09:00:00	132.17	132.68	129.43	129.70	19128	156753	1
2021.06.25	10:00:00	129.69	131.10	129.00	130.37	18097	120340	1
2021.06.25	11:00:00	130.37	130.99	128.50	129.54	24591	141523	1
2021.06.25	12:00:00	129.50	131.10	128.65	129.94	19623	141699	1
2021.06.25	13:00:00	129.95	131.36	128.01	130.25	22176	167892	1
2021.06.25	14:00:00	130.26	131.97	127.65	128.51	23372	175563	1
2021.06.25	15:00:00	128.51	129.01	126.58	127.91	23314	147915	1
2021.06.25	16:00:00	127.92	129.00	124.82	126.67	26774	205101	1
2021.06.25	17:00:00	126.67	128.30	125.23	125.92	21666	145529	1
2021.06.25	18:00:00	125.93	128.24	125.44	127.83	18832	127313	1
2021.06.25	19:00:00	127.84	129.24	126.64	128.31	17584	105447	1
2021.06.25	20:00:00	128.32	128.98	127.22	128.75	14652	66899	1
2021.06.25	21:00:00	128.74	129.31	126.12	127.06	16921	97808	1
2021.06.25	22:00:00	127.06	128.32	124.16	124.28	20833	133321	1
2021.06.25	23:00:00	124.29	127.96	124.18	124.89	19808	119710	1
2021.06.26	00:00:00	124.91	128.50	123.80	128.15	23873	179674	1
2021.06.26	01:00:00	128.14	128.30	124.10	126.77	19945	122281	1
2021.06.26	02:00:00	126.78	127.70	124.74	126.79	18492	112714	1
2021.06.26	03:00:00	126.79	127.97	126.30	126.49	13520	75700	1
2021.06.26	04:00:00	126.48	128.09	126.41	128.06	11072	70843	1
2021.06.26	05:00:00	128.06	129.35	126.96	127.34	14860	82027	1
2021.06.26	06:00:00	127.34	128.39	125.34	125.46	14943	94968	1
2021.06.26	07:00:00	125.46	125.94	120.80	121.39	28042	245552	1
2021.06.26	08:00:00	121.40	121.98	118.52	119.94	28491	261348	1
2021.06.26	09:00:00	119.93	122.75	119.04	121.91	24498	207120	1
2021.06.26	10:00:00	121.93	122.64	120.56	122.24	18439	104308	1
2021.06.26	11:00:00	122.23	124.70	121.99	123.98	21616	142512	1
2021.06.26	12:00:00	123.98	125.75	123.47	123.72	18531	127223	1
2021.06.26	13:00:00	123.72	125.46	120.84	121.04	26252	225679	1
2021.06.26	14:00:00	121.03	123.00	119.51	122.08	26659	245424	1
2021.06.26	15:00:00	122.09	123.36	120.64	122.70	22062	176020	1
2021.06.26	16:00:00	122.72	122.80	119.31	122.06	24852	238513	1
2021.06.26	17:00:00	122.05	123.76	120.90	123.53	15305	117324	1
2021.06.26	18:00:00	123.53	124.00	122.40	122.67	15230	76496	1
2021.06.26	19:00:00	122.66	123.39	122.12	122.71	10592	39196	1
2021.06.26	20:00:00	122.70	122.89	120.95	121.73	11518	70452	1
2021.06.26	21:00:00	121.73	123.16	120.64	123.02	13133	60213	1
2021.06.26	22:00:00	123.06	124.68	123.02	124.52	14256	74952	1
2021.06.26	23:00:00	124.55	126.78	123.74	126.65	15441	114661	1
2021.06.27	00:00:00	126.63	127.67	125.56	127.11	13544	101257	1
2021.06.27	01:00:00	127.83	128.69	127.24	128.05	12891	78954	1
2021.06.27	02:00:00	128.05	129.42	127.76	129.11	16056	87003	1
2021.06.27	03:00:00	129.11	129.39	128.01	129.13	13729	104833	1
2021.06.27	04:00:00	129.10	129.84	128.35	129.12	15880	71641	1
2021.06.27	05:00:00	129.12	129.87	128.00	128.50	13903	77993	1
2021.06.27	06:00:00	128.52	129.44	127.66	128.36	14458	81626	1
2021.06.27	07:00:00	128.36	129.63	128.10	129.22	12851	73545	1
2021.06.27	08:00:00	129.22	129.38	127.74	127.77	14424	83585	1
2021.06.27	09:00:00	127.78	128.62	126.15	126.61	17307	118878	1
2021.06.27	10:00:00	126.60	127.16	125.86	126.36	13109	85370	1
2021.06.27	11:00:00	126.37	128.25	125.69	127.04	16856	110488	1
2021.06.27	12:00:00	127.04	128.46	126.58	127.58	15784	90961	1
2021.06.27	13:00:00	127.58	128.13	126.60	127.32	14358	79666	1
2021.06.27	14:00:00	127.31	127.32	125.80	127.02	13021	70905	1
2021.06.27	15:00:00	127.02	127.90	126.09	127.53	13848	78550	1
2021.06.27	16:00:00	127.52	128.10	126.20	126.62	14764	90019	1
2021.06.27	17:00:00	126.61	126.67	125.66	126.31	10645	59974	1
2021.06.27	18:00:00	126.31	126.31	124.55	125.90	14950	109772	1
2021.06.27	19:00:00	125.88	126.38	125.02	126.00	11553	55549	1
2021.06.27	20:00:00	125.99	126.13	125.11	125.22	11558	53869	1
2021.06.27	21:00:00	125.23	127.10	124.86	126.86	13304	78572	1
2021.06.27	22:00:00	126.87	131.24	126.52	130.93	28672	288650	1
2021.06.27	23:00:00	130.94	132.67	129.94	132.50	17977	133299	1
2021.06.28	00:00:00	132.52	133.32	131.10	131.55	19284	150641	1
2021.06.28	01:00:00	131.54	132.23	130.50	130.50	13530	70041	1
2021.06.28	02:00:00	130.51	131.89	130.50	130.82	12303	70923	1
2021.06.28	03:00:00	130.83	131.19	130.17	130.60	11782	40365	1
2021.06.28	04:00:00	130.61	131.20	130.17	130.61	11634	39603	1
2021.06.28	05:00:00	130.61	131.90	130.60	131.83	13967	66493	1
2021.06.28	06:00:00	131.84	132.50	131.12	131.52	14069	71393	1
2021.06.28	07:00:00	131.51	133.79	131.02	133.16	17319	137847	1
2021.06.28	08:00:00	133.15	134.89	132.37	134.05	16115	122711	1
