<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.23	08:00:00	130.55	130.85	129.13	130.27	3943	36669	1
2021.06.23	08:15:00	130.27	131.00	129.87	130.09	3325	32619	1
2021.06.23	08:30:00	130.11	130.19	128.31	128.60	4285	36048	1
2021.06.23	08:45:00	128.61	129.12	127.66	127.71	4705	37121	1
2021.06.23	09:00:00	127.69	129.56	127.49	129.28	5670	41909	1
2021.06.23	09:15:00	129.28	129.96	129.04	129.35	3967	19424	1
2021.06.23	09:30:00	129.30	129.56	128.20	128.99	4324	23364	1
2021.06.23	09:45:00	128.99	129.00	128.33	128.45	3548	17929	1
2021.06.23	10:00:00	128.43	129.24	128.13	128.36	4257	24968	1
2021.06.23	10:15:00	128.38	129.20	128.08	129.10	4092	19994	1
2021.06.23	10:30:00	129.10	130.48	129.01	129.40	4872	30547	1
2021.06.23	10:45:00	129.41	130.13	129.41	130.05	4142	22415	1
2021.06.23	11:00:00	130.05	131.06	129.26	129.53	6363	49020	1
2021.06.23	11:15:00	129.56	129.56	128.49	128.59	4029	21304	1
2021.06.23	11:30:00	128.56	129.11	128.25	128.96	3034	16125	1
2021.06.23	11:45:00	128.97	128.97	128.37	128.53	3244	13698	1
2021.06.23	12:00:00	128.52	129.17	128.06	128.53	4306	33799	1
2021.06.23	12:15:00	128.53	129.80	128.39	129.69	3037	19125	1
2021.06.23	12:30:00	129.70	129.96	129.00	129.27	3872	17343	1
2021.06.23	12:45:00	129.27	130.48	129.07	130.46	2970	12558	1
2021.06.23	13:00:00	130.47	133.62	130.08	133.24	7925	76065	1
2021.06.23	13:15:00	133.23	133.51	132.53	133.21	6502	51147	1
2021.06.23	13:30:00	133.20	133.40	130.81	130.94	7528	68530	1
2021.06.23	13:45:00	130.96	130.96	129.00	129.25	6468	62656	1
2021.06.23	14:00:00	129.25	129.32	127.91	128.33	6298	58451	1
2021.06.23	14:15:00	128.36	129.75	128.36	129.66	4907	31228	1
2021.06.23	14:30:00	129.66	130.14	129.16	129.81	4444	31592	1
2021.06.23	14:45:00	129.81	130.94	129.41	130.03	4321	31735	1
2021.06.23	15:00:00	130.04	130.22	127.60	127.83	5543	47088	1
2021.06.23	15:15:00	127.87	128.47	127.18	127.58	5422	44088	1
2021.06.23	15:30:00	127.59	129.09	127.59	127.82	4903	31978	1
2021.06.23	15:45:00	127.82	127.84	126.65	127.04	4968	35120	1
2021.06.23	16:00:00	127.03	129.27	126.23	128.18	9276	84635	1
2021.06.23	16:15:00	128.19	129.71	128.19	128.98	5286	33916	1
2021.06.23	16:30:00	129.00	129.09	127.54	127.76	5217	27444	1
2021.06.23	16:45:00	127.77	128.85	127.51	128.29	3920	22228	1
2021.06.23	17:00:00	128.32	128.47	127.42	128.25	4241	19246	1
2021.06.23	17:15:00	128.29	128.43	126.92	126.97	2983	18382	1
2021.06.23	17:30:00	127.00	128.14	126.90	128.06	3700	18383	1
2021.06.23	17:45:00	128.05	128.37	127.34	127.72	3698	19566	1
2021.06.23	18:00:00	127.74	127.74	125.36	125.41	5588	45627	1
2021.06.23	18:15:00	125.43	126.58	124.65	125.99	5853	43700	1
2021.06.23	18:30:00	125.99	127.09	125.98	126.51	4101	24177	1
2021.06.23	18:45:00	126.51	126.59	124.95	125.35	4799	35132	1
2021.06.23	19:00:00	125.34	126.51	125.20	126.22	4498	28525	1
2021.06.23	19:15:00	126.21	126.68	125.07	125.21	3381	22574	1
2021.06.23	19:30:00	125.20	125.70	124.43	124.64	4516	28227	1
2021.06.23	19:45:00	124.63	124.80	123.55	123.60	4787	37892	1
2021.06.23	20:00:00	123.61	126.00	123.53	125.54	6674	64477	1
2021.06.23	20:15:00	125.56	126.39	124.95	126.03	4835	35652	1
2021.06.23	20:30:00	126.03	126.58	125.37	126.53	4766	29330	1
2021.06.23	20:45:00	126.52	126.52	124.64	125.20	4655	31974	1
2021.06.23	21:00:00	125.23	126.74	124.75	126.38	4408	24137	1
2021.06.23	21:15:00	126.37	128.24	125.47	125.85	5642	44309	1
2021.06.23	21:30:00	125.85	125.93	124.85	125.68	4496	22576	1
2021.06.23	21:45:00	125.73	127.28	125.30	126.83	4679	25675	1
2021.06.23	22:00:00	126.83	127.24	125.15	127.22	8070	59752	1
2021.06.23	22:15:00	127.22	127.46	126.26	127.18	4022	22695	1
2021.06.23	22:30:00	127.19	127.33	126.48	126.98	4066	17081	1
2021.06.23	22:45:00	126.97	127.39	126.73	127.17	3257	12541	1
2021.06.23	23:00:00	127.17	127.20	126.15	126.36	2962	15297	1
2021.06.23	23:15:00	126.35	128.03	126.35	127.94	3404	17000	1
2021.06.23	23:30:00	127.94	128.57	127.35	128.48	4067	25241	1
2021.06.23	23:45:00	128.49	129.02	128.09	129.00	3597	17644	1
2021.06.24	00:00:00	129.02	130.11	128.30	129.89	6805	53982	1
2021.06.24	00:15:00	129.88	129.93	129.25	129.58	3636	20735	1
2021.06.24	00:30:00	129.57	129.85	128.34	128.43	3987	19721	1
2021.06.24	00:45:00	128.44	128.92	127.44	127.55	3890	18923	1
2021.06.24	01:00:00	127.55	128.00	126.66	127.85	4713	26026	1
2021.06.24	01:15:00	127.85	128.40	126.79	126.81	4375	25553	1
2021.06.24	01:30:00	126.80	127.46	125.31	125.51	5618	30906	1
2021.06.24	01:45:00	125.52	125.79	124.38	124.75	6038	32023	1
2021.06.24	02:00:00	124.74	125.32	124.13	124.63	5634	33140	1
2021.06.24	02:15:00	124.62	125.31	123.67	123.81	4721	35698	1
2021.06.24	02:30:00	123.82	124.45	123.63	124.07	4364	17885	1
2021.06.24	02:45:00	124.07	125.10	124.07	124.31	4431	19944	1
2021.06.24	03:00:00	124.31	125.19	123.98	125.14	3996	19814	1
2021.06.24	03:15:00	125.14	125.94	124.85	125.84	4010	20874	1
2021.06.24	03:30:00	125.84	127.14	125.62	125.83	5070	33492	1
2021.06.24	03:45:00	125.85	126.89	125.12	126.62	5450	36735	1
2021.06.24	04:00:00	126.61	128.75	126.52	127.45	5947	51939	1
2021.06.24	04:15:00	127.45	127.78	126.34	127.51	4468	24391	1
2021.06.24	04:30:00	127.53	127.54	125.89	126.88	5384	41957	1
2021.06.24	04:45:00	126.90	128.45	126.90	127.35	4316	22381	1
2021.06.24	05:00:00	127.34	128.45	126.99	127.64	3913	19376	1
2021.06.24	05:15:00	127.64	128.60	127.62	128.21	3515	15269	1
2021.06.24	05:30:00	128.21	129.68	128.20	128.46	5033	42771	1
2021.06.24	05:45:00	128.46	129.84	128.46	129.59	4203	28574	1
2021.06.24	06:00:00	129.60	129.78	128.72	129.05	4027	19024	1
2021.06.24	06:15:00	129.06	129.58	128.61	128.92	3912	29760	1
2021.06.24	06:30:00	128.92	130.64	128.79	129.74	4700	34677	1
2021.06.24	06:45:00	129.75	130.83	129.75	130.36	3674	32226	1
2021.06.24	07:00:00	130.35	131.25	129.78	130.92	4125	24304	1
2021.06.24	07:15:00	130.93	131.66	130.11	131.56	4191	22089	1
2021.06.24	07:30:00	131.55	131.72	130.68	131.52	3910	20310	1
2021.06.24	07:45:00	131.51	131.60	129.80	130.29	5034	39201	1
2021.06.24	08:00:00	130.30	131.60	130.21	131.59	5366	44412	1
2021.06.24	08:15:00	131.60	133.10	131.27	131.29	7032	61563	1
2021.06.24	08:30:00	131.29	132.09	130.31	131.27	5779	44062	1
2021.06.24	08:45:00	131.29	132.89	131.14	132.73	5298	40496	1
2021.06.24	09:00:00	132.71	133.03	132.18	132.63	4562	23414	1
2021.06.24	09:15:00	132.62	133.10	132.00	132.21	3793	21849	1
2021.06.24	09:30:00	132.20	133.32	132.04	132.51	4166	19405	1
2021.06.24	09:45:00	132.52	132.87	132.01	132.07	2545	13923	1
2021.06.24	10:00:00	132.07	132.39	131.30	132.28	4590	36166	1
2021.06.24	10:15:00	132.25	132.47	131.69	131.74	3407	15052	1
2021.06.24	10:30:00	131.74	131.91	130.99	131.13	3915	22054	1
2021.06.24	10:45:00	131.17	131.86	131.02	131.32	3624	18095	1
2021.06.24	11:00:00	131.33	132.93	131.33	132.64	3945	26193	1
2021.06.24	11:15:00	132.61	133.06	132.23	132.79	4383	29582	1
2021.06.24	11:30:00	132.80	134.71	132.54	133.95	6075	44361	1
2021.06.24	11:45:00	133.94	134.72	133.79	134.24	4603	31306	1
2021.06.24	12:00:00	134.22	135.61	134.22	134.87	7079	55918	1
2021.06.24	12:15:00	134.86	135.12	133.89	134.35	4635	28829	1
2021.06.24	12:30:00	134.38	134.38	133.52	133.79	3769	17371	1
2021.06.24	12:45:00	133.80	134.84	133.80	134.80	4200	23692	1
2021.06.24	13:00:00	134.80	135.10	133.30	133.51	4130	31076	1
2021.06.24	13:15:00	133.52	133.93	133.03	133.22	3992	22518	1
2021.06.24	13:30:00	133.23	133.89	133.23	133.66	3481	13942	1
2021.06.24	13:45:00	133.67	134.05	132.77	133.62	2970	20808	1
2021.06.24	14:00:00	133.62	134.06	132.43	132.97	4561	31408	1
2021.06.24	14:15:00	133.00	133.43	132.78	132.95	3393	12189	1
2021.06.24	14:30:00	132.95	133.63	132.59	132.83	3420	13716	1
2021.06.24	14:45:00	132.84	133.15	132.57	133.11	3265	19976	1
2021.06.24	15:00:00	133.13	135.01	132.73	134.91	6054	36064	1
2021.06.24	15:15:00	134.92	135.94	134.07	135.65	5942	43050	1
2021.06.24	15:30:00	135.62	135.85	135.14	135.29	4386	22351	1
2021.06.24	15:45:00	135.28	135.40	133.45	133.53	5943	39892	1
2021.06.24	16:00:00	133.53	134.34	132.78	133.14	6182	44264	1
2021.06.24	16:15:00	133.13	134.25	133.03	133.63	4214	24201	1
2021.06.24	16:30:00	133.63	135.59	133.62	135.00	4456	30130	1
2021.06.24	16:45:00	135.01	135.84	135.01	135.45	3755	20729	1
2021.06.24	17:00:00	135.45	137.29	135.44	136.56	7153	62046	1
2021.06.24	17:15:00	136.55	137.35	136.11	136.62	4818	43283	1
2021.06.24	17:30:00	136.63	136.85	136.05	136.23	3671	20884	1
2021.06.24	17:45:00	136.23	136.29	135.38	136.19	4134	21052	1
2021.06.24	18:00:00	136.14	137.21	135.57	135.57	5108	29563	1
2021.06.24	18:15:00	135.57	135.82	135.18	135.28	3486	14928	1
2021.06.24	18:30:00	135.26	135.38	134.65	135.17	4250	23829	1
2021.06.24	18:45:00	135.18	135.19	134.68	135.10	2636	10756	1
2021.06.24	19:00:00	135.06	135.14	134.50	134.78	3278	11370	1
2021.06.24	19:15:00	134.79	135.09	134.73	134.80	2317	8730	1
2021.06.24	19:30:00	134.80	135.07	134.33	134.58	3245	11426	1
2021.06.24	19:45:00	134.57	134.84	134.16	134.84	2819	10437	1
2021.06.24	20:00:00	134.84	134.97	134.36	134.36	3258	14849	1
2021.06.24	20:15:00	134.36	134.45	133.83	134.19	3055	13418	1
2021.06.24	20:30:00	134.19	134.85	133.75	134.76	3209	14154	1
2021.06.24	20:45:00	134.75	136.28	134.52	135.65	3935	34356	1
2021.06.24	21:00:00	135.64	135.69	134.28	134.46	4091	24585	1
2021.06.24	21:15:00	134.47	134.90	134.04	134.36	2773	14618	1
2021.06.24	21:30:00	134.32	134.45	133.51	133.93	2876	17453	1
2021.06.24	21:45:00	133.91	134.63	133.87	134.46	2987	8041	1
2021.06.24	22:00:00	134.46	134.89	133.45	133.72	3804	16480	1
2021.06.24	22:15:00	133.72	134.15	133.42	133.95	3278	16760	1
2021.06.24	22:30:00	133.96	134.29	133.67	133.78	2636	10796	1
2021.06.24	22:45:00	133.80	134.15	132.89	134.02	3251	19603	1
2021.06.24	23:00:00	134.02	134.14	133.12	134.06	3294	12905	1
2021.06.24	23:15:00	134.06	134.73	133.66	134.28	3372	16437	1
2021.06.24	23:30:00	134.29	134.69	133.69	133.81	2946	12709	1
2021.06.24	23:45:00	133.80	134.50	133.79	134.49	2735	11795	1
2021.06.25	00:00:00	134.49	137.00	134.45	136.66	6143	49696	1
2021.06.25	00:15:00	136.67	137.70	136.26	137.00	4456	33855	1
2021.06.25	00:30:00	136.96	137.24	136.34	136.56	3601	16593	1
2021.06.25	00:45:00	136.56	136.69	134.39	134.43	4316	29224	1
2021.06.25	01:00:00	134.40	134.57	132.44	132.81	5045	45825	1
2021.06.25	01:15:00	132.80	133.00	132.09	132.65	4000	24428	1
2021.06.25	01:30:00	132.65	134.08	132.55	133.98	4168	27359	1
2021.06.25	01:45:00	133.98	135.32	133.70	135.23	4192	25049	1
2021.06.25	02:00:00	135.27	136.86	134.27	136.78	6914	50352	1
2021.06.25	02:15:00	136.75	137.97	136.44	137.18	7062	63606	1
2021.06.25	02:30:00	137.20	138.47	136.96	137.70	5389	36520	1
2021.06.25	02:45:00	137.71	137.86	136.87	137.22	4118	22729	1
2021.06.25	03:00:00	137.22	137.22	136.10	136.70	3168	19635	1
2021.06.25	03:15:00	136.69	136.69	135.67	136.03	3991	24638	1
2021.06.25	03:30:00	136.03	136.34	135.59	135.98	3526	18043	1
2021.06.25	03:45:00	135.95	137.86	135.78	137.12	4968	32111	1
2021.06.25	04:00:00	137.12	137.23	135.75	136.29	4821	38423	1
2021.06.25	04:15:00	136.28	136.28	135.19	135.28	3560	17182	1
2021.06.25	04:30:00	135.27	135.27	134.21	134.35	4248	31649	1
2021.06.25	04:45:00	134.36	135.01	133.81	134.31	3783	29359	1
2021.06.25	05:00:00	134.32	134.97	133.31	133.71	4743	35675	1
2021.06.25	05:15:00	133.71	133.85	133.00	133.53	3580	18590	1
2021.06.25	05:30:00	133.53	134.00	132.98	133.72	3398	26695	1
2021.06.25	05:45:00	133.68	134.18	133.11	133.54	3555	21772	1
2021.06.25	06:00:00	133.53	134.63	133.38	134.11	3763	18765	1
2021.06.25	06:15:00	134.10	134.78	133.75	133.85	3741	21612	1
2021.06.25	06:30:00	133.86	134.50	132.67	134.29	4185	39047	1
2021.06.25	06:45:00	134.29	134.70	133.91	133.94	3120	14994	1
2021.06.25	07:00:00	133.93	133.93	132.47	132.59	4690	32094	1
2021.06.25	07:15:00	132.59	132.76	131.34	131.47	6040	42900	1
2021.06.25	07:30:00	131.48	132.18	131.01	131.17	5929	37013	1
2021.06.25	07:45:00	131.16	132.24	131.14	132.01	4219	24820	1
2021.06.25	08:00:00	132.00	132.56	130.83	131.28	6214	52088	1
2021.06.25	08:15:00	131.27	131.95	130.55	131.80	5403	35251	1
2021.06.25	08:30:00	131.80	132.15	131.37	131.87	3789	18661	1
2021.06.25	08:45:00	131.86	132.68	131.21	132.17	4062	23998	1
2021.06.25	09:00:00	132.17	132.56	131.36	132.52	4423	28934	1
2021.06.25	09:15:00	132.52	132.68	131.79	131.91	3887	18221	1
2021.06.25	09:30:00	131.90	131.92	130.25	130.29	4623	51399	1
2021.06.25	09:45:00	130.29	130.56	129.43	129.70	6195	58199	1
2021.06.25	10:00:00	129.69	130.89	129.28	130.69	4954	38180	1
2021.06.25	10:15:00	130.69	131.10	129.75	129.82	4120	22513	1
2021.06.25	10:30:00	129.82	130.49	129.00	129.50	4837	34587	1
