<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	2.5145	2.5466	2.5135	2.5300	8380	3408625	1
2022.03.09	09:00:00	2.5300	2.5354	2.5201	2.5222	8677	3266040	1
2022.03.09	10:00:00	2.5221	2.5236	2.5121	2.5190	3710	1235019	1
2022.03.09	11:00:00	2.5109	2.5197	2.5101	2.5141	2556	849612	1
2022.03.09	12:00:00	2.5140	2.5368	2.4787	2.5029	13609	5895385	1
2022.03.09	13:00:00	2.5029	2.5080	2.4746	2.4868	11223	3584137	1
2022.03.09	14:00:00	2.4869	2.5129	2.4863	2.5058	12563	4305935	1
2022.03.09	15:00:00	2.5060	2.5300	2.4996	2.5269	10852	3499006	1
2022.03.09	16:00:00	2.5266	2.5306	2.5050	2.5094	8860	2678638	1
2022.03.09	17:00:00	2.5097	2.5133	2.4910	2.5091	7056	2298530	1
2022.03.09	18:00:00	2.5091	2.5102	2.4755	2.4944	9497	3688717	1
2022.03.09	19:00:00	2.4945	2.5022	2.4650	2.4941	9343	3839306	1
2022.03.09	20:00:00	2.4943	2.5044	2.4717	2.4814	6873	1976081	1
2022.03.09	21:00:00	2.4815	2.4815	2.4625	2.4745	6753	2417073	1
2022.03.09	22:00:00	2.4749	2.4880	2.4688	2.4783	4769	1462331	1
2022.03.09	23:00:00	2.4783	2.5065	2.4724	2.4929	6984	2443268	1
2022.03.10	00:00:00	2.4927	2.5127	2.4716	2.4753	11357	3420526	1
2022.03.10	01:00:00	2.4754	2.4906	2.4213	2.4265	13796	5788040	1
2022.03.10	02:00:00	2.4271	2.4388	2.4141	2.4179	9399	3605774	1
2022.03.10	03:00:00	2.4176	2.4345	2.4105	2.4210	6326	2264135	1
2022.03.10	04:00:00	2.4212	2.4271	2.3686	2.3728	17225	8079166	1
2022.03.10	05:00:00	2.3734	2.3789	2.3514	2.3673	12490	5509210	1
2022.03.10	06:00:00	2.3673	2.3737	2.3469	2.3726	8335	3182967	1
2022.03.10	07:00:00	2.3723	2.3821	2.3619	2.3725	6382	2144332	1
2022.03.10	08:00:00	2.3726	2.3785	2.3492	2.3749	9042	3354038	1
2022.03.10	09:00:00	2.3747	2.3789	2.3601	2.3676	5804	2148370	1
2022.03.10	10:00:00	2.3674	2.3723	2.3575	2.3613	5956	2027021	1
2022.03.10	11:00:00	2.3614	2.3683	2.3539	2.3653	5317	1796640	1
2022.03.10	12:00:00	2.3651	2.3765	2.3570	2.3678	5886	2163364	1
