<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	2.5145	2.5340	2.5135	2.5283	2465	1123941	1
2022.03.09	08:45:00	2.5282	2.5466	2.5232	2.5300	5915	2284684	1
2022.03.09	09:00:00	2.5300	2.5354	2.5201	2.5258	3282	1304165	1
2022.03.09	09:15:00	2.5255	2.5330	2.5214	2.5305	1884	566611	1
2022.03.09	09:30:00	2.5305	2.5335	2.5242	2.5292	1773	725265	1
2022.03.09	09:45:00	2.5292	2.5328	2.5209	2.5222	1738	669999	1
2022.03.09	10:00:00	2.5221	2.5230	2.5121	2.5218	2394	848704	1
2022.03.09	10:15:00	2.5220	2.5236	2.5155	2.5190	1316	386315	1
2022.03.09	11:30:00	2.5109	2.5170	2.5101	2.5140	1027	372252	1
2022.03.09	11:45:00	2.5141	2.5197	2.5111	2.5141	1529	477360	1
2022.03.09	12:00:00	2.5140	2.5216	2.5139	2.5178	1787	485481	1
2022.03.09	12:15:00	2.5178	2.5316	2.5151	2.5265	2289	775296	1
2022.03.09	12:30:00	2.5266	2.5368	2.4787	2.4925	6015	3056439	1
2022.03.09	12:45:00	2.4927	2.5085	2.4868	2.5029	3518	1578169	1
2022.03.09	13:00:00	2.5029	2.5067	2.4886	2.4999	3004	876699	1
2022.03.09	13:15:00	2.4998	2.5080	2.4945	2.4955	2615	711005	1
2022.03.09	13:30:00	2.4958	2.5004	2.4850	2.4856	2229	836557	1
2022.03.09	13:45:00	2.4857	2.4948	2.4746	2.4868	3375	1159876	1
2022.03.09	14:00:00	2.4869	2.5099	2.4863	2.5010	4697	1746633	1
2022.03.09	14:15:00	2.5015	2.5088	2.4990	2.5050	2511	697454	1
2022.03.09	14:30:00	2.5052	2.5128	2.4973	2.5060	2957	1108192	1
2022.03.09	14:45:00	2.5052	2.5129	2.4993	2.5058	2398	753656	1
2022.03.09	15:00:00	2.5060	2.5131	2.5038	2.5114	1920	622864	1
2022.03.09	15:15:00	2.5115	2.5155	2.4996	2.5103	2598	865030	1
2022.03.09	15:30:00	2.5101	2.5254	2.5069	2.5234	2621	745945	1
2022.03.09	15:45:00	2.5233	2.5300	2.5148	2.5269	3713	1265167	1
2022.03.09	16:00:00	2.5266	2.5306	2.5126	2.5171	2637	909821	1
2022.03.09	16:15:00	2.5168	2.5266	2.5131	2.5236	1827	477824	1
2022.03.09	16:30:00	2.5238	2.5299	2.5169	2.5176	2162	519009	1
2022.03.09	16:45:00	2.5176	2.5184	2.5050	2.5094	2234	771984	1
2022.03.09	17:00:00	2.5097	2.5133	2.5038	2.5052	1755	471868	1
2022.03.09	17:15:00	2.5052	2.5094	2.4910	2.5000	2575	1079871	1
2022.03.09	17:30:00	2.5000	2.5050	2.4981	2.5039	1438	401211	1
2022.03.09	17:45:00	2.5038	2.5109	2.5019	2.5091	1288	345580	1
2022.03.09	18:00:00	2.5091	2.5102	2.4884	2.4902	1963	749593	1
2022.03.09	18:15:00	2.4903	2.4946	2.4761	2.4839	2377	915078	1
2022.03.09	18:30:00	2.4847	2.4946	2.4755	2.4793	2350	1023529	1
2022.03.09	18:45:00	2.4795	2.5049	2.4767	2.4944	2807	1000517	1
2022.03.09	19:00:00	2.4945	2.4965	2.4758	2.4773	1776	665333	1
2022.03.09	19:15:00	2.4772	2.4833	2.4650	2.4801	3467	1656632	1
2022.03.09	19:30:00	2.4799	2.4940	2.4784	2.4925	2183	835571	1
2022.03.09	19:45:00	2.4925	2.5022	2.4924	2.4941	1917	681770	1
2022.03.09	20:00:00	2.4943	2.5044	2.4865	2.4893	1975	616401	1
2022.03.09	20:15:00	2.4892	2.4956	2.4880	2.4934	1099	207290	1
2022.03.09	20:30:00	2.4933	2.4942	2.4786	2.4811	1700	542820	1
2022.03.09	20:45:00	2.4813	2.4900	2.4717	2.4814	2099	609570	1
2022.03.09	21:00:00	2.4815	2.4815	2.4630	2.4662	2480	1183345	1
2022.03.09	21:15:00	2.4655	2.4717	2.4625	2.4703	1499	474519	1
2022.03.09	21:30:00	2.4702	2.4764	2.4630	2.4723	1462	395351	1
2022.03.09	21:45:00	2.4728	2.4803	2.4716	2.4745	1312	363858	1
2022.03.09	22:00:00	2.4749	2.4847	2.4723	2.4784	1156	388033	1
2022.03.09	22:15:00	2.4789	2.4815	2.4742	2.4805	1021	295312	1
2022.03.09	22:30:00	2.4806	2.4880	2.4714	2.4738	1435	483174	1
2022.03.09	22:45:00	2.4741	2.4784	2.4688	2.4783	1157	295812	1
2022.03.09	23:00:00	2.4783	2.4850	2.4724	2.4815	1465	600157	1
2022.03.09	23:15:00	2.4819	2.4898	2.4804	2.4889	1506	443416	1
2022.03.09	23:30:00	2.4889	2.5027	2.4888	2.4976	2331	783216	1
2022.03.09	23:45:00	2.4977	2.5065	2.4902	2.4929	1682	616479	1
2022.03.10	00:00:00	2.4927	2.5075	2.4850	2.4937	4788	1273429	1
2022.03.10	00:15:00	2.4939	2.5127	2.4926	2.5033	2358	782812	1
2022.03.10	00:30:00	2.5032	2.5048	2.4857	2.4868	2000	693549	1
2022.03.10	00:45:00	2.4870	2.4909	2.4716	2.4753	2211	670736	1
2022.03.10	01:00:00	2.4754	2.4799	2.4621	2.4759	2174	708754	1
2022.03.10	01:15:00	2.4764	2.4906	2.4750	2.4888	1438	448023	1
2022.03.10	01:30:00	2.4878	2.4905	2.4432	2.4494	4323	1929514	1
2022.03.10	01:45:00	2.4488	2.4508	2.4213	2.4265	5861	2701749	1
2022.03.10	02:00:00	2.4271	2.4380	2.4170	2.4276	3359	1274607	1
2022.03.10	02:15:00	2.4277	2.4348	2.4229	2.4258	2239	867995	1
2022.03.10	02:30:00	2.4258	2.4370	2.4201	2.4356	1838	651070	1
2022.03.10	02:45:00	2.4356	2.4388	2.4141	2.4179	1963	812102	1
2022.03.10	03:00:00	2.4176	2.4330	2.4105	2.4307	2710	1112946	1
2022.03.10	03:15:00	2.4310	2.4345	2.4273	2.4292	1120	384036	1
2022.03.10	03:30:00	2.4289	2.4305	2.4200	2.4266	1355	403692	1
2022.03.10	03:45:00	2.4270	2.4293	2.4205	2.4210	1141	363461	1
2022.03.10	04:00:00	2.4212	2.4271	2.4131	2.4165	1512	601407	1
2022.03.10	04:15:00	2.4162	2.4191	2.3815	2.3819	5456	2544560	1
2022.03.10	04:30:00	2.3821	2.3911	2.3699	2.3770	7022	3597708	1
2022.03.10	04:45:00	2.3772	2.3845	2.3686	2.3728	3235	1335491	1
2022.03.10	05:00:00	2.3734	2.3742	2.3514	2.3601	4600	2085186	1
2022.03.10	05:15:00	2.3602	2.3703	2.3537	2.3609	2266	897430	1
2022.03.10	05:30:00	2.3616	2.3644	2.3556	2.3566	1854	818655	1
2022.03.10	05:45:00	2.3565	2.3789	2.3553	2.3673	3770	1707939	1
2022.03.10	06:00:00	2.3673	2.3736	2.3638	2.3652	1813	667209	1
2022.03.10	06:15:00	2.3652	2.3656	2.3469	2.3570	2378	1060570	1
