<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	1.2656	1.2783	1.2635	1.2780	6222	6451826	1
2021.10.04	10:00:00	1.2779	1.2807	1.2618	1.2697	6500	6996317	1
2021.10.04	11:00:00	1.2698	1.2715	1.2461	1.2590	9926	13400642	1
2021.10.04	12:00:00	1.2597	1.2783	1.2511	1.2733	8847	11340647	1
2021.10.04	13:00:00	1.2732	1.2935	1.2716	1.2919	13134	14350944	1
2021.10.04	14:00:00	1.2919	1.2994	1.2502	1.2578	19050	19888214	1
2021.10.04	15:00:00	1.2577	1.2689	1.2344	1.2677	18419	21035446	1
2021.10.04	16:00:00	1.2676	1.2893	1.2642	1.2708	19136	19373322	1
2021.10.04	17:00:00	1.2708	1.2927	1.2605	1.2900	15770	13685408	1
2021.10.04	18:00:00	1.2900	1.3050	1.2841	1.3040	13837	11470044	1
2021.10.04	19:00:00	1.3040	1.3083	1.2833	1.2887	10208	7635246	1
2021.10.04	20:00:00	1.2887	1.2922	1.2683	1.2702	9219	9027750	0
2021.10.04	21:00:00	1.2710	1.2790	1.2649	1.2728	4942	4683239	1
2021.10.04	22:00:00	1.2728	1.2786	1.2597	1.2647	6137	5827020	1
2021.10.04	23:00:00	1.2644	1.2843	1.2640	1.2763	7668	8182844	1
2021.10.05	00:00:00	1.2763	1.2950	1.2649	1.2918	10896	11160421	1
2021.10.05	01:00:00	1.2918	1.2964	1.2780	1.2827	7103	7100654	1
2021.10.05	02:00:00	1.2827	1.2913	1.2730	1.2909	6034	6640293	1
2021.10.05	03:00:00	1.2909	1.3013	1.2881	1.3005	7184	7102321	1
2021.10.05	04:00:00	1.3004	1.3012	1.2783	1.2815	5284	5046950	1
2021.10.05	05:00:00	1.2813	1.2971	1.2791	1.2936	5556	5635806	1
2021.10.05	06:00:00	1.2936	1.3002	1.2899	1.2928	5458	5513677	1
2021.10.05	07:00:00	1.2929	1.3126	1.2915	1.3029	8665	8454861	1
2021.10.05	08:00:00	1.3031	1.3142	1.2946	1.3125	9146	10367755	1
2021.10.05	09:00:00	1.3125	1.3400	1.3053	1.3356	19064	20038508	0
2021.10.05	10:00:00	1.3357	1.3386	1.3151	1.3214	13628	13728181	1
2021.10.05	11:00:00	1.3212	1.3302	1.3165	1.3178	7715	6819693	1
