<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	1.2656	1.2678	1.2635	1.2657	577	694008	1
2021.10.04	09:15:00	1.2658	1.2770	1.2658	1.2728	1972	2241382	1
2021.10.04	09:30:00	1.2728	1.2771	1.2684	1.2750	1983	1777662	1
2021.10.04	09:45:00	1.2751	1.2783	1.2719	1.2780	1690	1738774	1
2021.10.04	10:00:00	1.2779	1.2807	1.2720	1.2730	1620	1638130	1
2021.10.04	10:15:00	1.2732	1.2737	1.2618	1.2732	2060	2312810	1
2021.10.04	10:30:00	1.2733	1.2739	1.2631	1.2637	1302	1422063	1
2021.10.04	10:45:00	1.2641	1.2717	1.2624	1.2697	1518	1623314	1
2021.10.04	11:00:00	1.2698	1.2715	1.2559	1.2569	2497	3728462	1
2021.10.04	11:15:00	1.2571	1.2644	1.2489	1.2514	2433	3416182	1
2021.10.04	11:30:00	1.2515	1.2584	1.2461	1.2527	3128	4133449	1
2021.10.04	11:45:00	1.2529	1.2639	1.2526	1.2590	1868	2122549	1
2021.10.04	12:00:00	1.2597	1.2654	1.2511	1.2634	2806	3153989	1
2021.10.04	12:15:00	1.2635	1.2676	1.2601	1.2676	2038	2576939	1
2021.10.04	12:30:00	1.2676	1.2698	1.2646	1.2674	1602	2501687	1
2021.10.04	12:45:00	1.2675	1.2783	1.2651	1.2733	2401	3108032	1
2021.10.04	13:00:00	1.2732	1.2813	1.2716	1.2780	2593	2920489	1
2021.10.04	13:15:00	1.2783	1.2829	1.2744	1.2800	3401	3934902	1
2021.10.04	13:30:00	1.2799	1.2935	1.2758	1.2879	4519	4862028	1
2021.10.04	13:45:00	1.2879	1.2927	1.2824	1.2919	2621	2633525	1
2021.10.04	14:00:00	1.2919	1.2994	1.2829	1.2908	5828	6107485	1
2021.10.04	14:15:00	1.2912	1.2960	1.2901	1.2912	2259	1975021	1
2021.10.04	14:30:00	1.2911	1.2925	1.2653	1.2712	5288	6124044	1
2021.10.04	14:45:00	1.2711	1.2716	1.2502	1.2578	5675	5681664	1
2021.10.04	15:00:00	1.2577	1.2584	1.2344	1.2551	8627	11220708	1
2021.10.04	15:15:00	1.2550	1.2579	1.2472	1.2543	3801	4418176	1
2021.10.04	15:30:00	1.2545	1.2635	1.2539	1.2628	3264	3175427	1
2021.10.04	15:45:00	1.2623	1.2689	1.2578	1.2677	2727	2221135	1
2021.10.04	16:00:00	1.2676	1.2820	1.2642	1.2809	4578	4171148	1
2021.10.04	16:15:00	1.2810	1.2893	1.2773	1.2844	6239	7181732	1
2021.10.04	16:30:00	1.2842	1.2879	1.2736	1.2752	4055	3620167	1
2021.10.04	16:45:00	1.2749	1.2759	1.2671	1.2708	4264	4400275	1
2021.10.04	17:00:00	1.2708	1.2760	1.2605	1.2655	4228	3659716	1
2021.10.04	17:15:00	1.2655	1.2734	1.2625	1.2724	1773	1213214	1
2021.10.04	17:30:00	1.2724	1.2901	1.2724	1.2815	5189	4763171	1
2021.10.04	17:45:00	1.2820	1.2927	1.2817	1.2900	4580	4049307	1
2021.10.04	18:00:00	1.2900	1.2947	1.2841	1.2910	4178	3305939	1
2021.10.04	18:15:00	1.2911	1.2988	1.2901	1.2939	3215	2215440	1
2021.10.04	18:30:00	1.2939	1.3004	1.2939	1.2971	2779	2073783	1
