<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	7.7229	7.7900	7.6820	7.7884	8899	432934	1
2021.10.04	10:00:00	7.7883	7.7900	7.6593	7.7330	9742	472133	1
2021.10.04	11:00:00	7.7330	7.7457	7.5567	7.6584	14087	930183	1
2021.10.04	12:00:00	7.6575	7.8196	7.6242	7.7680	11729	680324	1
2021.10.04	13:00:00	7.7681	7.8499	7.7300	7.8105	13287	869256	1
2021.10.04	14:00:00	7.8114	7.9222	7.5200	7.6075	24302	1725192	1
2021.10.04	15:00:00	7.6078	7.6972	7.3561	7.6645	26423	1909571	1
2021.10.04	16:00:00	7.6604	8.1276	7.6336	8.0854	33107	2140621	1
2021.10.04	17:00:00	8.0844	8.2095	7.9606	7.9983	31476	1967762	1
2021.10.04	18:00:00	7.9999	8.0404	7.9583	7.9800	10785	590269	1
2021.10.04	19:00:00	7.9808	8.0029	7.8630	7.8902	10219	597219	1
2021.10.04	20:00:00	7.8909	7.9191	7.6204	7.6299	19621	1352286	1
2021.10.04	21:00:00	7.6288	7.6548	7.5822	7.6303	7475	493666	1
2021.10.04	22:00:00	7.6302	7.6504	7.5583	7.5620	8940	463732	1
2021.10.04	23:00:00	7.5619	7.7023	7.5585	7.6348	11216	655456	1
2021.10.05	00:00:00	7.6343	7.8500	7.5697	7.8123	17773	978668	1
2021.10.05	01:00:00	7.8149	7.8984	7.7367	7.7980	14134	818016	1
2021.10.05	02:00:00	7.7968	7.9393	7.7813	7.9041	11099	575027	1
2021.10.05	03:00:00	7.9041	7.9870	7.8333	7.9118	12007	684503	1
2021.10.05	04:00:00	7.9116	7.9127	7.7500	7.7718	8680	516104	1
2021.10.05	05:00:00	7.7701	7.9000	7.7605	7.8300	8504	478907	1
2021.10.05	06:00:00	7.8306	7.9000	7.8265	7.8318	6796	333873	1
2021.10.05	07:00:00	7.8321	7.9000	7.8268	7.8347	8658	456446	1
2021.10.05	08:00:00	7.8355	8.1959	7.8354	8.0725	31448	2203648	1
2021.10.05	09:00:00	8.0695	8.1987	7.9750	8.1266	28694	1781617	1
2021.10.05	10:00:00	8.1268	8.2586	8.0551	8.0952	24314	1562713	1
2021.10.05	11:00:00	8.0960	8.1802	8.0500	8.0831	14770	776856	1
2021.10.05	12:00:00	8.0815	8.1600	8.0120	8.0735	17158	891215	1
2021.10.05	13:00:00	8.0760	8.1210	8.0450	8.0526	12725	631718	1
2021.10.05	14:00:00	8.0509	8.0718	7.6707	7.7788	31567	2052786	1
2021.10.05	15:00:00	7.7788	7.8469	7.6200	7.6860	22133	1378116	1
2021.10.05	16:00:00	7.6850	7.7265	7.6134	7.7008	12954	743272	1
2021.10.05	17:00:00	7.7011	7.7294	7.6514	7.6587	7417	402314	1
2021.10.05	18:00:00	7.6592	7.7509	7.6580	7.7380	9392	534136	1
2021.10.05	19:00:00	7.7359	7.7881	7.7266	7.7690	8547	481070	1
2021.10.05	20:00:00	7.7695	7.8815	7.7526	7.8589	11755	689413	1
2021.10.05	21:00:00	7.8589	7.9154	7.8014	7.8476	8540	507646	1
2021.10.05	22:00:00	7.8476	7.9846	7.8345	7.9721	11613	602583	1
2021.10.05	23:00:00	7.9721	8.0619	7.9313	7.9932	12949	833769	1
2021.10.06	00:00:00	7.9938	8.0186	7.8615	7.8810	10570	759171	1
2021.10.06	01:00:00	7.8808	7.8988	7.7604	7.8319	11199	830251	1
2021.10.06	02:00:00	7.8318	7.8375	7.7283	7.8206	8599	494100	1
2021.10.06	03:00:00	7.8208	7.8293	7.7072	7.7140	7728	433937	1
2021.10.06	04:00:00	7.7164	7.7188	7.5728	7.6615	14352	979189	1
2021.10.06	05:00:00	7.6615	7.7175	7.6022	7.7134	9258	538757	1
2021.10.06	06:00:00	7.7120	7.8000	7.6225	7.6353	11111	666005	1
2021.10.06	07:00:00	7.6338	7.6774	7.4620	7.5390	15656	1049644	1
2021.10.06	08:00:00	7.5380	7.5612	7.1355	7.2883	29087	2145227	1
2021.10.06	09:00:00	7.2880	7.3315	7.1859	7.2988	14680	839030	1
2021.10.06	10:00:00	7.2995	7.4211	7.2607	7.3531	13783	754745	1
2021.10.06	11:00:00	7.3531	7.4309	7.3135	7.3301	8887	524366	1
2021.10.06	12:00:00	7.3323	7.5799	7.3102	7.5140	17581	1122542	1
2021.10.06	13:00:00	7.5171	7.8273	7.4802	7.6904	34644	2480837	1
2021.10.06	14:00:00	7.6904	7.7859	7.6000	7.7582	15025	995199	1
2021.10.06	15:00:00	7.7578	7.8121	7.7168	7.7601	14316	867053	1
2021.10.06	16:00:00	7.7599	7.8790	7.6692	7.8046	15253	819576	1
2021.10.06	17:00:00	7.8019	7.9458	7.7177	7.8801	13036	800802	1
2021.10.06	18:00:00	7.8813	7.9000	7.7661	7.7830	9732	540345	1
2021.10.06	19:00:00	7.7814	7.8927	7.7812	7.8037	7231	347327	1
2021.10.06	20:00:00	7.8017	7.8260	7.6628	7.7023	10164	552384	1
2021.10.06	21:00:00	7.7028	7.7526	7.6710	7.7386	5420	327801	1
2021.10.06	22:00:00	7.7380	7.7964	7.6724	7.7401	7056	321098	1
2021.10.06	23:00:00	7.7444	7.8998	7.6811	7.7965	10172	489018	1
2021.10.07	00:00:00	7.7970	7.8507	7.5313	7.6239	14616	928765	1
2021.10.07	01:00:00	7.6179	7.6906	7.5023	7.6706	11198	599697	1
2021.10.07	02:00:00	7.6733	7.7243	7.6424	7.6470	8698	455398	1
2021.10.07	03:00:00	7.6480	7.6907	7.5265	7.6167	9613	433319	1
2021.10.07	04:00:00	7.6123	7.7498	7.6044	7.7150	8816	491117	1
2021.10.07	05:00:00	7.7126	7.7208	7.5725	7.6968	10116	535639	1
2021.10.07	06:00:00	7.6968	7.7755	7.6255	7.6820	12672	682669	1
2021.10.07	07:00:00	7.6820	7.8454	7.6433	7.8196	15595	863529	1
2021.10.07	08:00:00	7.8167	8.2001	7.8101	8.1235	36499	2155954	1
2021.10.07	09:00:00	8.1217	8.3880	7.8600	8.3420	49660	3270636	1
2021.10.07	10:00:00	8.3421	8.3863	8.0600	8.2784	34988	2118492	1
2021.10.07	11:00:00	8.2784	8.2824	8.0500	8.1529	27323	1427002	1
2021.10.07	12:00:00	8.1529	8.3000	7.9791	8.2927	30688	1794705	1
2021.10.07	13:00:00	8.2898	8.3699	8.1584	8.2623	32016	1886299	1
2021.10.07	14:00:00	8.2624	8.2839	7.9000	7.9932	31552	2128403	1
2021.10.07	15:00:00	7.9923	8.4950	7.9726	8.3614	42864	2786557	1
2021.10.07	16:00:00	8.3615	8.4111	8.1200	8.1649	31878	2008416	1
2021.10.07	17:00:00	8.1636	8.3868	8.1100	8.1652	19254	1227281	1
2021.10.07	18:00:00	8.1657	8.3115	8.1100	8.2714	15249	931349	1
2021.10.07	19:00:00	8.2711	8.3428	8.1956	8.2273	11232	641761	1
2021.10.07	20:00:00	8.2276	8.2802	8.1735	8.1899	7967	420004	1
2021.10.07	21:00:00	8.1888	8.2165	8.1361	8.1420	6770	359997	1
2021.10.07	22:00:00	8.1419	8.2065	8.0600	8.1952	11336	664048	1
2021.10.07	23:00:00	8.1945	8.3175	8.0909	8.2937	11688	672410	1
2021.10.08	00:00:00	8.2947	8.7041	8.2260	8.6851	38936	2546402	1
2021.10.08	01:00:00	8.6849	8.7268	8.5422	8.5971	22477	1370221	1
