<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	7.7229	7.7278	7.6820	7.7104	1673	81757	1
2021.10.04	09:15:00	7.7107	7.7669	7.7107	7.7301	2287	99418	1
2021.10.04	09:30:00	7.7307	7.7708	7.7054	7.7520	2629	145974	1
2021.10.04	09:45:00	7.7524	7.7900	7.7286	7.7884	2310	105785	1
2021.10.04	10:00:00	7.7883	7.7900	7.7197	7.7348	2182	84208	1
2021.10.04	10:15:00	7.7328	7.7503	7.6593	7.7483	2868	146963	1
2021.10.04	10:30:00	7.7521	7.7540	7.6862	7.6949	2157	105722	1
2021.10.04	10:45:00	7.6946	7.7540	7.6810	7.7330	2535	135240	1
2021.10.04	11:00:00	7.7330	7.7457	7.6200	7.6264	3149	161388	1
2021.10.04	11:15:00	7.6251	7.6898	7.6020	7.6096	2712	152347	1
2021.10.04	11:30:00	7.6056	7.6668	7.5567	7.5892	4761	365980	1
2021.10.04	11:45:00	7.5901	7.6840	7.5731	7.6584	3465	250468	1
2021.10.04	12:00:00	7.6575	7.7430	7.6242	7.7192	3880	197458	1
2021.10.04	12:15:00	7.7222	7.7668	7.7152	7.7606	2773	166320	1
2021.10.04	12:30:00	7.7598	7.7704	7.7158	7.7348	2158	153260	1
2021.10.04	12:45:00	7.7343	7.8196	7.7226	7.7680	2918	163286	1
2021.10.04	13:00:00	7.7681	7.7999	7.7521	7.7740	2876	167749	1
2021.10.04	13:15:00	7.7759	7.8279	7.7300	7.7773	4058	300057	1
2021.10.04	13:30:00	7.7768	7.8499	7.7552	7.8150	3709	223385	1
2021.10.04	13:45:00	7.8168	7.8178	7.7636	7.8105	2644	178065	1
2021.10.04	14:00:00	7.8114	7.9222	7.8088	7.8576	7256	483977	1
2021.10.04	14:15:00	7.8565	7.8930	7.8466	7.8628	2998	169627	1
2021.10.04	14:30:00	7.8611	7.8655	7.6293	7.6934	6564	491772	1
2021.10.04	14:45:00	7.6947	7.6956	7.5200	7.6075	7484	579816	1
2021.10.04	15:00:00	7.6078	7.6367	7.3561	7.6180	13400	1059474	1
2021.10.04	15:15:00	7.6174	7.6801	7.5247	7.5916	6255	450595	1
2021.10.04	15:30:00	7.5927	7.6656	7.5831	7.6649	3392	174557	1
2021.10.04	15:45:00	7.6621	7.6972	7.6053	7.6645	3376	224945	1
2021.10.04	16:00:00	7.6604	7.7797	7.6336	7.7643	5009	279940	1
2021.10.04	16:15:00	7.7634	7.8488	7.7523	7.8169	7420	484513	1
2021.10.04	16:30:00	7.8181	7.9050	7.7023	7.8800	7544	531762	1
2021.10.04	16:45:00	7.8800	8.1276	7.8295	8.0854	13134	844406	1
2021.10.04	17:00:00	8.0844	8.2095	7.9612	8.0040	16473	1060899	1
2021.10.04	17:15:00	8.0010	8.0643	7.9606	8.0108	3759	210464	1
2021.10.04	17:30:00	8.0115	8.0919	7.9791	7.9809	5941	360244	1
2021.10.04	17:45:00	7.9810	8.0501	7.9632	7.9983	5303	336155	1
2021.10.04	18:00:00	7.9999	8.0404	7.9750	7.9823	3769	237647	1
2021.10.04	18:15:00	7.9833	8.0027	7.9583	7.9635	2788	149244	1
2021.10.04	18:30:00	7.9642	8.0136	7.9630	8.0026	2252	104106	1
2021.10.04	18:45:00	8.0055	8.0123	7.9630	7.9800	1976	99272	1
2021.10.04	19:00:00	7.9808	8.0029	7.8630	7.8823	4209	275861	1
2021.10.04	19:15:00	7.8824	7.9431	7.8699	7.8781	2000	117279	1
2021.10.04	19:30:00	7.8793	7.9198	7.8717	7.8874	1989	103463	1
2021.10.04	19:45:00	7.8873	7.9149	7.8692	7.8902	2021	100616	1
2021.10.04	20:00:00	7.8909	7.9191	7.7048	7.7048	7549	527171	1
2021.10.04	20:15:00	7.7047	7.7300	7.6248	7.6511	6904	486136	1
2021.10.04	20:30:00	7.6550	7.6799	7.6275	7.6616	3145	199885	1
2021.10.04	20:45:00	7.6586	7.6877	7.6204	7.6299	2023	139094	1
2021.10.04	21:00:00	7.6288	7.6548	7.5842	7.6048	2796	201006	1
2021.10.04	21:15:00	7.6050	7.6356	7.6033	7.6109	1654	109310	1
2021.10.04	21:30:00	7.6108	7.6285	7.5841	7.6018	1318	91793	1
2021.10.04	21:45:00	7.6029	7.6418	7.5822	7.6303	1707	91557	1
2021.10.04	22:00:00	7.6302	7.6504	7.5993	7.6080	2002	99448	1
2021.10.04	22:15:00	7.6034	7.6277	7.5821	7.6019	1911	79048	1
2021.10.04	22:30:00	7.6032	7.6351	7.5694	7.5766	2519	169629	1
2021.10.04	22:45:00	7.5766	7.6116	7.5583	7.5620	2508	115607	1
2021.10.04	23:00:00	7.5619	7.6228	7.5585	7.6198	2619	140141	1
2021.10.04	23:15:00	7.6218	7.6690	7.6156	7.6593	2931	173456	1
2021.10.04	23:30:00	7.6593	7.7023	7.6498	7.6650	2575	169723	1
2021.10.04	23:45:00	7.6629	7.6791	7.5774	7.6348	3091	172136	1
2021.10.05	00:00:00	7.6343	7.6613	7.5697	7.6333	3616	200034	1
2021.10.05	00:15:00	7.6340	7.6736	7.6106	7.6585	2785	163842	1
2021.10.05	00:30:00	7.6601	7.7705	7.6351	7.7635	5884	343543	1
2021.10.05	00:45:00	7.7621	7.8500	7.7356	7.8123	5488	271249	1
2021.10.05	01:00:00	7.8149	7.8984	7.7713	7.8681	5326	347418	1
2021.10.05	01:15:00	7.8680	7.8680	7.7814	7.8256	3348	188937	1
2021.10.05	01:30:00	7.8249	7.8313	7.7390	7.7470	3225	169354	1
2021.10.05	01:45:00	7.7491	7.8172	7.7367	7.7980	2235	112307	1
2021.10.05	02:00:00	7.7968	7.8422	7.7813	7.8226	3184	150583	1
2021.10.05	02:15:00	7.8221	7.8706	7.7859	7.8320	2477	133430	1
2021.10.05	02:30:00	7.8322	7.8783	7.8125	7.8779	2382	132699	1
2021.10.05	02:45:00	7.8774	7.9393	7.8501	7.9041	3056	158315	1
2021.10.05	03:00:00	7.9041	7.9398	7.8700	7.8846	2929	165528	1
2021.10.05	03:15:00	7.8850	7.9870	7.8619	7.9684	3689	201394	1
2021.10.05	03:30:00	7.9661	7.9801	7.8333	7.8774	3278	188885	1
2021.10.05	03:45:00	7.8787	7.9118	7.8418	7.9118	2111	128696	1
2021.10.05	04:00:00	7.9116	7.9127	7.8414	7.8766	2209	154927	1
2021.10.05	04:15:00	7.8751	7.8835	7.8208	7.8455	1822	110889	1
2021.10.05	04:30:00	7.8459	7.8518	7.7816	7.7901	2454	133199	1
2021.10.05	04:45:00	7.7921	7.8072	7.7500	7.7718	2195	117089	1
2021.10.05	05:00:00	7.7701	7.8545	7.7605	7.8460	2112	94976	1
2021.10.05	05:15:00	7.8451	7.8600	7.8087	7.8411	1890	103656	1
2021.10.05	05:30:00	7.8425	7.9000	7.8264	7.8703	2637	150769	1
2021.10.05	05:45:00	7.8704	7.8797	7.8220	7.8300	1865	129506	1
2021.10.05	06:00:00	7.8306	7.8658	7.8265	7.8419	1779	85510	1
2021.10.05	06:15:00	7.8417	7.9000	7.8409	7.8881	1778	106290	1
2021.10.05	06:30:00	7.8884	7.9000	7.8597	7.8760	1526	64497	1
2021.10.05	06:45:00	7.8760	7.8760	7.8311	7.8318	1713	77576	1
2021.10.05	07:00:00	7.8321	7.8884	7.8268	7.8769	2100	89082	1
2021.10.05	07:15:00	7.8756	7.9000	7.8455	7.8926	2429	146490	1
2021.10.05	07:30:00	7.8924	7.8969	7.8628	7.8675	2082	103379	1
2021.10.05	07:45:00	7.8672	7.8773	7.8330	7.8347	2047	117495	1
2021.10.05	08:00:00	7.8355	7.9239	7.8354	7.9136	3007	179082	1
2021.10.05	08:15:00	7.9133	8.1452	7.8964	8.1227	9981	667893	1
2021.10.05	08:30:00	8.1188	8.1959	8.0590	8.1024	12533	964875	1
2021.10.05	08:45:00	8.0997	8.1104	8.0419	8.0725	5927	391798	1
2021.10.05	09:00:00	8.0695	8.0915	7.9750	8.0557	5248	304308	1
2021.10.05	09:15:00	8.0557	8.1800	8.0100	8.1360	9062	539476	1
2021.10.05	09:30:00	8.1368	8.1987	8.1084	8.1711	8163	562298	1
2021.10.05	09:45:00	8.1710	8.1743	8.0776	8.1266	6221	375535	1
2021.10.05	10:00:00	8.1268	8.1700	8.1224	8.1472	4490	248708	1
2021.10.05	10:15:00	8.1474	8.1660	8.1147	8.1638	4162	263017	1
2021.10.05	10:30:00	8.1638	8.2586	8.1491	8.1604	8956	636310	1
2021.10.05	10:45:00	8.1605	8.2000	8.0551	8.0952	6706	414678	1
2021.10.05	11:00:00	8.0960	8.1500	8.0919	8.1079	4004	214716	1
2021.10.05	11:15:00	8.1075	8.1802	8.0981	8.1583	3592	169156	1
2021.10.05	11:30:00	8.1565	8.1582	8.0605	8.0691	3490	190713	1
