<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	0.13812	0.14068	0.13796	0.13955	5861	22245892	1
2022.03.09	09:00:00	0.13954	0.14161	0.13893	0.13997	7584	30304157	1
2022.03.09	10:00:00	0.13994	0.14210	0.13948	0.14069	5920	31227035	1
2022.03.09	11:00:00	0.14035	0.14106	0.14017	0.14047	2144	9502995	1
2022.03.09	12:00:00	0.14044	0.14092	0.13700	0.13776	10436	54623647	1
2022.03.09	13:00:00	0.13774	0.13837	0.13523	0.13629	10109	52832231	1
2022.03.09	14:00:00	0.13625	0.13857	0.13614	0.13746	9188	40751637	1
2022.03.09	15:00:00	0.13752	0.13926	0.13679	0.13900	7789	33530016	1
2022.03.09	16:00:00	0.13900	0.13986	0.13800	0.13849	7652	31108861	1
2022.03.09	17:00:00	0.13848	0.13902	0.13765	0.13866	4893	21340125	1
2022.03.09	18:00:00	0.13871	0.13882	0.13501	0.13596	9804	49775302	1
2022.03.09	19:00:00	0.13597	0.13697	0.13453	0.13669	6534	27339901	1
2022.03.09	20:00:00	0.13668	0.13730	0.13420	0.13484	5768	23439163	1
2022.03.09	21:00:00	0.13486	0.13565	0.13433	0.13529	4856	18686741	1
2022.03.09	22:00:00	0.13531	0.13585	0.13470	0.13509	3434	9906415	1
2022.03.09	23:00:00	0.13510	0.13628	0.13439	0.13525	4455	16639795	1
2022.03.10	00:00:00	0.13522	0.13640	0.13446	0.13518	5054	19317448	1
2022.03.10	01:00:00	0.13510	0.13622	0.13155	0.13238	9147	47249485	1
2022.03.10	02:00:00	0.13240	0.13307	0.13119	0.13131	5902	22013165	1
2022.03.10	03:00:00	0.13131	0.13247	0.13079	0.13097	5456	23101403	1
2022.03.10	04:00:00	0.13096	0.13140	0.12643	0.12715	13321	66038857	1
2022.03.10	05:00:00	0.12714	0.12714	0.12471	0.12619	10110	43168656	1
2022.03.10	06:00:00	0.12620	0.12739	0.12523	0.12720	6842	25322661	1
2022.03.10	07:00:00	0.12719	0.12758	0.12633	0.12703	5175	19739541	1
2022.03.10	08:00:00	0.12704	0.12724	0.12538	0.12703	7957	27033266	1
2022.03.10	09:00:00	0.12708	0.12750	0.12616	0.12652	6841	24467381	1
2022.03.10	10:00:00	0.12652	0.12713	0.12593	0.12618	5496	21703341	1
2022.03.10	11:00:00	0.12616	0.12649	0.12553	0.12624	4967	17496816	1
2022.03.10	12:00:00	0.12620	0.12725	0.12561	0.12639	7110	21331670	1
2022.03.10	13:00:00	0.12638	0.12928	0.12350	0.12565	17790	85528537	1
2022.03.10	14:00:00	0.12561	0.12714	0.12504	0.12700	9888	32168568	1
2022.03.10	15:00:00	0.12702	0.12813	0.12555	0.12671	9930	34988511	1
2022.03.10	16:00:00	0.12671	0.12744	0.12505	0.12661	9313	35906697	1
2022.03.10	17:00:00	0.12661	0.12684	0.12551	0.12614	6767	17011790	1
2022.03.10	18:00:00	0.12613	0.12625	0.12469	0.12582	6737	23814487	1
2022.03.10	19:00:00	0.12582	0.12712	0.12525	0.12688	5437	15995867	1
2022.03.10	20:00:00	0.12686	0.12770	0.12676	0.12748	5202	16014362	1
2022.03.10	21:00:00	0.12747	0.12767	0.12628	0.12644	5118	18146586	1
2022.03.10	22:00:00	0.12646	0.12701	0.12581	0.12685	5309	15379730	1
2022.03.10	23:00:00	0.12685	0.12712	0.12563	0.12600	5440	17104000	1
2022.03.11	00:00:00	0.12600	0.12610	0.12443	0.12496	7303	29845684	1
2022.03.11	01:00:00	0.12499	0.12500	0.12282	0.12340	7930	38257299	1
2022.03.11	02:00:00	0.12344	0.12382	0.12149	0.12231	7031	31088871	1
2022.03.11	03:00:00	0.12232	0.12481	0.12217	0.12447	5221	21961365	1
2022.03.11	04:00:00	0.12447	0.12458	0.12243	0.12297	4314	20483753	1
2022.03.11	05:00:00	0.12302	0.12453	0.12234	0.12441	3863	18304918	1
2022.03.11	06:00:00	0.12441	0.12671	0.12425	0.12664	7384	31259583	1
2022.03.11	07:00:00	0.12663	0.12769	0.12601	0.12623	9071	41576175	1
2022.03.11	08:00:00	0.12622	0.12715	0.12533	0.12576	6649	30029953	1
2022.03.11	09:00:00	0.12576	0.12686	0.12550	0.12628	5218	18584555	1
2022.03.11	10:00:00	0.12627	0.12670	0.12587	0.12609	4517	16209466	1
2022.03.11	11:00:00	0.12607	0.12897	0.12455	0.12786	13399	68837517	1
2022.03.11	12:00:00	0.12785	0.12938	0.12720	0.12809	9283	38130944	1
2022.03.11	13:00:00	0.12812	0.12835	0.12584	0.12709	10569	52757787	1
2022.03.11	14:00:00	0.12708	0.12790	0.12622	0.12666	7044	25565346	1
2022.03.11	15:00:00	0.12665	0.12665	0.12428	0.12493	9230	34552896	1
2022.03.11	16:00:00	0.12494	0.12511	0.12283	0.12383	8319	36706741	1
2022.03.11	17:00:00	0.12381	0.12450	0.12288	0.12443	4254	16224138	1
2022.03.11	18:00:00	0.12437	0.12512	0.12384	0.12403	4089	14860783	1
2022.03.11	19:00:00	0.12406	0.12493	0.12391	0.12427	4561	12646277	1
2022.03.11	20:00:00	0.12423	0.12508	0.12200	0.12250	7243	23998895	1
2022.03.11	21:00:00	0.12251	0.12465	0.12246	0.12431	4906	17530977	1
2022.03.11	22:00:00	0.12429	0.12543	0.12413	0.12488	4173	13995247	1
2022.03.11	23:00:00	0.12488	0.12541	0.12407	0.12418	4941	11722504	1
2022.03.12	00:00:00	0.12418	0.12658	0.12404	0.12617	6490	20955984	1
2022.03.12	01:00:00	0.12618	0.12729	0.12613	0.12688	5088	12767316	1
2022.03.12	02:00:00	0.12693	0.12767	0.12545	0.12573	4431	14476449	1
2022.03.12	03:00:00	0.12571	0.12660	0.12552	0.12560	2883	10735993	1
2022.03.12	04:00:00	0.12566	0.12629	0.12474	0.12557	3029	12939876	1
2022.03.12	05:00:00	0.12557	0.12598	0.12495	0.12559	2497	11006139	1
2022.03.12	06:00:00	0.12557	0.12623	0.12491	0.12507	3226	12921396	1
2022.03.12	07:00:00	0.12506	0.12545	0.12437	0.12536	3351	15516312	1
2022.03.12	08:00:00	0.12537	0.12574	0.12418	0.12515	4202	17634572	1
2022.03.12	09:00:00	0.12518	0.12622	0.12483	0.12620	3080	12793407	1
2022.03.12	10:00:00	0.12619	0.12731	0.12590	0.12680	5387	26733229	1
2022.03.12	11:00:00	0.12678	0.12694	0.12580	0.12603	3847	16666085	1
2022.03.12	12:00:00	0.12608	0.12690	0.12598	0.12634	3431	11593001	1
2022.03.12	13:00:00	0.12634	0.12661	0.12554	0.12573	3202	11031944	1
2022.03.12	14:00:00	0.12571	0.12614	0.12435	0.12520	4722	18852754	1
