<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	0.13812	0.13951	0.13796	0.13900	1575	6764840	1
2022.03.09	08:45:00	0.13900	0.14068	0.13880	0.13955	4286	15481052	1
2022.03.09	09:00:00	0.13954	0.13984	0.13893	0.13972	2124	6595361	1
2022.03.09	09:15:00	0.13973	0.14034	0.13939	0.14025	1378	4728065	1
2022.03.09	09:30:00	0.14026	0.14128	0.13958	0.14105	2271	10505665	1
2022.03.09	09:45:00	0.14107	0.14161	0.13979	0.13997	1811	8475066	1
2022.03.09	10:00:00	0.13994	0.14210	0.13948	0.14118	4237	23511227	1
2022.03.09	10:15:00	0.14118	0.14145	0.14018	0.14069	1683	7715808	1
2022.03.09	11:30:00	0.14035	0.14106	0.14028	0.14063	895	4465250	1
2022.03.09	11:45:00	0.14063	0.14090	0.14017	0.14047	1249	5037745	1
2022.03.09	12:00:00	0.14044	0.14092	0.14003	0.14009	1482	6594271	1
2022.03.09	12:15:00	0.14010	0.14058	0.13980	0.14007	1729	7782811	1
2022.03.09	12:30:00	0.14007	0.14083	0.13700	0.13783	4870	28817190	1
2022.03.09	12:45:00	0.13783	0.13882	0.13722	0.13776	2355	11429375	1
2022.03.09	13:00:00	0.13774	0.13816	0.13667	0.13732	2724	15102916	1
2022.03.09	13:15:00	0.13735	0.13837	0.13682	0.13770	2217	10125206	1
2022.03.09	13:30:00	0.13768	0.13804	0.13600	0.13609	2426	13065921	1
2022.03.09	13:45:00	0.13606	0.13645	0.13523	0.13629	2742	14538188	1
2022.03.09	14:00:00	0.13625	0.13857	0.13614	0.13760	3683	19543770	1
2022.03.09	14:15:00	0.13760	0.13845	0.13740	0.13825	1851	7457140	1
2022.03.09	14:30:00	0.13825	0.13850	0.13726	0.13795	2075	7523197	1
2022.03.09	14:45:00	0.13790	0.13808	0.13700	0.13746	1579	6227530	1
2022.03.09	15:00:00	0.13752	0.13775	0.13708	0.13747	1506	6099030	1
2022.03.09	15:15:00	0.13750	0.13756	0.13679	0.13747	1644	7783395	1
2022.03.09	15:30:00	0.13750	0.13894	0.13729	0.13877	1867	7339707	1
2022.03.09	15:45:00	0.13878	0.13926	0.13795	0.13900	2772	12307884	1
2022.03.09	16:00:00	0.13900	0.13945	0.13832	0.13856	2369	11192022	1
2022.03.09	16:15:00	0.13856	0.13927	0.13818	0.13919	1639	4932524	1
2022.03.09	16:30:00	0.13915	0.13986	0.13880	0.13920	1943	7645156	1
2022.03.09	16:45:00	0.13923	0.13926	0.13800	0.13849	1701	7339159	1
2022.03.09	17:00:00	0.13848	0.13902	0.13825	0.13870	1247	5040332	1
2022.03.09	17:15:00	0.13869	0.13887	0.13765	0.13853	1735	9575222	1
2022.03.09	17:30:00	0.13848	0.13864	0.13822	0.13836	903	3189623	1
2022.03.09	17:45:00	0.13836	0.13892	0.13825	0.13866	1008	3534948	1
2022.03.09	18:00:00	0.13871	0.13882	0.13710	0.13740	2052	9352723	1
2022.03.09	18:15:00	0.13742	0.13767	0.13572	0.13641	2749	14536682	1
2022.03.09	18:30:00	0.13655	0.13719	0.13502	0.13547	2980	15740508	1
2022.03.09	18:45:00	0.13548	0.13625	0.13501	0.13596	2023	10145389	1
2022.03.09	19:00:00	0.13597	0.13611	0.13507	0.13514	1306	5556664	1
2022.03.09	19:15:00	0.13521	0.13570	0.13453	0.13551	1947	8667898	1
2022.03.09	19:30:00	0.13549	0.13635	0.13543	0.13634	1618	5168536	1
2022.03.09	19:45:00	0.13636	0.13697	0.13636	0.13669	1663	7946803	1
2022.03.09	20:00:00	0.13668	0.13730	0.13584	0.13592	1737	6856670	1
2022.03.09	20:15:00	0.13595	0.13626	0.13544	0.13566	1165	5597964	1
2022.03.09	20:30:00	0.13564	0.13577	0.13455	0.13476	1259	4201164	1
2022.03.09	20:45:00	0.13475	0.13535	0.13420	0.13484	1607	6783365	1
2022.03.09	21:00:00	0.13486	0.13564	0.13449	0.13500	1285	6940601	1
2022.03.09	21:15:00	0.13500	0.13551	0.13470	0.13491	1131	4578512	1
2022.03.09	21:30:00	0.13490	0.13543	0.13433	0.13513	1194	4268240	1
2022.03.09	21:45:00	0.13514	0.13565	0.13510	0.13529	1246	2899388	1
2022.03.09	22:00:00	0.13531	0.13578	0.13512	0.13557	1009	2214543	1
2022.03.09	22:15:00	0.13554	0.13566	0.13521	0.13563	665	1908502	1
2022.03.09	22:30:00	0.13562	0.13585	0.13476	0.13498	835	2885736	1
2022.03.09	22:45:00	0.13497	0.13516	0.13470	0.13509	925	2897634	1
2022.03.09	23:00:00	0.13510	0.13534	0.13439	0.13520	1155	4083300	1
2022.03.09	23:15:00	0.13518	0.13580	0.13501	0.13579	948	2407667	1
2022.03.09	23:30:00	0.13577	0.13628	0.13527	0.13557	1307	5592189	1
2022.03.09	23:45:00	0.13559	0.13605	0.13503	0.13525	1045	4556639	1
2022.03.10	00:00:00	0.13522	0.13573	0.13446	0.13544	1840	6607253	1
2022.03.10	00:15:00	0.13548	0.13640	0.13540	0.13602	1172	4873718	1
2022.03.10	00:30:00	0.13601	0.13616	0.13520	0.13593	974	3173254	1
2022.03.10	00:45:00	0.13595	0.13619	0.13483	0.13518	1068	4663223	1
2022.03.10	01:00:00	0.13510	0.13542	0.13438	0.13523	1017	4487662	1
2022.03.10	01:15:00	0.13521	0.13612	0.13505	0.13601	1052	3448393	1
2022.03.10	01:30:00	0.13600	0.13622	0.13300	0.13360	3060	16281657	1
2022.03.10	01:45:00	0.13357	0.13363	0.13155	0.13238	4018	23031773	1
2022.03.10	02:00:00	0.13240	0.13307	0.13164	0.13255	1905	7044746	1
2022.03.10	02:15:00	0.13256	0.13302	0.13209	0.13240	1578	5651997	1
2022.03.10	02:30:00	0.13240	0.13294	0.13203	0.13269	1130	3913988	1
2022.03.10	02:45:00	0.13269	0.13283	0.13119	0.13131	1289	5402434	1
2022.03.10	03:00:00	0.13131	0.13218	0.13079	0.13204	2123	11069453	1
2022.03.10	03:15:00	0.13206	0.13247	0.13182	0.13186	991	3453382	1
2022.03.10	03:30:00	0.13192	0.13217	0.13116	0.13165	1237	4875185	1
2022.03.10	03:45:00	0.13165	0.13180	0.13091	0.13097	1105	3703383	1
2022.03.10	04:00:00	0.13096	0.13140	0.13051	0.13066	1532	6538519	1
2022.03.10	04:15:00	0.13066	0.13085	0.12854	0.12864	3708	19181316	1
2022.03.10	04:30:00	0.12863	0.12913	0.12643	0.12715	5959	32525747	1
2022.03.10	04:45:00	0.12720	0.12774	0.12661	0.12715	2122	7793275	1
2022.03.10	05:00:00	0.12714	0.12714	0.12518	0.12612	3459	13572747	1
2022.03.10	05:15:00	0.12611	0.12667	0.12522	0.12572	1845	7333686	1
2022.03.10	05:30:00	0.12571	0.12630	0.12523	0.12526	1910	8603026	1
2022.03.10	05:45:00	0.12526	0.12674	0.12471	0.12619	2896	13659197	1
2022.03.10	06:00:00	0.12620	0.12680	0.12578	0.12657	1826	6270553	1
2022.03.10	06:15:00	0.12655	0.12655	0.12523	0.12613	1659	5469602	1
2022.03.10	06:30:00	0.12613	0.12679	0.12608	0.12668	1846	6908591	1
2022.03.10	06:45:00	0.12666	0.12739	0.12633	0.12720	1511	6673915	1
2022.03.10	07:00:00	0.12719	0.12742	0.12653	0.12672	1409	5878820	1
2022.03.10	07:15:00	0.12673	0.12701	0.12633	0.12694	1110	3914940	1
2022.03.10	07:30:00	0.12693	0.12725	0.12692	0.12720	1292	4726307	1
2022.03.10	07:45:00	0.12719	0.12758	0.12685	0.12703	1364	5219474	1
2022.03.10	08:00:00	0.12704	0.12724	0.12550	0.12560	2269	9398119	1
2022.03.10	08:15:00	0.12556	0.12635	0.12538	0.12611	2245	7154899	1
2022.03.10	08:30:00	0.12611	0.12711	0.12594	0.12689	1798	5810813	1
2022.03.10	08:45:00	0.12689	0.12721	0.12663	0.12703	1645	4669435	1
2022.03.10	09:00:00	0.12708	0.12749	0.12700	0.12725	1711	5209150	1
2022.03.10	09:15:00	0.12727	0.12750	0.12634	0.12659	1659	6329848	1
2022.03.10	09:30:00	0.12657	0.12739	0.12616	0.12707	1575	5805703	1
2022.03.10	09:45:00	0.12704	0.12749	0.12652	0.12652	1896	7122680	1
2022.03.10	10:00:00	0.12652	0.12695	0.12633	0.12682	1395	3637881	1
2022.03.10	10:15:00	0.12678	0.12700	0.12634	0.12680	1095	3593574	1
2022.03.10	10:30:00	0.12679	0.12713	0.12624	0.12676	1425	6618044	1
