<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	0.24160	0.24351	0.24117	0.24163	3242	5505492	1
2022.03.09	09:00:00	0.24173	0.24212	0.23904	0.23936	5676	9857777	1
2022.03.09	10:00:00	0.23930	0.24000	0.23816	0.23816	2380	4369635	1
2022.03.09	11:00:00	0.23857	0.24773	0.23851	0.24495	6858	13521732	1
2022.03.09	12:00:00	0.24488	0.24891	0.24125	0.24396	13026	22740644	1
2022.03.09	13:00:00	0.24392	0.24462	0.23950	0.24158	9341	16048898	1
2022.03.09	14:00:00	0.24170	0.24388	0.24105	0.24300	6748	9460812	1
2022.03.09	15:00:00	0.24310	0.24483	0.23800	0.24177	12350	27178917	1
2022.03.09	16:00:00	0.24176	0.24302	0.24037	0.24109	7021	9387362	1
2022.03.09	17:00:00	0.24112	0.24184	0.23858	0.24164	5463	7766878	1
2022.03.09	18:00:00	0.24167	0.24168	0.23546	0.23683	7382	11039985	1
2022.03.09	19:00:00	0.23701	0.23888	0.23451	0.23829	6433	8580543	1
2022.03.09	20:00:00	0.23827	0.23945	0.23410	0.23560	6416	8973762	1
2022.03.09	21:00:00	0.23557	0.23841	0.23496	0.23691	6520	9630811	1
2022.03.09	22:00:00	0.23690	0.23843	0.23550	0.23702	4105	6589376	1
2022.03.09	23:00:00	0.23704	0.24026	0.23615	0.23965	5454	8245617	1
2022.03.10	00:00:00	0.23963	0.24209	0.23846	0.24054	5921	8762019	1
2022.03.10	01:00:00	0.24046	0.24565	0.23430	0.23530	11276	19441077	1
2022.03.10	02:00:00	0.23531	0.23640	0.23124	0.23160	8824	17424360	1
2022.03.10	03:00:00	0.23163	0.23375	0.23024	0.23117	4562	5927285	1
2022.03.10	04:00:00	0.23115	0.23213	0.22399	0.22475	10797	16139723	1
2022.03.10	05:00:00	0.22466	0.22511	0.21992	0.22073	8683	12955641	1
2022.03.10	06:00:00	0.22073	0.22430	0.22019	0.22418	6254	9756218	1
2022.03.10	07:00:00	0.22418	0.22439	0.22157	0.22275	5256	8964706	1
2022.03.10	08:00:00	0.22278	0.22307	0.21902	0.22286	6786	8761362	1
2022.03.10	09:00:00	0.22288	0.22335	0.22080	0.22255	4329	6171454	1
2022.03.10	10:00:00	0.22254	0.22414	0.22053	0.22101	5246	6232445	1
2022.03.10	11:00:00	0.22095	0.22268	0.21964	0.22152	5568	7953768	1
2022.03.10	12:00:00	0.22157	0.22629	0.22157	0.22528	9090	15483935	1
2022.03.10	13:00:00	0.22535	0.22882	0.22033	0.22274	14463	22124873	1
2022.03.10	14:00:00	0.22276	0.22520	0.22236	0.22491	7326	8241834	1
2022.03.10	15:00:00	0.22494	0.22890	0.22406	0.22710	8762	14428494	1
2022.03.10	16:00:00	0.22715	0.22990	0.22601	0.22820	7069	10052819	1
2022.03.10	17:00:00	0.22826	0.22859	0.22578	0.22615	4411	5094214	1
2022.03.10	18:00:00	0.22610	0.22657	0.22232	0.22288	5373	8764510	1
2022.03.10	19:00:00	0.22288	0.22496	0.22122	0.22482	6702	9993334	1
2022.03.10	20:00:00	0.22482	0.22668	0.22247	0.22605	4602	7460084	1
2022.03.10	21:00:00	0.22608	0.22759	0.22485	0.22537	3921	7250454	1
2022.03.10	22:00:00	0.22538	0.22782	0.22335	0.22710	3731	5935076	1
2022.03.10	23:00:00	0.22710	0.22800	0.22545	0.22680	3285	5303841	1
2022.03.11	00:00:00	0.22680	0.22756	0.22382	0.22454	4448	6551711	1
2022.03.11	01:00:00	0.22450	0.22474	0.21947	0.22018	6871	10817119	1
2022.03.11	02:00:00	0.22017	0.22018	0.21654	0.21783	6465	9252300	1
2022.03.11	03:00:00	0.21798	0.22266	0.21765	0.22215	4599	5460897	1
2022.03.11	04:00:00	0.22215	0.22377	0.21973	0.22000	4742	6836258	1
2022.03.11	05:00:00	0.22000	0.22448	0.21931	0.22392	4012	5677174	1
2022.03.11	06:00:00	0.22387	0.22674	0.22358	0.22563	5329	7945634	1
2022.03.11	07:00:00	0.22561	0.22693	0.22500	0.22546	4988	6637615	1
2022.03.11	08:00:00	0.22541	0.22633	0.22311	0.22363	4319	5122327	1
2022.03.11	09:00:00	0.22359	0.22605	0.22345	0.22409	4646	5964674	1
2022.03.11	10:00:00	0.22419	0.22463	0.22191	0.22216	5076	7651426	1
2022.03.11	11:00:00	0.22208	0.22777	0.21957	0.22544	10421	16770175	1
2022.03.11	12:00:00	0.22544	0.23018	0.22504	0.22821	10404	15606603	1
2022.03.11	13:00:00	0.22821	0.22970	0.22555	0.22616	9423	14573563	1
2022.03.11	14:00:00	0.22614	0.22946	0.22501	0.22768	8386	13888203	1
2022.03.11	15:00:00	0.22765	0.22765	0.22260	0.22310	8300	12090079	1
2022.03.11	16:00:00	0.22313	0.22344	0.22019	0.22102	7083	10234115	1
2022.03.11	17:00:00	0.22101	0.22329	0.22039	0.22310	5308	7322505	1
2022.03.11	18:00:00	0.22313	0.22443	0.22043	0.22066	6325	9991270	1
2022.03.11	19:00:00	0.22068	0.22245	0.21982	0.22071	4548	6010589	1
2022.03.11	20:00:00	0.22059	0.22193	0.21807	0.21881	5283	7347191	1
2022.03.11	21:00:00	0.21878	0.22239	0.21864	0.21980	5687	7367018	1
2022.03.11	22:00:00	0.21981	0.22134	0.21904	0.22060	4210	7559187	1
2022.03.11	23:00:00	0.22059	0.22075	0.21600	0.21630	3654	6102967	1
2022.03.12	00:00:00	0.21631	0.22119	0.21570	0.22100	3999	6008092	1
2022.03.12	01:00:00	0.22102	0.22352	0.22012	0.22238	4248	6490143	1
2022.03.12	02:00:00	0.22240	0.22351	0.22097	0.22146	3210	3996392	1
2022.03.12	03:00:00	0.22149	0.22282	0.22010	0.22019	3035	3872861	1
2022.03.12	04:00:00	0.22021	0.22250	0.21958	0.22155	3152	4297422	1
2022.03.12	05:00:00	0.22154	0.22246	0.22039	0.22230	2607	3226856	1
2022.03.12	06:00:00	0.22235	0.22366	0.22185	0.22270	3871	5672139	1
2022.03.12	07:00:00	0.22270	0.22447	0.22093	0.22193	5192	8191700	1
2022.03.12	08:00:00	0.22193	0.22215	0.21935	0.22182	4119	5099918	1
2022.03.12	09:00:00	0.22187	0.22316	0.22139	0.22236	2681	3643259	1
2022.03.12	10:00:00	0.22234	0.22374	0.22177	0.22361	2654	3619911	1
2022.03.12	11:00:00	0.22362	0.22424	0.22171	0.22219	3284	5139898	1
2022.03.12	12:00:00	0.22218	0.22257	0.22061	0.22160	3443	5071791	1
2022.03.12	13:00:00	0.22156	0.22223	0.22078	0.22118	2340	3051318	1
2022.03.12	14:00:00	0.22123	0.22182	0.21900	0.22021	3527	5712261	1
2022.03.12	15:00:00	0.22023	0.22214	0.21976	0.22110	2921	4530563	1
2022.03.12	16:00:00	0.22111	0.22183	0.21967	0.22010	3327	5981721	1
2022.03.12	17:00:00	0.22009	0.22143	0.21971	0.22028	4120	6439906	1
2022.03.12	18:00:00	0.22030	0.22092	0.21965	0.21994	2481	3768032	1
2022.03.12	19:00:00	0.21995	0.22007	0.21910	0.21932	2736	3623060	1
2022.03.12	20:00:00	0.21929	0.22034	0.21900	0.21971	2794	3768602	1
2022.03.12	21:00:00	0.21969	0.22001	0.21876	0.21919	2075	2580005	1
2022.03.12	22:00:00	0.21920	0.22031	0.21812	0.21912	2032	3179270	1
2022.03.12	23:00:00	0.21915	0.22010	0.21702	0.21740	2453	4214929	1
2022.03.13	00:00:00	0.21737	0.21855	0.21626	0.21845	2987	3930303	1
2022.03.13	01:00:00	0.21845	0.22017	0.21799	0.21968	2864	3768292	1
2022.03.13	02:00:00	0.21967	0.22132	0.21949	0.22121	2401	4357232	1
2022.03.13	03:00:00	0.22123	0.22209	0.22042	0.22190	1976	2815328	1
2022.03.13	04:00:00	0.22185	0.22252	0.22020	0.22022	2639	3880735	1
2022.03.13	05:00:00	0.22050	0.22121	0.22025	0.22053	1194	1882398	1
2022.03.13	06:00:00	0.22053	0.22061	0.21903	0.22008	2310	3576314	1
2022.03.13	07:00:00	0.22005	0.22065	0.21942	0.21964	1999	2830657	1
2022.03.13	08:00:00	0.21971	0.21999	0.21890	0.21918	2284	3493506	1
2022.03.13	09:00:00	0.21917	0.21935	0.21600	0.21715	3957	7578777	1
2022.03.13	10:00:00	0.21707	0.21875	0.21648	0.21856	2567	4211283	1
2022.03.13	11:00:00	0.21854	0.21933	0.21648	0.21759	3457	6399210	1
2022.03.13	12:00:00	0.21759	0.21768	0.21333	0.21489	4979	8732351	1
2022.03.13	13:00:00	0.21494	0.21687	0.21432	0.21566	4192	6538854	1
2022.03.13	14:00:00	0.21566	0.21686	0.21522	0.21545	2108	3597012	1
2022.03.13	15:00:00	0.21545	0.21770	0.21533	0.21675	3012	5507869	1
2022.03.13	16:00:00	0.21681	0.21732	0.21605	0.21638	1807	2623391	1
2022.03.13	17:00:00	0.21635	0.21778	0.21606	0.21739	1923	2839035	1
2022.03.13	18:00:00	0.21739	0.21769	0.21687	0.21699	1678	2446773	1
2022.03.13	19:00:00	0.21695	0.21749	0.21579	0.21584	1936	2660819	1
2022.03.13	20:00:00	0.21580	0.21580	0.21324	0.21410	3472	6154801	1
2022.03.13	21:00:00	0.21400	0.21505	0.21366	0.21472	1549	2211370	1
2022.03.13	22:00:00	0.21474	0.21522	0.21054	0.21125	5819	13072094	1
2022.03.13	23:00:00	0.21122	0.21367	0.21000	0.21300	6473	6435992	1
2022.03.14	00:00:00	0.21295	0.21353	0.21052	0.21274	3986	4266517	1
2022.03.14	01:00:00	0.21284	0.21512	0.21120	0.21157	3839	4980794	1
2022.03.14	02:00:00	0.21160	0.21261	0.21052	0.21128	2279	2881740	1
2022.03.14	03:00:00	0.21134	0.21157	0.21010	0.21075	2459	4350944	1
2022.03.14	04:00:00	0.21076	0.21447	0.21057	0.21266	5005	6504251	1
2022.03.14	05:00:00	0.21268	0.21457	0.21243	0.21377	2757	3357307	1
2022.03.14	06:00:00	0.21372	0.21536	0.21360	0.21498	2394	2862233	1
2022.03.14	07:00:00	0.21501	0.21681	0.21419	0.21623	3431	5034171	1
2022.03.14	08:00:00	0.21627	0.21727	0.21478	0.21600	3370	5829503	1
2022.03.14	09:00:00	0.21600	0.21730	0.21503	0.21652	2653	4133053	1
2022.03.14	10:00:00	0.21654	0.21728	0.21583	0.21654	2274	3322897	1
2022.03.14	11:00:00	0.21654	0.21690	0.21394	0.21451	2684	4711591	1
2022.03.14	12:00:00	0.21450	0.21545	0.21371	0.21542	2553	3761108	1
2022.03.14	13:00:00	0.21543	0.21629	0.21385	0.21415	3120	4290786	1
2022.03.14	14:00:00	0.21421	0.21571	0.21367	0.21522	3008	4669124	1
2022.03.14	15:00:00	0.21530	0.21543	0.21353	0.21441	2338	2991336	1
2022.03.14	16:00:00	0.21426	0.21472	0.21168	0.21230	3539	6322237	1
2022.03.14	17:00:00	0.21235	0.21253	0.20801	0.20836	6004	13773362	1
2022.03.14	18:00:00	0.20832	0.20885	0.20530	0.20713	5837	16101802	1
2022.03.14	19:00:00	0.20725	0.20785	0.20552	0.20677	4171	11345024	1
2022.03.14	20:00:00	0.20684	0.20817	0.20667	0.20742	3194	8188962	1
2022.03.14	21:00:00	0.20737	0.20912	0.20686	0.20839	2317	6670176	1
2022.03.14	22:00:00	0.20840	0.21310	0.20774	0.21144	5444	11608103	1
2022.03.14	23:00:00	0.21146	0.21447	0.21146	0.21383	4992	10376958	1
2022.03.15	00:00:00	0.21382	0.21450	0.21200	0.21373	4030	8165941	1
2022.03.15	01:00:00	0.21375	0.21430	0.20925	0.20971	5397	10678613	1
2022.03.15	02:00:00	0.20966	0.21136	0.20952	0.21040	2583	6058928	1
2022.03.15	03:00:00	0.21035	0.21103	0.20752	0.20817	2968	7235291	1
2022.03.15	04:00:00	0.20815	0.20903	0.20744	0.20837	1914	4819423	1
2022.03.15	05:00:00	0.20834	0.20834	0.20680	0.20741	2342	5408059	1
2022.03.15	06:00:00	0.20741	0.20943	0.20685	0.20780	2722	5750391	1
2022.03.15	07:00:00	0.20780	0.20780	0.20332	0.20506	5611	9553748	1
2022.03.15	08:00:00	0.20504	0.20541	0.20370	0.20409	3424	6037317	1
2022.03.15	09:00:00	0.20409	0.20511	0.20213	0.20437	3661	6839509	1
2022.03.15	10:00:00	0.20442	0.20615	0.20418	0.20526	2766	5277725	1
2022.03.15	11:00:00	0.20516	0.20674	0.20484	0.20607	2736	4765605	1
2022.03.15	12:00:00	0.20600	0.20740	0.20543	0.20676	2931	4511721	1
2022.03.15	13:00:00	0.20674	0.20697	0.20368	0.20538	4238	7050292	1
2022.03.15	14:00:00	0.20537	0.20778	0.20467	0.20688	4596	6621473	1
2022.03.15	15:00:00	0.20687	0.20979	0.20630	0.20808	4952	8640845	1
2022.03.15	16:00:00	0.20802	0.20980	0.20639	0.20905	5360	7521799	1
2022.03.15	17:00:00	0.20904	0.21126	0.20774	0.21103	4205	5989583	1
2022.03.15	18:00:00	0.21105	0.21180	0.20936	0.21143	4015	6452415	1
2022.03.15	19:00:00	0.21137	0.21364	0.21119	0.21233	5564	8886293	1
2022.03.15	20:00:00	0.21232	0.21399	0.21021	0.21061	4756	6933438	1
2022.03.15	21:00:00	0.21064	0.21170	0.20926	0.21154	3210	4825041	1
2022.03.15	22:00:00	0.21154	0.21228	0.20959	0.21018	2928	4243423	1
2022.03.15	23:00:00	0.21017	0.21103	0.20897	0.20946	3394	4443984	1
2022.03.16	00:00:00	0.20944	0.21079	0.20854	0.20897	3678	4672713	1
