<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	2.9778	3.0143	2.9761	2.9936	7540	3067258	1
2022.03.09	09:00:00	2.9935	2.9998	2.9769	2.9794	10062	3285122	1
2022.03.09	10:00:00	2.9790	2.9850	2.9683	2.9796	4469	1673502	1
2022.03.09	11:00:00	2.9649	2.9738	2.9620	2.9667	3291	931236	1
2022.03.09	12:00:00	2.9667	2.9990	2.9275	2.9542	16611	6343251	1
2022.03.09	13:00:00	2.9541	2.9649	2.9226	2.9408	12448	4241036	1
2022.03.09	14:00:00	2.9413	2.9667	2.9401	2.9582	12593	4476712	1
2022.03.09	15:00:00	2.9583	2.9910	2.9483	2.9873	12700	4214236	1
2022.03.09	16:00:00	2.9873	2.9910	2.9646	2.9685	12205	3725359	1
2022.03.09	17:00:00	2.9685	2.9781	2.9491	2.9726	8202	2465311	1
2022.03.09	18:00:00	2.9726	2.9773	2.9281	2.9455	11221	3792909	1
2022.03.09	19:00:00	2.9456	2.9537	2.9040	2.9429	11616	3761459	1
2022.03.09	20:00:00	2.9430	2.9544	2.9120	2.9233	8368	2261677	1
2022.03.09	21:00:00	2.9234	2.9489	2.9157	2.9372	7086	1871276	1
2022.03.09	22:00:00	2.9374	2.9545	2.9329	2.9436	5456	1326547	1
2022.03.09	23:00:00	2.9437	2.9744	2.9355	2.9600	9560	2566836	1
2022.03.10	00:00:00	2.9601	2.9868	2.9292	2.9338	13106	4250186	1
2022.03.10	01:00:00	2.9329	2.9467	2.8673	2.8747	18555	6792224	1
2022.03.10	02:00:00	2.8750	2.8910	2.8640	2.8704	12670	4095821	1
2022.03.10	03:00:00	2.8700	2.8902	2.8620	2.8716	8394	2726329	1
2022.03.10	04:00:00	2.8716	2.8795	2.8014	2.8140	22770	9555602	1
2022.03.10	05:00:00	2.8138	2.8148	2.7808	2.7995	16685	5854880	0
2022.03.10	06:00:00	2.7996	2.8086	2.7822	2.8065	12560	3466361	1
2022.03.10	07:00:00	2.8066	2.8193	2.7926	2.8107	8154	2709223	1
2022.03.10	08:00:00	2.8108	2.8164	2.7808	2.8115	12754	3859400	1
2022.03.10	09:00:00	2.8116	2.8234	2.7955	2.8064	9305	2901614	0
2022.03.10	10:00:00	2.8060	2.8115	2.7899	2.7932	8619	2650577	1
2022.03.10	11:00:00	2.7930	2.8097	2.7884	2.8033	7703	2297786	1
2022.03.10	12:00:00	2.8033	2.8207	2.7947	2.8086	8598	2694961	1
