<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	2.9778	2.9999	2.9761	2.9920	2404	1015584	1
2022.03.09	08:45:00	2.9920	3.0143	2.9867	2.9936	5136	2051674	1
2022.03.09	09:00:00	2.9935	2.9967	2.9769	2.9880	3478	1196056	1
2022.03.09	09:15:00	2.9874	2.9998	2.9826	2.9976	2412	828725	1
2022.03.09	09:30:00	2.9981	2.9991	2.9828	2.9909	2258	625122	1
2022.03.09	09:45:00	2.9909	2.9950	2.9783	2.9794	1914	635219	1
2022.03.09	10:00:00	2.9790	2.9843	2.9683	2.9838	2649	914651	1
2022.03.09	10:15:00	2.9837	2.9850	2.9735	2.9796	1820	758851	1
2022.03.09	11:30:00	2.9649	2.9710	2.9620	2.9687	1280	406181	1
2022.03.09	11:45:00	2.9687	2.9738	2.9628	2.9667	2011	525055	1
2022.03.09	12:00:00	2.9667	2.9823	2.9666	2.9809	2428	704928	1
2022.03.09	12:15:00	2.9808	2.9934	2.9751	2.9887	2743	956956	1
2022.03.09	12:30:00	2.9885	2.9990	2.9275	2.9417	6881	3047204	1
2022.03.09	12:45:00	2.9418	2.9647	2.9350	2.9542	4559	1634163	1
2022.03.09	13:00:00	2.9541	2.9597	2.9363	2.9540	3296	1057546	1
2022.03.09	13:15:00	2.9540	2.9649	2.9462	2.9488	2551	886581	1
2022.03.09	13:30:00	2.9488	2.9537	2.9349	2.9363	2880	860632	1
2022.03.09	13:45:00	2.9357	2.9461	2.9226	2.9408	3721	1436277	1
2022.03.09	14:00:00	2.9413	2.9650	2.9401	2.9530	4046	1627593	1
2022.03.09	14:15:00	2.9532	2.9597	2.9472	2.9549	2183	622080	1
2022.03.09	14:30:00	2.9546	2.9667	2.9442	2.9574	3590	1317422	1
2022.03.09	14:45:00	2.9577	2.9635	2.9471	2.9582	2774	909617	1
2022.03.09	15:00:00	2.9583	2.9668	2.9545	2.9639	2434	665373	1
2022.03.09	15:15:00	2.9639	2.9689	2.9483	2.9656	2939	1046387	1
2022.03.09	15:30:00	2.9657	2.9900	2.9614	2.9885	3558	1189770	1
2022.03.09	15:45:00	2.9885	2.9910	2.9720	2.9873	3769	1312706	1
2022.03.09	16:00:00	2.9873	2.9892	2.9651	2.9710	3493	1061150	1
2022.03.09	16:15:00	2.9710	2.9820	2.9646	2.9811	2608	790630	1
2022.03.09	16:30:00	2.9811	2.9910	2.9769	2.9771	3205	892841	1
2022.03.09	16:45:00	2.9770	2.9852	2.9677	2.9685	2899	980738	1
2022.03.09	17:00:00	2.9685	2.9728	2.9655	2.9693	2125	575783	1
2022.03.09	17:15:00	2.9688	2.9723	2.9491	2.9665	2788	1000745	1
2022.03.09	17:30:00	2.9666	2.9723	2.9627	2.9714	1655	413734	1
2022.03.09	17:45:00	2.9714	2.9781	2.9690	2.9726	1634	475049	1
2022.03.09	18:00:00	2.9726	2.9773	2.9473	2.9497	2589	901772	1
2022.03.09	18:15:00	2.9500	2.9548	2.9296	2.9391	3277	1151474	1
2022.03.09	18:30:00	2.9412	2.9500	2.9307	2.9374	2439	642845	1
2022.03.09	18:45:00	2.9375	2.9558	2.9281	2.9455	2916	1096818	1
2022.03.09	19:00:00	2.9456	2.9494	2.9241	2.9255	2272	529122	1
2022.03.09	19:15:00	2.9258	2.9321	2.9040	2.9317	4769	1852662	1
2022.03.09	19:30:00	2.9315	2.9471	2.9279	2.9413	2753	800667	1
2022.03.09	19:45:00	2.9414	2.9537	2.9402	2.9429	1822	579008	1
2022.03.09	20:00:00	2.9430	2.9544	2.9322	2.9373	2344	685401	1
2022.03.09	20:15:00	2.9378	2.9459	2.9356	2.9440	1368	395817	1
2022.03.09	20:30:00	2.9437	2.9437	2.9200	2.9221	2108	582682	1
2022.03.09	20:45:00	2.9225	2.9332	2.9120	2.9233	2548	597777	1
2022.03.09	21:00:00	2.9234	2.9309	2.9157	2.9199	2155	519257	1
2022.03.09	21:15:00	2.9202	2.9339	2.9189	2.9322	1524	466814	1
2022.03.09	21:30:00	2.9323	2.9408	2.9207	2.9353	1700	494921	1
2022.03.09	21:45:00	2.9355	2.9489	2.9349	2.9372	1707	390284	1
2022.03.09	22:00:00	2.9374	2.9483	2.9330	2.9422	1299	310630	1
2022.03.09	22:15:00	2.9417	2.9490	2.9405	2.9481	1098	337820	1
2022.03.09	22:30:00	2.9481	2.9545	2.9380	2.9380	1398	308356	1
2022.03.09	22:45:00	2.9380	2.9451	2.9329	2.9436	1661	369741	1
2022.03.09	23:00:00	2.9437	2.9513	2.9355	2.9467	2074	489593	1
2022.03.09	23:15:00	2.9471	2.9543	2.9430	2.9537	1957	378405	1
2022.03.09	23:30:00	2.9535	2.9682	2.9520	2.9632	2978	901018	1
2022.03.09	23:45:00	2.9632	2.9744	2.9567	2.9600	2551	797820	1
2022.03.10	00:00:00	2.9601	2.9734	2.9464	2.9588	4083	1149923	1
2022.03.10	00:15:00	2.9589	2.9868	2.9578	2.9725	3576	1231109	1
2022.03.10	00:30:00	2.9725	2.9763	2.9481	2.9505	2726	1082218	1
2022.03.10	00:45:00	2.9509	2.9552	2.9292	2.9338	2721	786936	1
2022.03.10	01:00:00	2.9329	2.9385	2.9143	2.9331	2862	967842	1
2022.03.10	01:15:00	2.9338	2.9448	2.9311	2.9413	2281	634250	1
2022.03.10	01:30:00	2.9412	2.9467	2.8996	2.9049	5318	1934772	1
2022.03.10	01:45:00	2.9048	2.9075	2.8673	2.8747	8094	3255360	1
2022.03.10	02:00:00	2.8750	2.8875	2.8640	2.8717	4531	1747664	1
2022.03.10	02:15:00	2.8718	2.8801	2.8645	2.8726	3066	810227	1
2022.03.10	02:30:00	2.8726	2.8863	2.8650	2.8838	2670	826304	1
