<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	88.73	89.92	88.66	89.01	5362	261434	1
2022.03.09	09:00:00	89.01	89.20	88.42	88.48	7171	264251	1
2022.03.09	10:00:00	88.47	88.81	88.25	88.44	3166	123208	1
2022.03.09	11:00:00	88.04	88.43	87.92	88.18	2402	75809	1
2022.03.09	12:00:00	88.17	89.07	87.02	87.81	11545	544618	1
2022.03.09	13:00:00	87.81	88.28	86.51	86.87	11417	502735	1
2022.03.09	14:00:00	86.87	88.55	86.79	87.80	14363	728003	1
2022.03.09	15:00:00	87.79	89.26	87.31	88.90	13690	732715	1
2022.03.09	16:00:00	88.91	89.46	88.01	88.30	10989	494930	1
2022.03.09	17:00:00	88.30	88.62	87.62	88.31	7243	292977	1
2022.03.09	18:00:00	88.31	88.42	86.64	87.03	9978	505979	1
2022.03.09	19:00:00	87.03	87.49	86.02	86.90	9385	425636	1
2022.03.09	20:00:00	86.91	87.56	86.19	86.39	7339	286464	1
2022.03.09	21:00:00	86.40	87.07	86.04	86.87	5447	212586	1
2022.03.09	22:00:00	86.86	87.83	86.83	87.82	5176	201448	1
2022.03.09	23:00:00	87.82	88.84	87.63	88.04	7529	291960	1
2022.03.10	00:00:00	88.05	88.58	87.51	87.74	7946	282650	1
2022.03.10	01:00:00	87.75	88.15	86.01	86.20	11142	492140	1
2022.03.10	02:00:00	86.20	86.76	85.26	85.54	13478	469456	1
2022.03.10	03:00:00	85.54	85.98	85.27	85.31	9298	236972	1
2022.03.10	04:00:00	85.31	85.55	82.93	83.18	16493	851608	1
2022.03.10	05:00:00	83.18	83.25	82.02	82.65	12662	571017	1
2022.03.10	06:00:00	82.66	82.93	81.88	82.55	8164	348669	1
2022.03.10	07:00:00	82.54	82.89	82.18	82.62	5821	235089	1
2022.03.10	08:00:00	82.62	82.94	81.80	82.78	8395	339747	1
2022.03.10	09:00:00	82.77	83.14	82.36	82.60	7067	343089	1
2022.03.10	10:00:00	82.61	82.93	82.30	82.32	5686	217616	1
2022.03.10	11:00:00	82.33	82.38	81.86	82.04	7054	263213	1
2022.03.10	12:00:00	82.02	82.80	81.85	82.47	7670	275336	1
2022.03.10	13:00:00	82.48	83.94	80.56	81.71	24704	1186271	1
2022.03.10	14:00:00	81.70	82.19	81.08	82.10	11525	422770	1
2022.03.10	15:00:00	82.09	83.40	81.50	81.90	14644	612984	1
2022.03.10	16:00:00	81.90	82.45	81.60	82.21	8339	317791	1
2022.03.10	17:00:00	82.22	82.46	81.78	82.19	6393	235756	1
2022.03.10	18:00:00	82.18	82.35	81.65	81.97	6216	235170	1
2022.03.10	19:00:00	81.99	82.77	81.76	82.42	6407	225760	1
2022.03.10	20:00:00	82.40	83.33	82.14	83.18	5960	187320	1
2022.03.10	21:00:00	83.17	83.26	82.56	82.76	5021	156257	1
2022.03.10	22:00:00	82.76	83.97	81.90	83.38	6900	283211	1
2022.03.10	23:00:00	83.38	83.63	82.59	82.81	5502	219397	1
2022.03.11	00:00:00	82.82	83.11	82.12	82.45	6393	254725	1
2022.03.11	01:00:00	82.46	82.49	81.20	81.48	8444	365888	1
2022.03.11	02:00:00	81.50	81.66	80.67	81.33	7898	332725	1
2022.03.11	03:00:00	81.35	82.11	81.21	81.90	5419	213447	1
2022.03.11	04:00:00	81.90	81.97	80.23	80.47	7402	367197	1
2022.03.11	05:00:00	80.47	81.48	80.12	81.41	6442	234370	1
2022.03.11	06:00:00	81.39	82.45	81.17	81.93	7259	340131	1
2022.03.11	07:00:00	81.93	82.60	81.87	82.23	7314	294464	1
2022.03.11	08:00:00	82.22	82.45	81.48	81.77	6562	259674	1
2022.03.11	09:00:00	81.77	82.33	81.67	81.85	5099	187107	1
2022.03.11	10:00:00	81.87	82.19	81.70	81.79	4320	187605	1
2022.03.11	11:00:00	81.80	83.85	81.12	83.23	18075	919733	1
2022.03.11	12:00:00	83.22	84.33	83.19	83.48	13321	578383	1
2022.03.11	13:00:00	83.48	83.59	82.24	82.58	11424	604443	1
2022.03.11	14:00:00	82.58	83.11	82.10	82.38	8391	389503	1
2022.03.11	15:00:00	82.37	82.37	81.26	81.68	11042	509597	1
2022.03.11	16:00:00	81.68	81.75	80.35	80.93	12136	586024	1
2022.03.11	17:00:00	80.94	81.06	80.56	80.90	6875	294678	1
2022.03.11	18:00:00	80.90	81.38	80.44	80.53	6617	284125	1
2022.03.11	19:00:00	80.54	81.11	80.33	80.55	7405	301446	1
2022.03.11	20:00:00	80.55	80.95	80.00	80.26	7452	339855	1
2022.03.11	21:00:00	80.26	81.58	80.22	81.21	8194	376337	1
2022.03.11	22:00:00	81.21	81.49	81.00	81.17	3923	136646	1
2022.03.11	23:00:00	81.17	81.31	80.52	80.64	5426	192245	1
2022.03.12	00:00:00	80.64	81.68	80.51	81.50	6029	211148	1
2022.03.12	01:00:00	81.50	82.39	81.50	82.34	5493	219978	1
2022.03.12	02:00:00	82.33	82.71	81.73	81.99	5916	215141	1
2022.03.12	03:00:00	81.99	82.32	81.71	81.76	4275	139059	1
2022.03.12	04:00:00	81.76	82.43	81.24	82.01	5302	183167	1
2022.03.12	05:00:00	82.01	82.23	81.72	82.02	3963	94939	1
2022.03.12	06:00:00	82.02	82.24	81.51	81.62	3773	133939	1
2022.03.12	07:00:00	81.61	81.77	81.27	81.66	4329	134617	1
2022.03.12	08:00:00	81.66	81.73	80.53	80.97	7166	333673	1
2022.03.12	09:00:00	80.98	81.45	80.86	81.19	4499	133847	1
