<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:30:00	88.73	89.32	88.66	89.01	1618	84485	1
2022.03.09	08:45:00	89.01	89.92	88.73	89.01	3744	176949	1
2022.03.09	09:00:00	89.01	89.20	88.42	88.78	2511	97793	1
2022.03.09	09:15:00	88.79	88.97	88.53	88.93	1486	51116	1
2022.03.09	09:30:00	88.93	89.02	88.51	88.81	1602	62206	1
2022.03.09	09:45:00	88.81	89.06	88.42	88.48	1572	53136	1
2022.03.09	10:00:00	88.47	88.81	88.25	88.74	1785	73211	1
2022.03.09	10:15:00	88.73	88.79	88.26	88.44	1381	49997	1
2022.03.09	11:30:00	88.04	88.43	87.92	88.38	1045	37461	1
2022.03.09	11:45:00	88.38	88.43	88.08	88.18	1357	38348	1
2022.03.09	12:00:00	88.17	88.35	87.97	88.21	1936	84597	1
2022.03.09	12:15:00	88.21	88.66	87.94	88.61	1853	76859	1
2022.03.09	12:30:00	88.61	89.07	87.02	87.33	4604	271687	1
2022.03.09	12:45:00	87.33	88.00	87.11	87.81	3152	111475	1
2022.03.09	13:00:00	87.81	87.97	87.24	87.68	2506	103631	1
2022.03.09	13:15:00	87.68	88.28	87.49	87.86	2324	93720	1
2022.03.09	13:30:00	87.86	87.99	87.26	87.32	2218	86415	1
2022.03.09	13:45:00	87.31	87.68	86.51	86.87	4369	218969	1
2022.03.09	14:00:00	86.87	87.99	86.79	87.59	4513	224320	1
2022.03.09	14:15:00	87.58	88.04	87.18	87.79	2713	138651	1
2022.03.09	14:30:00	87.79	88.55	87.18	88.13	4277	235611	1
2022.03.09	14:45:00	88.12	88.46	87.60	87.80	2860	129421	1
2022.03.09	15:00:00	87.79	88.05	87.48	87.80	2276	102276	1
2022.03.09	15:15:00	87.81	88.15	87.31	88.15	2777	167589	1
2022.03.09	15:30:00	88.14	89.00	88.10	88.85	3761	176587	1
2022.03.09	15:45:00	88.85	89.26	88.30	88.90	4876	286263	1
2022.03.09	16:00:00	88.91	89.17	88.31	88.60	3162	128244	1
2022.03.09	16:15:00	88.60	88.94	88.37	88.67	2169	87259	1
2022.03.09	16:30:00	88.66	89.46	88.36	88.60	3180	165614	1
2022.03.09	16:45:00	88.60	88.64	88.01	88.30	2478	113813	1
2022.03.09	17:00:00	88.30	88.57	88.10	88.37	1726	56767	1
