<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	3.055	3.093	3.051	3.059	2561	954713	1
2022.03.09	09:00:00	3.060	3.098	3.039	3.057	3800	1436665	1
2022.03.09	10:00:00	3.057	3.078	3.054	3.069	1565	474911	1
2022.03.09	11:00:00	3.073	3.145	3.072	3.112	3675	1607696	1
2022.03.09	12:00:00	3.114	3.149	3.060	3.078	6482	2764024	1
2022.03.09	13:00:00	3.077	3.086	3.036	3.060	3258	1243771	1
2022.03.09	14:00:00	3.060	3.094	3.060	3.084	4230	1207995	1
2022.03.09	15:00:00	3.086	3.109	3.061	3.101	2961	1104053	1
2022.03.09	16:00:00	3.101	3.106	3.055	3.068	3287	1427458	1
2022.03.09	17:00:00	3.068	3.084	3.046	3.070	2601	635278	1
2022.03.09	18:00:00	3.071	3.073	3.000	3.016	3380	1199908	1
2022.03.09	19:00:00	3.017	3.040	2.985	3.028	3926	1059940	1
2022.03.09	20:00:00	3.028	3.036	2.999	3.005	2150	593545	1
2022.03.09	21:00:00	3.006	3.028	2.993	3.017	2148	494659	1
2022.03.09	22:00:00	3.017	3.050	3.016	3.033	1813	588832	1
2022.03.09	23:00:00	3.033	3.073	3.027	3.059	2893	1139278	1
2022.03.10	00:00:00	3.059	3.067	2.998	2.998	3606	1066850	1
2022.03.10	01:00:00	2.998	3.022	2.934	2.949	5885	2573462	1
2022.03.10	02:00:00	2.949	2.980	2.944	2.961	3439	831921	1
2022.03.10	03:00:00	2.960	2.973	2.946	2.947	2225	766351	1
2022.03.10	04:00:00	2.948	2.955	2.871	2.875	7250	1964935	1
2022.03.10	05:00:00	2.873	2.875	2.810	2.838	5572	1673074	1
2022.03.10	06:00:00	2.839	2.854	2.816	2.851	3336	975790	1
2022.03.10	07:00:00	2.851	2.873	2.836	2.864	2528	754741	1
2022.03.10	08:00:00	2.863	2.885	2.826	2.881	3501	1199034	1
2022.03.10	09:00:00	2.881	2.917	2.860	2.895	4523	1584207	1
2022.03.10	10:00:00	2.894	2.912	2.873	2.881	3132	872725	1
