<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	0.09171	0.09249	0.09167	0.09248	2086	30055006	1
2021.10.04	10:00:00	0.09248	0.09254	0.09172	0.09207	2983	36939501	1
2021.10.04	11:00:00	0.09207	0.09218	0.09074	0.09148	4528	70118540	1
2021.10.04	12:00:00	0.09150	0.09223	0.09108	0.09201	4022	48402266	1
2021.10.04	13:00:00	0.09202	0.09326	0.09198	0.09320	5197	75470826	1
2021.10.04	14:00:00	0.09321	0.09380	0.09083	0.09127	8798	127707064	1
2021.10.04	15:00:00	0.09125	0.09190	0.08977	0.09184	9819	123767510	1
2021.10.04	16:00:00	0.09183	0.09315	0.09158	0.09263	8743	113553701	1
2021.10.04	17:00:00	0.09263	0.09338	0.09203	0.09314	7339	70808763	1
2021.10.04	18:00:00	0.09315	0.09350	0.09282	0.09330	5339	53615820	1
2021.10.04	19:00:00	0.09331	0.09345	0.09273	0.09303	3578	41625263	1
2021.10.04	20:00:00	0.09303	0.09320	0.09222	0.09237	3581	44974724	1
2021.10.04	21:00:00	0.09239	0.09263	0.09181	0.09241	2512	29080646	1
2021.10.04	22:00:00	0.09240	0.09282	0.09202	0.09247	3320	37906796	1
2021.10.04	23:00:00	0.09246	0.09444	0.09238	0.09353	6266	98113097	1
2021.10.05	00:00:00	0.09355	0.09420	0.09292	0.09393	6580	75696573	1
2021.10.05	01:00:00	0.09393	0.09428	0.09340	0.09349	5701	51157172	1
2021.10.05	02:00:00	0.09351	0.09369	0.09307	0.09332	2846	37376532	1
2021.10.05	03:00:00	0.09333	0.09430	0.09327	0.09429	3150	55638684	1
2021.10.05	04:00:00	0.09430	0.09444	0.09362	0.09380	3755	50853431	1
2021.10.05	05:00:00	0.09380	0.09542	0.09372	0.09501	6855	87247446	1
2021.10.05	06:00:00	0.09500	0.09592	0.09480	0.09561	5188	77475458	1
2021.10.05	07:00:00	0.09562	0.09625	0.09538	0.09585	5048	83824438	1
2021.10.05	08:00:00	0.09585	0.09632	0.09549	0.09585	5275	79361376	1
2021.10.05	09:00:00	0.09584	0.09619	0.09490	0.09615	5932	91886117	1
2021.10.05	10:00:00	0.09614	0.09652	0.09565	0.09585	5457	76390300	1
2021.10.05	11:00:00	0.09584	0.09620	0.09540	0.09547	3209	45292658	1
2021.10.05	12:00:00	0.09547	0.09580	0.09515	0.09569	4140	58497333	1
2021.10.05	13:00:00	0.09569	0.09623	0.09534	0.09595	4224	56281303	1
2021.10.05	14:00:00	0.09595	0.09616	0.09343	0.09402	8725	181319035	1
2021.10.05	15:00:00	0.09402	0.09450	0.09375	0.09419	4696	72231379	1
2021.10.05	16:00:00	0.09419	0.09508	0.09401	0.09507	5304	67525306	1
2021.10.05	17:00:00	0.09508	0.09554	0.09480	0.09529	4206	64755575	1
2021.10.05	18:00:00	0.09530	0.09585	0.09525	0.09562	3912	62781436	1
2021.10.05	19:00:00	0.09563	0.09628	0.09554	0.09596	4334	62598642	1
2021.10.05	20:00:00	0.09598	0.09860	0.09594	0.09776	12851	179851990	1
2021.10.05	21:00:00	0.09776	0.09785	0.09700	0.09730	5892	74003569	1
2021.10.05	22:00:00	0.09729	0.09738	0.09657	0.09696	4001	62889244	1
2021.10.05	23:00:00	0.09698	0.09765	0.09601	0.09626	5095	89516110	1
2021.10.06	00:00:00	0.09627	0.09659	0.09541	0.09562	5154	83126667	1
2021.10.06	01:00:00	0.09563	0.09571	0.09472	0.09530	5089	79977018	1
2021.10.06	02:00:00	0.09531	0.09550	0.09482	0.09532	2913	41911434	1
2021.10.06	03:00:00	0.09532	0.09539	0.09446	0.09457	3812	65133113	1
2021.10.06	04:00:00	0.09457	0.09479	0.09383	0.09438	4988	80225445	1
2021.10.06	05:00:00	0.09437	0.09503	0.09391	0.09455	4096	58008689	1
2021.10.06	06:00:00	0.09454	0.09507	0.09434	0.09436	3457	43541756	1
2021.10.06	07:00:00	0.09435	0.09447	0.09321	0.09385	4981	68488832	1
2021.10.06	08:00:00	0.09385	0.09416	0.09141	0.09200	10426	158148972	1
2021.10.06	09:00:00	0.09200	0.09207	0.09111	0.09147	7631	96800152	1
2021.10.06	10:00:00	0.09148	0.09282	0.09120	0.09227	6905	76962235	1
2021.10.06	11:00:00	0.09227	0.09283	0.09209	0.09265	6152	51041923	1
2021.10.06	12:00:00	0.09265	0.09422	0.09216	0.09418	9596	122870493	1
2021.10.06	13:00:00	0.09420	0.09660	0.09379	0.09557	19866	302865381	1
2021.10.06	14:00:00	0.09558	0.09589	0.09511	0.09580	8097	89350895	1
2021.10.06	15:00:00	0.09578	0.09636	0.09547	0.09618	7441	84872889	1
2021.10.06	16:00:00	0.09618	0.09731	0.09544	0.09693	7926	129106398	1
2021.10.06	17:00:00	0.09696	0.09709	0.09601	0.09608	4744	70949017	1
2021.10.06	18:00:00	0.09611	0.09656	0.09575	0.09580	3565	42623115	1
2021.10.06	19:00:00	0.09580	0.09632	0.09573	0.09585	3199	33904453	1
2021.10.06	20:00:00	0.09585	0.09606	0.09479	0.09488	4673	59579379	1
2021.10.06	21:00:00	0.09488	0.09540	0.09486	0.09537	2775	30455325	1
2021.10.06	22:00:00	0.09537	0.09550	0.09473	0.09513	3021	31734525	1
2021.10.06	23:00:00	0.09515	0.09585	0.09493	0.09553	3907	50265520	1
2021.10.07	00:00:00	0.09554	0.09560	0.09400	0.09457	6947	83239249	1
2021.10.07	01:00:00	0.09456	0.09476	0.09336	0.09426	7683	89516358	1
2021.10.07	02:00:00	0.09426	0.09617	0.09416	0.09545	8298	97352882	1
2021.10.07	03:00:00	0.09544	0.09651	0.09542	0.09584	8490	170885750	1
2021.10.07	04:00:00	0.09585	0.09751	0.09574	0.09736	8916	107316105	1
2021.10.07	05:00:00	0.09736	0.09736	0.09593	0.09684	5991	81353814	1
2021.10.07	06:00:00	0.09684	0.09700	0.09574	0.09597	5151	65509088	1
2021.10.07	07:00:00	0.09597	0.09794	0.09567	0.09790	7608	119179561	1
2021.10.07	08:00:00	0.09790	0.09850	0.09756	0.09834	6969	110592940	1
2021.10.07	09:00:00	0.09832	0.09846	0.09590	0.09717	8084	130592017	1
2021.10.07	10:00:00	0.09719	0.09743	0.09513	0.09532	7991	132182012	1
2021.10.07	11:00:00	0.09533	0.09608	0.09531	0.09597	4712	74249011	1
2021.10.07	12:00:00	0.09597	0.09619	0.09487	0.09570	6007	84306489	1
2021.10.07	13:00:00	0.09569	0.09680	0.09520	0.09657	5085	66350069	1
2021.10.07	14:00:00	0.09657	0.09663	0.09413	0.09456	8259	121634789	1
2021.10.07	15:00:00	0.09455	0.09607	0.09435	0.09550	4797	68238711	1
2021.10.07	16:00:00	0.09550	0.09643	0.09504	0.09622	7879	115439748	1
2021.10.07	17:00:00	0.09622	0.09638	0.09530	0.09534	5657	53599043	1
2021.10.07	18:00:00	0.09535	0.09558	0.09506	0.09513	4234	38007511	1
2021.10.07	19:00:00	0.09512	0.09573	0.09511	0.09545	3941	33017532	1
2021.10.07	20:00:00	0.09545	0.09605	0.09531	0.09591	3384	30908926	1
2021.10.07	21:00:00	0.09592	0.09660	0.09561	0.09589	2511	29102516	1
2021.10.07	22:00:00	0.09590	0.09597	0.09504	0.09555	3334	52135294	1
2021.10.07	23:00:00	0.09555	0.09578	0.09504	0.09558	2750	36193611	1
2021.10.08	00:00:00	0.09559	0.09636	0.09533	0.09631	3535	53865255	1
2021.10.08	01:00:00	0.09631	0.09683	0.09599	0.09678	3262	42023481	1
2021.10.08	02:00:00	0.09679	0.09794	0.09613	0.09615	7445	135486414	1
2021.10.08	03:00:00	0.09614	0.09810	0.09568	0.09771	7143	124552796	1
2021.10.08	04:00:00	0.09772	0.09906	0.09731	0.09763	11027	159351046	1
2021.10.08	05:00:00	0.09763	0.09814	0.09691	0.09799	7832	79973432	1
2021.10.08	06:00:00	0.09798	0.09854	0.09758	0.09854	5343	60244640	1
2021.10.08	07:00:00	0.09854	0.09887	0.09795	0.09850	6624	87984914	1
2021.10.08	08:00:00	0.09852	0.09957	0.09822	0.09881	10308	174059453	1
2021.10.08	09:00:00	0.09881	0.09893	0.09803	0.09807	3853	67064935	1
2021.10.08	10:00:00	0.09807	0.09895	0.09805	0.09873	4247	81094969	1
2021.10.08	11:00:00	0.09873	0.09946	0.09827	0.09830	5731	88113681	1
2021.10.08	12:00:00	0.09830	0.09844	0.09674	0.09751	7206	117949554	1
2021.10.08	13:00:00	0.09750	0.09767	0.09687	0.09725	4561	64240995	1
2021.10.08	14:00:00	0.09725	0.09839	0.09718	0.09826	4351	54558151	1
2021.10.08	15:00:00	0.09829	0.09858	0.09763	0.09843	4306	54851414	1
2021.10.08	16:00:00	0.09843	0.09865	0.09771	0.09852	3924	48600322	1
2021.10.08	17:00:00	0.09854	0.09858	0.09776	0.09825	2686	27048925	1
2021.10.08	18:00:00	0.09826	0.09860	0.09804	0.09849	3671	28165072	1
2021.10.08	19:00:00	0.09849	0.09878	0.09798	0.09844	4239	34382680	1
2021.10.08	20:00:00	0.09845	0.09845	0.09643	0.09684	5388	70063764	1
2021.10.08	21:00:00	0.09684	0.09748	0.09655	0.09739	4731	36567821	1
2021.10.08	22:00:00	0.09740	0.09804	0.09708	0.09798	4382	36110149	1
2021.10.08	23:00:00	0.09798	0.09798	0.09718	0.09775	3800	33055563	1
2021.10.09	00:00:00	0.09779	0.09929	0.09704	0.09917	6518	103793274	1
2021.10.09	01:00:00	0.09916	0.10048	0.09868	0.09941	9351	182100328	1
2021.10.09	02:00:00	0.09939	0.10113	0.09900	0.10109	8055	120695522	1
2021.10.09	03:00:00	0.10109	0.10212	0.10054	0.10128	9466	173325517	1
2021.10.09	04:00:00	0.10127	0.10160	0.10047	0.10067	6045	93341298	1
2021.10.09	05:00:00	0.10067	0.10106	0.09984	0.10011	6924	67896107	1
2021.10.09	06:00:00	0.10011	0.10126	0.10011	0.10063	6546	86836617	1
2021.10.09	07:00:00	0.10064	0.10182	0.10052	0.10180	4040	50180792	1
2021.10.09	08:00:00	0.10179	0.10260	0.10096	0.10208	11377	165106905	1
2021.10.09	09:00:00	0.10206	0.10356	0.10202	0.10292	13047	217383593	1
2021.10.09	10:00:00	0.10292	0.10562	0.10237	0.10388	18309	286821963	1
2021.10.09	11:00:00	0.10388	0.10472	0.10272	0.10318	14698	218829795	1
2021.10.09	12:00:00	0.10318	0.10433	0.10291	0.10355	8289	102650080	1
2021.10.09	13:00:00	0.10355	0.10408	0.10307	0.10390	6921	87323993	1
2021.10.09	14:00:00	0.10391	0.10511	0.10384	0.10465	10495	143336899	1
2021.10.09	15:00:00	0.10467	0.10530	0.10416	0.10481	9986	149503679	1
2021.10.09	16:00:00	0.10481	0.10515	0.10329	0.10382	11973	140909483	1
2021.10.09	17:00:00	0.10382	0.10400	0.10319	0.10399	9075	60515286	1
2021.10.09	18:00:00	0.10399	0.10427	0.10307	0.10359	8728	66266120	1
2021.10.09	19:00:00	0.10359	0.10361	0.10284	0.10300	7285	40015522	1
2021.10.09	20:00:00	0.10300	0.10338	0.10241	0.10335	6017	62818656	1
2021.10.09	21:00:00	0.10336	0.10389	0.10297	0.10374	3666	29001435	1
2021.10.09	22:00:00	0.10374	0.10374	0.10292	0.10332	3333	35359962	1
2021.10.09	23:00:00	0.10332	0.10336	0.10261	0.10314	3091	40388380	1
2021.10.10	01:00:00	0.10032	0.10032	0.09944	0.09987	4432	77152402	1
2021.10.10	02:00:00	0.09987	0.10059	0.09927	0.10038	5493	74198114	1
2021.10.10	03:00:00	0.10038	0.10138	0.10028	0.10115	5480	69169175	1
2021.10.10	04:00:00	0.10113	0.10189	0.10092	0.10183	6440	70400567	1
2021.10.10	05:00:00	0.10184	0.10200	0.10148	0.10186	4919	63863031	1
2021.10.10	06:00:00	0.10186	0.10305	0.10186	0.10279	6314	84924020	1
2021.10.10	07:00:00	0.10279	0.10290	0.10180	0.10231	5255	59284876	1
2021.10.10	08:00:00	0.10231	0.10263	0.10214	0.10260	4860	38557128	1
2021.10.10	09:00:00	0.10260	0.10264	0.10110	0.10155	6393	87249939	1
2021.10.10	10:00:00	0.10156	0.10203	0.10109	0.10147	4361	56958944	1
2021.10.10	11:00:00	0.10146	0.10200	0.10070	0.10198	5091	67424707	1
2021.10.10	12:00:00	0.10198	0.10209	0.10063	0.10139	5225	64251023	1
2021.10.10	13:00:00	0.10140	0.10170	0.10056	0.10131	5171	84700766	1
2021.10.10	14:00:00	0.10130	0.10229	0.10126	0.10142	4046	59145946	1
2021.10.10	15:00:00	0.10142	0.10200	0.10089	0.10193	3466	46115882	1
2021.10.10	16:00:00	0.10194	0.10211	0.10110	0.10145	3510	40080898	1
2021.10.10	17:00:00	0.10147	0.10150	0.10030	0.10104	4023	51335870	1
2021.10.10	18:00:00	0.10103	0.10118	0.10042	0.10101	2972	29734822	1
2021.10.10	19:00:00	0.10101	0.10120	0.10065	0.10079	2440	22119156	1
2021.10.10	20:00:00	0.10078	0.10195	0.10010	0.10015	6424	83754277	1
2021.10.10	21:00:00	0.10015	0.10019	0.09761	0.09846	9801	152075474	1
2021.10.10	22:00:00	0.09845	0.09893	0.09785	0.09876	5036	66084841	1
2021.10.10	23:00:00	0.09877	0.09899	0.09713	0.09746	7243	67680122	1
2021.10.11	00:00:00	0.09745	0.09836	0.09683	0.09817	9950	109410502	1
2021.10.11	01:00:00	0.09819	0.09877	0.09759	0.09831	4629	73287163	1
2021.10.11	02:00:00	0.09832	0.09910	0.09826	0.09896	3556	49618345	1
2021.10.11	03:00:00	0.09896	0.09984	0.09858	0.09972	4967	67688366	1
2021.10.11	04:00:00	0.09973	0.10039	0.09954	0.10006	4690	55667839	1
2021.10.11	05:00:00	0.10006	0.10013	0.09935	0.09953	2485	27515801	1
2021.10.11	06:00:00	0.09953	0.09978	0.09932	0.09956	2666	25883438	1
2021.10.11	07:00:00	0.09956	0.10092	0.09955	0.10071	4807	73827385	1
2021.10.11	08:00:00	0.10071	0.10100	0.10035	0.10042	4521	54767858	1
