<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	0.09171	0.09189	0.09167	0.09183	231	2381284	1
2021.10.04	09:15:00	0.09183	0.09232	0.09183	0.09222	573	8130389	1
2021.10.04	09:30:00	0.09224	0.09236	0.09202	0.09223	631	9847346	1
2021.10.04	09:45:00	0.09223	0.09249	0.09210	0.09248	651	9695987	1
2021.10.04	10:00:00	0.09248	0.09254	0.09216	0.09222	747	6862516	1
2021.10.04	10:15:00	0.09222	0.09228	0.09172	0.09228	842	10623814	1
2021.10.04	10:30:00	0.09229	0.09234	0.09177	0.09185	799	10972120	1
2021.10.04	10:45:00	0.09184	0.09218	0.09173	0.09207	595	8481051	1
2021.10.04	11:00:00	0.09207	0.09218	0.09130	0.09137	1118	17259872	1
2021.10.04	11:15:00	0.09136	0.09181	0.09110	0.09116	1120	16480272	1
2021.10.04	11:30:00	0.09115	0.09149	0.09074	0.09107	1504	22553917	1
2021.10.04	11:45:00	0.09106	0.09159	0.09103	0.09148	786	13824479	1
2021.10.04	12:00:00	0.09150	0.09195	0.09108	0.09188	1474	19450489	1
2021.10.04	12:15:00	0.09188	0.09204	0.09169	0.09202	824	8870536	1
2021.10.04	12:30:00	0.09203	0.09208	0.09176	0.09196	670	7709801	1
2021.10.04	12:45:00	0.09197	0.09223	0.09186	0.09201	1054	12371440	1
2021.10.04	13:00:00	0.09202	0.09238	0.09198	0.09232	867	13395259	1
2021.10.04	13:15:00	0.09231	0.09272	0.09212	0.09268	1233	20753757	1
2021.10.04	13:30:00	0.09268	0.09326	0.09257	0.09299	1959	27544597	1
2021.10.04	13:45:00	0.09300	0.09323	0.09276	0.09320	1138	13777213	1
2021.10.04	14:00:00	0.09321	0.09380	0.09273	0.09315	2964	38431771	1
2021.10.04	14:15:00	0.09314	0.09338	0.09314	0.09329	1050	12617953	1
2021.10.04	14:30:00	0.09328	0.09332	0.09174	0.09194	2104	35911738	1
2021.10.04	14:45:00	0.09193	0.09199	0.09083	0.09127	2680	40745602	1
2021.10.04	15:00:00	0.09125	0.09126	0.08977	0.09106	4523	71135542	1
2021.10.04	15:15:00	0.09105	0.09125	0.09057	0.09103	1944	20780332	1
2021.10.04	15:30:00	0.09103	0.09163	0.09098	0.09162	1797	15906067	1
2021.10.04	15:45:00	0.09162	0.09190	0.09132	0.09184	1555	15945569	1
