<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.09	08:00:00	0.04902	0.04989	0.04899	0.04938	2451	45834921	1
2022.03.09	09:00:00	0.04940	0.04967	0.04917	0.04923	2126	34595636	1
2022.03.09	10:00:00	0.04921	0.04940	0.04907	0.04935	1095	17554706	1
2022.03.09	11:00:00	0.04940	0.04954	0.04938	0.04947	511	6861491	1
2022.03.09	12:00:00	0.04946	0.04994	0.04864	0.04909	4399	108612243	1
2022.03.09	13:00:00	0.04908	0.04938	0.04852	0.04888	3797	93301856	1
2022.03.09	14:00:00	0.04889	0.04936	0.04881	0.04903	3606	53014170	1
2022.03.09	15:00:00	0.04903	0.04953	0.04886	0.04947	2934	43926414	1
2022.03.09	16:00:00	0.04948	0.04977	0.04910	0.04933	3222	48605282	1
2022.03.09	17:00:00	0.04931	0.04945	0.04895	0.04911	2180	39471597	1
2022.03.09	18:00:00	0.04909	0.04910	0.04811	0.04832	3877	71318430	1
2022.03.09	19:00:00	0.04832	0.04872	0.04789	0.04858	3480	68941767	1
2022.03.09	20:00:00	0.04859	0.04885	0.04770	0.04791	3348	62630905	1
2022.03.09	21:00:00	0.04794	0.04836	0.04782	0.04814	2441	32122294	1
2022.03.09	22:00:00	0.04816	0.04833	0.04793	0.04809	2161	39778699	1
2022.03.09	23:00:00	0.04810	0.04863	0.04798	0.04848	2361	40673065	1
2022.03.10	00:00:00	0.04848	0.04879	0.04816	0.04827	3009	47482092	1
2022.03.10	01:00:00	0.04826	0.04852	0.04690	0.04712	5075	93866945	1
2022.03.10	02:00:00	0.04712	0.04738	0.04694	0.04702	4128	65354148	1
2022.03.10	03:00:00	0.04700	0.04737	0.04679	0.04708	3140	39412990	1
2022.03.10	04:00:00	0.04707	0.04721	0.04586	0.04595	8240	105515329	1
2022.03.10	05:00:00	0.04595	0.04602	0.04516	0.04558	8343	72313201	1
2022.03.10	06:00:00	0.04557	0.04584	0.04522	0.04576	6689	60052670	1
2022.03.10	07:00:00	0.04576	0.04611	0.04560	0.04583	4460	46893265	1
2022.03.10	08:00:00	0.04583	0.04614	0.04537	0.04603	4701	49063698	1
2022.03.10	09:00:00	0.04603	0.04619	0.04571	0.04601	3204	34922509	1
2022.03.10	10:00:00	0.04600	0.04610	0.04574	0.04584	2815	27939407	1
2022.03.10	11:00:00	0.04583	0.04620	0.04574	0.04610	2425	30654988	1
2022.03.10	12:00:00	0.04610	0.04673	0.04595	0.04641	4630	77885982	1
2022.03.10	13:00:00	0.04641	0.04719	0.04526	0.04607	9077	165158025	1
2022.03.10	14:00:00	0.04606	0.04656	0.04574	0.04649	4561	66489010	1
2022.03.10	15:00:00	0.04649	0.04685	0.04585	0.04632	3435	57420103	1
2022.03.10	16:00:00	0.04632	0.04662	0.04595	0.04640	2514	49431596	1
2022.03.10	17:00:00	0.04639	0.04650	0.04598	0.04618	2634	34006508	1
2022.03.10	18:00:00	0.04617	0.04657	0.04596	0.04650	1964	37597088	1
2022.03.10	19:00:00	0.04650	0.04704	0.04633	0.04687	3364	43480373	1
2022.03.10	20:00:00	0.04686	0.04701	0.04653	0.04693	2147	28613048	1
2022.03.10	21:00:00	0.04693	0.04699	0.04661	0.04669	1956	25028365	1
2022.03.10	22:00:00	0.04668	0.04717	0.04626	0.04715	2415	35455491	1
2022.03.10	23:00:00	0.04715	0.04748	0.04677	0.04693	2943	42336957	1
2022.03.11	00:00:00	0.04693	0.04705	0.04620	0.04653	3122	48106783	1
2022.03.11	01:00:00	0.04654	0.04658	0.04570	0.04594	3613	54904288	1
2022.03.11	02:00:00	0.04593	0.04607	0.04531	0.04560	3564	52931108	1
2022.03.11	03:00:00	0.04563	0.04647	0.04553	0.04638	2449	41269360	1
