<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.04	09:00:00	1.0350	1.0353	1.0282	1.0326	10242	22716919	1
2021.10.04	10:00:00	1.0327	1.0363	1.0284	1.0311	10691	26489285	1
2021.10.04	11:00:00	1.0312	1.0326	1.0126	1.0244	15554	50038221	1
2021.10.04	12:00:00	1.0245	1.0338	1.0184	1.0312	11701	28556369	1
2021.10.04	13:00:00	1.0312	1.0518	1.0309	1.0479	19462	61976572	1
2021.10.04	14:00:00	1.0478	1.0543	1.0191	1.0249	24542	93149001	1
2021.10.04	15:00:00	1.0249	1.0338	1.0055	1.0321	23784	92337383	1
2021.10.04	16:00:00	1.0322	1.0494	1.0298	1.0397	20707	70902440	1
2021.10.04	17:00:00	1.0397	1.0502	1.0300	1.0494	15307	51756166	1
2021.10.04	18:00:00	1.0494	1.0533	1.0421	1.0463	14173	42558456	1
2021.10.04	19:00:00	1.0462	1.0494	1.0401	1.0457	9007	25437601	1
2021.10.04	20:00:00	1.0456	1.0472	1.0370	1.0403	10296	26645603	1
2021.10.04	21:00:00	1.0403	1.0434	1.0288	1.0343	8724	22762229	1
2021.10.04	22:00:00	1.0343	1.0391	1.0305	1.0354	9209	19926182	1
2021.10.04	23:00:00	1.0355	1.0600	1.0346	1.0434	15176	53814869	1
2021.10.05	00:00:00	1.0434	1.0560	1.0382	1.0493	14460	46616011	1
2021.10.05	01:00:00	1.0493	1.0572	1.0437	1.0448	10561	29637143	1
2021.10.05	02:00:00	1.0449	1.0474	1.0406	1.0449	9380	16527376	1
2021.10.05	03:00:00	1.0448	1.0473	1.0393	1.0466	8216	16886298	1
2021.10.05	04:00:00	1.0466	1.0500	1.0386	1.0413	9853	24765415	1
2021.10.05	05:00:00	1.0414	1.0532	1.0405	1.0494	10301	22150133	1
2021.10.05	06:00:00	1.0493	1.0539	1.0475	1.0502	8460	19859523	1
2021.10.05	07:00:00	1.0502	1.0559	1.0486	1.0538	9714	24641308	1
2021.10.05	08:00:00	1.0538	1.0566	1.0484	1.0554	11561	27132477	1
2021.10.05	09:00:00	1.0553	1.0636	1.0464	1.0633	15049	46807676	1
2021.10.05	10:00:00	1.0633	1.0677	1.0514	1.0561	16050	43842856	1
2021.10.05	11:00:00	1.0561	1.0618	1.0543	1.0554	10803	25083593	1
2021.10.05	12:00:00	1.0554	1.0805	1.0523	1.0636	28272	113783955	1
2021.10.05	13:00:00	1.0635	1.0861	1.0580	1.0806	18675	74196066	1
2021.10.05	14:00:00	1.0811	1.0831	1.0500	1.0581	25355	94935916	1
2021.10.05	15:00:00	1.0581	1.0716	1.0540	1.0640	16168	51225676	1
2021.10.05	16:00:00	1.0641	1.0703	1.0550	1.0657	14098	44945907	1
2021.10.05	17:00:00	1.0657	1.0670	1.0606	1.0638	7951	17813956	1
2021.10.05	18:00:00	1.0639	1.0740	1.0636	1.0704	13555	38469485	1
2021.10.05	19:00:00	1.0704	1.0792	1.0674	1.0726	15398	45981832	1
2021.10.05	20:00:00	1.0726	1.0792	1.0684	1.0701	15718	40464178	1
2021.10.05	21:00:00	1.0701	1.0841	1.0676	1.0780	13213	43167006	1
2021.10.05	22:00:00	1.0780	1.0780	1.0695	1.0726	11444	35375974	1
2021.10.05	23:00:00	1.0726	1.0895	1.0702	1.0848	12160	38578604	1
2021.10.06	00:00:00	1.0849	1.0861	1.0742	1.0778	12701	34216447	1
2021.10.06	01:00:00	1.0779	1.0781	1.0660	1.0701	10992	29381082	1
2021.10.06	02:00:00	1.0702	1.0717	1.0642	1.0710	10149	23137841	1
2021.10.06	03:00:00	1.0709	1.0719	1.0648	1.0674	8696	15349586	1
2021.10.06	04:00:00	1.0674	1.0691	1.0582	1.0630	12871	27762168	1
2021.10.06	05:00:00	1.0630	1.0688	1.0596	1.0650	12005	23490706	1
2021.10.06	06:00:00	1.0650	1.0693	1.0631	1.0646	10771	14365396	1
2021.10.06	07:00:00	1.0646	1.0647	1.0527	1.0566	13886	34835998	1
2021.10.06	08:00:00	1.0565	1.0583	1.0164	1.0270	33215	122248035	1
2021.10.06	09:00:00	1.0271	1.0294	1.0191	1.0294	16950	47012288	1
2021.10.06	10:00:00	1.0294	1.0421	1.0228	1.0337	17686	48797711	1
2021.10.06	11:00:00	1.0337	1.0400	1.0310	1.0337	11192	25185889	1
2021.10.06	12:00:00	1.0336	1.0529	1.0324	1.0506	17355	53614403	1
2021.10.06	13:00:00	1.0505	1.0857	1.0489	1.0721	47776	173129408	1
2021.10.06	14:00:00	1.0722	1.1036	1.0664	1.0994	24473	85660857	1
2021.10.06	15:00:00	1.0993	1.1096	1.0888	1.0953	29009	99428370	1
2021.10.06	16:00:00	1.0951	1.1019	1.0852	1.0940	21239	62871048	1
2021.10.06	17:00:00	1.0939	1.0958	1.0863	1.0896	15369	32198525	1
2021.10.06	18:00:00	1.0896	1.0934	1.0710	1.0798	13966	37479298	1
2021.10.06	19:00:00	1.0799	1.0878	1.0794	1.0856	10293	23023372	1
2021.10.06	20:00:00	1.0856	1.0898	1.0742	1.0770	13548	34134289	1
2021.10.06	21:00:00	1.0770	1.0816	1.0741	1.0803	8614	17098517	1
2021.10.06	22:00:00	1.0803	1.0852	1.0744	1.0782	10975	22501831	1
2021.10.06	23:00:00	1.0782	1.0846	1.0762	1.0769	11616	31326470	1
2021.10.07	00:00:00	1.0770	1.0930	1.0553	1.0642	23550	90693362	1
2021.10.07	01:00:00	1.0640	1.0674	1.0434	1.0583	17973	60218803	1
2021.10.07	02:00:00	1.0583	1.0691	1.0571	1.0618	12275	26376790	1
2021.10.07	03:00:00	1.0619	1.0633	1.0531	1.0589	11006	25919455	1
2021.10.07	04:00:00	1.0589	1.0772	1.0573	1.0741	13826	41256249	1
2021.10.07	05:00:00	1.0740	1.0747	1.0602	1.0736	11086	30104527	1
2021.10.07	06:00:00	1.0737	1.0840	1.0644	1.0696	14102	40251680	1
2021.10.07	07:00:00	1.0696	1.0888	1.0653	1.0879	15003	44193216	1
2021.10.07	08:00:00	1.0879	1.0942	1.0833	1.0937	16917	51352887	1
2021.10.07	09:00:00	1.0936	1.0958	1.0714	1.0839	20708	75899303	1
2021.10.07	10:00:00	1.0839	1.0860	1.0727	1.0760	12533	30212485	1
2021.10.07	11:00:00	1.0759	1.0868	1.0759	1.0842	11789	35078686	1
2021.10.07	12:00:00	1.0841	1.0870	1.0700	1.0761	14653	46126565	1
2021.10.07	13:00:00	1.0760	1.0835	1.0680	1.0824	12699	40881247	1
2021.10.07	14:00:00	1.0825	1.0839	1.0561	1.0644	19330	63679783	1
2021.10.07	15:00:00	1.0643	1.0728	1.0593	1.0681	11402	29516076	1
2021.10.07	16:00:00	1.0681	1.0750	1.0595	1.0716	13601	34878056	1
2021.10.07	17:00:00	1.0715	1.0760	1.0685	1.0704	8376	21459818	1
2021.10.07	18:00:00	1.0705	1.0726	1.0646	1.0690	8501	18921425	1
2021.10.07	19:00:00	1.0690	1.0764	1.0689	1.0729	7516	13846888	1
